Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.93490284451362,-0.0453512565637115,-3.2951157562883,0,0,0
1,-8.921293035866,-0.0500631491832647,-3.30415260167272,0,0,0
2,-8.92288056462994,-0.0401251012103482,-3.31197596477263,0,0,0
3,-8.9336976936002,-0.030370992185299,-3.31379199936689,0,0,0
4,-8.9383237889359,-0.0235557663391157,-3.30476333703578,0,0,0
5,-8.94053605372435,-0.01434750895451,-3.28655754503938,0,0,0
6,-8.93803718247502,-0.0164362772083197,-3.29544137735758,0,0,0
7,-8.93385023664579,-0.0213788477676123,-3.30476863246679,0,0,0
8,-8.94031747540009,-0.0278524649037826,-3.28428508650794,0,0,0
9,-8.93807731321937,-0.0393253674877787,-3.28893920729078,0,0,0
10,-8.94002262520204,-0.0458535147716893,-3.28652430720926,0,0,0
11,-8.93325875754817,-0.045966146009103,-3.28427047542441,0,0,0
12,-8.93786751079187,-0.0528445505021835,-3.27311745166505,0,0,0
13,-8.94238212378812,-0.0527781970289383,-3.26633988282042,0,0,0
14,-8.93782498761335,-0.0550854405170956,-3.28214794092297,0,0,0
15,-8.93464299745338,-0.0473772517473388,-3.32883835395757,0,0,0
16,-8.92476990900349,-0.0374604089395136,-3.31168062831925,0,0,0
17,-8.92251333099226,-0.0374947767336232,-3.31394030691838,0,0,0
18,-8.92739937909798,-0.0263437820092892,-3.32764670321522,0,0,0
19,-8.93603671184857,-0.0372623676164302,-3.32522263267997,0,0,0
20,-8.94065988720753,-0.030442410183486,-3.32071039780517,0,0,0
21,-8.93419430503167,-0.0376933480920122,-3.30971281341565,0,0,0
22,-8.93814773485267,-0.0348197671595892,-3.29346038721792,0,0,0
23,-8.94282253309334,-0.0371854665866371,-3.29360319952615,0,0,0
24,-8.93611465789851,-0.0464908449679938,-3.28922975305247,0,0,0
25,-8.94033681342606,-0.0392957637959109,-3.28216309910202,0,0,0
26,-8.937920058908,-0.0368980766710176,-3.27750240939782,0,0,0
27,-8.93825829490293,-0.0532029023494692,-3.29147939014261,0,0,0
28,-8.9361733790182,-0.0419662317676015,-3.31181670163209,0,0,0
29,-8.92540294407634,-0.0357644563842796,-3.32341849878129,0,0,0
30,-8.92002598412894,-0.0258803789384739,-3.33398130896172,0,0,0
31,-8.91630568987226,-0.0152731671852651,-3.32992409703291,0,0,0
32,-8.9180615221741,-0.0216313321775807,-3.30929528874644,0,0,0
33,-8.93406202752381,-0.0329966318544515,-3.31634409875439,0,0,0
34,-8.94133550087181,-0.026505707766671,-3.32341777043431,0,0,0
35,-8.93852064090146,-0.023737466293114,-3.31168610902032,0,0,0
36,-8.93612322033651,-0.0327829913417184,-3.30490341942219,0,0,0
37,-8.93882919013825,-0.0308925118966767,-3.28713479298922,0,0,0
38,-8.93844312205455,-0.041953302239271,-3.2892330405858,0,0,0
39,-8.93780857603934,-0.0436469816042174,-3.27975350075275,0,0,0
40,-8.9374312801844,-0.0547223387868831,-3.26830247714172,0,0,0
41,-8.93791036025827,-0.0620158283683274,-3.29132178771387,0,0,0
42,-8.93108462275468,-0.0529262154882774,-3.30022042376422,0,0,0
43,-8.91562791627763,-0.058061665779601,-3.30052212869885,0,0,0
44,-8.92233123340584,-0.035026993002664,-3.34089314453924,0,0,0
45,-8.92248993141252,-0.0374566642208441,-3.35007179398226,0,0,0
46,-8.92687782342474,-0.0212907100034208,-3.31365775153697,0,0,0
47,-8.94074639569546,-0.0259630339087742,-3.30039118454739,0,0,0
48,-8.93842817124977,-0.0305172725224233,-3.28458037139894,0,0,0
49,-8.94472644991182,-0.0345445445571598,-3.27072576032497,0,0,0
50,-8.9455285201037,-0.035294943484299,-3.27583455215635,0,0,0
51,-8.93899229651286,-0.0333293124780268,-3.28953874538074,0,0,0
52,-8.93803625251323,-0.0415686395325274,-3.2957114807044,0,0,0
53,-8.92492098887335,-0.0284659259093596,-3.30491547092607,0,0,0
54,-8.93346563610429,-0.0324421338388357,-3.30460864393269,0,0,0
55,-8.93143965586589,-0.0304029779070033,-3.31830989171135,0,0,0
56,-8.93115160237812,-0.0232811716247549,-3.31124611843735,0,0,0
57,-8.9178840056185,-0.0328929509682177,-3.30025055477288,0,0,0
58,-8.93357325742796,-0.050820617388428,-3.30714410515873,0,0,0
59,-8.93810282831115,-0.0621901958594713,-3.30501921398922,0,0,0
60,-8.93340159165701,-0.0620917100526926,-3.28906649108767,0,0,0
61,-8.94089419164503,-0.067229669583207,-3.29642445738861,0,0,0
62,-8.93844952017803,-0.0670968435243347,-3.27821201311322,0,0,0
63,-8.94054412516529,-0.0532161751980083,-3.24405530867077,0,0,0
64,-8.94668400941212,-0.0662262625104248,-3.24825699003866,0,0,0
65,-8.94041092838429,-0.0736512005124896,-3.25095667054033,0,0,0
66,-8.93820688615869,-0.0577394257211659,-3.25760134136956,0,0,0
67,-8.93587089597256,-0.0485429884088895,-3.29811214684294,0,0,0
68,-8.92748640477215,-0.0469986363508877,-3.30533937388633,0,0,0
69,-8.92971927324694,-0.0355140803107707,-3.31197633095887,0,0,0
70,-8.92228597995061,-0.0509853102628298,-3.32521715197889,0,0,0
71,-8.92927606822961,-0.0487919401531813,-3.34568726190153,0,0,0
72,-8.93127395056892,-0.0393736840561614,-3.34765720121013,0,0,0
73,-8.9272439125062,-0.0353310755192913,-3.34118652706184,0,0,0
74,-8.92415161394402,-0.0368702394838274,-3.33381837204033,0,0,0
75,-8.93362434702216,-0.0348718284538153,-3.31378725112834,0,0,0
76,-8.93793625777963,-0.0346142992973355,-3.309119775988,0,0,0
77,-8.93529748367294,-0.0205818874428844,-3.30869111683722,0,0,0
78,-8.93799612142331,-0.0186795709717078,-3.30221363816514,0,0,0
79,-8.93820174686689,-0.0188755885544919,-3.29558711242044,0,0,0
80,-8.93852941574386,-0.0237517584854061,-3.29813680137137,0,0,0
81,-8.92944584468568,-0.02841624657753,-3.28233037019586,0,0,0
82,-8.93384020652925,-0.0350844406417438,-3.29135319832306,0,0,0
83,-8.92900995146547,-0.0417061105386907,-3.30475018670505,0,0,0
84,-8.93381847925249,-0.0487708451650421,-3.29600349973158,0,0,0
85,-8.93998448926514,-0.0481015617310064,-3.28878014682564,0,0,0
86,-8.93964678889604,-0.0569312648838678,-3.27281506564707,0,0,0
87,-8.94315955552844,-0.067209593864207,-3.28061541241196,0,0,0
88,-8.93763252106503,-0.0549110366770459,-3.26845056136362,0,0,0
89,-8.93754276358227,-0.0479734012934216,-3.26605138791833,0,0,0
90,-8.94083783919763,-0.0466251352697285,-3.27130915878237,0,0,0
91,-8.94336901604937,-0.0422787497992937,-3.2692023096632,0,0,0
92,-8.94066449235486,-0.0441717128657453,-3.28471276575263,0,0,0
93,-8.94244962047667,-0.0482678326410758,-3.27537749443616,0,0,0
94,-8.9314513556449,-0.0304220341456954,-3.30024416495696,0,0,0
95,-8.93469184709515,-0.0198838897870794,-3.3053634807791,0,0,0
96,-8.93842232135484,-0.0305077443942286,-3.29361324316491,0,0,0
97,-8.93802130447953,-0.0301324975444475,-3.29105881427261,0,0,0
98,-8.93844550858197,-0.0168235681750333,-3.28670473263922,0,0,0
99,-8.94464140321192,-0.0390263463100479,-3.28878672204036,0,0,0
100,-8.94222903403505,-0.0366357925846069,-3.27735139557413,0,0,0
101,-8.93772174438698,-0.0367140560190623,-3.27283789357892,0,0,0
102,-8.93817584688582,-0.0462772695895945,-3.27778909881969,0,0,0
103,-8.93806729002307,-0.0530308734663682,-3.27552375855473,0,0,0
104,-8.93542850098089,-0.0389988635250902,-3.27509519173897,0,0,0
105,-8.92630955552645,-0.032193824152122,-3.28625111440211,0,0,0
106,-8.93658024506054,-0.0423508870618329,-3.30533827938134,0,0,0
107,-8.93384491486216,-0.0465037744963242,-3.31181341409876,0,0,0
108,-8.93324267036698,-0.0459399437052353,-3.30911082664255,0,0,0
109,-8.93624672488881,-0.0374654389098178,-3.31182144982484,0,0,0
110,-8.93388419201008,-0.0328459435204123,-3.28006448272342,0,0,0
111,-8.93986390581314,-0.0434238617952961,-3.27734573379992,0,0,0
112,-8.93790125913614,-0.0505893683082522,-3.27763625747292,0,0,0
113,-8.94060902778823,-0.060113156508142,-3.28484424708809,0,0,0
114,-8.93323734952355,-0.0710647547944083,-3.31615560995427,0,0,0
