Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.56798793996307,-0.579698936220312,1.07104692133924,0,0,0
1,-9.55461509533979,-0.582346589932862,1.06416901134524,0,0,0
2,-9.54345109970817,-0.575792755456018,1.07093049033007,0,0,0
3,-9.54817038482838,-0.575914778712709,1.07987233709105,0,0,0
4,-9.5733327089033,-0.58253696372574,1.05930866834744,0,0,0
5,-9.56365667891556,-0.593626771024861,1.06409109182757,0,0,0
6,-9.56977328407149,-0.595195086594942,1.05309156949504,0,0,0
7,-9.58064724287483,-0.594639455702675,1.05329013974674,0,0,0
8,-9.56597684066294,-0.589079222258426,1.05053599748189,0,0,0
9,-9.55220264413524,-0.591359705136435,1.04836660539728,0,0,0
10,-9.54812107244838,-0.5917949859275,1.05718756256599,0,0,0
11,-9.5532170192783,-0.587513023548558,1.07044935490859,0,0,0
12,-9.54808979527331,-0.580399361546589,1.06858390433436,0,0,0
13,-9.56439062627517,-0.578199459633195,1.07059127806028,0,0,0
14,-9.57825068317091,-0.573621768199126,1.07270983690176,0,0,0
15,-9.55868429102159,-0.559046123368682,1.06453070351627,0,0,0
16,-9.54846056268034,-0.557924032987197,1.07533609188942,0,0,0
17,-9.54842099927481,-0.560167515640273,1.07082119315263,0,0,0
18,-9.55086131398278,-0.548891901386883,1.07306943030044,0,0,0
19,-9.56397040218843,-0.561969994049135,1.06867077518942,0,0,0
20,-9.5664107150314,-0.550694325574897,1.07091901018101,0,0,0
21,-9.5628640000852,-0.549148714867149,1.07267352003564,0,0,0
22,-9.56637846516501,-0.552949731435382,1.07769728157963,0,0,0
23,-9.57066862868526,-0.552659121257987,1.04843360923239,0,0,0
24,-9.56365703729915,-0.554822024808705,1.03949271897843,0,0,0
25,-9.57512727664245,-0.543411125808089,1.05303993864121,0,0,0
26,-9.57378552438927,-0.555579695308956,1.07960796196657,0,0,0
27,-9.5775468490246,-0.559510713322407,1.07771170215255,0,0,0
28,-9.57657459434358,-0.553559236381905,1.07028428277179,0,0,0
29,-9.58070639199505,-0.546488427642061,1.09089605517414,0,0,0
30,-9.57779587552651,-0.557465229177117,1.09342416730818,0,0,0
31,-9.57682323604063,-0.554288805994338,1.09615839492638,0,0,0
32,-9.56668956103016,-0.560042278561048,1.07297650688536,0,0,0
33,-9.57747064735057,-0.564002465282895,1.07319917946247,0,0,0
34,-9.58611232251547,-0.574917858301756,1.0800883900557,0,0,0
35,-9.59952757253762,-0.58142781951565,1.06655248513001,0,0,0
36,-9.59334208199078,-0.600194323896391,1.06159943141574,0,0,0
37,-9.59525796266344,-0.590840076378697,1.04152282133277,0,0,0
38,-9.58784345366135,-0.592633677888459,1.03503185375103,0,0,0
39,-9.58429893204721,-0.600308004531117,1.02997263466918,0,0,0
40,-9.56621987699821,-0.602855065993727,1.03448059730753,0,0,0
41,-9.5433381645992,-0.593929009995618,1.03697431932371,0,0,0
42,-9.53598845301802,-0.579815362296218,1.04637280332404,0,0,0
43,-9.52734508961722,-0.582601713783695,1.0642471017764,0,0,0
44,-9.51193221919902,-0.599146896475619,1.07524040084447,0,0,0
45,-9.51121710639768,-0.591682839554841,1.08015238749687,0,0,0
46,-9.52238984993659,-0.598251034402681,1.08694269509527,0,0,0
47,-9.53995146947327,-0.627172695272492,1.07569207241869,0,0,0
48,-9.54513654972036,-0.623150442166673,1.06636887279853,0,0,0
49,-9.54270543447954,-0.595636189833531,1.05307403741706,0,0,0
50,-9.54357017896819,-0.594111975288147,1.05266973759613,0,0,0
51,-9.54090379806744,-0.593817964221289,1.07320663723294,0,0,0
52,-9.53170849953169,-0.580122523675726,1.09144682219412,0,0,0
53,-9.52919064103282,-0.584491311427517,1.111873343996,0,0,0
54,-9.53546384763861,-0.602183858011575,1.11425090487075,0,0,0
55,-9.54312860104427,-0.598346814060866,1.13871320431631,0,0,0
56,-9.55392791117639,-0.602285388512991,1.13665773072739,0,0,0
57,-9.56577177709751,-0.579800021500206,1.13202849972644,0,0,0
58,-9.55364849458806,-0.578711868670282,1.12224456665553,0,0,0
59,-9.54841703075791,-0.576121655524019,1.11815416910834,0,0,0
60,-9.54790532518491,-0.568845596765698,1.12522905913242,0,0,0
61,-9.55010249424484,-0.559624905502232,1.12079934036198,0,0,0
62,-9.56401274956529,-0.573435427147176,1.1047251804587,0,0,0
63,-9.56834432574424,-0.59826128155992,1.10689784950916,0,0,0
64,-9.56368154556379,-0.593667273053492,1.10248789164043,0,0,0
65,-9.56578385673174,-0.616264874505884,1.08884626399694,0,0,0
66,-9.56269538259924,-0.640670952160081,1.08004695554967,0,0,0
67,-9.56894230168536,-0.64692458990045,1.07121515429408,0,0,0
68,-9.55571895949602,-0.640583618173104,1.06884502522192,0,0,0
69,-9.53802090260689,-0.632067969159056,1.06646959796004,0,0,0
70,-9.54943097245633,-0.636571175221827,1.07090329636499,0,0,0
71,-9.54266252258292,-0.63667906896223,1.06864027804637,0,0,0
72,-9.52643352106077,-0.638815593761922,1.07108229135071,0,0,0
73,-9.5289893103742,-0.645904524139426,1.0799341757086,0,0,0
74,-9.52987038079221,-0.637367550406139,1.09533198155018,0,0,0
75,-9.54638146182864,-0.635888876444784,1.09387057000924,0,0,0
76,-9.55306636230148,-0.640260888005645,1.08032793540784,0,0,0
77,-9.56089152162281,-0.638796934775094,1.06628068634645,0,0,0
78,-9.55459125221273,-0.625547326295539,1.05934204454831,0,0,0
79,-9.54690884789443,-0.627229124607927,1.05753179463125,0,0,0
80,-9.55632892617965,-0.641094864339865,1.04369376233415,0,0,0
81,-9.58059861075983,-0.635673204567774,1.05982182825344,0,0,0
82,-9.60672517030579,-0.640724574836996,1.07039723659877,0,0,0
83,-9.59527458954341,-0.636284865768642,1.07956386002548,0,0,0
84,-9.57835173032701,-0.635724258022859,1.07337215377749,0,0,0
85,-9.57666314653208,-0.613461768719525,1.07099272677584,0,0,0
86,-9.57660321423645,-0.59287941501107,1.09374890249825,0,0,0
87,-9.58396641676783,-0.593310237220469,1.07765605263276,0,0,0
88,-9.58383460719825,-0.588623032157907,1.07322965274229,0,0,0
89,-9.57971448292542,-0.577650786456785,1.08215379836932,0,0,0
90,-9.59564628299863,-0.568393337486574,1.07537863228514,0,0,0
91,-9.59304774989744,-0.577246617485578,1.08451680350771,0,0,0
92,-9.56869995018565,-0.562108759322592,1.09342306691969,0,0,0
93,-9.57316007147716,-0.552863280057652,1.10028799646896,0,0,0
94,-9.56872641663677,-0.548447427952779,1.10705623032484,0,0,0
95,-9.5656772270977,-0.531284813907645,1.09283969655956,0,0,0
96,-9.55375347609699,-0.524310103131957,1.09099889075844,0,0,0
97,-9.54928268704945,-0.508488793034533,1.10012889975622,0,0,0
98,-9.55627877011422,-0.508557129405415,1.11131148546894,0,0,0
99,-9.56922333225648,-0.505548933642996,1.11162400980948,0,0,0
100,-9.55609216307241,-0.506139799113327,1.10916545209475,0,0,0
101,-9.54259921496315,-0.504119251357874,1.11593022004362,0,0,0
102,-9.54057116619693,-0.504332262238823,1.12484833901949,0,0,0
