Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.61166860472577,-0.270364255220059,-0.887293642927404,0,0,0
1,-9.61877981335418,-0.261288759960645,-0.896478283408516,0,0,0
2,-9.61851518640345,-0.26576667683085,-0.876002151925448,0,0,0
3,-9.60621486869216,-0.265734395610413,-0.877537686636463,0,0,0
4,-9.60927249807435,-0.279408997232184,-0.878252126480223,0,0,0
5,-9.60444596793164,-0.286186332014617,-0.88036026848079,0,0,0
6,-9.61117378514805,-0.288323316560527,-0.882611881779388,0,0,0
7,-9.61537522036407,-0.281398944463623,-0.898132568363329,0,0,0
8,-9.60906657584445,-0.279363948248694,-0.880364466759639,0,0,0
9,-9.61572779226381,-0.272445436421196,-0.896029741701258,0,0,0
10,-9.60517019227415,-0.266001340579105,-0.90325742102504,0,0,0
11,-9.60045656900801,-0.266034497463249,-0.900855919629291,0,0,0
12,-9.60985009231182,-0.268222540763937,-0.90113980316706,0,0,0
13,-9.61169795206292,-0.268102729216668,-0.898587871382726,0,0,0
14,-9.60461318153696,-0.274911998468107,-0.905214193232297,0,0,0
15,-9.61086460457824,-0.281472450385266,-0.8981354899278,0,0,0
16,-9.61288902565292,-0.28365937391245,-0.882177070560527,0,0,0
17,-9.61075608495065,-0.288223775353423,-0.895870005263589,0,0,0
18,-9.60903225631148,-0.268051657577639,-0.900555604327703,0,0,0
19,-9.61395326819964,-0.268065976121503,-0.898586410595151,0,0,0
20,-9.5997053601541,-0.274919183342624,-0.886858090032733,0,0,0
21,-9.6044541641999,-0.272633965827436,-0.891520311936795,0,0,0
22,-9.61375085786487,-0.281592252658171,-0.871471718523066,0,0,0
23,-9.60150251720106,-0.290592113831959,-0.882177254509322,0,0,0
24,-9.61318504746144,-0.290488812111803,-0.886978748756759,0,0,0
25,-9.61353761710055,-0.281535303653661,-0.884875909783497,0,0,0
26,-9.61333315225269,-0.281492647336641,-0.884729875094205,0,0,0
27,-9.61774489815979,-0.274620395282249,-0.891363133265,0,0,0
28,-9.61860382610187,-0.272548691854491,-0.885174551436347,0,0,0
29,-9.62082979783303,-0.274773453876315,-0.873878851717148,0,0,0
30,-9.60876032732027,-0.272517759531783,-0.891371349700321,0,0,0
31,-9.61788043408966,-0.279169504584367,-0.884729326821104,0,0,0
32,-9.61212881515398,-0.268223902746605,-0.865004338679182,0,0,0
33,-9.60443359191644,-0.274909806648752,-0.866675903376893,0,0,0
34,-9.60869724383766,-0.277033730027596,-0.875558049872031,0,0,0
35,-9.60228533780109,-0.268192885052922,-0.871201217730236,0,0,0
36,-9.61164218253439,-0.272630545610526,-0.871482672398765,0,0,0
37,-9.6182021982494,-0.27247520495598,-0.873590636648505,0,0,0
38,-9.61801304607123,-0.283713805632605,-0.882612245988962,0,0,0
39,-9.61590876191068,-0.274759201703423,-0.875848093090285,0,0,0
40,-9.61559138803387,-0.281460658709265,-0.880211680625649,0,0,0
41,-9.61964237414424,-0.297094411380354,-0.877787750948523,0,0,0
42,-9.62441762725958,-0.292542772879292,-0.898260905753103,0,0,0
43,-9.61134831161099,-0.277060893970645,-0.896173961833574,0,0,0
44,-9.61736823432502,-0.272278199509176,-0.897848507711445,0,0,0
45,-9.62232883540988,-0.270047594173102,-0.891364958313286,0,0,0
46,-9.61792820182045,-0.263372157313489,-0.891374999796893,0,0,0
47,-9.62003540421603,-0.272331612540774,-0.89362241053422,0,0,0
48,-9.61053924292483,-0.276904471998531,-0.882039619534103,0,0,0
49,-9.61822277034106,-0.270199374963012,-0.898435068266093,0,0,0
50,-9.60823704147931,-0.279174218891571,-0.897847230838318,0,0,0
51,-9.61354287759318,-0.267978151566434,-0.900552682759672,0,0,0
52,-9.61317207495269,-0.265645431048145,-0.898004595638324,0,0,0
53,-9.61431968800236,-0.270391481130934,-0.907909634028797,0,0,0
54,-9.60492907850701,-0.268208224115085,-0.903108995818768,0,0,0
55,-9.61138643456093,-0.274813650273585,-0.89391796617759,0,0,0
56,-9.60635837649883,-0.281553102867613,-0.891363317257043,0,0,0
57,-9.60628651760338,-0.286054780242018,-0.889100205899209,0,0,0
58,-9.60624985687125,-0.28830442783577,-0.889097832592831,0,0,0
59,-9.61739232310564,-0.283573957156923,-0.893465962239027,0,0,0
60,-9.61287518032402,-0.272380291441419,-0.870751102660541,0,0,0
61,-9.61844186600033,-0.270265906902255,-0.875997405381387,0,0,0
62,-9.60672937152657,-0.259063773490797,-0.884611956085599,0,0,0
63,-9.61108369189251,-0.281538929098697,-0.87569786850914,0,0,0
64,-9.61102879833245,-0.272502446253073,-0.8710446062124,0,0,0
65,-9.61726848903012,-0.27904388268387,-0.882032863868798,0,0,0
66,-9.62693163134873,-0.290327582052856,-0.87130743829802,0,0,0
67,-9.61980450985871,-0.274555245747966,-0.877665456194707,0,0,0
68,-9.61154331407525,-0.265831822059322,-0.87811887673526,0,0,0
69,-9.6140470646231,-0.263600096759627,-0.866973962625996,0,0,0
70,-9.61134177834959,-0.265793854100329,-0.873456114731374,0,0,0
71,-9.61192289009124,-0.268178800474288,-0.867116695254755,0,0,0
72,-9.61091150329202,-0.279239478099823,-0.882329310018645,0,0,0
73,-9.60901967746537,-0.2815968987978,-0.896170676052409,0,0,0
74,-9.61353176681446,-0.281525774888359,-0.893909385541354,0,0,0
75,-9.60610994711095,-0.283748192998371,-0.902506716732833,0,0,0
76,-9.60877124471407,-0.283791968197781,-0.907314091790009,0,0,0
77,-9.61895357851532,-0.287896733711085,-0.904313410525683,0,0,0
78,-9.59938654285479,-0.281618322038814,-0.8934800218005,0,0,0
79,-9.61377581748338,-0.279323580074166,-0.889541060088364,0,0,0
80,-9.61738432255202,-0.272304403516422,-0.873006541653877,0,0,0
81,-9.62234053596034,-0.270066651668312,-0.873298040352677,0,0,0
82,-9.62271575017001,-0.272406463237864,-0.869070977197986,0,0,0
83,-9.6073515114703,-0.25920636158664,-0.8714998336061,0,0,0
84,-9.60997762276253,-0.261502347148475,-0.8740464201419,0,0,0
85,-9.62287917787065,-0.274691630783331,-0.875989737262175,0,0,0
86,-9.61841777280532,-0.258970303051689,-0.880379983167778,0,0,0
87,-9.62055871734429,-0.265675281092486,-0.887146509349936,0,0,0
88,-9.61619911979496,-0.256757430213687,-0.880383817237054,0,0,0
89,-9.61560396016969,-0.267915352022518,-0.884596619731143,0,0,0
90,-9.62062326267198,-0.261161736167761,-0.900701469553682,0,0,0
91,-9.62051474410826,-0.267912996024243,-0.898435980763777,0,0,0
92,-9.61148237857222,-0.281607566011495,-0.891798518640567,0,0,0
93,-9.61579146791781,-0.281496168411952,-0.887132817937166,0,0,0
94,-9.61795814291071,-0.27467737766957,-0.877958972884151,0,0,0
95,-9.62011896366194,-0.267848992661579,-0.877818603931443,0,0,0
96,-9.61754248459269,-0.288146867087576,-0.864248516485815,0,0,0
97,-9.61522057775078,-0.279128068472917,-0.877663631119963,0,0,0
98,-9.60249271299933,-0.26824037110587,-0.866830501897639,0,0,0
99,-9.61157266159605,-0.263570285214309,-0.889413094716061,0,0,0
100,-9.61649222216755,-0.263582263870859,-0.889702251535732,0,0,0
101,-9.6111863607075,-0.274778107929924,-0.886996822605279,0,0,0
102,-9.60464896005048,-0.286226584142544,-0.882764670312597,0,0,0
103,-9.60413972933805,-0.279340208234683,-0.891367151345657,0,0,0
104,-9.60849492678251,-0.28825099956664,-0.904904925026129,0,0,0
105,-9.6113286152181,-0.265772414398308,-0.893781416311806,0,0,0
106,-9.60650940713378,-0.272561659053309,-0.884597716247328,0,0,0
107,-9.60383934507494,-0.272503481101689,-0.893340551282124,0,0,0
108,-9.61326655539968,-0.272437107049436,-0.898143522371079,0,0,0
109,-9.61330029099419,-0.270182695081882,-0.902662625167609,0,0,0
110,-9.61541773137143,-0.279158825617476,-0.889101482689403,0,0,0
111,-9.60690661787568,-0.272628001720664,-0.902956736790517,0,0,0
112,-9.61378692689185,-0.265776011478334,-0.896184367465179,0,0,0
113,-9.61375319165648,-0.268030401749371,-0.89166525630277,0,0,0
114,-9.60767394067731,-0.26376963607984,-0.892112509532274,0,0,0
115,-9.61120917685549,-0.261249443910511,-0.875573202234445,0,0,0
116,-9.61317938778993,-0.265657341971591,-0.886712782398913,0,0,0
117,-9.60269131324487,-0.268273563532703,-0.876010004166444,0,0,0
118,-9.6042006783888,-0.263564223928075,-0.877687548247035,0,0,0
119,-9.61133885320925,-0.265789089722102,-0.877972848415915,0,0,0
120,-9.61181963325065,-0.261372941657863,-0.880528022905552,0,0,0
121,-9.60464185468676,-0.261392928689432,-0.88475707788463,0,0,0
122,-9.6064076220852,-0.265758071980957,-0.895750615331809,0,0,0
123,-9.61391660799808,-0.270315591157205,-0.89858403732312,0,0,0
124,-9.60046095672666,-0.266041644043863,-0.894080806519316,0,0,0
125,-9.61796486255258,-0.261122509719737,-0.891377373103271,0,0,0
126,-9.61367548318508,-0.272522506952165,-0.898435616554203,0,0,0
127,-9.6056582704926,-0.261597166002699,-0.894520762866575,0,0,0
128,-9.60473925095897,-0.268189324907532,-0.88037925474863,0,0,0
129,-9.6048125717158,-0.263690073130761,-0.88038400131559,0,0,0
130,-9.61584508678046,-0.265708437143557,-0.884745027374695,0,0,0
131,-9.6090439568728,-0.268070715090547,-0.882488669589541,0,0,0
132,-9.61376489222867,-0.268049459279975,-0.873598304787056,0,0,0
133,-9.61121629581256,-0.286083219437444,-0.873580779305011,0,0,0
134,-9.60984629509956,-0.281781812843433,-0.883204595500396,0,0,0
135,-9.60942206402635,-0.27041530147645,-0.873744877495029,0,0,0
136,-9.60255579575549,-0.263724443989819,-0.88264383104085,0,0,0
137,-9.6119874346952,-0.26366529893375,-0.880671680579033,0,0,0
138,-9.60879025812622,-0.283822936656255,-0.877955322840496,0,0,0
139,-9.60011718047463,-0.275009326482131,-0.882633425409245,0,0,0
140,-9.6086013059518,-0.270239693435299,-0.877677506732641,0,0,0
141,-9.61518245427434,-0.281375344734663,-0.879919620450017,0,0,0
142,-9.60905341270074,-0.279342508526763,-0.900689787214818,0,0,0
143,-9.60294187574949,-0.277338320233346,-0.894359566850796,0,0,0
144,-9.5977812334714,-0.279533420352657,-0.893921984325401,0,0,0
145,-9.60698578891861,-0.268138278709195,-0.89392800759962,0,0,0
146,-9.6046799778122,-0.259145674137477,-0.882501084337289,0,0,0
147,-9.60230591008454,-0.265917044231605,-0.896045626290138,0,0,0
148,-9.61388579808805,-0.272574734967059,-0.889548179904456,0,0,0
149,-9.60257255720291,-0.275008115478583,-0.889553110570301,0,0,0
150,-9.61381832797646,-0.277083493812615,-0.880509949213761,0,0,0
151,-9.60640615951775,-0.265755689796268,-0.898008977979691,0,0,0
152,-9.60217770730219,-0.261379780445489,-0.89138759857892,0,0,0
