Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.28335935740686,1.09256529763461,-3.37524919788688,0,0,0
1,-9.26839178042755,1.10130447059604,-3.39530286117654,0,0,0
2,-9.25185774481693,1.06096755013414,-3.4064876640223,0,0,0
3,-9.25494887468179,1.07169713871507,-3.39903683031361,0,0,0
4,-9.2577357523333,1.06431579118469,-3.38416851779507,0,0,0
5,-9.26161412830234,1.05663612467389,-3.37451836766492,0,0,0
6,-9.26370597323186,1.04841865115041,-3.37453050658945,0,0,0
7,-9.25770034707535,1.04288545021511,-3.37304416674126,0,0,0
8,-9.25252568286629,1.04802927083233,-3.37675076373295,0,0,0
9,-9.25310198193422,1.05051272682562,-3.37376718306083,0,0,0
10,-9.25700037812783,1.05278207541919,-3.37897960675344,0,0,0
11,-9.25614180576514,1.04903278357967,-3.3893968996244,0,0,0
12,-9.25943954135581,1.04730872360504,-3.39759478675314,0,0,0
13,-9.26137111278896,1.04920638679906,-3.40056147629014,0,0,0
14,-9.26202026430325,1.04625561782256,-3.39535708649157,0,0,0
15,-9.26512927353995,1.05390456093222,-3.39609503464226,0,0,0
16,-9.26025068901082,1.05417010569008,-3.39461029953939,0,0,0
17,-9.2616273807191,1.05203011392567,-3.39535629107834,0,0,0
18,-9.25622579968306,1.04665654934205,-3.39758630862793,0,0,0
19,-9.25832907677163,1.0322970832396,-3.39835286235367,0,0,0
20,-9.25661948231826,1.02708598457936,-3.40058570571863,0,0,0
21,-9.2589224889181,1.02480276237635,-3.40431337347377,0,0,0
22,-9.25811568472732,1.02866653068973,-3.40430447799219,0,0,0
23,-9.25807620710588,1.02716832216147,-3.39463485583047,0,0,0
24,-9.25519692284102,1.0269685242333,-3.393890802479,0,0,0
25,-9.25740450655643,1.03320328431328,-3.38867463841007,0,0,0
26,-9.25758315019321,1.0376339053926,-3.38718429365996,0,0,0
27,-9.26230131994711,1.04369140876396,-3.39164935237594,0,0,0
28,-9.25608559024876,1.05061428575858,-3.37228246877332,0,0,0
29,-9.26007341156333,1.06045900947697,-3.35665484438924,0,0,0
30,-9.25892586735683,1.06928329874095,-3.3633432068324,0,0,0
31,-9.25355835237172,1.07920808056964,-3.36926846120834,0,0,0
32,-9.26057090614816,1.08758446718734,-3.35959908568911,0,0,0
33,-9.26884693450254,1.08702890819555,-3.34845213604132,0,0,0
34,-9.27561505587734,1.07954131658224,-3.34624166705712,0,0,0
35,-9.27313146911326,1.07049803726151,-3.34401574577154,0,0,0
