Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.71933037558632,0.943169999012342,-1.48208624199497,0,0,0
1,-9.71861456835167,0.93905922673253,-1.47762930720072,0,0,0
2,-9.72159901977873,0.940826083317072,-1.46944608586151,0,0,0
3,-9.72318270004082,0.944572562688817,-1.45679664889674,0,0,0
4,-9.72165799476688,0.944551640948609,-1.45381829268658,0,0,0
5,-9.72002618629862,0.94328116248944,-1.45530289030059,0,0,0
6,-9.72012425136301,0.950081313274351,-1.44785466512974,0,0,0
7,-9.7223264097372,0.947984261374746,-1.45009154042374,0,0,0
8,-9.72324266811503,0.950687032421804,-1.44711663124062,0,0,0
9,-9.72542492039302,0.950995336415726,-1.44190938024958,0,0,0
10,-9.72319549399583,0.95082141166479,-1.44562721701548,0,0,0
11,-9.72095619652973,0.949891122058579,-1.45083397102296,0,0,0
12,-9.71638018992168,0.951455530009807,-1.45379956797559,0,0,0
13,-9.71558513415367,0.94760146135616,-1.45603568141501,0,0,0
14,-9.72009134738934,0.943896879701541,-1.46051136898884,0,0,0
15,-9.71938623987833,0.94532111638873,-1.46571703077651,0,0,0
16,-9.71715389957183,0.944385447869501,-1.47538778347668,0,0,0
17,-9.7186960619555,0.949123404224436,-1.4857984014701,0,0,0
18,-9.72088662467358,0.945507261096187,-1.49622102895449,0,0,0
19,-9.72023428350036,0.9459799749535,-1.4999418325646,0,0,0
20,-9.71864906360692,0.945339736293075,-1.49473094459084,0,0,0
21,-9.72008037672796,0.944815744166122,-1.48878008570062,0,0,0
22,-9.72173423344247,0.9475971187997,-1.48580571345209,0,0,0
23,-9.71866799565484,0.946804348550898,-1.47687394048452,0,0,0
24,-9.71855948371686,0.9400124582391,-1.4776262136301,0,0,0
25,-9.72236331736026,0.942411893545177,-1.47093270204735,0,0,0
26,-9.71940285873841,0.94525939392411,-1.46199777053301,0,0,0
27,-9.72090107995838,0.944585670916449,-1.47018429683719,0,0,0
28,-9.72092814859214,0.944515791580293,-1.47316100237576,0,0,0
29,-9.71851289167599,0.940910362471242,-1.46869590384857,0,0,0
30,-9.72091326583423,0.94534022464757,-1.47018337711926,0,0,0
31,-9.72084810375106,0.94472452469645,-1.46497488822847,0,0,0
32,-9.72310497952049,0.943251318618585,-1.46572428110047,0,0,0
33,-9.72377314711433,0.941140542147168,-1.45903083694393,0,0,0
34,-9.72232115514995,0.942493550491981,-1.45828406403807,0,0,0
35,-9.72011571926053,0.945405994563715,-1.46050952954395,0,0,0
36,-9.71629446939443,0.943020145409388,-1.45604310156062,0,0,0
37,-9.71779153067014,0.94234731496967,-1.46348563158289,0,0,0
38,-9.71713458046122,0.947554301730428,-1.46050274347694,0,0,0
39,-9.71864688719213,0.946008016745557,-1.45678769275125,0,0,0
40,-9.7187021816461,0.945867338337348,-1.46348509427882,0,0,0
41,-9.72091578944116,0.947679220977791,-1.46273994262165,0,0,0
42,-9.71858215216279,0.947017650556389,-1.46496785127525,0,0,0
