Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.48067494162,0.608428922404721,-1.33975494929291,0,0,0
1,-9.48793688258094,0.608265860974435,-1.35133655385568,0,0,0
2,-9.48345627095338,0.610449978851877,-1.36037649779275,0,0,0
3,-9.48247980201456,0.613282976298495,-1.37334537023559,0,0,0
4,-9.47884180309094,0.619509183296542,-1.35798388971351,0,0,0
5,-9.48629033864419,0.614692875023373,-1.35615516032959,0,0,0
6,-9.49878790335828,0.613228782668546,-1.34878263785753,0,0,0
7,-9.48798522029266,0.610494907478929,-1.33326962516321,0,0,0
8,-9.49220011002654,0.608477239624912,-1.34666996280696,0,0,0
9,-9.49115910253887,0.606799592973617,-1.34608221823826,0,0,0
10,-9.4914526818943,0.608895593138984,-1.3371963161457,0,0,0
11,-9.49363509635062,0.604436052432626,-1.33719011166508,0,0,0
12,-9.49214000327894,0.6039595624047,-1.32633727537794,0,0,0
13,-9.48490153138109,0.606392164774008,-1.33508600594801,0,0,0
14,-9.4837556922116,0.612536379861558,-1.34245590904674,0,0,0
15,-9.49607250233116,0.615715943682756,-1.339459163427,0,0,0
16,-9.48998982703194,0.610674302722494,-1.33312183283556,0,0,0
17,-9.48618774667222,0.607936708073978,-1.34485471165142,0,0,0
18,-9.48296873295477,0.610711427356369,-1.33749720161273,0,0,0
19,-9.4836765702765,0.608049718554417,-1.35148582428377,0,0,0
20,-9.47848374440666,0.612902714590423,-1.35331310384476,0,0,0
21,-9.47404855666121,0.617320687573125,-1.34880345261007,0,0,0
22,-9.48567533343465,0.608238631658848,-1.36037266507718,0,0,0
23,-9.48112437609373,0.60592177150875,-1.36489054055981,0,0,0
24,-9.48789147039258,0.60603204946788,-1.36488615745488,0,0,0
25,-9.48387785463946,0.605680453922794,-1.37195780192451,0,0,0
26,-9.48591764349376,0.608110302951337,-1.37407100968528,0,0,0
27,-9.49015691564455,0.621941097036612,-1.35797895623957,0,0,0
28,-9.49247906335184,0.610597016130718,-1.36037065365284,0,0,0
29,-9.48582333866972,0.617228675208775,-1.3581234892529,0,0,0
30,-9.49707104459612,0.615154835290464,-1.3490791622109,0,0,0
31,-9.48371613124405,0.610293049207987,-1.34697086666526,0,0,0
32,-9.48826270561761,0.612617046100269,-1.34922898090471,0,0,0
33,-9.49059752840026,0.617140466771901,-1.34019760463092,0,0,0
34,-9.48730376583259,0.615421480242532,-1.33509403177812,0,0,0
35,-9.49227338161696,0.612973474355757,-1.34667470619103,0,0,0
36,-9.48776345367391,0.61289757330708,-1.34441896780799,0,0,0
37,-9.49437960826719,0.604022529166633,-1.35118107928857,0,0,0
38,-9.48836871697405,0.603479680373959,-1.34710717403853,0,0,0
39,-9.49703344920645,0.59702026642811,-1.34243054114224,0,0,0
40,-9.48363408378289,0.605811152907332,-1.36051811118994,0,0,0
41,-9.49248198887518,0.610592251128657,-1.35585332855958,0,0,0
42,-9.49026000087058,0.612808363323748,-1.36037448636841,0,0,0
43,-9.49459357199718,0.617520763354444,-1.36022995123854,0,0,0
44,-9.49957491977079,0.615053703589267,-1.35374137667772,0,0,0
45,-9.49019696896557,0.608295472791053,-1.3445591051808,0,0,0
46,-9.48827148219578,0.612602751080811,-1.33567699304175,0,0,0
47,-9.48536950668782,0.619743081955547,-1.3397638857475,0,0,0
48,-9.49009973441756,0.617418654818762,-1.33312894791167,0,0,0
49,-9.48103154065376,0.615037795346533,-1.34668438304905,0,0,0
50,-9.49022629077557,0.610555491808947,-1.35585478959455,0,0,0
51,-9.48274112239609,0.61312364774495,-1.35768114467296,0,0,0
52,-9.49430584032809,0.615415304909386,-1.36008122338507,0,0,0
53,-9.48922192906231,0.611126043859326,-1.35526938216279,0,0,0
54,-9.49008510681444,0.617442479806948,-1.35571555240605,0,0,0
55,-9.49094611057949,0.609188003311311,-1.34367959748271,0,0,0
56,-9.49180929451383,0.615504528590844,-1.34412573473905,0,0,0
57,-9.48392765478358,0.607907096181071,-1.35163217291302,0,0,0
58,-9.49001037246372,0.612948627574921,-1.35796946947142,0,0,0
59,-9.49068598898371,0.608031669441618,-1.36517979024353,0,0,0
60,-9.49519593341029,0.608107570765617,-1.36743553490748,0,0,0
61,-9.49948848402055,0.61057895479834,-1.37406461513388,0,0,0
62,-9.48416996330846,0.607778770260948,-1.36533053484268,0,0,0
63,-9.47872604466407,0.612774361195549,-1.36701141643515,0,0,0
64,-9.48771950407714,0.61066136843575,-1.35570989836314,0,0,0
65,-9.49859740970319,0.602000054061048,-1.36006407110132,0,0,0
66,-9.48822607017612,0.610368950440212,-1.34922660923557,0,0,0
67,-9.4851570046502,0.60624240016388,-1.32845636376537,0,0,0
