Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.67032203304832,-0.168950763061875,-2.19529374047074,0,0,0
1,-9.67584911215737,-0.176789595928439,-2.20871075405308,0,0,0
2,-9.68002236326744,-0.184720266286623,-2.21988023148714,0,0,0
3,-9.6890579718826,-0.192931425524979,-2.22734523423652,0,0,0
4,-9.70584470592872,-0.195051480195894,-2.21993756165665,0,0,0
5,-9.71415103709103,-0.188700476931831,-2.22217100777966,0,0,0
6,-9.71353009604052,-0.181955630862061,-2.21621087744636,0,0,0
7,-9.71385516238148,-0.166184890864742,-2.21098587495318,0,0,0
8,-9.70182818918209,-0.1519299998834,-2.1968120870774,0,0,0
9,-9.68602780446953,-0.138536189015059,-2.18263432806181,0,0,0
10,-9.68454607255526,-0.142442805325355,-2.19677386732244,0,0,0
11,-9.67071786370319,-0.148648426063672,-2.18857528010055,0,0,0
12,-9.65611034809691,-0.152542921581342,-2.16921232156664,0,0,0
13,-9.64001353160282,-0.161102588835666,-2.16696565433028,0,0,0
14,-9.63084384679749,-0.16964972102667,-2.17142733277435,0,0,0
15,-9.62996544113346,-0.177214321624704,-2.17366723415633,0,0,0
16,-9.6419545255734,-0.178354866485883,-2.17889172823666,0,0,0
17,-9.67103657144397,-0.177341887564048,-2.20274670754408,0,0,0
18,-9.69977046616848,-0.179776283195077,-2.21543972011147,0,0,0
19,-9.70883394199674,-0.186480330742387,-2.22513475793002,0,0,0
20,-9.71415884209866,-0.191014673310364,-2.22589460881109,0,0,0
21,-9.71632874320513,-0.194699745857559,-2.21920608179547,0,0,0
22,-9.70555719708727,-0.189360547804589,-2.21694597157649,0,0,0
23,-9.68741366964256,-0.192050390647394,-2.21394754589737,0,0,0
24,-9.67369915986022,-0.197609919860543,-2.2213732787545,0,0,0
25,-9.66775031332926,-0.192473535986097,-2.22582214899285,0,0,0
26,-9.66637503574145,-0.191126100877008,-2.22879688530727,0,0,0
27,-9.66276441188089,-0.172179035918942,-2.2287648467673,0,0,0
28,-9.66295701898948,-0.16547868868264,-2.2324784440724,0,0,0
29,-9.66598344865516,-0.159258778052763,-2.23544856280486,0,0,0
30,-9.66672331433269,-0.161539100816472,-2.22131827934085,0,0,0
31,-9.66829723802597,-0.1577342920519,-2.21685228161353,0,0,0
32,-9.67663464689227,-0.162962978060964,-2.20794628372896,0,0,0
33,-9.68731386435861,-0.162836968722994,-2.2087078762162,0,0,0
34,-9.67875338514862,-0.162741074434024,-2.20348197329466,0,0,0
35,-9.67794442840574,-0.162700275370428,-2.1967841185857,0,0,0
36,-9.67489493357107,-0.16657911307208,-2.20496856602358,0,0,0
37,-9.67504772236479,-0.165213843322438,-2.21315337873025,0,0,0
38,-9.68180343979231,-0.173461877340515,-2.22061482381101,0,0,0
39,-9.68017390053086,-0.174900288592245,-2.21540449998275,0,0,0
40,-9.67328220126294,-0.181100725316861,-2.2198659869654,0,0,0
41,-9.6703787845761,-0.172847063712857,-2.22133904405451,0,0,0
42,-9.67108918088386,-0.172016829533702,-2.20645904960832,0,0,0
43,-9.6764984339793,-0.174338534607618,-2.21316884926558,0,0,0
44,-9.68467909923207,-0.179370942730339,-2.22732052048333,0,0,0
45,-9.68323894606019,-0.177179063044279,-2.23029226862875,0,0,0
46,-9.68331384517652,-0.171886177739988,-2.22359017135907,0,0,0
47,-9.67272624192594,-0.172877773435843,-2.23994268498825,0,0,0
48,-9.68395048634716,-0.17787872725982,-2.23178126269539,0,0,0
49,-9.68098971391571,-0.178798241695976,-2.21615733607645,0,0,0
50,-9.68254064146463,-0.18110604288125,-2.23476256483946,0,0,0
51,-9.67702558953613,-0.17942214892144,-2.24218580927872,0,0,0
52,-9.68319980392516,-0.179427223367777,-2.25335679899185,0,0,0
53,-9.68714882934835,-0.17107303541651,-2.26302410543127,0,0,0
54,-9.69175853976697,-0.167980444932282,-2.2637715020877,0,0,0
55,-9.6895909446066,-0.162768357356329,-2.25632293401932,0,0,0
56,-9.69284285845278,-0.155284549709104,-2.23995443500413,0,0,0
57,-9.67662711758295,-0.154473585643439,-2.24066529460214,0,0,0
58,-9.66691896546052,-0.151753577341081,-2.24511308270562,0,0,0
59,-9.66389965010252,-0.152598064000269,-2.24139049145239,0,0,0
60,-9.66362322052489,-0.162275994873068,-2.23991141333824,0,0,0
61,-9.66663505509164,-0.169115039098419,-2.24290236339995,0,0,0
62,-9.66441677878771,-0.173066708117662,-2.24737030156902,0,0,0
63,-9.6595616699896,-0.173575021993433,-2.24214908097954,0,0,0
64,-9.66278124165163,-0.172956667595547,-2.24736480308396,0,0,0
65,-9.66715430621597,-0.174975848722202,-2.25332218471003,0,0,0
66,-9.67944178606512,-0.17799226108376,-2.2645084501415,0,0,0
67,-9.68782389368143,-0.170185681176057,-2.27492459350112,0,0,0
68,-9.68100653799631,-0.170328321548052,-2.26449952142046,0,0,0
69,-9.67738216965425,-0.166748599959048,-2.26374817636735,0,0,0
70,-9.68885269414781,-0.165105825564039,-2.26897290960964,0,0,0
71,-9.69272543428727,-0.157441792772303,-2.26227293060187,0,0,0
72,-9.70258116299247,-0.15802813429518,-2.25484965149181,0,0,0
73,-9.70019502207404,-0.164862320673744,-2.25708626062902,0,0,0
