Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.33560598130239,-0.394194333243822,-5.42974066396063,0,0,0
1,-8.33876211550088,-0.391972102586501,-5.43272324608772,0,0,0
2,-8.33648241034623,-0.38970129918484,-5.43345853629673,0,0,0
3,-8.33943826567264,-0.387249406549362,-5.42824565686082,0,0,0
4,-8.3334910252392,-0.387509789263452,-5.41708605800299,0,0,0
5,-8.33192984989565,-0.389795303061526,-5.41411056712307,0,0,0
6,-8.33935188934948,-0.394855196557042,-5.40296462465114,0,0,0
7,-8.33787512653144,-0.401086990440183,-5.39702724406708,0,0,0
8,-8.33951630694747,-0.40043651614756,-5.39480382005023,0,0,0
9,-8.33773475495749,-0.402462363682427,-5.39479013795949,0,0,0
10,-8.3430296435561,-0.404650120883755,-5.40224089517717,0,0,0
11,-8.34386289460524,-0.40548859390814,-5.40894342827239,0,0,0
12,-8.34476174575356,-0.402556409921011,-5.41861725483238,0,0,0
13,-8.3422163557844,-0.403048245073565,-5.42454988072212,0,0,0
14,-8.34003013031025,-0.407038499235861,-5.42753623169413,0,0,0
15,-8.3401822431207,-0.409523196522665,-5.42829475615985,0,0,0
16,-8.33923984534914,-0.403176015054639,-5.41711015977292,0,0,0
17,-8.34240214584186,-0.402501857933075,-5.41563310655181,0,0,0
18,-8.33928628760135,-0.400154713943338,-5.41561854103841,0,0,0
19,-8.34020917637048,-0.404179089319376,-5.41489447861187,0,0,0
20,-8.33785120442456,-0.399510353872462,-5.41413201669959,0,0,0
21,-8.33500645112338,-0.392861670562899,-5.42081943140158,0,0,0
22,-8.34032387269793,-0.388922657258981,-5.42825811914452,0,0,0
23,-8.33581263983148,-0.392135744358678,-5.41859014115534,0,0,0
24,-8.3349680252209,-0.390509233862962,-5.42081195933287,0,0,0
25,-8.33492704348151,-0.390462580412534,-5.41857769503691,0,0,0
26,-8.33195248892828,-0.389048598834432,-5.42080537498004,0,0,0
27,-8.33345305605672,-0.392081088538125,-5.41560599277107,0,0,0
28,-8.33572173318661,-0.395107621515165,-5.41561558497947,0,0,0
29,-8.3369671114023,-0.399381892245148,-5.40668408295826,0,0,0
30,-8.33944268763737,-0.399570863148266,-5.41190718376657,0,0,0
31,-8.34097786623971,-0.403409245940243,-5.41266283155718,0,0,0
32,-8.34394139250521,-0.405579030157915,-5.41118004214217,0,0,0
33,-8.34470566328124,-0.402498030070186,-5.40671137368246,0,0,0
34,-8.35070758279568,-0.40154544373572,-5.39704363489633,0,0,0
35,-8.35018937241907,-0.395689891863617,-5.39332461712356,0,0,0
36,-8.35022652598269,-0.392661425933952,-5.38588122674349,0,0,0
37,-8.34319683714609,-0.392550468439025,-5.38437090641688,0,0,0
38,-8.34247552434279,-0.392607570771927,-5.38511603093491,0,0,0
39,-8.34319196295027,-0.396383220407855,-5.39628136404808,0,0,0
40,-8.34241479519315,-0.39560306894316,-5.40148469845888,0,0,0
41,-8.3432089224753,-0.401011956165629,-5.40596319103398,0,0,0
42,-8.34306179714908,-0.401603090362086,-5.41562631143972,0,0,0
43,-8.34244974827879,-0.399481507919602,-5.4148854561017,0,0,0
44,-8.33403296405954,-0.398778404419685,-5.41858663011199,0,0,0
45,-8.33103101966831,-0.394256187077024,-5.42006194870891,0,0,0
46,-8.33484611626943,-0.398057879145047,-5.42082116030048,0,0,0
47,-8.33171877624801,-0.401081642995419,-5.42007377122746,0,0,0
48,-8.3302682437291,-0.398881851214467,-5.41709511529508,0,0,0
49,-8.32792899043021,-0.398078733968372,-5.41931783593033,0,0,0
50,-8.33649332296394,-0.395104414997484,-5.42305647491696,0,0,0
