Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.51352455505875,-0.538557849111344,-1.06373621819627,0,0,0
1,-9.52083914792143,-0.529821351195595,-1.06845370313091,0,0,0
2,-9.51625757561028,-0.534396561038103,-1.06393469428811,0,0,0
3,-9.51859231680475,-0.529872403605709,-1.05490360407178,0,0,0
4,-9.51134223675358,-0.53409763415042,-1.06374242333157,0,0,0
5,-9.51178153951252,-0.53221922964267,-1.06619858163823,0,0,0
6,-9.50908956025994,-0.534139156750008,-1.05922670601457,0,0,0
7,-9.51122938590022,-0.540838328373165,-1.06825248537732,0,0,0
8,-9.51805608381761,-0.549915293933815,-1.0615604410408,0,0,0
9,-9.50659233516283,-0.536233422682669,-1.06364537699861,0,0,0
10,-9.5089563975797,-0.529448790925677,-1.06590961935364,0,0,0
11,-9.51122938590022,-0.540838328373165,-1.06825248537732,0,0,0
12,-9.50644284179639,-0.545222646677222,-1.06815306272287,0,0,0
13,-9.50881421777713,-0.538449927027191,-1.05912436983966,0,0,0
14,-9.50659526058838,-0.536238187525454,-1.05912820290332,0,0,0
15,-9.51143876176511,-0.541036430161055,-1.05705712975955,0,0,0
16,-9.5094951415075,-0.534513981848011,-1.05716329719915,0,0,0
17,-9.50732159330012,-0.530068104955555,-1.04361794225684,0,0,0
18,-9.5074811580757,-0.532493269327313,-1.05274752978851,0,0,0
19,-9.50639466786051,-0.536054354740052,-1.05677202613193,0,0,0
20,-9.50679585381553,-0.536422018435433,-1.06148438405078,0,0,0
21,-9.50870575453424,-0.545197801076585,-1.05685866651374,0,0,0
22,-9.5111841310451,-0.531674824955767,-1.0523542640041,0,0,0
23,-9.50433673598886,-0.536270180390267,-1.06364683796952,0,0,0
24,-9.51144923675041,-0.527347410233258,-1.06826671786518,0,0,0
25,-9.50895493486692,-0.529446408504285,-1.06816820640129,0,0,0
26,-9.50652368397183,-0.527031733461821,-1.08388453395419,0,0,0
27,-9.5039358074367,-0.522196526290608,-1.08595409078651,0,0,0
28,-9.50691146255501,-0.541083739071391,-1.08190455537085,0,0,0
29,-9.50876294866415,-0.540674600022602,-1.08170786822337,0,0,0
30,-9.50709905885903,-0.529848508829002,-1.07514064199406,0,0,0
31,-9.51774154618061,-0.531366403044393,-1.0635452203461,0,0,0
32,-9.51134077403945,-0.534095251726816,-1.06600101247641,0,0,0
33,-9.50888165089648,-0.533943402922953,-1.06816346221577,0,0,0
34,-9.51102878682755,-0.54065451926475,-1.06589629791894,0,0,0
35,-9.50875726534995,-0.529267308052822,-1.06129485137634,0,0,0
36,-9.52298775640895,-0.536534752163567,-1.06392793930098,0,0,0
37,-9.51794361500314,-0.531552639726013,-1.06364281632963,0,0,0
38,-9.50451702048943,-0.525022929500811,-1.06817587252861,0,0,0
39,-9.50945264918545,-0.53675291678718,-1.06619529849765,0,0,0
40,-9.50214271908313,-0.531790884308058,-1.08172173950711,0,0,0
41,-9.50714155135251,-0.5276095630283,-1.06610864909578,0,0,0
42,-9.51216680848684,-0.521163189979417,-1.06630804068582,0,0,0
43,-9.51620353709436,-0.525218821187328,-1.06158799478373,0,0,0
44,-9.5205315382765,-0.536387683112848,-1.0615732124855,0,0,0
45,-9.50712375885837,-0.54128660393169,-1.06619201535706,0,0,0
46,-9.50897378397831,-0.540875086125543,-1.06825394635,0,0,0
47,-9.50648387191994,-0.542981296732064,-1.06137967367269,0,0,0
48,-9.50131250817138,-0.533318289918026,-1.05874313077574,0,0,0
49,-9.5081877380887,-0.526460013059859,-1.06100444295894,0,0,0
50,-9.50624998151318,-0.519946975171306,-1.05207629060709,0,0,0
51,-9.51544215521819,-0.52224190578675,-1.04538991114815,0,0,0
52,-9.51573343409104,-0.52935519475263,-1.05009512710741,0,0,0
53,-9.51787618188379,-0.53605916383025,-1.05460372395353,0,0,0
54,-9.50457835641613,-0.534212672254765,-1.05922962795993,0,0,0
55,-9.50925058949631,-0.536566707247012,-1.06609769984188,0,0,0
56,-9.50703162645798,-0.534354989540204,-1.0661015328862,0,0,0
57,-9.50679731652967,-0.536424400859037,-1.05922579490594,0,0,0
58,-9.51093226389474,-0.53371565441814,-1.07258157095106,0,0,0
59,-9.51294769227569,-0.535738805472407,-1.0747387165139,0,0,0
60,-9.51933796606983,-0.546699257281358,-1.06107338231269,0,0,0
61,-9.51007543663705,-0.548906279319511,-1.06323783926846,0,0,0
62,-9.51491746079257,-0.553702111256815,-1.06342536435501,0,0,0
63,-9.51557662716072,-0.538332506640221,-1.0658957480699,0,0,0
64,-9.50829871182408,-0.544820690869088,-1.0611806528664,0,0,0
65,-9.5157816196948,-0.53852347378257,-1.06147616807875,0,0,0
66,-9.51097475690249,-0.531476676032843,-1.06354960325346,0,0,0
67,-9.51138180399021,-0.531853912640978,-1.0592276171232,0,0,0
68,-9.50868544373721,-0.533766706596037,-1.05903152221747,0,0,0
69,-9.51151959493888,-0.522845672672747,-1.07278864031748,0,0,0
