Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.70720361367425,-1.2246521871378,-0.683524488945132,0,0,0
1,-9.7076744173228,-1.211398513761,-0.66977267211026,0,0,0
2,-9.69615634198749,-1.2136434990154,-0.669768223764129,0,0,0
3,-9.707433869146,-1.22028483189656,-0.665187127382454,0,0,0
4,-9.70986291050164,-1.2068128771538,-0.639972969894458,0,0,0
5,-9.70316357741678,-1.2069440345095,-0.626217501109449,0,0,0
6,-9.70310305376573,-1.20690679056215,-0.617048016324862,0,0,0
7,-9.70330361336842,-1.20026219975455,-0.589541158873883,0,0,0
8,-9.70795306226453,-1.19351742506901,-0.578081434316515,0,0,0
9,-9.71237043177766,-1.16175012525551,-0.5941277898122,0,0,0
10,-9.71504355251607,-1.14842764716442,-0.612468413494368,0,0,0
11,-9.7059742267579,-1.14171446811329,-0.669772789659305,0,0,0
12,-9.70362520341112,-1.16653958251148,-0.704156855000155,0,0,0
13,-9.68715669105616,-1.22280221438941,-0.71331964579932,0,0,0
14,-9.68214013938476,-1.24739577334067,-0.708731854645275,0,0,0
15,-9.68467811086644,-1.24755218634575,-0.699564801396784,0,0,0
16,-9.68715864645772,-1.22280193876655,-0.720196555736102,0,0,0
17,-9.69591801522811,-1.23156510840159,-0.699567423904992,0,0,0
18,-9.69051110131765,-1.22878798612365,-0.667469397334662,0,0,0
19,-9.69514772749075,-1.23559811695969,-0.651425531428985,0,0,0
20,-9.70675674329589,-1.22211356139185,-0.633091773155817,0,0,0
21,-9.69995317323995,-1.21313199523092,-0.633089388863979,0,0,0
22,-9.69982532315054,-1.22661252010645,-0.630796833339401,0,0,0
23,-9.70431331368884,-1.21975271359439,-0.66288988455665,0,0,0
24,-9.70413329012502,-1.22867701398465,-0.667473815158494,0,0,0
25,-9.70945264830538,-1.18619632322202,-0.665185663780305,0,0,0
26,-9.7072181403784,-1.17267044267795,-0.683523013153639,0,0,0
27,-9.70483407808418,-1.1748644538954,-0.73165972597012,0,0,0
28,-9.70300327446953,-1.17063964330858,-0.770630134837687,0,0,0
29,-9.69809327753095,-1.17495570084032,-0.775211263959248,0,0,0
30,-9.69792371456691,-1.19971493107618,-0.761457533854922,0,0,0
31,-9.70025140227588,-1.20651888728868,-0.74541283547406,0,0,0
32,-9.70668556820275,-1.22431400661975,-0.694983292929927,0,0,0
33,-9.70713569159758,-1.20426290168877,-0.690400410987675,0,0,0
34,-9.70910641912607,-1.1859698184537,-0.669768511092156,0,0,0
35,-9.69831229227775,-1.16607211385537,-0.704151324554083,0,0,0
36,-9.68403371617539,-1.22450680695802,-0.809590450567165,0,0,0
37,-9.68006251313833,-1.20231567648266,-0.777499355000103,0,0,0
38,-9.70568751779854,-1.20030410107007,-0.649142296098948,0,0,0
39,-9.72714874414439,-1.24454169706831,-0.552868314482391,0,0,0
40,-9.73401063612132,-1.24000698373113,-0.513901531655135,0,0,0
41,-9.72012433822778,-1.24672660702579,-0.523065481465826,0,0,0
42,-9.70209303264358,-1.22886097157666,-0.594120985127866,0,0,0
43,-9.6907664948869,-1.23121644989453,-0.656009294784286,0,0,0
44,-9.69994501540786,-1.21085124900973,-0.699565590222304,0,0,0
45,-9.695875682592,-1.18858249265422,-0.729365595131776,0,0,0
46,-9.70079066863048,-1.17522929965292,-0.71561490110499,0,0,0
47,-9.7025107109629,-1.19745066397147,-0.747705484764769,0,0,0
48,-9.69566320662257,-1.21330132075416,-0.768334215190147,0,0,0
49,-9.69771492111417,-1.21539732347273,-0.78667209644891,0,0,0
50,-9.69575967167127,-1.20657941283533,-0.782088242249486,0,0,0
51,-9.70001649644301,-1.20636887600347,-0.733950107377786,0,0,0
52,-9.6979261187764,-1.20651456488031,-0.688104574821677,0,0,0
53,-9.70494670867435,-1.19077694176913,-0.66518449145381,0,0,0
54,-9.70490803568243,-1.19301849648077,-0.637676886358289,0,0,0
55,-9.70527601835072,-1.1796877518591,-0.669770394692553,0,0,0
56,-9.70508107105847,-1.1772954539294,-0.690399954701895,0,0,0
57,-9.69845527233864,-1.17294420416136,-0.71790602711309,0,0,0
58,-9.70523427226181,-1.17512962156555,-0.713323579203072,0,0,0
