Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.65588831630017,-0.30048497778006,-2.32263136798842,0,0,0
1,-9.65370297313751,-0.305187597322296,-2.32561244577339,0,0,0
2,-9.65139431678676,-0.305200397692316,-2.34197480541636,0,0,0
3,-9.65826812800107,-0.304352128786612,-2.35611970928395,0,0,0
4,-9.65596726533355,-0.299017500167063,-2.35759539625866,0,0,0
5,-9.65025308000741,-0.290997206067047,-2.36650770253026,0,0,0
6,-9.65246548207801,-0.288610826508876,-2.36948208977695,0,0,0
7,-9.65560991232585,-0.28788210364543,-2.35907276439947,0,0,0
8,-9.65935718426146,-0.293897753360163,-2.35313551954915,0,0,0
9,-9.65407467850295,-0.290954488768702,-2.34568397438003,0,0,0
10,-9.65468879099309,-0.292354240835897,-2.33750127592602,0,0,0
11,-9.65914863086879,-0.298319066927572,-2.33602784317315,0,0,0
12,-9.65689303643696,-0.306789513662204,-2.33306189066169,0,0,0
13,-9.65745952871039,-0.311210445520244,-2.32562683656747,0,0,0
14,-9.65575452481318,-0.312615080784544,-2.32711092000265,0,0,0
15,-9.65219245792124,-0.312103479768786,-2.33231615904995,0,0,0
16,-9.6512621704051,-0.309683057430402,-2.33900340223824,0,0,0
17,-9.65079472604891,-0.301518193359661,-2.3360195811741,0,0,0
18,-9.65315238828639,-0.296954814725616,-2.3389934409342,0,0,0
19,-9.65392105162397,-0.296184790580355,-2.33676183895765,0,0,0
20,-9.65270618413265,-0.291102070889682,-2.33824535159012,0,0,0
21,-9.65307911772567,-0.296129897393588,-2.35386941809509,0,0,0
22,-9.65394228680711,-0.30002569689188,-2.35462249232142,0,0,0
23,-9.65067442045162,-0.304479392694174,-2.35982762570025,0,0,0
24,-9.65307375296765,-0.306834122594332,-2.35537354517964,0,0,0
25,-9.65123419376065,-0.305835333808962,-2.35164381669548,0,0,0
26,-9.6516888984145,-0.301613833677319,-2.35239001584941,0,0,0
27,-9.65065410057726,-0.305228084343571,-2.35462085908741,0,0,0
28,-9.65221673511944,-0.305238437242902,-2.3471847856867,0,0,0
29,-9.65140743268737,-0.307505840970868,-2.33900284918999,0,0,0
30,-9.65293349716785,-0.308252172945937,-2.31594461279475,0,0,0
31,-9.65070182954197,-0.30603296590504,-2.32337785281764,0,0,0
32,-9.65249681228382,-0.300876016186838,-2.34048808202601,0,0,0
33,-9.65768399066448,-0.302977187336315,-2.34868045389504,0,0,0
34,-9.65844882017251,-0.299908974379786,-2.35537245372749,0,0,0
35,-9.6576325433812,-0.303700029314845,-2.35835169279431,0,0,0
