Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.36336429326085,-0.771846109485035,-3.8605786184292,0,0,0
1,-9.30021230266076,-0.732123520323499,-3.90283382264725,0,0,0
2,-9.23827902213008,-0.708205449288521,-3.8915466712647,0,0,0
3,-9.22163861845333,-0.74384583540898,-3.84692517737578,0,0,0
4,-9.2457720239243,-0.807711895794682,-3.83142427090397,0,0,0
5,-9.2708937982834,-0.843424908069644,-3.74669624217228,0,0,0
6,-9.31618662029704,-0.856984589083711,-3.6746214777349,0,0,0
7,-9.3689142387837,-0.873304015098046,-3.62636279980344,0,0,0
8,-9.40131355133024,-0.889385908989905,-3.59444497730919,0,0,0
9,-9.41672828923678,-0.913129461111079,-3.56919962027766,0,0,0
10,-9.44118429404725,-0.913641654283813,-3.59081835503272,0,0,0
11,-9.45753743384933,-0.889230729443848,-3.59304572591175,0,0,0
12,-9.47934493738342,-0.864108940935136,-3.59974908883658,0,0,0
13,-9.45722152805221,-0.85437010764056,-3.64135213200354,0,0,0
14,-9.40229694351471,-0.836646424349822,-3.67770511534241,0,0,0
15,-9.34419666754805,-0.821136655298133,-3.69991754295322,0,0,0
16,-9.33750539651771,-0.804511153620895,-3.69690582947261,0,0,0
17,-9.32171129734023,-0.785764350340917,-3.65668034091028,0,0,0
18,-9.3274125456832,-0.756152582556021,-3.62094066109211,0,0,0
19,-9.36603837570667,-0.757703923326747,-3.58380390538269,0,0,0
20,-9.40679117156492,-0.779033450499333,-3.52884728635392,0,0,0
21,-9.43966797632608,-0.800950685547007,-3.47684459104838,0,0,0
22,-9.48064312877956,-0.803319405094873,-3.41814187405777,0,0,0
23,-9.5215727940288,-0.805628991459744,-3.3795232204417,0,0,0
24,-9.51934461188547,-0.810339409229055,-3.36093196046372,0,0,0
25,-9.49464327021025,-0.833365292803899,-3.35050602879111,0,0,0
26,-9.45107618144041,-0.840715669447814,-3.33556283692992,0,0,0
27,-9.39346405893601,-0.827991881473831,-3.3131355817993,0,0,0
28,-9.34509712497307,-0.804505128710769,-3.2862444160983,0,0,0
29,-9.33364466363644,-0.811539449131813,-3.29813987186237,0,0,0
30,-9.32665336214706,-0.824538160254272,-3.30930584564476,0,0,0
31,-9.3347669640021,-0.831843148835033,-3.25427294324765,0,0,0
32,-9.37324637672661,-0.830187753365158,-3.16579458062792,0,0,0
33,-9.40748762450239,-0.824317642366428,-3.13831472087158,0,0,0
34,-9.4645283540629,-0.824218181080393,-3.12427201748322,0,0,0
