Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.54199511852222,-0.811795681193085,0.351451127516427,0,0,0
1,-9.54916338134755,-0.812050388398329,0.346745698814018,0,0,0
2,-9.5402009224843,-0.807679332850807,0.326407525572599,0,0,0
3,-9.55158027924839,-0.800736275290414,0.312855991224268,0,0,0
4,-9.54769602130824,-0.787694594074392,0.31716344509503,0,0,0
5,-9.54806219006787,-0.79031046270107,0.314714553362002,0,0,0
6,-9.5427423651967,-0.789644073611553,0.315096908281646,0,0,0
7,-9.54242739383685,-0.796199330708177,0.310683105812567,0,0,0
8,-9.54654895546317,-0.807175442480866,0.304018361067499,0,0,0
9,-9.5422075578427,-0.809689337222696,0.310697337338694,0,0,0
10,-9.54681251887803,-0.81654805710342,0.312869672592515,0,0,0
11,-9.54863017195288,-0.818394705219361,0.317583380175848,0,0,0
12,-9.54887772562292,-0.816345507433196,0.331036402644568,0,0,0
13,-9.55370838131589,-0.809723783070167,0.3422290076977,0,0,0
14,-9.54916923228558,-0.812059918225478,0.355780181225023,0,0,0
15,-9.55378465439546,-0.793836295575209,0.376187975540697,0,0,0
16,-9.55422996613676,-0.791965047131374,0.382768947223286,0,0,0
17,-9.54719654167884,-0.782697751253986,0.369395877426124,0,0,0
18,-9.5500117861882,-0.774052062359359,0.382747050035988,0,0,0
19,-9.56589062071296,-0.780719946834761,0.378150886981278,0,0,0
20,-9.54957080026159,-0.787325976538255,0.35349546961698,0,0,0
21,-9.54916506605877,-0.786953608200028,0.35142941924671,0,0,0
22,-9.54708223548232,-0.78943560714752,0.362627137672516,0,0,0
23,-9.54907262414991,-0.805122894974364,0.34909349108392,0,0,0
24,-9.54721979082449,-0.805527079476324,0.346640832409423,0,0,0
25,-9.54296474262543,-0.814961179256411,0.344196191108485,0,0,0
26,-9.55455213502062,-0.808212635258781,0.339582830198498,0,0,0
27,-9.5518878085263,-0.807872471024897,0.332998087660943,0,0,0
28,-9.55590404759471,-0.800501656270808,0.335541419201331,0,0,0
29,-9.55005266797249,-0.794601989725382,0.330627465879622,0,0,0
30,-9.55405722005683,-0.787211957924689,0.315101841368967,0,0,0
31,-9.56362467764437,-0.792135529829843,0.33289248692704,0,0,0
32,-9.56769355956639,-0.793938012474871,0.330831763029618,0,0,0
33,-9.56099843712123,-0.789549279995051,0.328564013529952,0,0,0
34,-9.5474131500545,-0.805697686191168,0.332992793768393,0,0,0
35,-9.55577957002991,-0.795827184474064,0.342408824330595,0,0,0
