Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.05340883427091,1.15712152229941,-2.98704326645246,0,0,0
1,-9.05203130309492,1.17451893093849,-3.01672394520938,0,0,0
2,-9.03377406431571,1.1881514390381,-3.06172347532259,0,0,0
3,-9.0342675928883,1.19453820079857,-3.09129159851855,0,0,0
4,-9.03147649440572,1.1744683647862,-3.09794811062985,0,0,0
5,-9.03555290072868,1.17267538910898,-3.09096800913603,0,0,0
6,-9.01551255470567,1.16295519718149,-3.08439474194767,0,0,0
7,-9.00401688455569,1.16068416690092,-3.05267952298864,0,0,0
8,-9.01559508558069,1.15372228504402,-3.04157084704486,0,0,0
9,-9.02949829089376,1.17642108981389,-3.03706855029969,0,0,0
10,-9.04702651179329,1.17036634139713,-3.04362676922773,0,0,0
11,-9.0405493875809,1.163126983522,-3.04834013795066,0,0,0
12,-9.04788697828747,1.18552096875188,-3.0439416502966,0,0,0
13,-9.03363628410074,1.17914385003177,-3.04816226406779,0,0,0
14,-9.03598479012968,1.17223877245324,-3.04599449463067,0,0,0
15,-9.02624592989308,1.15221948972813,-3.02093533216496,0,0,0
16,-9.02304653390787,1.15773401479592,-3.03057632533706,0,0,0
17,-9.01320849736922,1.15838131148219,-3.04599487325352,0,0,0
18,-9.02743866124754,1.16479204984714,-3.07339505573495,0,0,0
19,-9.03818535564718,1.15865080035534,-3.10254385031159,0,0,0
20,-9.04965030758414,1.15866400389332,-3.12522229498519,0,0,0
21,-9.05100824128893,1.1527048353561,-3.09771229038032,0,0,0
22,-9.06477476268172,1.1412736089825,-3.07756301284113,0,0,0
23,-9.06025263004976,1.15262412797833,-3.0661852339824,0,0,0
24,-9.056322837929,1.1634105001909,-3.07317478369862,0,0,0
25,-9.04005922156213,1.18416367661,-3.0705499296572,0,0,0
26,-9.02682101364641,1.17680431084738,-3.06623323997837,0,0,0
27,-9.0154372686788,1.16986840065735,-3.05945756743829,0,0,0
28,-9.00591537954841,1.16334383981304,-3.03892986748517,0,0,0
29,-8.99484284738728,1.16295845678608,-3.03226073826423,0,0,0
30,-8.99457905839502,1.14723202812535,-3.04353722734487,0,0,0
31,-8.99484190443196,1.15155336876608,-3.06171036175887,0,0,0
32,-9.00022279512336,1.1553602084515,-3.07566172934935,0,0,0
33,-9.02501743770338,1.15579314267451,-3.1027492061762,0,0,0
34,-9.0401013946653,1.16358971649962,-3.11815851638794,0,0,0
35,-9.04248216090499,1.15894017518352,-3.1227690520366,0,0,0
36,-9.06046428920962,1.15472094029407,-3.10694226133147,0,0,0
37,-9.0379101826355,1.16575601496298,-3.07524855784462,0,0,0
38,-9.0198137002147,1.16092956358563,-3.04137619297923,0,0,0
39,-9.01124935909815,1.16261100346511,-3.01222113423462,0,0,0
40,-9.01765236213311,1.1539486731565,-3.03695271665518,0,0,0
41,-9.03395061724896,1.14916198210146,-3.0711154406775,0,0,0
42,-9.04889441067204,1.13654826378094,-3.10467196845233,0,0,0
43,-9.05377561198636,1.14769280771906,-3.12736663662619,0,0,0
44,-9.06693433936591,1.12544463495789,-3.14088590052466,0,0,0
45,-9.04615316458496,1.12101281594847,-3.1474711349437,0,0,0
46,-9.05105682356134,1.11840668286103,-3.10700963992812,0,0,0
47,-9.04151610366336,1.13472492670378,-3.05920320410522,0,0,0
