Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.5902945612624,0.575516854654517,-0.551630492225866,0,0,0
1,-9.58976087475829,0.580772033181161,-0.539566440281748,0,0,0
2,-9.59076227438167,0.565752257329856,-0.552397299886868,0,0,0
3,-9.59021867151604,0.580199825521573,-0.5446656417373,0,0,0
4,-9.59218975258898,0.562231010613158,-0.531094156485757,0,0,0
5,-9.59679898692203,0.569070310157526,-0.549166411096893,0,0,0
6,-9.60766924655228,0.553699149880694,-0.544431417248892,0,0,0
7,-9.59421251761008,0.557971690371562,-0.539927917222213,0,0,0
8,-9.5895846068653,0.560339325350523,-0.53973914921242,0,0,0
9,-9.58981733088826,0.564635410500744,-0.530903935614713,0,0,0
10,-9.58526677267693,0.562317742784716,-0.535421495392562,0,0,0
11,-9.58988039003496,0.569149927774522,-0.546718217492819,0,0,0
12,-9.59217691890157,0.571428457194291,-0.539943613359378,0,0,0
13,-9.59669667886946,0.571487675105872,-0.526389660013938,0,0,0
14,-9.59677403950553,0.566802341847595,-0.531095979734886,0,0,0
15,-9.59440307532246,0.569204381015868,-0.528647253633222,0,0,0
16,-9.58923968170151,0.567653378196969,-0.53013009460894,0,0,0
17,-9.59442802292668,0.571472360160785,-0.546717668229126,0,0,0
18,-9.58996651855884,0.564450311230518,-0.53787351197967,0,0,0
19,-9.59003429886467,0.57813369795485,-0.535435181364548,0,0,0
20,-9.60747962576491,0.569994583907505,-0.521280836995024,0,0,0
21,-9.60117832729487,0.569300354888592,-0.515091839386295,0,0,0
22,-9.59023914877234,0.580166472798961,-0.513046538777491,0,0,0
23,-9.5924708290889,0.568756885299011,-0.504193215290887,0,0,0
24,-9.59710168539369,0.566384480669732,-0.499864927709656,0,0,0
25,-9.59724096548268,0.575391944002217,-0.511166975472685,0,0,0
26,-9.61055292028354,0.571297450123714,-0.501925391115434,0,0,0
27,-9.61303824320427,0.575634942620089,-0.497605679832943,0,0,0
28,-9.59690706436926,0.564334982222736,-0.506444057899499,0,0,0
29,-9.60813651196877,0.571464882401166,-0.51302536144004,0,0,0
30,-9.59903570725797,0.57600559564915,-0.510583407391465,0,0,0
31,-9.58752957798048,0.562342587070272,-0.524127508205685,0,0,0
32,-9.5922674379841,0.56672168282376,-0.524323379478602,0,0,0
33,-9.59027400202119,0.573241750160947,-0.526784515743357,0,0,0
34,-9.59925934349382,0.571139875605152,-0.526776299606792,0,0,0
35,-9.60174579896471,0.566299094342064,-0.531675222944348,0,0,0
36,-9.59472161345026,0.559624884273999,-0.522444386588288,0,0,0
37,-9.58977662811363,0.571569687936401,-0.526199993006761,0,0,0
38,-9.59639503698684,0.562686612751744,-0.52844462326461,0,0,0
39,-9.59475972446624,0.561871389838174,-0.520188247544559,0,0,0
40,-9.58948523275228,0.562751907858087,-0.512445447032043,0,0,0
41,-9.58974582968789,0.569311227288119,-0.517163607816496,0,0,0
