Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.52771838504017,-0.0116237169956373,-1.29681704503002,0,0,0
1,-9.51865785390556,-0.0140177720841422,-1.29682051938334,0,0,0
2,-9.51659094605645,0.00401052574414274,-1.29222520987166,0,0,0
3,-9.52103831403316,-0.0072638368463466,-1.27423740510086,0,0,0
4,-9.52100328436319,-0.00267365681713317,-1.27640305532691,0,0,0
5,-9.53244279968075,0.00647675944257818,-1.25607536208097,0,0,0
6,-9.55231767088109,0.000345651156617577,-1.25350238754269,0,0,0
7,-9.55528947604837,0.0111506942100118,-1.25626138774236,0,0,0
8,-9.55937104174392,0.00476474613853039,-1.25595750884014,0,0,0
9,-9.54598148385054,-0.000147028188271324,-1.2471219257323,0,0,0
10,-9.53682144602946,-0.00245919895935716,-1.23573308828553,0,0,0
11,-9.53444537682933,-0.00922031490592579,-1.25153955847026,0,0,0
12,-9.52993196264848,-0.00929145986662829,-1.25380135526297,0,0,0
13,-9.53888252757368,-0.0204779329751766,-1.2493638512274,0,0,0
14,-9.52989827069045,-0.0115432357072878,-1.24928123601229,0,0,0
15,-9.54371068394125,-0.0138389772005224,-1.26085832841532,0,0,0
16,-9.53655206149016,-0.0113272751059262,-1.26047327175219,0,0,0
17,-9.53190714980616,0.000108590400176859,-1.25341759288308,0,0,0
18,-9.54539003288916,-0.0155709970210022,-1.26940021423742,0,0,0
19,-9.53472336562719,-0.0117390552745318,-1.26086654378551,0,0,0
20,-9.53886800071255,-0.0136145980351682,-1.2763795129879,0,0,0
21,-9.53217477219985,-0.00923325150389869,-1.27412976331732,0,0,0
22,-9.53449813175693,-0.00469293597999809,-1.28316854060394,0,0,0
23,-9.53216306900907,-0.00921418970821167,-1.29220075822318,0,0,0
24,-9.53199640956904,0.000043370396358974,-1.28062195528711,0,0,0
25,-9.52512182528422,0.00686666505051051,-1.28495523716327,0,0,0
26,-9.54334802023286,0.00472365755495265,-1.28287825842888,0,0,0
27,-9.54328063523934,0.000220040784080769,-1.27383804502515,0,0,0
28,-9.54349721824234,0.0000276533985753458,-1.26951622985578,0,0,0
29,-9.5436465165766,0.00217132332093294,-1.26058106368529,0,0,0
30,-9.53212663064193,-0.0000885647797946247,-1.24457800347702,0,0,0
31,-9.52096223262638,-0.0072200975387479,-1.22670307828737,0,0,0
32,-9.54337278905041,-0.00215654355187236,-1.2400505865363,0,0,0
33,-9.54355870543225,0.00223416836476832,-1.23111777186879,0,0,0
34,-9.55443164072904,-0.00177320948332512,-1.25114174426239,0,0,0
35,-9.54770329103125,0.000358787897546814,-1.24663076650636,0,0,0
36,-9.54343422265959,-0.00448306814600732,-1.25369938292218,0,0,0
37,-9.5365902496537,-0.00224300761056679,-1.26264367185829,0,0,0
38,-9.52538363514693,0.002067237818542,-1.26265571900843,0,0,0
39,-9.52988949329736,-0.0115289393605225,-1.26283448219169,0,0,0
