Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.57955094694892,-0.142522473508532,-2.71511054837814,0,0,0
1,-9.58703837343113,-0.140778259663828,-2.69726321525751,0,0,0
2,-9.58653067696891,-0.134877930593025,-2.69205076176862,0,0,0
3,-9.57942410895549,-0.144714839551791,-2.69204954977093,0,0,0
4,-9.57474251141673,-0.150810099520693,-2.67642681373755,0,0,0
5,-9.58220612413857,-0.151341202905676,-2.66676574182307,0,0,0
6,-9.58704184552411,-0.143079568909566,-2.65337532243873,0,0,0
7,-9.59005143068699,-0.144536102000494,-2.64966214768985,0,0,0
8,-9.5891448739172,-0.151312956388085,-2.66082728477274,0,0,0
9,-9.58597094898516,-0.161197165095941,-2.67645748858241,0,0,0
10,-9.58445974170939,-0.165820675110344,-2.65935222795157,0,0,0
11,-9.58533498307173,-0.153662529064793,-2.64297050914617,0,0,0
12,-9.58918817490291,-0.142169106288461,-2.62956904888291,0,0,0
13,-9.59157598396593,-0.141456785834644,-2.62139066673648,0,0,0
14,-9.59001804544725,-0.14680619810353,-2.61693224619082,0,0,0
15,-9.5920441524543,-0.155741774293416,-2.61768835966122,0,0,0
16,-9.58360757900686,-0.154282617352033,-2.62213473792027,0,0,0
17,-9.58580870261097,-0.162597374087811,-2.62289359348829,0,0,0
18,-9.58670648713452,-0.166522611463463,-2.6459655668476,0,0,0
19,-9.5873587248726,-0.171011570384621,-2.6586182248516,0,0,0
20,-9.58199070154232,-0.162642169335715,-2.64594892063524,0,0,0
21,-9.58065141237752,-0.151338548416477,-2.64444484118057,0,0,0
22,-9.58759596409545,-0.151314835304976,-2.64222612348254,0,0,0
23,-9.58677879868863,-0.158930790489789,-2.64893093867571,0,0,0
24,-9.58273839460186,-0.171800189512234,-2.66233054984048,0,0,0
25,-9.58175984580984,-0.181579422379238,-2.65862033344581,0,0,0
26,-9.58169167696945,-0.17616723938326,-2.6645617816999,0,0,0
