Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.55247914001978,0.873275600698348,0.0983750099084291,0,0,0
1,-9.54184047433081,0.874765816075307,0.0935585305207748,0,0,0
2,-9.54631258102873,0.858935449505507,0.0866862326700793,0,0,0
3,-9.55249916150495,0.850435601646754,0.0711021089793374,0,0,0
4,-9.56007046638133,0.843166545024558,0.0525419575064328,0,0,0
5,-9.56466147996702,0.831836215646529,0.0704808457975968,0,0,0
6,-9.56170068449786,0.834459774313082,0.0889811871434636,0,0,0
7,-9.54425729938531,0.840639575571498,0.0728618763534984,0,0,0
8,-9.55156176634361,0.842712917863293,0.0703151952250136,0,0,0
9,-9.55425815953257,0.837946747541133,0.0881005475609061,0,0,0
10,-9.56186332565951,0.843426514073503,0.113816711054892,0,0,0
11,-9.56347076709242,0.86290558690933,0.146950156132536,0,0,0
12,-9.55727002622781,0.875337675167445,0.161520720094265,0,0,0
13,-9.56448054382141,0.877305411935795,0.165847097869231,0,0,0
14,-9.55352846301069,0.867811397358394,0.165588500232199,0,0,0
15,-9.55789417868712,0.874780661448261,0.158953331182038,0,0,0
16,-9.5628301465606,0.870077055299322,0.151895186269094,0,0,0
17,-9.56664921781597,0.843318142843193,0.149812879853916,0,0,0
18,-9.55711711080394,0.841239851467092,0.150070217122788,0,0,0
19,-9.54972487544275,0.82802803866781,0.148014359435943,0,0,0
20,-9.55667774289953,0.827971737717882,0.123077312684276,0,0,0
21,-9.55293647989876,0.834157100798782,0.100123532482697,0,0,0
22,-9.55260767400972,0.82981150074488,0.0934973614855572,0,0,0
23,-9.55656080414186,0.834949831620508,0.0847699564195968,0,0,0
24,-9.55935857918383,0.829947984311229,0.0686567333430691,0,0,0
25,-9.5546270627995,0.830045241270963,0.0710283803492496,0,0,0
26,-9.55895716314212,0.843989197351846,0.0757274056636856,0,0,0
27,-9.55646496163625,0.851644931933717,0.0611290129502337,0,0,0
28,-9.55787868992845,0.861223624020258,0.0865461559701591,0,0,0
29,-9.56443410299596,0.863721228305128,0.0912104519036702,0,0,0
30,-9.56107245424633,0.872067407187144,0.0883593724222462,0,0,0
31,-9.5542336145823,0.867458361151011,0.0906183786734776,0,0,0
32,-9.55779278585502,0.840857746323996,0.0751292840312532,0,0,0
33,-9.54930170197505,0.84268330635183,0.063537796897037,0,0,0
34,-9.56028498007531,0.840774574409687,0.0523992872500745,0,0,0
