Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.53275373694004,-0.100605012065946,-2.36610584531686,0,0,0
1,-9.53052617676022,-0.0983971469793947,-2.34088954362602,0,0,0
2,-9.5281837524527,-0.0824854912788307,-2.34088656914889,0,0,0
3,-9.52400668965404,-0.0601460067853999,-2.40048697975687,0,0,0
4,-9.53516035950008,-0.0757566895903198,-2.4394603296737,0,0,0
5,-9.52775899390668,-0.100225492669992,-2.43486966449573,0,0,0
6,-9.5147851808201,-0.10542039795763,-2.36839388421518,0,0,0
7,-9.49620738710939,-0.100664357564505,-2.31336687745176,0,0,0
8,-9.48046667352307,-0.0918342847114062,-2.30190010223034,0,0,0
9,-9.48732263075205,-0.0850200773391009,-2.33628732265522,0,0,0
10,-9.50990755647678,-0.0802286322066925,-2.37526360528161,0,0,0
11,-9.51233717622892,-0.0826126241036755,-2.39131251990869,0,0,0
12,-9.51463306851449,-0.0644860181986738,-2.40048120318856,0,0,0
13,-9.50796269967098,-0.0805232933422091,-2.37297363207286,0,0,0
14,-9.50973766167019,-0.0846215102554503,-2.35463141415231,0,0,0
15,-9.5097298118434,-0.0778134998270145,-2.36150769071997,0,0,0
16,-9.51426568294972,-0.0755111671632449,-2.37067839479196,0,0,0
17,-9.5280202969937,-0.0800684003248879,-2.37756206474926,0,0,0
18,-9.52541404505457,-0.0911229073349456,-2.39131297686077,0,0,0
19,-9.54143768325763,-0.0866018311682427,-2.38673498172036,0,0,0
20,-9.54571630985756,-0.0954115071296471,-2.39361190259654,0,0,0
21,-9.52774660951856,-0.100227238306544,-2.39131527456733,0,0,0
22,-9.52097258541233,-0.10936758332295,-2.39360634048327,0,0,0
23,-9.52289375414702,-0.118121213552198,-2.38672759686464,0,0,0
24,-9.50958068372187,-0.111675172040956,-2.38443269527986,0,0,0
25,-9.50758602465992,-0.1005942658171,-2.38443350951759,0,0,0
26,-9.50413121285653,-0.0924862821931054,-2.39590336644751,0,0,0
27,-9.5085215599161,-0.0855291724878903,-2.39590289574087,0,0,0
28,-9.49904494358327,-0.0897817219907271,-2.3936037745254,0,0,0
29,-9.49748111607249,-0.0994754474597573,-2.36610267782285,0,0,0
30,-9.49052924795204,-0.106200574321435,-2.35463775655257,0,0,0
31,-9.50208924597644,-0.10630919696218,-2.34318218965674,0,0,0
32,-9.50880106767743,-0.101649089350652,-2.33859860411878,0,0,0
33,-9.51115006679331,-0.0948979986558181,-2.35693830219529,0,0,0
34,-9.51811702077485,-0.0949793559682399,-2.3867427670524,0,0,0
35,-9.52620666203097,-0.0940645149337782,-2.40736734751667,0,0,0
36,-9.52472119677575,-0.0834235838382518,-2.39820385531084,0,0,0
37,-9.53161541088851,-0.0879861652625294,-2.38903822059888,0,0,0
38,-9.52928545439507,-0.085690580656794,-2.36382082853591,0,0,0
39,-9.52680253623329,-0.0877851912506364,-2.37757218463286,0,0,0
40,-9.53597616755858,-0.0832687667063462,-2.39362236100523,0,0,0
41,-9.52026000956389,-0.0880528966686893,-2.4004957551023,0,0,0
42,-9.51972461033581,-0.0966613344890113,-2.39132196839075,0,0,0
43,-9.52697642290204,-0.090200599930359,-2.37757410020434,0,0,0
44,-9.51558498592659,-0.0925078729067703,-2.37069276392529,0,0,0
45,-9.51345644879616,-0.0835797791110794,-2.36840013522308,0,0,0
46,-9.51534422991731,-0.0945728464434194,-2.35235190853655,0,0,0
47,-9.52223182928888,-0.0923277258180926,-2.3546472578645,0,0,0
48,-9.51128064577484,-0.0927463690722009,-2.34776998810957,0,0,0
49,-9.5222705476586,-0.0968953840612468,-2.34777102867445,0,0,0
50,-9.51770304570974,-0.0946288907247471,-2.3706923144923,0,0,0
51,-9.50863436235005,-0.0924241901298888,-2.39819699256334,0,0,0
52,-9.52237676290745,-0.0901740652775376,-2.39591059816021,0,0,0
53,-9.51585788805373,-0.0882029833302278,-2.39361843828513,0,0,0
54,-9.50883708759922,-0.0926000465526342,-2.3913219719932,0,0,0
55,-9.50868222383048,-0.103799120739393,-2.38902917547525,0,0,0
56,-9.50807929425898,-0.110079819771376,-2.39360855503248,0,0,0
57,-9.50858053439358,-0.103711295454973,-2.39132051477344,0,0,0
58,-9.50828658314925,-0.110254857654883,-2.40277995276693,0,0,0
59,-9.51717152348609,-0.0964282870665797,-2.40965703896787,0,0,0
60,-9.52652358951411,-0.101135098175658,-2.40737113790963,0,0,0
61,-9.5152936253262,-0.0990509227009771,-2.39132160656696,0,0,0
62,-9.51340063033197,-0.0880585451508053,-2.38903108430241,0,0,0
63,-9.51282656373711,-0.0920992715138292,-2.3867335249116,0,0,0
64,-9.52437284270628,-0.085401376867703,-2.3615232152931,0,0,0
65,-9.52637930109749,-0.103288744235188,-2.36840017163527,0,0,0
66,-9.51537442080723,-0.0923331192447464,-2.35005965257528,0,0,0
67,-9.51094277199782,-0.0947228098906154,-2.34776692709303,0,0,0
68,-9.50890145383712,-0.101737107863637,-2.33172254222525,0,0,0
69,-9.51325636076544,-0.0902121023425828,-2.35006009352251,0,0,0
70,-9.51784671872359,-0.0992839251796802,-2.37298648319371,0,0,0
71,-9.51771808574886,-0.101435323570031,-2.38903182601107,0,0,0
72,-9.53306802598523,-0.100867247935284,-2.39132462161537,0,0,0
73,-9.5311238955518,-0.101161486334469,-2.39132700643733,0,0,0
74,-9.52006322351033,-0.101493261373755,-2.3592329421916,0,0,0
75,-9.51129828602564,-0.0995523413406086,-2.37527891464871,0,0,0
76,-9.51760590775909,-0.0945403763340299,-2.38903008057259,0,0,0
77,-9.52702101461661,-0.0947673954552447,-2.39132902039632,0,0,0
78,-9.52499613574432,-0.0859270292615001,-2.39362209810051,0,0,0
79,-9.5202475739639,-0.0812460633579082,-2.39132562183178,0,0,0
80,-9.51828236167436,-0.0905874445468769,-2.3913286558451,0,0,0
81,-9.50344507279127,-0.0896319136498954,-2.39360404562479,0,0,0
82,-9.50129552248873,-0.089750814022442,-2.39131207462447,0,0,0
83,-9.50377167839476,-0.103509997882077,-2.39360855327291,0,0,0
84,-9.51189424268431,-0.107164216213172,-2.38672585133851,0,0,0
85,-9.53025438905801,-0.11174650142052,-2.39590417934406,0,0,0
86,-9.52071868610948,-0.0978167265590264,-2.39818741927162,0,0,0
87,-9.52624412218938,-0.0759704942646522,-2.39131965532376,0,0,0
88,-9.52422590384779,-0.0512752888437966,-2.37756495957674,0,0,0
89,-9.53541572914872,-0.0487916441088147,-2.39590595317971,0,0,0
90,-9.53372876551764,-0.0538287349863334,-2.43717338409518,0,0,0
91,-9.52362923413313,-0.0960704050659715,-2.44862567728598,0,0,0
92,-9.53245175423286,-0.1161941728918,-2.42341272096368,0,0,0
93,-9.50984383070606,-0.114179999663106,-2.3385888391893,0,0,0
94,-9.47137382009061,-0.10548641267622,-2.28355928385825,0,0,0
95,-9.47414367753224,-0.10589305719941,-2.30878049532976,0,0,0
96,-9.48996529722477,-0.0943873327065215,-2.34775423256302,0,0,0
97,-9.49854638307751,-0.102958736779006,-2.37067683548535,0,0,0
98,-9.50775200651837,-0.0962019250098965,-2.39131170917449,0,0,0
99,-9.5189957016404,-0.0892397549414713,-2.38214482207897,0,0,0
100,-9.52343852466439,-0.0778037015780391,-2.35005184707418,0,0,0
101,-9.52126871853172,-0.0643072870372356,-2.34546608539596,0,0,0
102,-9.5304677616571,-0.0507422739032367,-2.37756186678196,0,0,0
103,-9.54004944435634,-0.0465780344110925,-2.38903131611591,0,0,0
104,-9.54443373906421,-0.0554748926743309,-2.40737095047407,0,0,0
