Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.69025605492893,0.521157149701388,-1.30388982794535,0,0,0
1,-9.68071679573334,0.523567022466281,-1.30782740200798,0,0,0
2,-9.68108155718727,0.532241399137427,-1.31708484599286,0,0,0
3,-9.69038705406246,0.545782547803255,-1.30122731873817,0,0,0
4,-9.70128546787796,0.526243939366844,-1.29646275288915,0,0,0
5,-9.68758772153621,0.534943131524206,-1.2940773198708,0,0,0
6,-9.68113731346707,0.541189932865607,-1.29673619222169,0,0,0
7,-9.68361740313981,0.534317949259725,-1.29715149947854,0,0,0
8,-9.68494882754157,0.523956798480689,-1.29374458454003,0,0,0
9,-9.70159790303453,0.514722912501649,-1.29041816519053,0,0,0
10,-9.69210387314003,0.50809623889699,-1.29238747674978,0,0,0
11,-9.6899938225707,0.512392216395026,-1.29701605418962,0,0,0
12,-9.69472083977431,0.514598658039291,-1.29490875903076,0,0,0
13,-9.69218385409816,0.51252378016971,-1.29687803656348,0,0,0
14,-9.69455586024723,0.516993281010782,-1.29463221204385,0,0,0
15,-9.69528962771069,0.523093657384927,-1.29096945670454,0,0,0
16,-9.69918101325097,0.519289114206656,-1.30136879336346,0,0,0
17,-9.69413473558708,0.521862356330941,-1.28943846396033,0,0,0
18,-9.69268408492618,0.534574565077013,-1.28578636111555,0,0,0
19,-9.69217272562613,0.535025425806595,-1.29632311036179,0,0,0
20,-9.69462999328437,0.532672087047496,-1.2943542921865,0,0,0
21,-9.69655819069686,0.524037966370859,-1.29407903194072,0,0,0
22,-9.69011337640269,0.519034193872638,-1.29701536763355,0,0,0
23,-9.70374178633769,0.523892319128687,-1.27877537675966,0,0,0
24,-9.69216001238174,0.539535380079358,-1.27147244267476,0,0,0
25,-9.70367404541483,0.5374469456244,-1.28509605823732,0,0,0
26,-9.69247314498126,0.546007275339109,-1.2762505611439,0,0,0
27,-9.68725688918934,0.521739495218009,-1.28045601388672,0,0,0
28,-9.69196269672607,0.528461862131355,-1.3029106717943,0,0,0
29,-9.68710522938093,0.519615818544989,-1.29356108939739,0,0,0
30,-9.69168345202624,0.512963949756527,-1.29842126168456,0,0,0
31,-9.68931270733276,0.508492258327631,-1.32087663804682,0,0,0
32,-9.68296965933021,0.521393798446287,-1.31231878816854,0,0,0
33,-9.69859045074228,0.524296651976014,-1.28888623780466,0,0,0
34,-9.69622438753568,0.52656269885104,-1.27504465982889,0,0,0
35,-9.69833360173602,0.5132741733958,-1.2684937534784,0,0,0
36,-9.70089066154234,0.515347001300552,-1.26024799760388,0,0,0
37,-9.69440579968666,0.526124094927989,-1.25828870568055,0,0,0
38,-9.70833666863256,0.541960808130457,-1.25365879202442,0,0,0
39,-9.7017050354046,0.543868545335754,-1.26965298927333,0,0,0
40,-9.69746126843731,0.556980347575887,-1.26305296057036,0,0,0
41,-9.70227425947979,0.552362467781348,-1.2724501960021,0,0,0
42,-9.69716098557745,0.545998417442886,-1.28537103028308,0,0,0
43,-9.69949954690499,0.537001600019024,-1.29687594501898,0,0,0
44,-9.69919842656177,0.526021020571619,-1.30572096265013,0,0,0
45,-9.68982468323943,0.526035302542814,-1.3189171145536,0,0,0
46,-9.68286753530634,0.521483678239416,-1.31667163928863,0,0,0
47,-9.69214580986896,0.510306760523272,-1.32606987929562,0,0,0
48,-9.68771519258676,0.530330328888825,-1.33252772575655,0,0,0
49,-9.67830052006724,0.528132467019516,-1.32776003764858,0,0,0
50,-9.68728249796446,0.526209804856675,-1.31619955281582,0,0,0
51,-9.68288912156556,0.516967144597604,-1.29884619980128,0,0,0
52,-9.6828265711515,0.519271501458841,-1.29870781102931,0,0,0
53,-9.69195590292044,0.517223449273717,-1.28972657911178,0,0,0
54,-9.69473797800531,0.521330945228565,-1.29476991337465,0,0,0
55,-9.68761597745043,0.51917382561755,-1.29449339838217,0,0,0
56,-9.70125120043731,0.512779134621325,-1.29674044484217,0,0,0
57,-9.70114738783438,0.512871757225354,-1.2741472086052,0,0,0
58,-9.68960007655333,0.519487946269999,-1.27611501102348,0,0,0
59,-9.69646674004136,0.524118137396516,-1.28494736492942,0,0,0
60,-9.69672331054752,0.521643002537731,-1.29660108608821,0,0,0
61,-9.69875986523877,0.524158240170639,-1.29617503717075,0,0,0
62,-9.69690515263749,0.525981149695957,-1.29224777138522,0,0,0
63,-9.68565978090366,0.543576685547558,-1.29884359548515,0,0,0
64,-9.68113745248488,0.541189700793514,-1.29898170044145,0,0,0
65,-9.69009080817759,0.523552298288201,-1.29912225911156,0,0,0
66,-9.6852216888204,0.519221966858513,-1.30333712825145,0,0,0
67,-9.70849306308847,0.521577829385506,-1.30150729295454,0,0,0
68,-9.69918073521527,0.519289578350953,-1.2968777758436,0,0,0
69,-9.69213857478471,0.521560243936632,-1.29884630987551,0,0,0
70,-9.69426161340184,0.535237895153685,-1.29580541818911,0,0,0
71,-9.69431807912711,0.535191706717884,-1.2982350190631,0,0,0
