Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.59035348382979,-0.946391017852886,-0.394396678351989,0,0,0
1,-9.59242602457554,-0.93249847277903,-0.391956863948801,0,0,0
2,-9.59935855252617,-0.934820754598445,-0.392047085684765,0,0,0
3,-9.59959447823817,-0.932751984975128,-0.396663696521553,0,0,0
4,-9.5945234195519,-0.941435818546621,-0.410014930597853,0,0,0
5,-9.59530146540329,-0.944430520808057,-0.401365992489258,0,0,0
6,-9.59077990144226,-0.944487360977267,-0.417179361494701,0,0,0
7,-9.59265309245621,-0.955512441858706,-0.412551774616006,0,0,0
8,-9.59259451329742,-0.946330434526409,-0.416981528230926,0,0,0
9,-9.59256372599139,-0.948588233700789,-0.407944632023714,0,0,0
10,-9.58567076023822,-0.944022514512242,-0.403339509226291,0,0,0
11,-9.59430066232517,-0.954920799669895,-0.414517953135175,0,0,0
12,-9.58527366857051,-0.955060686513364,-0.421299677837047,0,0,0
13,-9.57427233505112,-0.950934470735881,-0.419150101608148,0,0,0
14,-9.58141289515057,-0.95345035934235,-0.410302818321255,0,0,0
15,-9.5877110503413,-0.943780090449737,-0.423568703102784,0,0,0
16,-9.60086540023389,-0.954626353378278,-0.41441657260415,0,0,0
17,-9.59450140808888,-0.955102586083916,-0.416873579830588,0,0,0
18,-9.59727432599635,-0.948694149122239,-0.41255596811852,0,0,0
19,-9.59929113287937,-0.95072146212409,-0.412455139323998,0,0,0
20,-9.58161070026641,-0.953627386317985,-0.417175718224342,0,0,0
21,-9.59307658996827,-0.942209502058905,-0.410404366462962,0,0,0
22,-9.5966647668461,-0.948136785622976,-0.416782234650462,0,0,0
23,-9.58844811950706,-0.923918876324681,-0.419266799859461,0,0,0
24,-9.58553160168359,-0.939325031918312,-0.419057654069284,0,0,0
25,-9.58360998678754,-0.944231582283256,-0.414731113027642,0,0,0
26,-9.59573222022567,-0.946968927081071,-0.410660033839232,0,0,0
27,-9.58368472607126,-0.93973742614513,-0.412477225643572,0,0,0
28,-9.59734028847178,-0.944185719871329,-0.423853877729851,0,0,0
29,-9.60069689799734,-0.952189103259247,-0.41883919256697,0,0,0
30,-9.5860063457878,-0.935192216551918,-0.423773663783553,0,0,0
31,-9.58637760047459,-0.951465405428281,-0.42180883856611,0,0,0
32,-9.58610886032321,-0.953532426592416,-0.437500513748654,0,0,0
33,-9.58961209395393,-0.952542784395818,-0.43249524788263,0,0,0
34,-9.59864346492444,-0.952410045108472,-0.41893765508804,0,0,0
35,-9.58776669591914,-0.952957434340985,-0.42365622168844,0,0,0
36,-9.58551250452642,-0.952996575409837,-0.42139905370341,0,0,0
37,-9.58969707345529,-0.948065240363437,-0.414430993278862,0,0,0
38,-9.58352208283214,-0.948704296210751,-0.437312680210206,0,0,0
39,-9.57854042756409,-0.952917906253467,-0.425823686515093,0,0,0
40,-9.58622462505176,-0.946797213688643,-0.428473088104497,0,0,0
41,-9.59892042383885,-0.959494657135559,-0.446228090979899,0,0,0
42,-9.60383909875564,-0.959794193184644,-0.441901957300866,0,0,0
43,-9.59707797084067,-0.959913999143217,-0.432871807587377,0,0,0
44,-9.6016288536774,-0.957596988247478,-0.428353991036307,0,0,0
45,-9.59870351195842,-0.96159453804151,-0.412249288605732,0,0,0
46,-9.5884143253133,-0.951268862507689,-0.417173707018257,0,0,0
47,-9.59013519087589,-0.94618060020203,-0.419144618290212,0,0,0
48,-9.5855945578622,-0.948514309892311,-0.407852023481796,0,0,0
49,-9.60125958603548,-0.943583363733365,-0.400973668131141,0,0,0
50,-9.59436077688491,-0.939008045736827,-0.405403059631122,0,0,0
51,-9.60160396747926,-0.934767318735778,-0.407856027618959,0,0,0
52,-9.59410292147473,-0.929646252401643,-0.405218569707878,0,0,0
53,-9.5967116446411,-0.945905171858588,-0.400974218265353,0,0,0
54,-9.59666476622127,-0.936742045051829,-0.387334972137742,0,0,0
55,-9.59233658373163,-0.950671373963421,-0.389776236666307,0,0,0
56,-9.59501720164103,-0.937333953216336,-0.38536871938985,0,0,0
57,-9.59744135677095,-0.939734469901865,-0.380944590879208,0,0,0
58,-9.59466551476043,-0.946138055048865,-0.389779519387359,0,0,0
59,-9.59472270280094,-0.930220570602513,-0.385181894136307,0,0,0
60,-9.59579589328604,-0.928883652339238,-0.376653965085347,0,0,0
61,-9.59294912434039,-0.926136512752941,-0.378606146393592,0,0,0
62,-9.59570887072782,-0.919706944651044,-0.394616176763629,0,0,0
63,-9.59799970827777,-0.917419555843592,-0.396875722864329,0,0,0
64,-9.59685966187939,-0.936914390288597,-0.398725078871916,0,0,0
65,-9.58631399107091,-0.942326925688398,-0.403632843649146,0,0,0
66,-9.58571178690611,-0.941781381753479,-0.396565994115483,0,0,0
67,-9.60664194885355,-0.953382813132165,-0.421793317625575,0,0,0
68,-9.59315044682928,-0.951364658979202,-0.412769906004043,0,0,0
69,-9.57693382575989,-0.95126847086742,-0.417084011739994,0,0,0
70,-9.58612348776335,-0.953556251315141,-0.414914160917557,0,0,0
71,-9.58860394158521,-0.953688795763303,-0.410511818832996,0,0,0
72,-9.58366416655113,-0.953406453239392,-0.417077256868944,0,0,0
73,-9.59042675720876,-0.953289029750878,-0.423848773396518,0,0,0
74,-9.58104816110758,-0.937135963246285,-0.432614709319944,0,0,0
75,-9.58504515627472,-0.943438866932482,-0.432410643367241,0,0,0
76,-9.58883992733449,-0.937917783905954,-0.442149344883094,0,0,0
77,-9.58846565998809,-0.946736630228361,-0.451057979923756,0,0,0
78,-9.58568399484726,-0.941736114906398,-0.439479944954505,0,0,0
79,-9.58396749993129,-0.946831589953929,-0.430733184399444,0,0,0
80,-9.5882151252081,-0.937387049931973,-0.439580248544,0,0,0
81,-9.58582908589961,-0.93274061181808,-0.441748061401132,0,0,0
82,-9.58743565619124,-0.934389797936734,-0.450487651558136,0,0,0
83,-9.58784882840953,-0.93477263163578,-0.437129951969681,0,0,0
84,-9.5845096030308,-0.942627679711802,-0.437775756259249,0,0,0
85,-9.58593598587684,-0.951088081515467,-0.448699032302581,0,0,0
86,-9.58150233103646,-0.946672229410594,-0.441930798446703,0,0,0
87,-9.59036671824025,-0.94410462906433,-0.430537147623859,0,0,0
88,-9.59911970621854,-0.948279463479201,-0.421395031391972,0,0,0
89,-9.5903901191144,-0.955537288201182,-0.423846401555641,0,0,0
90,-9.58738422819411,-0.964019474451767,-0.419030102437099,0,0,0
91,-9.59690648231013,-0.97117435115522,-0.41479088289567,0,0,0
92,-9.59186766877012,-0.966208543123793,-0.405473047186438,0,0,0
93,-9.58541429110172,-0.959760475601936,-0.403322906179866,0,0,0
94,-9.59487357673305,-0.957726324086293,-0.410289308579156,0,0,0
95,-9.58992121114722,-0.959679810998596,-0.410095871141452,0,0,0
96,-9.58542168580881,-0.946069904943372,-0.419050538443611,0,0,0
97,-9.58737253542659,-0.952605749982799,-0.407651836117035,0,0,0
98,-9.59678053367521,-0.94140144245161,-0.407754842698802,0,0,0
99,-9.59806555146576,-0.942442863899532,-0.403887398004399,0,0,0
100,-9.58882230528368,-0.940196992819192,-0.412784687121168,0,0,0
101,-9.59982747860769,-0.930678470237209,-0.405797582277727,0,0,0
102,-9.58817703254762,-0.928238264956789,-0.412389167232327,0,0,0
103,-9.58611627257483,-0.91705268250674,-0.394333455625481,0,0,0
104,-9.58317345300268,-0.921021087772146,-0.405332350950283,0,0,0
105,-9.59052205371576,-0.923731153164227,-0.387547531046577,0,0,0
106,-9.59265462784475,-0.9304177928373,-0.407866615372501,0,0,0
107,-9.59453958268217,-0.927759389048008,-0.412190793455907,0,0,0
108,-9.60380249546532,-0.925550747254406,-0.41002568970555,0,0,0
109,-9.5973652204397,-0.930523797045201,-0.412477947003208,0,0,0
110,-9.59487218078941,-0.932626931924119,-0.410121411493756,0,0,0
111,-9.59668092670194,-0.934460388733831,-0.418958091184366,0,0,0
112,-9.58183199051541,-0.940140283204532,-0.414931313917796,0,0,0
113,-9.58562973357033,-0.946263647271005,-0.410113024337098,0,0,0
114,-9.5928714582797,-0.942020508686821,-0.41482463884718,0,0,0
115,-9.58354995797833,-0.935047092767689,-0.421419489620108,0,0,0
116,-9.58675129160786,-0.928994950351327,-0.410539369844372,0,0,0
117,-9.57904011245294,-0.935122992439756,-0.419163782641577,0,0,0
118,-9.5847741243115,-0.942784260417087,-0.41759349010364,0,0,0
119,-9.59752932991418,-0.93295395750005,-0.414831204190571,0,0,0
120,-9.59031838311625,-0.934939199423677,-0.419156477609087,0,0,0
121,-9.58134555345916,-0.944254046124165,-0.428284360568249,0,0,0
122,-9.58159169739438,-0.942201919680649,-0.417090577083384,0,0,0
123,-9.59908891873022,-0.950537273497416,-0.412358143562087,0,0,0
124,-9.58370080464549,-0.951158194789088,-0.417079628709821,0,0,0
125,-9.58856526521534,-0.942283019534022,-0.410407288486637,0,0,0
126,-9.58593745746927,-0.939695902561437,-0.416993026812737,0,0,0
127,-9.59132933442561,-0.940295384581851,-0.412928710767111,0,0,0
128,-9.57866058260895,-0.946189710472372,-0.410020413880432,0,0,0
129,-9.58810960661124,-0.932744355130674,-0.403349907538667,0,0,0
130,-9.58608839877801,-0.930709972753032,-0.410226620955876,0,0,0
131,-9.58588473996689,-0.930523303715676,-0.41238825637505,0,0,0
132,-9.59986119121674,-0.928425446846784,-0.410317220490435,0,0,0
133,-9.59746190469609,-0.937460004280899,-0.405791927765155,0,0,0
134,-9.58420488036444,-0.933370694035473,-0.403643791978692,0,0,0
135,-9.60010355639643,-0.940017963856464,-0.408260107292474,0,0,0
136,-9.59280695854692,-0.946531320407791,-0.401268096049934,0,0,0
137,-9.5933819752361,-0.937894298305452,-0.394715037869482,0,0,0
138,-9.5886458547704,-0.937798436700143,-0.399118855729943,0,0,0
139,-9.58823121536238,-0.937413257078301,-0.414735306568063,0,0,0
