Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.55471179861894,-0.905075743403853,-2.7613919978072,0,0,0
1,-9.54873478664471,-0.902958719950043,-2.76882052121519,0,0,0
2,-9.54022271753369,-0.902977161135267,-2.74053485292099,0,0,0
3,-9.5370401024338,-0.903682036885541,-2.72639347506134,0,0,0
4,-9.53703721984648,-0.909794157464716,-2.71747597034608,0,0,0
5,-9.52692226472972,-0.908245816726454,-2.68992761286775,0,0,0
6,-9.5232892491457,-0.909196489181041,-2.66537726500788,0,0,0
7,-9.5320078113621,-0.912567853844013,-2.6564613197303,0,0,0
8,-9.53442150173316,-0.921039629750303,-2.65424931381757,0,0,0
9,-9.54429167761946,-0.919345197613087,-2.66765273281331,0,0,0
10,-9.54927272388909,-0.918825934752236,-2.68626634806383,0,0,0
11,-9.5559146463706,-0.920096251648406,-2.7145439645963,0,0,0
12,-9.55761052143025,-0.917147742590531,-2.72644836683149,0,0,0
13,-9.56141654969778,-0.910977143819793,-2.73760365352818,0,0,0
14,-9.55541311998681,-0.904253054619323,-2.71601134916306,0,0,0
15,-9.55622217150429,-0.901983871882147,-2.68922884035436,0,0,0
16,-9.54783467502537,-0.896745815254074,-2.65126668646121,0,0,0
17,-9.54779431695526,-0.893657082235584,-2.62894330213789,0,0,0
18,-9.54460355353771,-0.895884802584333,-2.62521913634244,0,0,0
19,-9.54306363358936,-0.893601076129622,-2.62372488801734,0,0,0
20,-9.54494126546872,-0.886204344368079,-2.63562611934357,0,0,0
21,-9.54625376909512,-0.886787606678171,-2.64975953449014,0,0,0
22,-9.5436844857773,-0.884135396772928,-2.64157748405171,0,0,0
23,-9.55028782671169,-0.881552971655779,-2.64083531936712,0,0,0
24,-9.55195874508404,-0.887758312490146,-2.66093661492196,0,0,0
25,-9.55243059587524,-0.902051582983649,-2.69443055851514,0,0,0
26,-9.55896044825054,-0.920053339032716,-2.75323280630312,0,0,0
27,-9.5605245418261,-0.935349923345275,-2.79863964339525,0,0,0
28,-9.54977991314695,-0.930091542104929,-2.78075793970892,0,0,0
29,-9.54766910874082,-0.91573233443945,-2.74056362594932,0,0,0
30,-9.55005812948374,-0.905075939891248,-2.70112497944187,0,0,0
31,-9.54106576447712,-0.898439297428136,-2.67729732327838,0,0,0
32,-9.53867209045229,-0.892275386702288,-2.68100118311477,0,0,0
33,-9.5402657387169,-0.893835117955379,-2.67431233778052,0,0,0
34,-9.54341961627616,-0.890050674167776,-2.67356976945195,0,0,0
35,-9.54344314476187,-0.882423979825128,-2.64528926060528,0,0,0
36,-9.53872090576374,-0.884667067970558,-2.63412322428172,0,0,0
37,-9.5402988867453,-0.885450000551248,-2.60957864124916,0,0,0
38,-9.54615680672101,-0.890535117419034,-2.62670174298224,0,0,0
39,-9.55012641895694,-0.899010860934534,-2.64755448653117,0,0,0
40,-9.55769966349818,-0.904220107832896,-2.68551422487127,0,0,0
41,-9.56070978333376,-0.909500271950224,-2.7212349981731,0,0,0
42,-9.55762118318831,-0.907220119978899,-2.73610395815067,0,0,0
43,-9.55527686574702,-0.90415076872925,-2.73311839526105,0,0,0
44,-9.55470575097159,-0.905069638140577,-2.7227078874482,0,0,0
45,-9.55219589720626,-0.904932313042099,-2.71451585956543,0,0,0
46,-9.54721498209108,-0.903745213938705,-2.70707374805362,0,0,0
47,-9.54334037054108,-0.907571186420569,-2.69814501598741,0,0,0
48,-9.54233300171339,-0.908925028131721,-2.69442092952693,0,0,0
49,-9.53723528276491,-0.900770510256126,-2.68101390316478,0,0,0
50,-9.53528302454946,-0.903525400044182,-2.67877467706659,0,0,0
51,-9.54086800805858,-0.899818142305694,-2.67059990385425,0,0,0
52,-9.54708575788923,-0.89753133035083,-2.66614540914917,0,0,0
53,-9.54262253966262,-0.898442226361086,-2.66614168513294,0,0,0
54,-9.54310919333169,-0.898987854706167,-2.67283314926614,0,0,0
55,-9.54472870088827,-0.902860256753264,-2.67135593987174,0,0,0
56,-9.54687724299735,-0.905017559194805,-2.68028716884136,0,0,0
57,-9.54922851467987,-0.908092327503923,-2.68773638559758,0,0,0
58,-9.5460264085904,-0.907254148190348,-2.68028750253474,0,0,0
59,-9.54900662904013,-0.90639530056478,-2.66913086178155,0,0,0
60,-9.55308110282744,-0.911127982075365,-2.68328478610115,0,0,0
61,-9.55060870355497,-0.914841806234432,-2.70336872772438,0,0,0
62,-9.55229992469559,-0.911889708537554,-2.71229731691272,0,0,0
63,-9.55073157208333,-0.918756614410321,-2.71676818338896,0,0,0
64,-9.55296927204764,-0.917923715924975,-2.71676956434283,0,0,0
65,-9.55007419048722,-0.921903103188213,-2.70933493910902,0,0,0
66,-9.54677911721489,-0.920230832569306,-2.70411444107332,0,0,0
67,-9.54475573112735,-0.913581981582514,-2.69369104896174,0,0,0
68,-9.54396092421429,-0.908217451376439,-2.6862414289263,0,0,0
69,-9.54551972222095,-0.904400153659929,-2.6721041542155,0,0,0
70,-9.54164682962925,-0.902113182230626,-2.6713490377019,0,0,0
71,-9.54854755968743,-0.902049223756187,-2.6758246458475,0,0,0
72,-9.55033722518939,-0.896114319104316,-2.68177497664187,0,0,0
73,-9.54791276766746,-0.899099360071735,-2.68995606275115,0,0,0
74,-9.54645823148926,-0.898408968898698,-2.68921006597684,0,0,0
75,-9.54567910320859,-0.892291875206081,-2.68399138035836,0,0,0
76,-9.5426950888178,-0.889325971812692,-2.6884466513511,0,0,0
77,-9.54265936754039,-0.887770093432782,-2.68472381999093,0,0,0
78,-9.54184890175191,-0.891566088491499,-2.69142277795457,0,0,0
79,-9.54693178786806,-0.896651780158962,-2.69887326568502,0,0,0
80,-9.54482626426893,-0.906756856097923,-2.7033528688365,0,0,0
81,-9.54925435893985,-0.911934266656469,-2.70857282438775,0,0,0
82,-9.55605897342841,-0.914855110999494,-2.71751457642005,0,0,0
83,-9.54831083064695,-0.91180879580933,-2.73014113161344,0,0,0
84,-9.55075010708522,-0.911892285871135,-2.72791662785768,0,0,0
85,-9.5460972334648,-0.905780175506066,-2.71004360124499,0,0,0
86,-9.5485289630142,-0.905093232217966,-2.69517101217784,0,0,0
87,-9.54803649383218,-0.897664053067092,-2.68400511047884,0,0,0
88,-9.54875636878494,-0.89991435302204,-2.68177720658512,0,0,0
89,-9.54935136480603,-0.902069847507627,-2.66913152405113,0,0,0
90,-9.54844358978445,-0.900441463234552,-2.66317319605017,0,0,0
91,-9.54323729116524,-0.899083871944152,-2.65051838236435,0,0,0
92,-9.53955057956161,-0.900758698081588,-2.63415107350451,0,0,0
93,-9.54100573038523,-0.897626443253276,-2.59620708992062,0,0,0
94,-9.54678872700095,-0.899597289655863,-2.6036527901505,0,0,0
95,-9.54397230367453,-0.905166445371545,-2.62746693897437,0,0,0
96,-9.55380965768389,-0.904212319726102,-2.66244461943083,0,0,0
97,-9.55467878543994,-0.908105697904854,-2.70188222728153,0,0,0
98,-9.55602783738771,-0.906424037683695,-2.71601278359665,0,0,0
99,-9.5548495339345,-0.907471642852787,-2.73387368572559,0,0,0
100,-9.55308709900239,-0.905784438931299,-2.73683895059704,0,0,0
101,-9.55300316294024,-0.908014188250982,-2.74130413958523,0,0,0
102,-9.54320149961057,-0.906703631845202,-2.74054419882285,0,0,0
103,-9.54482217346664,-0.910576789854976,-2.73981102225829,0,0,0
104,-9.53779948073283,-0.909783697959715,-2.71896505453309,0,0,0
105,-9.53929730245148,-0.909741925426194,-2.70483239348992,0,0,0
106,-9.53472169735723,-0.906745917158169,-2.69812480515321,0,0,0
107,-9.53460004144558,-0.909710853592365,-2.68622406203979,0,0,0
108,-9.53946343724339,-0.911395345549554,-2.68772838324324,0,0,0
109,-9.54133059074001,-0.912575337156305,-2.68251743257551,0,0,0
110,-9.54373267806343,-0.91568833418052,-2.68773604312499,0,0,0
111,-9.54355030187122,-0.920901257044922,-2.69517948171592,0,0,0
112,-9.55284237160533,-0.921649213831485,-2.70933341557914,0,0,0
113,-9.55514541964624,-0.920101271110519,-2.70859118331002,0,0,0
114,-9.54978984302825,-0.921688331861478,-2.7011452281189,0,0,0
115,-9.54910540541862,-0.915642508087808,-2.68700164012812,0,0,0
116,-9.54992548689861,-0.912617258212711,-2.65947424910196,0,0,0
117,-9.54705011606852,-0.906674936798861,-2.63268239567937,0,0,0
118,-9.54837425202857,-0.902679864918198,-2.607381008854,0,0,0
119,-9.55319612917392,-0.897454557361855,-2.61631271641848,0,0,0
120,-9.55091397347749,-0.899018805511251,-2.63044604982999,0,0,0
121,-9.54789074476626,-0.894494382509636,-2.62894666320478,0,0,0
122,-9.55398389076037,-0.890585002322399,-2.63341402520239,0,0,0
123,-9.56017315091433,-0.885220098505664,-2.64904000794843,0,0,0
124,-9.55857860840112,-0.88901080155807,-2.67507922793564,0,0,0
125,-9.55861780234994,-0.893627907621471,-2.7122834604845,0,0,0
126,-9.55204955129452,-0.886301278114567,-2.7383043436815,0,0,0
127,-9.54441208613087,-0.886395566381515,-2.74870651427023,0,0,0
128,-9.53994714113473,-0.893419575824484,-2.74052930137251,0,0,0
129,-9.53662279572823,-0.897839430460084,-2.74424476199956,0,0,0
130,-9.5382681116086,-0.898674806015137,-2.76284934904387,0,0,0
131,-9.53509942118609,-0.899390506423043,-2.75763532581863,0,0,0
132,-9.53260647623514,-0.90538064043555,-2.75317288913622,0,0,0
133,-9.53868454978389,-0.908338494983942,-2.74872363382138,0,0,0
134,-9.54435723746257,-0.92321962422819,-2.7487477200617,0,0,0
135,-9.54631272259694,-0.948925815464955,-2.77184625422504,0,0,0
136,-9.5448370277808,-0.951275583307092,-2.75399441599753,0,0,0
137,-9.54292163758253,-0.918719243389061,-2.68625064053366,0,0,0
138,-9.54870996048144,-0.926041484798263,-2.61261715757224,0,0,0
139,-9.54730422223997,-0.920801235870273,-2.59624267587485,0,0,0
140,-9.55283813832374,-0.911704260606905,-2.57020410598249,0,0,0
141,-9.55756621227985,-0.910994714954859,-2.60071465711668,0,0,0
142,-9.55687297857377,-0.903415621734531,-2.63492353740422,0,0,0
143,-9.5585153818833,-0.896605104184829,-2.6431010727949,0,0,0
144,-9.55401207020041,-0.892899589598335,-2.64011355608508,0,0,0
145,-9.55081022526292,-0.889004141581496,-2.63637956779275,0,0,0
146,-9.54744645188246,-0.886338407356605,-2.64084222444096,0,0,0
147,-9.54286936415475,-0.88945690075607,-2.66092545753846,0,0,0
148,-9.5443116898506,-0.893960809523264,-2.69292198273929,0,0,0
149,-9.54788570095746,-0.892965135365806,-2.71449527300705,0,0,0
150,-9.54486249849919,-0.89684902447492,-2.7293753690141,0,0,0
151,-9.54501612810334,-0.89849426196309,-2.73905234606154,0,0,0
152,-9.54140021665025,-0.891816235659119,-2.75168655445358,0,0,0
153,-9.53611257967951,-0.896512181421497,-2.7494544644187,0,0,0
154,-9.53278623742401,-0.901693806566974,-2.72490200134929,0,0,0
155,-9.53878769743377,-0.906121028384753,-2.68697680425752,0,0,0
156,-9.54184233853633,-0.91143169125098,-2.6468183554268,0,0,0
157,-9.5453365508579,-0.915725104956074,-2.6371535467257,0,0,0
158,-9.54509900326147,-0.924718030005668,-2.64832138546687,0,0,0
159,-9.55210046513334,-0.916323138446583,-2.66617672085372,0,0,0
160,-9.55370489045173,-0.923241909230783,-2.68627774229033,0,0,0
161,-9.55978499782962,-0.923908797147211,-2.69447160424458,0,0,0
162,-9.55598408028604,-0.917090505779669,-2.69296699676256,0,0,0
163,-9.55609477933765,-0.920231106533417,-2.69074256653491,0,0,0
164,-9.55693454180178,-0.911871793323851,-2.69073238253329,0,0,0
165,-9.54960317613129,-0.905318137078134,-2.68774017186343,0,0,0
166,-9.5449264563621,-0.903010614818183,-2.69367816362941,0,0,0
167,-9.54281188865473,-0.901643187301275,-2.6795414322678,0,0,0
168,-9.54342664161005,-0.902284851302786,-2.66391809250807,0,0,0
169,-9.54243870998002,-0.899831945398356,-2.66837166606157,0,0,0
170,-9.5403424177239,-0.904594447433053,-2.69367288850771,0,0,0
171,-9.53901417448373,-0.900942857202267,-2.70780347704821,0,0,0
172,-9.54742753086003,-0.900085405309097,-2.73459783689648,0,0,0
173,-9.54874323942713,-0.903728580261356,-2.74724816899303,0,0,0
174,-9.54562451404028,-0.906774503523946,-2.72790440582286,0,0,0
175,-9.5460882594383,-0.908065710010859,-2.69293679402181,0,0,0
176,-9.5470198680777,-0.904360194424566,-2.65945938089827,0,0,0
177,-9.55306888936942,-0.901945666283275,-2.65128143106637,0,0,0
178,-9.55246429487218,-0.897490125854549,-2.6691307456265,0,0,0
179,-9.55238236445466,-0.897428821205816,-2.68623910108567,0,0,0
180,-9.55174994608392,-0.89983054133399,-2.68698835851355,0,0,0
181,-9.55090263810977,-0.907419443836472,-2.67435046494588,0,0,0
182,-9.54820751313217,-0.911728101806979,-2.66392971616781,0,0,0
183,-9.54980466276673,-0.913290360416334,-2.65947270374914,0,0,0
184,-9.55138144674973,-0.910251711727599,-2.66467903784275,0,0,0
185,-9.54842212868139,-0.909597590989448,-2.67360200155091,0,0,0
186,-9.54076958498799,-0.909680206044089,-2.67433285213466,0,0,0
187,-9.54458409845152,-0.912687550293956,-2.68029529796186,0,0,0
188,-9.54153098375952,-0.913490843802985,-2.67954752503169,0,0,0
189,-9.54082794947666,-0.910489028491093,-2.68475030337125,0,0,0
190,-9.54707589331487,-0.908225706717371,-2.69963851739365,0,0,0
191,-9.54259725617431,-0.90836122385138,-2.71674350886216,0,0,0
192,-9.53866366543819,-0.906792917194953,-2.71970776590351,0,0,0
193,-9.54318673075005,-0.907455348551699,-2.70409286447957,0,0,0
194,-9.5492767079205,-0.90583606807928,-2.69517311855001,0,0,0
195,-9.54932782037828,-0.901288188892844,-2.6810325573258,0,0,0
196,-9.55033115165241,-0.899166712942139,-2.67434039390052,0,0,0
197,-9.55424526816661,-0.890783901731956,-2.6616890386614,0,0,0
198,-9.55397516718123,-0.892872088707635,-2.6512715723112,0,0,0
199,-9.55233767662945,-0.896629281708087,-2.64978467453711,0,0,0
200,-9.55626693907764,-0.905074587436851,-2.67956365804012,0,0,0
