Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.53501390040348,0.360651015936498,-2.68914634118512,0,0,0
1,-9.53517181770012,0.360512924668878,-2.68617426050828,0,0,0
2,-9.53605022334575,0.368077710210874,-2.68393436352317,0,0,0
3,-9.534592426296,0.371827153247564,-2.68467135052903,0,0,0
4,-9.53750240679306,0.36969408840128,-2.6943478268044,0,0,0
5,-9.53612696426553,0.368768919800286,-2.69732596745699,0,0,0
6,-9.5329583245272,0.37037271585046,-2.69657166928536,0,0,0
7,-9.53096778741596,0.366940868413719,-2.69286189423502,0,0,0
8,-9.53763353356992,0.368039397391937,-2.69658529919376,0,0,0
9,-9.53762714533079,0.367279888420542,-2.70030602201838,0,0,0
10,-9.53471928689231,0.367839555199177,-2.70327990370256,0,0,0
11,-9.53522426568655,0.368891401964238,-2.70327270414082,0,0,0
12,-9.53703524047176,0.367830659555411,-2.70179677287248,0,0,0
13,-9.53461000796155,0.366431017329029,-2.69807154911016,0,0,0
14,-9.53687441685482,0.358017983481122,-2.7003208121499,0,0,0
15,-9.53970661337967,0.358312559334307,-2.69362373938244,0,0,0
16,-9.53917333449538,0.364955358379143,-2.69138608787934,0,0,0
17,-9.53543448410536,0.368668832843067,-2.69137555669669,0,0,0
18,-9.53687879947839,0.368787539837191,-2.69211942983901,0,0,0
19,-9.53461820218062,0.364878092214038,-2.69435481634019,0,0,0
20,-9.53158660367344,0.360200579647011,-2.69733390239063,0,0,0
21,-9.53774753097627,0.367897715075652,-2.69584503332105,0,0,0
22,-9.53761321465409,0.367290768686688,-2.69137849579622,0,0,0
23,-9.53612703310405,0.367222322565551,-2.68840151015693,0,0,0
24,-9.53858252959919,0.368580768630715,-2.68692021749224,0,0,0
25,-9.53774288741159,0.367901341835545,-2.69286918754535,0,0,0
26,-9.53688931692806,0.367232782411827,-2.68989061782345,0,0,0
27,-9.5367530908486,0.367375022839508,-2.68988689771247,0,0,0
28,-9.53607054231797,0.368826342618721,-2.6891411647569,0,0,0
29,-9.53609086129018,0.369574975026567,-2.69434796599063,0,0,0
30,-9.53838420789305,0.368058924117688,-2.69063480105727,0,0,0
31,-9.53667199743862,0.359023885871241,-2.68915431384292,0,0,0
32,-9.53825937544554,0.359746939808075,-2.69659660775799,0,0,0
33,-9.53772662863278,0.366385066151187,-2.69807875808988,0,0,0
34,-9.53749776323994,0.369697715152151,-2.69137198843199,0,0,0
35,-9.53455130529429,0.365729911394713,-2.69286351325091,0,0,0
36,-9.53600086850065,0.364293747190512,-2.69137856680642,0,0,0
37,-9.53462639669147,0.363325182365091,-2.69063808046699,0,0,0
38,-9.53837925296651,0.358054316963499,-2.6906516813995,0,0,0
39,-9.53894994368213,0.362125148560194,-2.69138481723234,0,0,0
40,-9.542207890343,0.367319601674087,-2.68915495908435,0,0,0
41,-9.53914232035661,0.371143999875016,-2.68616730724972,0,0,0
42,-9.54144560651899,0.36730914182781,-2.68766585141783,0,0,0
43,-9.53610729140887,0.365708752154259,-2.69137919391996,0,0,0
44,-9.53696144452483,0.367141357683874,-2.68691723019804,0,0,0
45,-9.54063274150199,0.366591232841386,-2.68617643644514,0,0,0
46,-9.53698292416268,0.36788906859136,-2.69286800153091,0,0,0
47,-9.53846330301281,0.367962050964043,-2.69212518210915,0,0,0
48,-9.54152296220384,0.366449152442035,-2.69585280383028,0,0,0
49,-9.53741201900931,0.359821146378357,-2.70328856436125,0,0,0
50,-9.53844188811803,0.36413879294337,-2.69287497465241,0,0,0
51,-9.53771682870487,0.364081729528035,-2.69064313367199,0,0,0
52,-9.53611142055525,0.363394515807663,-2.69287110654234,0,0,0
53,-9.53522475703121,0.360458262608369,-2.6921271803684,0,0,0
54,-9.53626954174593,0.366276357685561,-2.68915130625441,0,0,0
55,-9.53388204100949,0.365611720210849,-2.70179232145821,0,0,0
56,-9.53235898617182,0.373283065005146,-2.69880119601469,0,0,0
57,-9.53176420416176,0.373840151230318,-2.69508422201343,0,0,0
58,-9.53612173691613,0.368008504140045,-2.70179065080013,0,0,0
59,-9.53853652280684,0.369416290414488,-2.69882022467413,0,0,0
60,-9.53916236846232,0.36112395495868,-2.69883153309236,0,0,0
61,-9.53449743738883,0.357327504252066,-2.695107979706,0,0,0
62,-9.53452588885876,0.35959875546096,-2.68989749108871,0,0,0
63,-9.53530217957453,0.359580767272382,-2.67576463869555,0,0,0
64,-9.54148348560165,0.364951010557144,-2.6861831454963,0,0,0
65,-9.54074667362363,0.367996150598608,-2.694360623556,0,0,0
66,-9.53766676266181,0.365684873347878,-2.69212675676477,0,0,0
67,-9.53227799545844,0.358754949309008,-2.69361588951054,0,0,0
68,-9.53914204971564,0.360375337361222,-2.69362472320341,0,0,0
69,-9.53995877764519,0.369552230927643,-2.68542883622913,0,0,0
70,-9.53705782370162,0.373181979792024,-2.6861659070059,0,0,0
71,-9.52877312120008,0.376810915962665,-2.69507579708159,0,0,0
72,-9.53921674167001,0.37183700808006,-2.69807099109374,0,0,0
73,-9.54086692707553,0.373236092493165,-2.69212352862948,0,0,0
74,-9.53913494695524,0.365002873225936,-2.69138485819772,0,0,0
75,-9.53827983082772,0.35587349403227,-2.69957951703228,0,0,0
76,-9.53750179998375,0.35665731627128,-2.70478390356133,0,0,0
77,-9.53914437149798,0.360373523981275,-2.69511264609126,0,0,0
78,-9.53763148156368,0.358797004436887,-2.6906495751701,0,0,0
79,-9.53766444088044,0.365686686727073,-2.69063883449386,0,0,0
80,-9.53764418645247,0.361862533107342,-2.69213258784963,0,0,0
81,-9.53840001839019,0.36418902370705,-2.69064186095342,0,0,0
82,-9.5385348494846,0.367106592168386,-2.69659233285047,0,0,0
83,-9.53543332321467,0.368669739532665,-2.69063159556123,0,0,0
84,-9.53761495933431,0.368053904413465,-2.68468193089755,0,0,0
85,-9.53543926510627,0.36557205833753,-2.6765024619023,0,0,0
86,-9.5362683174431,0.369352788395537,-2.68170677911437,0,0,0
