Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.81216992754648,-0.116728513911138,-1.31309658939684,0,0,0
1,-9.80785840502012,-0.110130163673009,-1.31236959296962,0,0,0
2,-9.80782068269363,-0.112393151240381,-1.31162836320125,0,0,0
3,-9.81071063582898,-0.116806105972228,-1.30715849985551,0,0,0
4,-9.80764580858053,-0.113773629240267,-1.30490191904411,0,0,0
5,-9.81143563704336,-0.109877826312487,-1.30414307166916,0,0,0
6,-9.81246841940706,-0.107038899954404,-1.31311701951985,0,0,0
7,-9.81374180259078,-0.109097242181539,-1.31307356950236,0,0,0
8,-9.81353906197186,-0.111984288937988,-1.30411700916795,0,0,0
9,-9.81114256233529,-0.114981216815163,-1.30558891484147,0,0,0
10,-9.81669288047518,-0.118154173014121,-1.30492167114048,0,0,0
11,-9.81232081975623,-0.119919755347129,-1.30645294454581,0,0,0
12,-9.80850989926689,-0.116910479150217,-1.31312304658876,0,0,0
13,-9.81064409031289,-0.116748528497205,-1.30937427425567,0,0,0
14,-9.81062842026214,-0.11750044715836,-1.30714322830927,0,0,0
15,-9.81210899129561,-0.120501708062758,-1.31310118850514,0,0,0
16,-9.81059418037866,-0.119766177095444,-1.30863396495296,0,0,0
17,-9.81003399483272,-0.116124952412887,-1.30791657453022,0,0,0
18,-9.80970417106413,-0.115075139679389,-1.31304261000409,0,0,0
19,-9.80581840426095,-0.115828135928417,-1.31078944351538,0,0,0
20,-9.80901862974762,-0.118977612730227,-1.31010245754146,0,0,0
21,-9.80901224710292,-0.119736788873918,-1.31382331877205,0,0,0
22,-9.80816208911943,-0.116610801126637,-1.31453005281359,0,0,0
23,-9.80776748795948,-0.111581823735669,-1.31458720572114,0,0,0
24,-9.81151727464803,-0.109947225092784,-1.311599147726,0,0,0
25,-9.81074623204841,-0.110715044746838,-1.31234287003981,0,0,0
26,-9.81215851281441,-0.112893189569507,-1.31158781987892,0,0,0
27,-9.81056729272085,-0.112856513648633,-1.31082526649718,0,0,0
28,-9.80838570887826,-0.110683378651903,-1.30562722367205,0,0,0
29,-9.80895808305926,-0.113569953393068,-1.30634369526387,0,0,0
30,-9.8085298214798,-0.110043051619331,-1.30045076312632,0,0,0
31,-9.81152114026065,-0.113012495699137,-1.30045918678749,0,0,0
32,-9.81204921254115,-0.110504070830142,-1.30783273562851,0,0,0
33,-9.80993107907847,-0.112976727769583,-1.30044062597793,0,0,0
34,-9.8075782989096,-0.108360504868155,-1.29667923165601,0,0,0
35,-9.80844876919658,-0.110738266203015,-1.30117948290791,0,0,0
36,-9.80996590198057,-0.111475610616442,-1.30713468363879,0,0,0
37,-9.80934381394683,-0.107780472969332,-1.31160902324038,0,0,0
38,-9.81072534034864,-0.112227042576655,-1.31457667545119,0,0,0
39,-9.81057503333614,-0.108271922957862,-1.31377950524571,0,0,0
40,-9.81061836406472,-0.109839742172223,-1.31230956311929,0,0,0
41,-9.81082496427881,-0.110018016692729,-1.31012617709246,0,0,0
42,-9.81208055299253,-0.109000211301273,-1.31229482194178,0,0,0
43,-9.80714055557446,-0.111709302842451,-1.31015447153005,0,0,0
44,-9.8092192338813,-0.110734152609848,-1.30787656630929,0,0,0
45,-9.80827389918564,-0.113647075400209,-1.31007864006949,0,0,0
46,-9.80680938470016,-0.114484766375954,-1.3086054037339,0,0,0
47,-9.80614415199479,-0.117638919382191,-1.31087224757293,0,0,0
48,-9.8028940177262,-0.117507131842247,-1.31081892452806,0,0,0
49,-9.80663741644111,-0.116631722381875,-1.31155172996907,0,0,0
50,-9.80838203338178,-0.116035245584185,-1.31308973908917,0,0,0
51,-9.8106835569491,-0.115251038236289,-1.31904428627394,0,0,0
52,-9.81601353631305,-0.114408667255133,-1.31756369195399,0,0,0
53,-9.81072417941511,-0.112226135853599,-1.31383268686183,0,0,0
54,-9.81394860336997,-0.10544926997984,-1.31682130266255,0,0,0
55,-9.8154301450525,-0.112277663829448,-1.31759213784243,0,0,0
56,-9.81138514889112,-0.113659199468058,-1.31084356532794,0,0,0
57,-9.80610875135753,-0.119903731496699,-1.3116189959222,0,0,0
58,-9.8053585997943,-0.119159557029883,-1.31012891221126,0,0,0
59,-9.80833328438108,-0.119053800905481,-1.31309341837581,0,0,0
60,-9.8087209145744,-0.124077509448826,-1.30857234405942,0,0,0
61,-9.8047107736457,-0.120798937824653,-1.30792998238325,0,0,0
62,-9.80765161324817,-0.113778162855549,-1.30862186199088,0,0,0
63,-9.81250169388328,-0.113189326770742,-1.30720484721644,0,0,0
64,-9.81081742082443,-0.110776278716817,-1.31310305250091,0,0,0
65,-9.80980843857576,-0.112869694452146,-1.31156806837427,0,0,0
66,-9.80553404896118,-0.117015338491008,-1.30941454847215,0,0,0
67,-9.80760963233433,-0.12062837806565,-1.30715835454869,0,0,0
68,-9.81351139966107,-0.121908030742849,-1.29820944092959,0,0,0
69,-9.81286455256925,-0.115131242229228,-1.30043194124045,0,0,0
70,-9.80929332116746,-0.11003349767922,-1.30268391591794,0,0,0
71,-9.81060268905285,-0.109063334606662,-1.29445293195073,0,0,0
72,-9.80928539178119,-0.106200879289566,-1.30340711584321,0,0,0
73,-9.80629485413095,-0.0986413868266962,-1.30188900676015,0,0,0
74,-9.81225639884158,-0.0976750220164029,-1.3078170984303,0,0,0
75,-9.80967944342025,-0.0965917132586661,-1.31981149735948,0,0,0
76,-9.81115208821131,-0.0957602977673321,-1.3264926558454,0,0,0
77,-9.80575768207475,-0.100373098466863,-1.32574588282136,0,0,0
78,-9.81080407793333,-0.113058318576539,-1.32798558990884,0,0,0
79,-9.81525217789867,-0.121302888093256,-1.34213861354499,0,0,0
80,-9.81434087926617,-0.125776372710807,-1.33691882040766,0,0,0
81,-9.81200124369248,-0.124232775422816,-1.32796935945087,0,0,0
82,-9.80751813651486,-0.122843802773057,-1.31681677433367,0,0,0
83,-9.80899039140335,-0.117421633304841,-1.32124424490438,0,0,0
84,-9.80612017598743,-0.111495698076666,-1.32273631566973,0,0,0
85,-9.81151785766666,-0.110711837876727,-1.31978394203054,0,0,0
86,-9.81216722229931,-0.113664153108044,-1.32498052876097,0,0,0
87,-9.80979102943179,-0.114384427246482,-1.3160338358701,0,0,0
88,-9.80455409466597,-0.117603173579035,-1.31085368247843,0,0,0
89,-9.8029319203645,-0.12366120553075,-1.30788271449989,0,0,0
90,-9.80373488098055,-0.120625842493498,-1.30416027836368,0,0,0
