Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.46409575201725,-1.47779888116008,-1.49208130232571,0,0,0
1,-9.42698147334541,-1.41777514129428,-1.44263237965874,0,0,0
2,-9.36495826053526,-1.35136061761657,-1.40209357295311,0,0,0
3,-9.29640696234707,-1.28283989001499,-1.36622477794907,0,0,0
4,-9.21182885100851,-1.21679084508875,-1.32795892691767,0,0,0
5,-9.18135460378777,-1.18588633597018,-1.36684462697295,0,0,0
6,-9.27246903529778,-1.21567933159565,-1.40455807550307,0,0,0
7,-9.34282224925014,-1.31806395431353,-1.29133656208235,0,0,0
8,-9.40202004374814,-1.43409541441742,-1.28228659900878,0,0,0
9,-9.44833132320821,-1.50752164383254,-1.35233397606411,0,0,0
10,-9.43308220553142,-1.51469486185384,-1.29857510758669,0,0,0
11,-9.41420541183758,-1.50356463888404,-1.29109137897157,0,0,0
12,-9.43153370401866,-1.46969860533753,-1.33927508769761,0,0,0
13,-9.42951390401819,-1.44270421593102,-1.33915856116776,0,0,0
14,-9.41166750479451,-1.39571081674238,-1.27780433303281,0,0,0
15,-9.38292146908098,-1.36248347698736,-1.24172478354299,0,0,0
16,-9.38640797366409,-1.31305822266341,-1.21722601474651,0,0,0
17,-9.37714778395293,-1.24145213738293,-1.17724353338133,0,0,0
18,-9.40666921941618,-1.17782347092796,-1.18799767757348,0,0,0
19,-9.41048780304789,-1.18212451431649,-1.19658456792127,0,0,0
20,-9.40311133479538,-1.206936970899,-1.20093327322654,0,0,0
21,-9.3824544921429,-1.27940071741285,-1.20597259498564,0,0,0
22,-9.37580299312917,-1.3738612552462,-1.1873697697247,0,0,0
23,-9.3602729436978,-1.42386377472972,-1.12256603695238,0,0,0
24,-9.36330237043401,-1.46181725553097,-1.1851724584867,0,0,0
25,-9.36765247529667,-1.47735121960636,-1.35241978955175,0,0,0
26,-9.36829081547439,-1.45038425638669,-1.36162829646205,0,0,0
27,-9.36211709784294,-1.41682067765919,-1.29617502996193,0,0,0
28,-9.36260495831598,-1.37403509135244,-1.30284885300424,0,0,0
29,-9.39912632720664,-1.32163471406299,-1.30032882183144,0,0,0
30,-9.44930234454975,-1.28478790679951,-1.3432439046755,0,0,0
31,-9.48394635852137,-1.27313102723033,-1.31657260816121,0,0,0
32,-9.50998369545793,-1.22102572914969,-1.3530382805011,0,0,0
33,-9.54831599232004,-1.1932660079534,-1.41372544303678,0,0,0
34,-9.53342992333063,-1.19150305379829,-1.34205549621041,0,0,0
35,-9.51202125142594,-1.22554755425578,-1.26029161036562,0,0,0
36,-9.47055063266775,-1.26664584311032,-1.27593751185761,0,0,0
37,-9.44731207446078,-1.33458392444856,-1.26714016804251,0,0,0
38,-9.43009479350363,-1.38651071860182,-1.22600567547333,0,0,0
39,-9.43013837500616,-1.40908294839353,-1.22401627322093,0,0,0
40,-9.43670647871029,-1.42019645257225,-1.24658392407926,0,0,0
41,-9.40723253153467,-1.38003821818573,-1.24154335547279,0,0,0
42,-9.36545446017305,-1.35388765823408,-1.21042128127234,0,0,0
43,-9.36841947849421,-1.31113130861129,-1.19013942057093,0,0,0
44,-9.37689545974891,-1.30636252105461,-1.19873287378138,0,0,0
