Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.78027617062832,-0.0306615138768246,-1.73030880131544,0,0,0
1,-9.77812157113925,-0.0262116289972877,-1.72881266315003,0,0,0
2,-9.77991197723509,-0.0241159937308114,-1.73923108531989,0,0,0
3,-9.78056848571348,-0.0201916952394103,-1.73848114219788,0,0,0
4,-9.78314382493861,-0.0158098099599706,-1.74145843572873,0,0,0
5,-9.77324134537547,-0.0144194009163097,-1.74590406177485,0,0,0
6,-9.77239835891735,-0.0197186009811618,-1.7473972319959,0,0,0
7,-9.76887858308787,-0.0230738417972157,-1.74888806427418,0,0,0
8,-9.77017911630746,-0.0236311350565199,-1.75558353163053,0,0,0
9,-9.76727713632791,-0.0222645097694761,-1.75855450836968,0,0,0
10,-9.76934749909298,-0.0220526891568479,-1.76376230559319,0,0,0
11,-9.77184077319975,-0.0260193555074347,-1.76526271887357,0,0,0
12,-9.77236359505418,-0.0326969864589959,-1.75336712263322,0,0,0
13,-9.7798431334965,-0.0363003876587473,-1.75040689011049,0,0,0
14,-9.77680041114395,-0.0355826844304511,-1.74072977517565,0,0,0
15,-9.77918769645399,-0.0287489722356491,-1.73923713524675,0,0,0
16,-9.77390574489703,-0.0265707643322837,-1.73997003014905,0,0,0
17,-9.77631070220817,-0.0251082237560465,-1.73476575398956,0,0,0
18,-9.77320078536141,-0.0258642799763931,-1.73252920080318,0,0,0
19,-9.77079251949499,-0.0242632710259215,-1.73921685330467,0,0,0
20,-9.77018360002145,-0.0251665275705414,-1.73921915897541,0,0,0
21,-9.77174573108639,-0.0259423041813981,-1.73922330837832,0,0,0
22,-9.77151141805408,-0.0234515576661189,-1.73996021869923,0,0,0
23,-9.77406193505824,-0.0167538362122325,-1.73847015112012,0,0,0
24,-9.77264171609547,-0.0153300551688358,-1.75185804036463,0,0,0
25,-9.77066835286658,-0.0203321921687173,-1.76003958821831,0,0,0
26,-9.77980213509451,-0.0224926240713251,-1.757825578283,0,0,0
27,-9.77834244919697,-0.0225670389054206,-1.76154385369561,0,0,0
28,-9.77314843403578,-0.0219922303019288,-1.76451219272486,0,0,0
29,-9.77361177468075,-0.0263242547891284,-1.76079565049741,0,0,0
30,-9.77013498694688,-0.0266547971057917,-1.75856304369021,0,0,0
31,-9.77547757875108,-0.0311795487287981,-1.75039505563711,0,0,0
32,-9.77603870986995,-0.0363581265538567,-1.74742512912564,0,0,0
33,-9.77214868759429,-0.0348143920933427,-1.74369585200251,0,0,0
34,-9.7746225689674,-0.0326438467025396,-1.73997943573204,0,0,0
35,-9.77308059889648,-0.032651165945867,-1.72584186075967,0,0,0
36,-9.7714915156985,-0.0264970062194426,-1.7235977005189,0,0,0
37,-9.76852235722305,-0.0266041077201221,-1.73400921122888,0,0,0
38,-9.77552204184993,-0.0205052407771912,-1.73922108223192,0,0,0
39,-9.77294514481646,-0.0225894815261368,-1.74665556129815,0,0,0
40,-9.77747408668064,-0.0247854584517318,-1.75038521917402,0,0,0
41,-9.78154071600038,-0.0257111579407533,-1.75486012475342,0,0,0
42,-9.7829657189779,-0.0256068543481157,-1.76378825502433,0,0,0
43,-9.77611625409664,-0.0264741419156551,-1.76526641554525,0,0,0
44,-9.77537081439887,-0.0257332121662146,-1.76675222351299,0,0,0
45,-9.77692365863755,-0.0265017440889756,-1.76080472487017,0,0,0
46,-9.7739082235508,-0.0250408115059677,-1.76079814030703,0,0,0
47,-9.77386542800648,-0.0234754826922139,-1.7526119052841,0,0,0
48,-9.7761501081567,-0.0188523329381205,-1.74368159706847,0,0,0
49,-9.77328107524635,-0.0182788470497219,-1.74070267888909,0,0,0
50,-9.77016187913482,-0.01902762284642,-1.73251446559414,0,0,0
51,-9.77327261844775,-0.0243941547406247,-1.72806446447286,0,0,0
52,-9.775484137878,-0.025830180622534,-1.73476463296769,0,0,0
53,-9.76942903960305,-0.0213575279377171,-1.73846855673709,0,0,0
54,-9.77157818949782,-0.0196809914540304,-1.74367540135268,0,0,0
55,-9.77839512777194,-0.0218464735625593,-1.75261631801652,0,0,0
56,-9.78355603247617,-0.0246890871890775,-1.75188261956143,0,0,0
57,-9.78233941555008,-0.0264964879754169,-1.75263122049055,0,0,0
58,-9.7774843716206,-0.0278545038573606,-1.75336558813869,0,0,0
59,-9.77818451878766,-0.0316182555864448,-1.75411533209989,0,0,0
60,-9.77443452069659,-0.0317212847326306,-1.75113443810142,0,0,0
61,-9.77222010227939,-0.031047471121801,-1.75038686472221,0,0,0
62,-9.77301763264043,-0.0318318770334683,-1.74741400299071,0,0,0
63,-9.77436634174641,-0.02860424729856,-1.74592133945667,0,0,0
64,-9.77146073196846,-0.0302956611558389,-1.74294518718593,0,0,0
65,-9.76992938172811,-0.0272502968119303,-1.73921849131259,0,0,0
66,-9.76858506098316,-0.02359493783387,-1.74293301932593,0,0,0
67,-9.77466561906912,-0.0166109126699166,-1.74293250739243,0,0,0
68,-9.77179251497579,-0.0167988157635652,-1.74516221279116,0,0,0
69,-9.77407370955649,-0.0137020233273577,-1.74962497464263,0,0,0
70,-9.77409154156467,-0.0160124276673069,-1.74962859698162,0,0,0
71,-9.77385954629272,-0.0135232273122951,-1.75185339715373,0,0,0
72,-9.77452800896449,-0.0249134118111849,-1.74071076008975,0,0,0
73,-9.78053232060658,-0.02628267067467,-1.74295310043736,0,0,0
74,-9.77529052558652,-0.033318683010426,-1.75857876305872,0,0,0
75,-9.77606400618022,-0.027962413936185,-1.74741328510055,0,0,0
76,-9.77210605919658,-0.0301882593615268,-1.73922487335556,0,0,0
77,-9.77211725889331,-0.026371451136783,-1.74219523957613,0,0,0
78,-9.77504923955394,-0.0292935389447463,-1.73922698283914,0,0,0
79,-9.78136437246408,-0.0316868992032762,-1.73924351724314,0,0,0
80,-9.78078234623459,-0.0280210709592292,-1.74444715046043,0,0,0
81,-9.78090908103733,-0.0174138005454194,-1.7511290270398,0,0,0
82,-9.77930679368018,-0.00895255364459336,-1.75185703985358,0,0,0
83,-9.7763076269287,-0.0059752047038575,-1.74664091913454,0,0,0
84,-9.77396762642162,-0.0159099067842759,-1.73995543133677,0,0,0
85,-9.77201366517312,-0.0255203412707152,-1.73772886905354,0,0,0
86,-9.7722764254669,-0.0272687632490276,-1.74740643481255,0,0,0
87,-9.77371902841598,-0.0225880886503971,-1.75558422169566,0,0,0
88,-9.77690756902204,-0.0234282036299309,-1.75410456353984,0,0,0
89,-9.77328090194315,-0.0228687399864556,-1.75261238710081,0,0,0
90,-9.7754330357149,-0.030377438414799,-1.74890535754069,0,0,0
91,-9.77906476319014,-0.033237370350239,-1.74221762952605,0,0,0
92,-9.77518734595656,-0.0347643929769292,-1.74295663888225,0,0,0
93,-9.77215972005491,-0.034058469181846,-1.74295097459551,0,0,0
94,-9.77061542374147,-0.0355930478512708,-1.74295044315631,0,0,0
95,-9.76908523456945,-0.0325486160817208,-1.73996770413234,0,0,0
96,-9.77301141720479,-0.0280015328360768,-1.7392250127168,0,0,0
