Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.49957715154697,-0.168283209722647,-2.97011592868018,0,0,0
1,-9.50510956654411,-0.16369062424314,-2.96937747853434,0,0,0
2,-9.50047552744722,-0.164512877905465,-2.97457746458978,0,0,0
3,-9.49822484150823,-0.163042719355777,-2.97754779903773,0,0,0
4,-9.4978128141492,-0.16220829414419,-2.97679481085153,0,0,0
5,-9.49709750459267,-0.168290073609031,-2.9775476336362,0,0,0
6,-9.499371063667,-0.172795416728052,-2.9753262738948,0,0,0
7,-9.50013852500754,-0.172024205556202,-2.97235080938768,0,0,0
8,-9.4962821984644,-0.166771446557675,-2.97159179579439,0,0,0
9,-9.49771058433452,-0.168247254121427,-2.97382645001034,0,0,0
10,-9.50333114235467,-0.167463506325741,-2.97830284510777,0,0,0
11,-9.50398801134925,-0.168942501668289,-2.97309698889568,0,0,0
12,-9.49861499489425,-0.16826371566138,-2.97606214120796,0,0,0
13,-9.4973198401486,-0.163790582347831,-2.98275235103919,0,0,0
14,-9.49598112065343,-0.161578000740664,-2.9849817337242,0,0,0
15,-9.50034878600989,-0.159950996482258,-2.9820072009282,0,0,0
16,-9.4978050273512,-0.159184829103431,-2.98571694707756,0,0,0
17,-9.49564948994881,-0.159999442060266,-2.98274130146797,0,0,0
18,-9.49592129177043,-0.165355413017007,-2.9857302702419,0,0,0
19,-9.49728592420958,-0.161511616902116,-2.98274823095667,0,0,0
20,-9.49097715356445,-0.162321464805621,-2.97901593210947,0,0,0
21,-9.49262054448935,-0.163839065216637,-2.98348645131753,0,0,0
22,-9.49853576751523,-0.169008748384947,-2.97829350199782,0,0,0
23,-9.49664206945807,-0.162295300457375,-2.97456741828878,0,0,0
24,-9.49794106592431,-0.16222439404654,-2.96861426871516,0,0,0
25,-9.49754454697137,-0.165176263789342,-2.96712333690322,0,0,0
26,-9.4977799531973,-0.166729675514235,-2.95745946285878,0,0,0
27,-9.4988974150861,-0.162239443647962,-2.95894838171559,0,0,0
28,-9.50315191979199,-0.159078428410179,-2.95820114163351,0,0,0
29,-9.50572845939579,-0.162122645921368,-2.95375152361445,0,0,0
30,-9.50625241860384,-0.163581897294085,-2.95375051240097,0,0,0
31,-9.50496018645981,-0.158346246398775,-2.95448832110979,0,0,0
32,-9.50393413645512,-0.161336099783018,-2.95076711921505,0,0,0
33,-9.50261168278382,-0.15913620090448,-2.963411526872,0,0,0
34,-9.50414275311289,-0.16366743812639,-2.97234796579587,0,0,0
35,-9.49785975089569,-0.166749943010594,-2.96341226762251,0,0,0
36,-9.49943742721259,-0.158399334992845,-2.95968350303307,0,0,0
37,-9.49818781620579,-0.154684688104887,-2.9581927083581,0,0,0
38,-9.50031024347562,-0.156138703116209,-2.9634029363403,0,0,0
39,-9.49952360080242,-0.159189465562601,-2.97754014364791,0,0,0
40,-9.49718441046596,-0.15845700496165,-2.97679037736747,0,0,0
41,-9.50043672948904,-0.158447986738299,-2.97754312098845,0,0,0
42,-9.49713025993818,-0.170568110353184,-2.97680781908471,0,0,0
43,-9.49085437261418,-0.165327016070162,-2.97678646449564,0,0,0
44,-9.49142406502023,-0.169066527166027,-2.97976527303414,0,0,0
45,-9.49470000515799,-0.166789323288043,-2.9767955910946,0,0,0
46,-9.4972251669183,-0.169070488776074,-2.97680733345563,0,0,0
47,-9.49795255206386,-0.170562486900061,-2.97160283136547,0,0,0
48,-9.49858886656387,-0.169008151734253,-2.9671358761845,0,0,0
49,-9.4993348424148,-0.168984999563581,-2.95820987643915,0,0,0
50,-9.4978736996569,-0.16523115127431,-2.95671503707577,0,0,0
51,-9.50159887968207,-0.169700778566082,-2.95598255844376,0,0,0
52,-9.49937934747354,-0.161413360257553,-2.95373573099311,0,0,0
53,-9.5008222513564,-0.162135631952608,-2.95745733496556,0,0,0
54,-9.49920346101334,-0.16441946744275,-2.96266389591804,0,0,0
55,-9.50396374737436,-0.160594379967317,-2.96192517602455,0,0,0
56,-9.50111591197381,-0.16219684388432,-2.96490205325068,0,0,0
57,-9.49855355556864,-0.162945905246956,-2.97233332829715,0,0,0
58,-9.4976961903334,-0.160671558975349,-2.97679025812654,0,0,0
59,-9.50167761842809,-0.1629207287696,-2.98126660780556,0,0,0
60,-9.49760208547112,-0.166716924724324,-2.97902941616251,0,0,0
61,-9.49774542854402,-0.166744767355173,-2.98051999239872,0,0,0
62,-9.49467793023775,-0.168301783242873,-2.97828529545108,0,0,0
63,-9.49854332238023,-0.168249802145473,-2.97531685402343,0,0,0
64,-9.49800947025101,-0.167547599388948,-2.97680667810671,0,0,0
65,-9.49980448720497,-0.159240762362437,-2.97680163437773,0,0,0
