Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.53092493201539,-0.628792264585245,-1.05154572795872,0,0,0
1,-9.52606957559905,-0.623976145323886,-1.07168576811392,0,0,0
2,-9.5175125635779,-0.633683277382236,-1.06294045062997,0,0,0
3,-9.53403896266166,-0.613567562518993,-1.0586295121911,0,0,0
4,-9.52922911534854,-0.595120846710799,-1.03577242338242,0,0,0
5,-9.52713465617469,-0.58618813543715,-1.01319716599257,0,0,0
6,-9.52732809109374,-0.574963194802644,-0.997398681321175,0,0,0
7,-9.54485042529461,-0.569631053785724,-0.981288829097704,0,0,0
8,-9.5433899830437,-0.572698378822157,-0.945540040469389,0,0,0
9,-9.54744295686544,-0.563075797760013,-0.942995526051556,0,0,0
10,-9.54512866751985,-0.567633071161711,-0.920406079098803,0,0,0
11,-9.54506562762395,-0.57214643887179,-0.904591020375321,0,0,0
12,-9.55425658501258,-0.574438528468274,-0.900163017435751,0,0,0
13,-9.55017886174824,-0.572623840300527,-0.911656316966735,0,0,0
14,-9.54481078872239,-0.574182562388094,-0.929335956052977,0,0,0
15,-9.5455563612058,-0.565735394563973,-0.940930965895654,0,0,0
16,-9.54512720478806,-0.567630688709348,-0.922664695507166,0,0,0
17,-9.54503929845173,-0.572103554729259,-0.945246115725857,0,0,0
18,-9.54541419278732,-0.574735836199947,-0.934145616449112,0,0,0
19,-9.54483865202588,-0.571919911562737,-0.942890013863911,0,0,0
20,-9.54520184331136,-0.57453314798487,-0.949858468548403,0,0,0
21,-9.54978494002891,-0.569960579933499,-0.952118908900805,0,0,0
22,-9.54750718922666,-0.583666165016809,-0.95897949444171,0,0,0
23,-9.5402655888722,-0.599302606534818,-0.983714576995726,0,0,0
24,-9.53554752770541,-0.624284044480721,-0.992823414107576,0,0,0
25,-9.52818589765173,-0.635252586919088,-1.00391395520486,0,0,0
26,-9.53985513992666,-0.635418791069532,-1.02442932099948,0,0,0
27,-9.52554808890184,-0.63264570784155,-1.02630882565219,0,0,0
28,-9.52394694406665,-0.642406775996664,-1.03798415588292,0,0,0
29,-9.5280819012657,-0.639699245963008,-1.05134015591554,0,0,0
30,-9.53452520126121,-0.634732747151181,-1.03985228301164,0,0,0
31,-9.52792961036302,-0.63728663164424,-1.03091741258411,0,0,0
32,-9.53824858553173,-0.608673425409443,-1.0132636931001,0,0,0
33,-9.5375324625817,-0.603464288071613,-0.983516247232196,0,0,0
34,-9.54241141478735,-0.594614235972035,-0.954258323030424,0,0,0
35,-9.53806553233884,-0.599429898187979,-0.897888534782152,0,0,0
36,-9.54009569942117,-0.590080340044184,-0.848012159231532,0,0,0
37,-9.55321047396516,-0.603168816482174,-0.843374539832904,0,0,0
38,-9.55380961823387,-0.592317898812293,-0.825512254707103,0,0,0
39,-9.54246107645374,-0.597003145933209,-0.82099758300453,0,0,0
40,-9.55816418228505,-0.589824392928599,-0.811862642300515,0,0,0
41,-9.56329516564551,-0.576625597734815,-0.818844535324277,0,0,0
42,-9.56311943396067,-0.574174573490564,-0.834559851817043,0,0,0
43,-9.56087549816993,-0.574230391443996,-0.816492381545957,0,0,0
44,-9.5535767076578,-0.594389856856702,-0.816378049023092,0,0,0
45,-9.558451205402,-0.596929359356066,-0.823343347041398,0,0,0
46,-9.5609691720541,-0.581163789861449,-0.814324015468719,0,0,0
47,-9.54757749882615,-0.572383855097246,-0.821118124655068,0,0,0
48,-9.56792652978284,-0.581220433213658,-0.832485963602806,0,0,0
49,-9.56068636753092,-0.596859246612705,-0.8549625451216,0,0,0
50,-9.55379928922283,-0.603697847825873,-0.870770141890233,0,0,0
51,-9.54228077299965,-0.617338291872898,-0.9023838744299,0,0,0
52,-9.54751716790503,-0.608783709748896,-0.945596656556001,0,0,0
53,-9.54023480047243,-0.601560470772205,-0.974677731052476,0,0,0
54,-9.54036380500409,-0.592538543640959,-1.00179064080325,0,0,0
55,-9.54222097479678,-0.603536143488229,-1.02200732755144,0,0,0
56,-9.53547004082989,-0.615069197590121,-1.02661464714936,0,0,0
57,-9.53526344043772,-0.626272750412354,-1.06274068363317,0,0,0
58,-9.52618668673562,-0.628639528893785,-1.08984757776923,0,0,0
59,-9.5216767443735,-0.640111824866802,-1.11703970988816,0,0,0
60,-9.51251513445079,-0.635559815789987,-1.13276297959734,0,0,0
61,-9.52414032959125,-0.64027029093679,-1.10810140593104,0,0,0
62,-9.52885236909256,-0.628983799938436,-1.08100687101999,0,0,0
63,-9.51494505309938,-0.628882882154716,-1.03338942011829,0,0,0
64,-9.54680536039127,-0.612670425638528,-0.994989055004588,0,0,0
65,-9.53512880620984,-0.612492088409023,-0.985766834761725,0,0,0
66,-9.54196735248137,-0.621587231876182,-0.961005709065869,0,0,0
67,-9.54445864927526,-0.633187484012857,-0.938601188005745,0,0,0
68,-9.54419522771128,-0.612416528754544,-0.918002561450498,0,0,0
69,-9.54457478914591,-0.589954409561372,-0.897698752089173,0,0,0
70,-9.54742662430093,-0.579062149626406,-0.884352327047605,0,0,0
71,-9.55264540348888,-0.57278739463044,-0.898200563996973,0,0,0
72,-9.54933376036009,-0.5741281054098,-0.911264119575547,0,0,0
73,-9.54486936936494,-0.5719699430159,-0.895459113329361,0,0,0
74,-9.54789681603179,-0.574925588696116,-0.895845047170154,0,0,0
75,-9.55453637288313,-0.570135039592941,-0.89348934542122,0,0,0
76,-9.55806782080253,-0.566873433874278,-0.902036039390479,0,0,0
77,-9.56493423561866,-0.573706223147856,-0.890828926784879,0,0,0
