Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.47083283793834,0.546879220696176,-1.54840827835318,0,0,0
1,-9.4730729994559,0.53328421186323,-1.5462804193631,0,0,0
2,-9.46810535535198,0.531255998276499,-1.55276404688887,0,0,0
3,-9.47024686964225,0.524556694282961,-1.55953167347313,0,0,0
4,-9.48565240551861,0.531829781184288,-1.54794181882074,0,0,0
5,-9.46405566259713,0.533127637813262,-1.53725131157683,0,0,0
6,-9.46842467471086,0.53786108344765,-1.5574351981247,0,0,0
7,-9.46574207792369,0.54035722643517,-1.55714591655664,0,0,0
8,-9.46816983771526,0.53576576877699,-1.56632119257888,0,0,0
9,-9.48765416027298,0.532013539803381,-1.55231127745568,0,0,0
10,-9.4820844850724,0.533450316235875,-1.56434447933185,0,0,0
11,-9.48116576096942,0.534023079480331,-1.56601694957355,0,0,0
12,-9.47883817782322,0.529488417702057,-1.56375493838021,0,0,0
13,-9.47053395127485,0.52890693765938,-1.55742425190797,0,0,0
14,-9.47731011096206,0.529002924849764,-1.54386745292561,0,0,0
15,-9.46739166644603,0.53392569837246,-1.5478093434734,0,0,0
16,-9.46832210047189,0.531105990548881,-1.54613440454298,0,0,0
17,-9.47495330318977,0.53584984296508,-1.54147073692887,0,0,0
18,-9.47667174256397,0.533920967113087,-1.5389151158753,0,0,0
19,-9.46873184076603,0.530812811474685,-1.53965131588533,0,0,0
20,-9.46884319080181,0.537553543782189,-1.53739968951342,0,0,0
21,-9.46923684107016,0.537286513642541,-1.55576276022034,0,0,0
22,-9.46899460991679,0.535186629400634,-1.56013129853704,0,0,0
23,-9.4710282010761,0.546748041312292,-1.55984853634635,0,0,0
24,-9.47265649363164,0.533572492330042,-1.54824602828674,0,0,0
25,-9.4726213268343,0.531322372232286,-1.5459849231442,0,0,0
26,-9.47532733367059,0.533323355375723,-1.54853769630967,0,0,0
27,-9.47262278964215,0.531319989656041,-1.54372618929297,0,0,0
28,-9.47236731355933,0.531469367608735,-1.55035585280235,0,0,0
29,-9.46388377077391,0.535527922112453,-1.54614206929725,0,0,0
30,-9.46785866160941,0.531391080865709,-1.5458413114817,0,0,0
31,-9.46982527332507,0.529324696688516,-1.54794967515004,0,0,0
32,-9.4730729994559,0.53328421186323,-1.5462804193631,0,0,0
33,-9.46810974377552,0.531248850547764,-1.54598784533518,0,0,0
34,-9.46990292165828,0.53381306742681,-1.54117822880794,0,0,0
35,-9.47283368902654,0.531179512322965,-1.54613148234844,0,0,0
36,-9.47684811256615,0.52928561053337,-1.54131563229602,0,0,0
37,-9.46836311832785,0.533346569482338,-1.53936056797757,0,0,0
38,-9.47917569810521,0.533820250653271,-1.54357764556187,0,0,0
39,-9.47273121564987,0.53806558479682,-1.54599203701814,0,0,0
40,-9.4752374638264,0.540204797306862,-1.5438807704222,0,0,0
41,-9.46194638257777,0.542081740146019,-1.53726225774954,0,0,0
42,-9.46374906756105,0.540159131220552,-1.53922405113772,0,0,0
43,-9.47491521077673,0.533604488019813,-1.54372709948879,0,0,0
44,-9.46831917485348,0.531110755705795,-1.55065187643983,0,0,0
45,-9.47084505481872,0.535509462231568,-1.55983668000428,0,0,0
46,-9.46162505087818,0.535495926382325,-1.55066100229137,0,0,0
47,-9.46169245849802,0.540000910033809,-1.5597006886448,0,0,0
48,-9.4689858330371,0.535200924911196,-1.57368375197708,0,0,0
49,-9.48836353547204,0.529351021216561,-1.56404219499429,0,0,0
50,-9.48695260745312,0.542359719602111,-1.55320392422039,0,0,0
51,-9.4730686110242,0.533291359605238,-1.55305663349996,0,0,0
52,-9.46251483087172,0.539409618178305,-1.54221704874438,0,0,0
53,-9.46592867426436,0.535705182172281,-1.54373531516207,0,0,0
54,-9.47050766530213,0.540283709204804,-1.55277207095863,0,0,0
55,-9.47330792159011,0.535396038852104,-1.55320557705448,0,0,0
56,-9.48704541852565,0.535473569816431,-1.55334338299613,0,0,0
57,-9.48950831102936,0.535360149630713,-1.54671226169796,0,0,0
58,-9.4855835340162,0.527327115015072,-1.54116088722179,0,0,0
59,-9.47304368425725,0.53102458314374,-1.53498435786659,0,0,0
60,-9.46656685288515,0.535242869430428,-1.51255263778635,0,0,0
61,-9.45091691952359,0.543985892779574,-1.52160731109127,0,0,0
62,-9.4433380232698,0.548968699086983,-1.54587635393462,0,0,0
63,-9.44015705531928,0.563909698882005,-1.54211118114263,0,0,0
64,-9.4709046339858,0.551377056612289,-1.55067175686134,0,0,0
65,-9.48670889249848,0.540262220386617,-1.55983119484775,0,0,0
66,-9.47814432472513,0.530700038482141,-1.56478477944938,0,0,0
