Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.3726414594684,0.460467657606116,-2.0068064125649,0,0,0
1,-9.35913481313937,0.462509292152964,-2.02036976480063,0,0,0
2,-9.36409843311841,0.460072548043001,-2.04098677678141,0,0,0
3,-9.35490980385406,0.448657523400763,-2.01387628481756,0,0,0
4,-9.35514167480429,0.446239217705824,-1.98691637649553,0,0,0
5,-9.35536330720273,0.443837612933787,-1.97576739360952,0,0,0
6,-9.3547822925092,0.439635035857868,-1.98450361341675,0,0,0
7,-9.34807403136416,0.428157907509972,-1.99819533171281,0,0,0
8,-9.3544361372224,0.435316800488922,-2.01823249803461,0,0,0
9,-9.35721141107667,0.437348835837741,-2.04789056419893,0,0,0
10,-9.37245729427867,0.435651385481212,-2.05661878580875,0,0,0
11,-9.36863965634057,0.446519343277632,-2.04337532717328,0,0,0
12,-9.36578816667632,0.439996380483715,-2.01822993558495,0,0,0
13,-9.36579694340933,0.439982085212069,-2.00467770864187,0,0,0
14,-9.36189578534285,0.446370941567783,-2.00724037143725,0,0,0
15,-9.3639933146547,0.437435291255425,-2.02529909412751,0,0,0
16,-9.35502154008099,0.439512292292586,-2.00272022300373,0,0,0
17,-9.35688713232751,0.430687429334866,-1.9912687863469,0,0,0
18,-9.35937960334102,0.414719967094629,-2.00509688320062,0,0,0
19,-9.35894325497251,0.435397468555402,-2.025005689365,0,0,0
20,-9.36143972636443,0.435309123112573,-2.04096215201207,0,0,0
21,-9.37657375701966,0.440449500315177,-2.00437648671516,0,0,0
22,-9.36035487889887,0.444971665456771,-2.00409754166477,0,0,0
23,-9.37263454116897,0.444592909866754,-2.00919547731438,0,0,0
24,-9.36076597064919,0.440220769925011,-2.03149111773776,0,0,0
25,-9.35839301185143,0.433452189010168,-2.0427789658619,0,0,0
26,-9.35644093851982,0.435495345698246,-2.01808406591948,0,0,0
27,-9.35232544970005,0.444273980655171,-2.0205021494021,0,0,0
28,-9.35455773577667,0.442041408503954,-2.00016997646531,0,0,0
29,-9.35488048590068,0.446397732056938,-2.00258038043887,0,0,0
30,-9.35438590294943,0.446669496569748,-1.9909929555837,0,0,0
31,-9.37514273067211,0.444485460886501,-2.00708227252295,0,0,0
32,-9.374960632812,0.449130214090783,-2.01371616812804,0,0,0
33,-9.3588900896328,0.446754929626154,-2.00228354541271,0,0,0
34,-9.35264374636694,0.446329998679504,-1.97321865587102,0,0,0
35,-9.33669779729388,0.452982008986158,-1.99567611330688,0,0,0
36,-9.35472041713898,0.453314211433174,-2.03180369659051,0,0,0
37,-9.3871159022763,0.442031683614725,-2.04139417285375,0,0,0
38,-9.36340642669725,0.433242159889177,-2.04307003169636,0,0,0
39,-9.36093927405328,0.435590308926901,-2.03840946532177,0,0,0
40,-9.37470128266595,0.433399752967801,-2.01821697694785,0,0,0
41,-9.36348993038149,0.437721260990408,-2.02726384316597,0,0,0
42,-9.354000190748,0.440108107006862,-2.02923680064268,0,0,0
43,-9.35207304135635,0.444418191690312,-2.02261387869592,0,0,0
44,-9.35233568922189,0.444257302838251,-2.00469121796851,0,0,0
45,-9.3477274519612,0.437418671122898,-1.98435868534023,0,0,0
46,-9.35401372921899,0.424200023624407,-2.00000405052646,0,0,0
47,-9.35655668644389,0.442229516461275,-2.00905637073536,0,0,0
48,-9.35326782924979,0.440500184392258,-1.9971741424909,0,0,0
49,-9.36153200644561,0.439773907208034,-2.01160370925218,0,0,0
50,-9.35901798192374,0.439890864928279,-2.02275172777769,0,0,0
51,-9.3590897832973,0.444389026391705,-2.02501517517141,0,0,0
52,-9.35676369165427,0.439851722167676,-2.02049448435775,0,0,0
53,-9.3542159693176,0.437716016011707,-2.02712270802461,0,0,0
54,-9.35685202536289,0.430744610474543,-2.04547774445189,0,0,0
55,-9.36352071130735,0.439978680630581,-2.03630103257963,0,0,0
56,-9.35461528582915,0.430676877097109,-2.01611601988404,0,0,0
57,-9.36310522258428,0.444736674593713,-2.01568349754687,0,0,0
58,-9.3683300546079,0.4421415967847,-2.0206365238261,0,0,0
59,-9.36120339639732,0.435427081134907,-2.01822811482289,0,0,0
60,-9.35927625063937,0.439737146947925,-2.01160517032453,0,0,0
61,-9.35874063502563,0.437768093465242,-2.00679146434714,0,0,0
62,-9.36556944817304,0.442393234944899,-2.02486144321342,0,0,0
63,-9.35003891571589,0.441979800799669,-2.01146642105902,0,0,0
64,-9.35267891548109,0.448580259833383,-1.97547973389888,0,0,0
65,-9.33953598635403,0.457218851790441,-1.98467975247308,0,0,0
66,-9.33686229461395,0.448365823867376,-2.01614667998409,0,0,0
67,-9.35084617922441,0.447389605015409,-2.03543352974351,0,0,0
68,-9.34304711453991,0.444275916094246,-2.02713712775773,0,0,0
69,-9.3565098146735,0.439998293950951,-2.02486491602555,0,0,0
70,-9.35889784615831,0.433163874367972,-2.03855554485648,0,0,0
71,-9.37245583148983,0.435653768026487,-2.05887749029927,0,0,0
72,-9.37732528481921,0.442333906227381,-2.06354610470314,0,0,0
73,-9.35458857906287,0.446606281235062,-2.0656771495934,0,0,0
74,-9.35652157954447,0.442286697494766,-2.06326522817503,0,0,0
75,-9.36100923261852,0.455977590943756,-2.0518360207244,0,0,0
76,-9.36567310862751,0.465033225689658,-2.04280778330387,0,0,0
77,-9.35983933807186,0.459854743480931,-2.03887798267223,0,0,0
78,-9.35709229585162,0.444198526448087,-2.0138700808649,0,0,0
79,-9.35491419222464,0.448650375758303,-2.00710016505444,0,0,0
80,-9.36185769082382,0.444125456363772,-2.00949670869345,0,0,0
81,-9.35284159594009,0.459853008530157,-2.00711348332756,0,0,0
82,-9.3614642093322,0.451155159712614,-2.01146860151257,0,0,0
83,-9.36406804090121,0.441928644213145,-2.02304512830002,0,0,0
84,-9.3527522414393,0.455383459339724,-2.03195451291203,0,0,0
85,-9.3660420552679,0.439849810275739,-2.01385949369518,0,0,0
86,-9.35931873370448,0.441975495364371,-2.00257271541386,0,0,0
87,-9.35241517819975,0.432857022326067,-1.98675666675635,0,0,0
88,-9.35207048792051,0.428536371896366,-2.01822684475037,0,0,0
89,-9.3552450801741,0.423529504597407,-2.03687823093642,0,0,0
90,-9.35723379841869,0.423734198146835,-2.06157559949795,0,0,0
91,-9.35677437318363,0.426256000904217,-2.0522491213347,0,0,0
92,-9.36118730572015,0.435453289132925,-2.04307386421854,0,0,0
93,-9.36802929184629,0.440056966151787,-2.04081551941951,0,0,0
94,-9.35908685771963,0.444393791482253,-2.02953258415244,0,0,0
95,-9.36377752272051,0.439827345300549,-2.02741319429378,0,0,0
96,-9.35728760011474,0.441839806245763,-2.04337788968653,0,0,0
97,-9.35414086934318,0.44910928182803,-2.03828108772518,0,0,0
98,-9.35503146403815,0.457689541133604,-2.0522837825692,0,0,0
99,-9.35736926039422,0.462207763321579,-2.03873482485091,0,0,0
100,-9.36143787913319,0.451198045527552,-2.05212528234181,0,0,0
101,-9.36170200085558,0.451034743167375,-2.03194392574231,0,0,0
102,-9.36432446299359,0.457663718489111,-2.02306172830095,0,0,0
103,-9.36160927486815,0.460149100094192,-2.01373679180949,0,0,0
104,-9.3623987760346,0.461971252573495,-2.01418006501545,0,0,0
105,-9.34568271465707,0.45088354293367,-1.99792660206349,0,0,0
106,-9.34401123759094,0.439158097383379,-1.97576995615457,0,0,0
107,-9.3292557812907,0.441899240889173,-1.97956383733956,0,0,0
108,-9.34822793417056,0.439444897272493,-2.04338136255436,0,0,0
109,-9.37168682977837,0.436105334095357,-2.08328214495609,0,0,0
110,-9.39267703090801,0.431500743772662,-2.07015312021347,0,0,0
111,-9.37876800478318,0.438278852470951,-2.04277055920778,0,0,0
112,-9.35613726428899,0.433415428884402,-2.04278042692891,0,0,0
113,-9.35409290745616,0.430993757963989,-2.04744391517533,0,0,0
114,-9.35638529002458,0.433278418446295,-2.04744482556958,0,0,0
115,-9.34758244878559,0.430732183832254,-2.03856047875774,0,0,0
116,-9.33645606297419,0.439530410410818,-2.02954245195496,0,0,0
117,-9.34957073720966,0.444516113839113,-2.01569226394895,0,0,0
118,-9.34506655601538,0.44443068088333,-2.00440168460235,0,0,0
119,-9.3435548354338,0.443982729982405,-2.01839626047443,0,0,0
120,-9.35842964428634,0.435700100174611,-2.0427813373364,0,0,0
121,-9.36846088607781,0.435272856859989,-2.03658734397505,0,0,0
122,-9.37236309184988,0.444768093569736,-2.04067034822333,0,0,0
123,-9.36502211625359,0.440443247113895,-2.03811730714507,0,0,0
124,-9.36552403919013,0.440159629891513,-2.03841128611029,0,0,0
125,-9.35853515323273,0.442450981290487,-2.04956455264828,0,0,0
126,-9.35388553427389,0.449258282393382,-2.04491019301183,0,0,0
127,-9.35838093327053,0.449358010480369,-2.06975295106961,0,0,0
128,-9.36566179149749,0.449165526396922,-2.05197298632241,0,0,0
129,-9.35324427294615,0.439230049095479,-2.03915500473404,0,0,0
130,-9.35268044042081,0.450885319579452,-2.02969106344402,0,0,0
131,-9.36178111582503,0.455520970190215,-2.02291384227179,0,0,0
132,-9.35798777568302,0.438193489347566,-2.00635058433776,0,0,0
133,-9.35466069447464,0.432910460418582,-2.00256615179795,0,0,0
134,-9.36136455261045,0.444394813518467,-1.99565055572416,0,0,0
135,-9.35974845917957,0.453080167073719,-2.0095076554824,0,0,0
136,-9.35058584013385,0.459816248270048,-2.00711494439991,0,0,0
137,-9.35495082412898,0.450898254364696,-2.00710253649459,0,0,0
138,-9.35469218867231,0.466938720064573,-2.02715353704428,0,0,0
139,-9.35493435847082,0.466811078368726,-2.04085274326218,0,0,0
140,-9.36446260282614,0.4507830237295,-2.02771901154583,0,0,0
141,-9.3570787524967,0.460106552752102,-2.04310287232731,0,0,0
142,-9.35473949575417,0.455590691435542,-2.05891052192827,0,0,0
143,-9.35666957136416,0.45127591619874,-2.06101601163392,0,0,0
144,-9.3596697918881,0.435015008105459,-2.0661034170725,0,0,0
145,-9.35834613991369,0.431220955631676,-2.05858749646028,0,0,0
146,-9.36575491334349,0.424164693528207,-2.06127573195597,0,0,0
147,-9.35423396056158,0.424108326282109,-2.04758379915327,0,0,0
148,-9.35455378649154,0.428469501797987,-2.05451166043492,0,0,0
149,-9.35459626955665,0.430707850214433,-2.04547920552424,0,0,0
150,-9.35527840348612,0.441668380245819,-2.05030247800142,0,0,0
151,-9.35789647536424,0.448304484294248,-2.04819641971904,0,0,0
152,-9.35263248167956,0.432770049521747,-2.03885390875018,0,0,0
153,-9.35263248167956,0.432770049521747,-2.03885390875018,0,0,0
154,-9.35955213541821,0.441862271252461,-2.02982417650299,0,0,0
155,-9.35755171830313,0.44167654997256,-2.02319648754036,0,0,0
156,-9.35487902311049,0.446400114604424,-2.00483908702658,0,0,0
157,-9.35640284347429,0.433249827929549,-2.02034039684975,0,0,0
158,-9.3636701652098,0.448965473376336,-2.03179310940501,0,0,0
159,-9.35707582691903,0.46011131784265,-2.04762028130834,0,0,0
160,-9.36245194880943,0.450613938360879,-2.03690230457301,0,0,0
161,-9.35983494969721,0.459861891130027,-2.04565410872694,0,0,0
162,-9.35539561210254,0.448400038189344,-2.03901603834271,0,0,0
163,-9.3570762051595,0.444224734470439,-2.03871585332968,0,0,0
164,-9.34692886208195,0.451497286385394,-2.00637211863943,0,0,0
165,-9.35208328086868,0.444401513888877,-2.00680296194268,0,0,0
166,-9.34807219820705,0.444046720312677,-2.0093585119789,0,0,0
167,-9.34126098493303,0.441700473663389,-2.02065405669434,0,0,0
