Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.40197560941372,0.537193544195947,-4.50769794818692,0,0,0
1,-8.40915448721833,0.534490139916386,-4.51957692771778,0,0,0
2,-8.40459809434926,0.532181969211643,-4.53312847072942,0,0,0
3,-8.39786975513607,0.534318272424792,-4.53087672702599,0,0,0
4,-8.39475329436894,0.510121655697931,-4.53251727897669,0,0,0
5,-8.39224711985194,0.494332471657554,-4.52346816091601,0,0,0
6,-8.38101482624605,0.487204998182366,-4.51914911924555,0,0,0
7,-8.38095322793626,0.482687990135126,-4.50107641588364,0,0,0
8,-8.36929799121071,0.469211779421067,-4.50990571509288,0,0,0
9,-8.38969957813776,0.467123160205049,-4.53041439616201,0,0,0
10,-8.38116513347992,0.477837156086493,-4.53082763895833,0,0,0
11,-8.38611117214799,0.495726956899892,-4.54685097376305,0,0,0
12,-8.37897012676051,0.49149802165274,-4.54193805140211,0,0,0
13,-8.37419161450333,0.494057484692653,-4.54154778943378,0,0,0
14,-8.38172331075364,0.502378830688529,-4.52653450368123,0,0,0
15,-8.39507184345535,0.500535309625168,-4.51955010449025,0,0,0
16,-8.39491971875416,0.50072734436303,-4.51935234679883,0,0,0
17,-8.3973988432909,0.495894059942944,-4.53103416183459,0,0,0
18,-8.39067195831549,0.498027969836162,-4.52652391496517,0,0,0
19,-8.39506891814388,0.500540074282129,-4.52406710242124,0,0,0
20,-8.3945814202961,0.4896792719813,-4.52365971602877,0,0,0
21,-8.39935331315357,0.505488459575367,-4.51689791810595,0,0,0
22,-8.39763597124146,0.500180854674907,-4.51316865057902,0,0,0
23,-8.38822916803523,0.495931900757674,-4.52406673996243,0,0,0
24,-8.38582708662153,0.486899332842763,-4.52405871056406,0,0,0
25,-8.38138502995938,0.491330874218662,-4.5308418744001,0,0,0
26,-8.38348660278847,0.482383729599753,-4.54212341803692,0,0,0
27,-8.38780182162441,0.489590445686094,-4.5439905516465,0,0,0
28,-8.37668350209306,0.480024509097326,-4.54212542815173,0,0,0
29,-8.39228311529663,0.478224773096584,-4.54191505052545,0,0,0
30,-8.39186014329058,0.471875968362597,-4.55506333227105,0,0,0
31,-8.38789639800458,0.475696088216383,-4.52856238473077,0,0,0
32,-8.38301083083617,0.471503695475956,-4.5236480397195,0,0,0
33,-8.3857860492411,0.484657526806177,-4.53083183488692,0,0,0
34,-8.39469803604426,0.478057691047291,-4.53081887358145,0,0,0
35,-8.39657628381835,0.483158672820236,-4.52119488342061,0,0,0
36,-8.3878105975425,0.489576151741756,-4.53043958301985,0,0,0
37,-8.38979409973121,0.49225302132288,-4.53682043180931,0,0,0
38,-8.37912042923243,0.48213018326116,-4.55361662427183,0,0,0
39,-8.37413121232713,0.482668251237555,-4.58690359986349,0,0,0
40,-8.37434456393569,0.477815034759882,-4.61439648337012,0,0,0
41,-8.37436547162428,0.489268456938465,-4.63001997846954,0,0,0
42,-8.38517700382552,0.469377240151829,-4.60495001799026,0,0,0
43,-8.36004018396431,0.457905592337242,-4.59120543187712,0,0,0
44,-8.33818537850184,0.48190488488681,-4.60293427260456,0,0,0
45,-8.35849539831548,0.456990690050644,-4.66898512544217,0,0,0
46,-8.34238198320895,0.447972337593511,-4.70944098353158,0,0,0
47,-8.32044153160935,0.456006016193369,-4.69199082957728,0,0,0
48,-8.34675927801925,0.468873891145662,-4.72015808649074,0,0,0
49,-8.35858815694069,0.472944169250439,-4.68687184480316,0,0,0
