Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.61605483462132,-0.564476697732672,-2.49988223328921,0,0,0
1,-9.61807464415808,-0.562118802180564,-2.49095123660582,0,0,0
2,-9.61965872045634,-0.561335487101689,-2.4790509400811,0,0,0
3,-9.61891392624481,-0.559829852119263,-2.47309646312753,0,0,0
4,-9.61561164468338,-0.562010183245163,-2.47308784314635,0,0,0
5,-9.61722529821865,-0.566650365665662,-2.48054054200003,0,0,0
6,-9.61279577595777,-0.562192198207568,-2.47160187530331,0,0,0
7,-9.61653610367333,-0.556810739036999,-2.46490370570207,0,0,0
8,-9.61581277687798,-0.556086716584057,-2.48052414164599,0,0,0
9,-9.61101910937153,-0.553223345739693,-2.47382478656036,0,0,0
10,-9.61518911825945,-0.559140617622793,-2.46788323652272,0,0,0
11,-9.61985766191533,-0.565903465600397,-2.4723656590374,0,0,0
12,-9.61301176533189,-0.561463723873386,-2.46639686073692,0,0,0
13,-9.61215298162925,-0.559192426783718,-2.47011028739668,0,0,0
14,-9.61222465145474,-0.55087909840549,-2.47530653554262,0,0,0
15,-9.61748153854644,-0.545460780288301,-2.48125646174487,0,0,0
16,-9.6184498129587,-0.550806783166427,-2.47829404084685,0,0,0
17,-9.61528691416807,-0.550082842098321,-2.4820057394953,0,0,0
18,-9.61511734884344,-0.552325036693076,-2.4827501441686,0,0,0
19,-9.61818793163993,-0.553793844468749,-2.47755035299506,0,0,0
20,-9.6199382621864,-0.552287437871348,-2.4738346630137,0,0,0
21,-9.61737033913845,-0.553797075423218,-2.48126768207507,0,0,0
22,-9.61682429029811,-0.556867538200458,-2.47309151139522,0,0,0
23,-9.61888627225043,-0.556792921903164,-2.46937198161787,0,0,0
24,-9.62056653177004,-0.556040671454507,-2.47383930753931,0,0,0
25,-9.61751029729182,-0.552296593195612,-2.46936522860913,0,0,0
26,-9.61738188051564,-0.549962494494614,-2.47902910291041,0,0,0
27,-9.62128389472874,-0.549964475115993,-2.47457476973407,0,0,0
