Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.74331308586426,0.535479862284395,-1.85447573459403,0,0,0
1,-9.73963645416445,0.538420530498769,-1.85669881938125,0,0,0
2,-9.73898413996471,0.536872059832101,-1.85074978959287,0,0,0
3,-9.73833669311533,0.539869926054967,-1.84628220515252,0,0,0
4,-9.74003322687848,0.542128310465511,-1.84553966285406,0,0,0
5,-9.73601187869057,0.541359221474244,-1.84701984916229,0,0,0
6,-9.73760095078119,0.536818278159902,-1.84777346365088,0,0,0
7,-9.73613885983665,0.545122807176434,-1.84404039836094,0,0,0
8,-9.7415693212299,0.543669752376244,-1.84033264480355,0,0,0
9,-9.74240567936602,0.543661026907011,-1.84405439908023,0,0,0
10,-9.73618997212542,0.548142124358308,-1.84552458576632,0,0,0
11,-9.73137969227444,0.545853884743767,-1.84402969011375,0,0,0
12,-9.73593275636265,0.545167692004792,-1.84775739626816,0,0,0
13,-9.73675110461557,0.544408201507253,-1.84776039503858,0,0,0
14,-9.73298095057972,0.54206813818058,-1.84478238100006,0,0,0
15,-9.73976751079015,0.542945804352709,-1.84851091429454,0,0,0
16,-9.73745002599635,0.540644023773849,-1.84776618404721,0,0,0
17,-9.73584017780372,0.535336075456475,-1.84479451929764,0,0,0
18,-9.73857518900007,0.533938441865388,-1.8462854066818,0,0,0
19,-9.74104382443413,0.536964519901665,-1.84554313137716,0,0,0
20,-9.74183894199157,0.534693572202934,-1.84629190441258,0,0,0
21,-9.74267472634211,0.535450153573306,-1.84182945548867,0,0,0
22,-9.73973453948261,0.532341644626396,-1.84629378308336,0,0,0
23,-9.74267820888855,0.535447433602635,-1.84406125838416,0,0,0
24,-9.73983154896086,0.539149161479066,-1.83810221355616,0,0,0
25,-9.74122402068816,0.539195712320782,-1.84703002063785,0,0,0
26,-9.73636517108175,0.53843617372974,-1.84404452590364,0,0,0
27,-9.73299198743748,0.542824331162101,-1.84403752578221,0,0,0
28,-9.73330217197305,0.539716420687622,-1.84776534220009,0,0,0
29,-9.73599713146807,0.53605578905439,-1.84702718529918,0,0,0
30,-9.74057170848551,0.537647242007081,-1.84108098036422,0,0,0
31,-9.73886065580344,0.534635314924384,-1.84033657784872,0,0,0
32,-9.73605579800506,0.539834015491123,-1.84553471243643,0,0,0
33,-9.73551266541042,0.544318688262032,-1.84701765651417,0,0,0
34,-9.73210533010358,0.543598462636146,-1.84552150588425,0,0,0
35,-9.73803395251047,0.530851125700038,-1.83662032350153,0,0,0
36,-9.73873519558888,0.527085134652853,-1.83811398110716,0,0,0
37,-9.74342708218539,0.534703509309222,-1.84480729922972,0,0,0
38,-9.74087407549984,0.534725123803446,-1.85075164221977,0,0,0
39,-9.73844748104279,0.537746142698008,-1.86115677160298,0,0,0
40,-9.7400163687576,0.539847071599735,-1.85818932869659,0,0,0
41,-9.73578602223904,0.539889829803129,-1.85371441786811,0,0,0
42,-9.73707873270581,0.542816221693012,-1.84702276148188,0,0,0
43,-9.74042403462644,0.536920289831096,-1.84479979365687,0,0,0
44,-9.74061164452388,0.548246013566837,-1.84776172161996,0,0,0
45,-9.73754515459311,0.555023949647162,-1.85072264251321,0,0,0
46,-9.7338888402809,0.558713468715039,-1.8581523431781,0,0,0
47,-9.73589964542794,0.542899090862693,-1.84999196009795,0,0,0
48,-9.73675472118869,0.536069874776837,-1.84554050140185,0,0,0
49,-9.73737813678895,0.527775851632098,-1.84406394417463,0,0,0
50,-9.73473998679581,0.52706023220024,-1.84852045435974,0,0,0
51,-9.742794508759,0.533139670275839,-1.85150515061926,0,0,0
52,-9.73772188655372,0.534506907479492,-1.85819311155231,0,0,0
53,-9.73638351529261,0.533871607165132,-1.85744174103416,0,0,0
54,-9.74178304499879,0.540013522503986,-1.84628367690843,0,0,0
55,-9.7425563121991,0.540780189330837,-1.84702787558144,0,0,0
56,-9.74162956556542,0.539291108833659,-1.84628281438141,0,0,0
57,-9.73883821871917,0.536908550550607,-1.84777226681001,0,0,0
58,-9.73713240469822,0.534657313762996,-1.84256333887237,0,0,0
59,-9.7381553408999,0.537639669349116,-1.84405138094797,0,0,0
60,-9.73787162783746,0.537706320258576,-1.84330388532827,0,0,0
61,-9.74025371541272,0.535446185965825,-1.84182411828842,0,0,0
62,-9.73659160081731,0.539140334558815,-1.84553414518803,0,0,0
63,-9.73737649542591,0.541427554674479,-1.83809322935878,0,0,0
64,-9.73735173866767,0.543702648190145,-1.8440410487454,0,0,0
65,-9.73729910392875,0.544469881786169,-1.84775890430798,0,0,0
66,-9.7381927329394,0.543690295064255,-1.85073853126026,0,0,0
67,-9.73716420598488,0.543733006153554,-1.85966096460255,0,0,0
68,-9.73613652068773,0.543595015432653,-1.85817700296703,0,0,0
69,-9.74016665099279,0.540751794863391,-1.86710871842362,0,0,0
70,-9.74030654297373,0.53616975042513,-1.86786087651847,0,0,0
71,-9.73827104403034,0.534567534505023,-1.8589355429596,0,0,0
72,-9.74310580233667,0.535525511066331,-1.85744878076721,0,0,0
73,-9.74473729300375,0.534775504069165,-1.84629486502627,0,0,0
74,-9.73826698978082,0.535335510336303,-1.84851953353708,0,0,0
75,-9.73682022569133,0.532451613021948,-1.8470261336367,0,0,0
