Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.82287042854441,-0.42599197066877,-1.3679601577858,0,0,0
1,-9.82119696356984,-0.426652808343111,-1.36718230039661,0,0,0
2,-9.82503291577473,-0.425090940563644,-1.37462615629406,0,0,0
3,-9.82724282625686,-0.424995321735565,-1.37461349735423,0,0,0
4,-9.82554730056759,-0.427167561332364,-1.37532542669956,0,0,0
5,-9.8256920775541,-0.42728876318519,-1.37833376649384,0,0,0
6,-9.82251488278913,-0.426458235042012,-1.37234385992336,0,0,0
7,-9.82470056532172,-0.424807034230476,-1.37752757470654,0,0,0
8,-9.82558270893377,-0.424902271938495,-1.37457869103276,0,0,0
9,-9.82239331428403,-0.425586869691871,-1.36785326134287,0,0,0
10,-9.8240290601651,-0.426429154121887,-1.36862635387086,0,0,0
11,-9.82571587641805,-0.425014428910175,-1.37014726773193,0,0,0
12,-9.82545517672445,-0.427091545465435,-1.36117367814472,0,0,0
13,-9.82697298898897,-0.423999997573637,-1.36488263757103,0,0,0
14,-9.82794419214129,-0.42723018105866,-1.36048189466004,0,0,0
15,-9.8285044255015,-0.427049704391911,-1.36713022497263,0,0,0
16,-9.82620429208074,-0.424769792994409,-1.36711429658523,0,0,0
17,-9.82791998003368,-0.424914275967981,-1.36641473094114,0,0,0
18,-9.82254216476212,-0.424186598697275,-1.3663892948215,0,0,0
19,-9.81896168037709,-0.42443162707824,-1.37238381813537,0,0,0
20,-9.8258062590493,-0.424324790421973,-1.37537039891603,0,0,0
21,-9.82853244014006,-0.422477634155874,-1.3745548448588,0,0,0
22,-9.82706919281008,-0.422554531252148,-1.37456208601672,0,0,0
23,-9.82702987489275,-0.420987138004048,-1.37008678260714,0,0,0
24,-9.82922915868463,-0.426237555214404,-1.3730726809818,0,0,0
25,-9.82427814708753,-0.424342990905399,-1.37016019088203,0,0,0
26,-9.8251006601021,-0.425147924223009,-1.37315441968993,0,0,0
27,-9.82490497348978,-0.424218554029662,-1.37459280206259,0,0,0
28,-9.82719365517025,-0.423424222272947,-1.37236351240579,0,0,0
29,-9.82744374282856,-0.425164459205517,-1.36871033134762,0,0,0
30,-9.82479311450301,-0.425655739250257,-1.36341879048242,0,0,0
31,-9.82025116300182,-0.424979120709096,-1.36713063229305,0,0,0
32,-9.82182495535248,-0.426529300299953,-1.37235889002157,0,0,0
33,-9.82240956705691,-0.425599563583079,-1.37826891157582,0,0,0
34,-9.82564290749114,-0.425717674801123,-1.37608378001846,0,0,0
35,-9.82802835862836,-0.423474381074349,-1.37535681966023,0,0,0
36,-9.82554689024721,-0.422577265202692,-1.37307176325298,0,0,0
37,-9.82264862610495,-0.427335137906579,-1.37609709350395,0,0,0
38,-9.82782901502142,-0.42636778566241,-1.36863228415935,0,0,0
39,-9.82660497459938,-0.42587543606405,-1.37092578120349,0,0,0
40,-9.82790314646792,-0.427194061584613,-1.37906508197571,0,0,0
41,-9.82321856861449,-0.43022355932352,-1.37532554857075,0,0,0
42,-9.8256965528242,-0.431117838582716,-1.37537867889392,0,0,0
43,-9.82029626524594,-0.42731135835504,-1.374589365737,0,0,0
44,-9.82285127389699,-0.428269898493089,-1.37912257539039,0,0,0
45,-9.82752077650814,-0.425228695273169,-1.37319041094438,0,0,0
46,-9.82565376730218,-0.428787456346841,-1.36940789149168,0,0,0
47,-9.82585368799258,-0.425130210239559,-1.36869174454661,0,0,0
48,-9.82649079251563,-0.428839402057919,-1.37388915184382,0,0,0
49,-9.82555368576087,-0.426408233567163,-1.37160462852058,0,0,0
50,-9.82420053572198,-0.425042603164972,-1.37312080061486,0,0,0
51,-9.82267300538559,-0.425825564248706,-1.37609525349985,0,0,0
52,-9.82700824371217,-0.426328520896311,-1.37456668609463,0,0,0
53,-9.82413163130199,-0.42498471155255,-1.37384856006846,0,0,0
54,-9.82269274100914,-0.424312363758758,-1.37311750849365,0,0,0
55,-9.82809262239382,-0.423528652587747,-1.37165315430508,0,0,0
56,-9.82876281061003,-0.424970774312843,-1.37461586947339,0,0,0
57,-9.82584962487842,-0.425891336629959,-1.37390050261189,0,0,0
58,-9.82736281334949,-0.422035893592871,-1.37537001104444,0,0,0
59,-9.82525066031538,-0.424508931075926,-1.37169797780153,0,0,0
60,-9.82195753683082,-0.427405291543328,-1.3753681486036,0,0,0
61,-9.82346318141418,-0.424308250419564,-1.37981448080793,0,0,0
62,-9.82389994242488,-0.427844861363702,-1.38273789384757,0,0,0
63,-9.82432441408522,-0.426676103773242,-1.37836291168678,0,0,0
64,-9.82202661113694,-0.423637722857233,-1.38057138452883,0,0,0
65,-9.82572748556079,-0.425023495990362,-1.37758703023716,0,0,0
66,-9.82733420399502,-0.428132034164095,-1.37464961158137,0,0,0
67,-9.82506525245489,-0.427413169218798,-1.37390115653649,0,0,0
68,-9.82950945223202,-0.4257123807224,-1.3738739992845,0,0,0
69,-9.82584846396319,-0.425890429921189,-1.37315652574442,0,0,0
70,-9.82494485551543,-0.425782396158492,-1.37089097792493,0,0,0
71,-9.82635820356829,-0.427963425732702,-1.37087989450243,0,0,0
72,-9.82560675007186,-0.432572270987748,-1.37834020650821,0,0,0
73,-9.82408983798444,-0.428009313914014,-1.37831609574703,0,0,0
74,-9.82493672903462,-0.427304663728626,-1.38130848543635,0,0,0
75,-9.82599556342958,-0.426013455059964,-1.37765282370814,0,0,0
76,-9.82502868389245,-0.429677507505817,-1.37390391651559,0,0,0
77,-9.82345082139866,-0.428888496942294,-1.37388440760174,0,0,0
78,-9.826499912573,-0.432672077760188,-1.37390996861065,0,0,0
79,-9.8271540160318,-0.430276109414066,-1.37238800861704,0,0,0
80,-9.82861570733896,-0.424847736927313,-1.37011958146207,0,0,0
81,-9.82498125514122,-0.427343502741429,-1.36495722101977,0,0,0
82,-9.8255848613805,-0.42872958325559,-1.3701356525083,0,0,0
83,-9.82579290855398,-0.42507866684255,-1.37462734235458,0,0,0
84,-9.82829644324526,-0.424464369622368,-1.37542260947693,0,0,0
85,-9.83013991917909,-0.420236509202545,-1.37084419357145,0,0,0
86,-9.8234318366479,-0.425812383829326,-1.3753524633089,0,0,0
87,-9.82570211451556,-0.422706673054299,-1.38277588347067,0,0,0
88,-9.82356906436426,-0.426692004339151,-1.38133763309518,0,0,0
89,-9.8219176568661,-0.425841464792141,-1.37906997244236,0,0,0
90,-9.82492877232777,-0.423472830577186,-1.38203164147654,0,0,0
91,-9.82640173815127,-0.425704494391852,-1.37534099013505,0,0,0
92,-9.82855824127975,-0.42862442819345,-1.37235610841818,0,0,0
93,-9.82706014903158,-0.430963060485541,-1.36493295305091,0,0,0
94,-9.82326268400056,-0.427200755578984,-1.37234596599213,0,0,0
95,-9.82478922170427,-0.422591352298636,-1.37455852784644,0,0,0
96,-9.82794377887168,-0.424168552515506,-1.3738535703551,0,0,0
97,-9.82778158481319,-0.425562355992207,-1.37531092746092,0,0,0
98,-9.82862325310541,-0.425617945179715,-1.38276808724402,0,0,0
99,-9.83086781765303,-0.427846413497897,-1.38351838108391,0,0,0
100,-9.82700575308426,-0.431680846394445,-1.3827730752172,0,0,0
101,-9.82704505694177,-0.432479895204486,-1.37088660060045,0,0,0
102,-9.82612113127489,-0.433120375334607,-1.36341415030147,0,0,0
103,-9.82857242010289,-0.435522375881641,-1.36198115324326,0,0,0
104,-9.82617337329171,-0.430103903739948,-1.36564239621447,0,0,0
105,-9.82185124898317,-0.420431248195701,-1.3715913381435,0,0,0
106,-9.82505763502178,-0.414401743615721,-1.37086096226701,0,0,0
107,-9.82716976812718,-0.412688853619844,-1.37379653746931,0,0,0
108,-9.82645257775951,-0.414271281372277,-1.38050258238943,0,0,0
109,-9.82876587964925,-0.42191185479531,-1.39021946711918,0,0,0
110,-9.82790779012309,-0.427197688415184,-1.38204098574392,0,0,0
111,-9.82309641754684,-0.430116099683437,-1.37827561775219,0,0,0
112,-9.82568900695137,-0.433404855679494,-1.39398085286138,0,0,0
113,-9.82553477306331,-0.438630513195652,-1.39471504403614,0,0,0
114,-9.82239745755961,-0.439363879619586,-1.38502330720666,0,0,0
115,-9.82690939591895,-0.437720106932651,-1.38352441093937,0,0,0
116,-9.8293534741567,-0.431700977477697,-1.38130490195853,0,0,0
117,-9.82700998484654,-0.427094199307834,-1.38349531001154,0,0,0
118,-9.82798424372417,-0.42649715522217,-1.37833640467053,0,0,0
119,-9.8255773153356,-0.429488000615063,-1.37311247628307,0,0,0
120,-9.82167014412579,-0.430990207034444,-1.36490843759629,0,0,0
121,-9.82350695566663,-0.428936395033218,-1.36497290199007,0,0,0
122,-9.82427698617278,-0.424342084197004,-1.36941621432304,0,0,0
123,-9.82473617761072,-0.418706860293047,-1.36264004043759,0,0,0
124,-9.82578088786006,-0.420479360980424,-1.36493391396596,0,0,0
125,-9.82794104468649,-0.419576451017136,-1.37011195532686,0,0,0
126,-9.82793855465436,-0.424928783290264,-1.37831834601397,0,0,0
127,-9.82725791814242,-0.425007108939807,-1.38428518861102,0,0,0
128,-9.82662122741269,-0.425888129986837,-1.38134145734799,0,0,0
129,-9.82394173646813,-0.424820214609421,-1.37827036366736,0,0,0
130,-9.82951293497484,-0.425715100846455,-1.37610592803607,0,0,0
131,-9.83091947914568,-0.424065188695426,-1.3775619759599,0,0,0
132,-9.82644411182045,-0.423444656343359,-1.37905810982562,0,0,0
133,-9.82495762557243,-0.425792369946697,-1.37907471668068,0,0,0
134,-9.8249198957372,-0.428055823725488,-1.37833350043631,0,0,0
135,-9.82856636767293,-0.428630775144317,-1.37756393785324,0,0,0
136,-9.82801542173314,-0.428818481449309,-1.37686743020084,0,0,0
