Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.24590334165092,-2.67811217784996,-1.0862531867386,0,0,0
1,-9.31040858813372,-2.62181489550268,-1.0498304948286,0,0,0
2,-9.376396877495,-2.69188025642215,-1.07754969011267,0,0,0
3,-9.26755596121748,-2.70117946431392,-1.15103841299919,0,0,0
4,-9.25174861036901,-2.71145525883533,-1.21054375928559,0,0,0
5,-9.21371877627891,-2.75273833111178,-1.15920228256013,0,0,0
6,-9.24714745349872,-2.71072166904067,-1.14134907655145,0,0,0
7,-9.22408898427689,-2.73304053283989,-1.13167002533103,0,0,0
8,-9.31243310767174,-2.71496468395195,-1.15187280082124,0,0,0
9,-9.39098360917511,-2.69937844250272,-1.14602646970568,0,0,0
10,-9.31632539110462,-2.70430122647345,-1.20617227409697,0,0,0
11,-9.29053985275441,-2.74774888508091,-1.23296710555056,0,0,0
12,-9.34514844403212,-2.71677075760173,-1.23450427944088,0,0,0
13,-9.38642135555264,-2.69643222855552,-1.25239788713255,0,0,0
14,-9.3523388868517,-2.69400536198181,-1.25978095932821,0,0,0
15,-9.35561818741162,-2.72032066982297,-1.26948914435577,0,0,0
16,-9.40493404481151,-2.69097896426184,-1.30375365033186,0,0,0
17,-9.41685598491342,-2.69749961629194,-1.29187642044032,0,0,0
18,-9.39002334221134,-2.69931583338435,-1.29629781723188,0,0,0
19,-9.41008834552494,-2.69539258359092,-1.38411117481459,0,0,0
20,-9.39422747874732,-2.68656095692449,-1.3877942681274,0,0,0
21,-9.42432268546014,-2.71182214765669,-1.42507107350778,0,0,0
22,-9.38655398768201,-2.70646601621901,-1.40417598183689,0,0,0
23,-9.39383233754413,-2.67230948783758,-1.40339988758495,0,0,0
24,-9.39025599103236,-2.67630805354102,-1.37662057318498,0,0,0
25,-9.37709833330273,-2.66569561647867,-1.35798401048697,0,0,0
26,-9.42758162865432,-2.64678966924353,-1.38035862141329,0,0,0
27,-9.46426844311219,-2.63716874929377,-1.35139190664493,0,0,0
28,-9.48029833733277,-2.64230919821783,-1.41689140121832,0,0,0
29,-9.53727657079206,-2.65282489874938,-1.45344907445218,0,0,0
30,-9.36192097354843,-2.71350477040603,-1.30743235033518,0,0,0
31,-9.40656152604606,-2.64270725995426,-1.359492090235,0,0,0
32,-9.52437842940322,-2.64845193965166,-1.38498076595283,0,0,0
33,-9.44439918429707,-2.69106506550541,-1.27852198239551,0,0,0
34,-9.36293032018931,-2.6915226332886,-1.27541642523846,0,0,0
35,-9.41346882523512,-2.66883660472565,-1.29406670414836,0,0,0
36,-9.40493591709611,-2.67571788369397,-1.25314480928079,0,0,0
37,-9.33168757821864,-2.70264395329594,-1.2605030109805,0,0,0
38,-9.29992534596757,-2.72719477028975,-1.2969340347576,0,0,0
39,-9.27239290755464,-2.76873961505302,-1.43308689524502,0,0,0
40,-9.40876398804543,-2.68256055878437,-1.34168881957287,0,0,0
41,-9.44315895137154,-2.65385063526671,-1.10959755493338,0,0,0
42,-9.45202914286502,-2.63190032053269,-1.07090083947807,0,0,0
43,-9.40326158134781,-2.61812384796974,-1.08196272163081,0,0,0
44,-9.38843480963892,-2.65016954418456,-1.16158123507567,0,0,0
45,-9.37094478735464,-2.66421665437588,-1.32970200440865,0,0,0
46,-9.30689649283978,-2.6788445259054,-1.33333868676926,0,0,0
47,-9.36472790055074,-2.6395103951639,-1.22700062903231,0,0,0
48,-9.39324963157678,-2.64722666755813,-1.25904244083718,0,0,0
49,-9.36052508276139,-2.65000150518672,-1.21733374802585,0,0,0
50,-9.38199505466701,-2.64443523506041,-1.21587386206549,0,0,0
51,-9.36794942124234,-2.62813376614137,-1.22624761761361,0,0,0
52,-9.35783349718957,-2.63196112549821,-1.21805148639015,0,0,0
53,-9.38217006162263,-2.63464146117111,-1.26124213153266,0,0,0
54,-9.39883585899326,-2.63662412483104,-1.25085570537086,0,0,0
55,-9.40913536591099,-2.64692192211552,-1.24716354435201,0,0,0
56,-9.42859476717804,-2.63394631198814,-1.30520743680461,0,0,0
57,-9.427818773076,-2.63242664655526,-1.31413112802202,0,0,0
58,-9.42053756292299,-2.62282792827479,-1.31187744730016,0,0,0
59,-9.4181466874261,-2.62279768101589,-1.31038466645352,0,0,0
60,-9.41828212380565,-2.62288378701305,-1.3274968205767,0,0,0
61,-9.42834635804388,-2.61597720694675,-1.34089571362916,0,0,0
62,-9.45183825787925,-2.6132805590473,-1.37961301385354,0,0,0
