Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.47498979792695,-0.453930544861613,-2.47443810696041,0,0,0
1,-9.42834336054378,-0.472752808849319,-2.49373057809687,0,0,0
2,-9.38989782995077,-0.498872861714324,-2.5175069558702,0,0,0
3,-9.36447081054535,-0.528209557781153,-2.53536324487282,0,0,0
4,-9.36118885196235,-0.541739845010222,-2.54950865475619,0,0,0
5,-9.36472253290767,-0.562947558014857,-2.56888654380471,0,0,0
6,-9.38208627223643,-0.574840469969169,-2.60464151480091,0,0,0
7,-9.40259203475776,-0.579081699734981,-2.64187885794793,0,0,0
8,-9.41873021872852,-0.572168819744635,-2.65677781606739,0,0,0
9,-9.44703910600072,-0.555691588725982,-2.6560547819444,0,0,0
10,-9.48627217291324,-0.531025166614252,-2.69403084225666,0,0,0
11,-9.52157573292803,-0.513195853978969,-2.71936134407436,0,0,0
12,-9.53779469951216,-0.493913091207246,-2.73275148634967,0,0,0
13,-9.54777352390452,-0.490051765944865,-2.74243548685225,0,0,0
14,-9.54243605998306,-0.495556124428915,-2.75731602738589,0,0,0
15,-9.53318129032009,-0.503961481270009,-2.77144658882883,0,0,0
16,-9.52224295538549,-0.525336113390065,-2.78484892003646,0,0,0
17,-9.49628145395459,-0.534022530401557,-2.80788132754312,0,0,0
18,-9.46818178969931,-0.533729384594729,-2.81378848933929,0,0,0
19,-9.46802566057087,-0.541165051446624,-2.82049110702423,0,0,0
20,-9.44943780940025,-0.52205336389564,-2.83904126417635,0,0,0
21,-9.4556596432826,-0.512049546635458,-2.85689213422148,0,0,0
22,-9.4751886695913,-0.529247807980085,-2.8450440417287,0,0,0
23,-9.49707500105672,-0.530813905245915,-2.8554894331998,0,0,0
24,-9.51994851358733,-0.530585529360561,-2.8733834783246,0,0,0
25,-9.53292125032268,-0.528889512698699,-2.89125769190094,0,0,0
26,-9.53434143400265,-0.541136621161132,-2.90913459414252,0,0,0
27,-9.53203443149635,-0.545014215689236,-2.91657690887064,0,0,0
28,-9.52584447570773,-0.546347518466758,-2.93367458825597,0,0,0
29,-9.51614062677366,-0.539851263723513,-2.94778944647967,0,0,0
