Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.46430808963322,0.0958801555849749,-1.53384129931421,0,0,0
1,-9.47956741799429,0.0760897137065299,-1.53145306793744,0,0,0
2,-9.47342128654889,0.0890955168557288,-1.53618500156691,0,0,0
3,-9.4816345765037,0.090001804979149,-1.53804564983831,0,0,0
4,-9.47591554324295,0.0911913207290761,-1.5362839454579,0,0,0
5,-9.47547644495231,0.089319108134042,-1.5338268786904,0,0,0
6,-9.48018533170809,0.0892105577354148,-1.54069788071952,0,0,0
7,-9.47071045271706,0.0872127240756433,-1.55857429406443,0,0,0
8,-9.46836422834231,0.0941076967365962,-1.55622619242994,0,0,0
9,-9.48001122700625,0.0916623476868669,-1.55415398946492,0,0,0
10,-9.47530088369069,0.0917732933555255,-1.54954160822811,0,0,0
11,-9.47780805808347,0.0824480509212406,-1.5587612748806,0,0,0
12,-9.47099007321554,0.0915129308083681,-1.55190120449939,0,0,0
13,-9.47074709134198,0.0894610150839969,-1.55857666593966,0,0,0
14,-9.46660305022291,0.0867607962872321,-1.55877332362664,0,0,0
15,-9.47341104735981,0.0891121941306651,-1.55199541918797,0,0,0
16,-9.4868951857005,0.0871059189262902,-1.57231196108447,0,0,0
17,-9.47770430702613,0.0894011335843394,-1.57673936852292,0,0,0
18,-9.47948567715857,0.0853149590891989,-1.57201977344853,0,0,0
19,-9.47778782310185,0.0938810166362293,-1.56093370930978,0,0,0
20,-9.46695886720426,0.0955527152088753,-1.54758769910947,0,0,0
21,-9.46358063297764,0.0897220319821608,-1.55160907404725,0,0,0
22,-9.46864969636562,0.0983983608515872,-1.54051859929061,0,0,0
23,-9.46653855012827,0.0822499628741691,-1.54521679338966,0,0,0
24,-9.46615545766786,0.0963025628554985,-1.54041965173958,0,0,0
25,-9.46844335689477,0.0985947706138238,-1.54719643701473,0,0,0
26,-9.46604407852528,0.0895600397335994,-1.5426711608767,0,0,0
27,-9.47284620050022,0.0919209995968096,-1.5449277745517,0,0,0
28,-9.47415038146031,0.0837165495557926,-1.54000743125618,0,0,0
29,-9.47051434878541,0.0873924022835049,-1.54944174137557,0,0,0
30,-9.46810070117055,0.0897812541659109,-1.53805441584526,0,0,0
31,-9.47103402536331,0.0937492986358592,-1.54061043140552,0,0,0
32,-9.473462313044,0.0913366387551719,-1.52941148015308,0,0,0
33,-9.47807299052966,0.0844642443104594,-1.51820630343789,0,0,0
34,-9.47544712020394,0.0870589156501922,-1.52253136186898,0,0,0
35,-9.48419302485428,0.0829009564581895,-1.52468138087067,0,0,0
36,-9.48155983581055,0.0855075620107082,-1.54029952874201,0,0,0
37,-9.4679778794556,0.0944575941836485,-1.52892664300088,0,0,0
38,-9.47314751392351,0.0847857892194853,-1.53382359596934,0,0,0
39,-9.46830704084819,0.0895848859411958,-1.53137657588806,0,0,0
40,-9.46833197775219,0.0918522474919247,-1.54944794615185,0,0,0
41,-9.47917696591119,0.0901542689984513,-1.53794907659585,0,0,0
42,-9.46839322599112,0.0826603237931115,-1.54050199616404,0,0,0
43,-9.47084351942326,0.0825198101856861,-1.55189171704429,0,0,0
44,-9.47468915417428,0.0923505178277547,-1.55828195592894,0,0,0
45,-9.47970404723207,0.0988071527166317,-1.57429262956571,0,0,0
46,-9.47557643982715,0.109788210983439,-1.57666410596191,0,0,0
47,-9.47197734700797,0.102054975405891,-1.58846284822433,0,0,0
48,-9.48006402554325,0.0961922625171102,-1.58577953907386,0,0,0
49,-9.47032709234211,0.0898656618147706,-1.58322540884301,0,0,0
50,-9.46640435431136,0.100652777643133,-1.58117771626855,0,0,0
51,-9.48157745922295,0.0877868466914197,-1.56966399573942,0,0,0
52,-9.47091387083952,0.0870211354282988,-1.55641371875489,0,0,0
53,-9.45987564333493,0.0888940247105333,-1.55426281632635,0,0,0
54,-9.4725636520827,0.0876255180619315,-1.55611810354439,0,0,0
55,-9.47963808331461,0.0942986366885003,-1.56299476180667,0,0,0
56,-9.47242912282984,0.092320906774024,-1.56505927873657,0,0,0
57,-9.47553948266888,0.0938323457048342,-1.54964202535864,0,0,0
58,-9.47566377875781,0.0891537177143579,-1.55651122035713,0,0,0
59,-9.47640509345154,0.0953408981950336,-1.54779733789769,0,0,0
60,-9.4776591372573,0.0985668372561399,-1.56084039732073,0,0,0
61,-9.47279639706343,0.0896941398866764,-1.56525302583928,0,0,0
62,-9.48463976431549,0.0984687930321305,-1.54286503808561,0,0,0
63,-9.48623207437662,0.0831507256957972,-1.54716814578451,0,0,0
64,-9.48009620582191,0.0961398482731209,-1.53608970126025,0,0,0
65,-9.48231668424644,0.0939259442550303,-1.53382723939845,0,0,0
66,-9.47723027619019,0.0966779911005618,-1.54257293293489,0,0,0
67,-9.48032603382775,0.0982131648187562,-1.54974189248371,0,0,0
68,-9.47735603503659,0.0919968990853289,-1.54718347734296,0,0,0
69,-9.47380351050654,0.100152360777636,-1.5408121602033,0,0,0
70,-9.47978286152812,0.089586607146923,-1.53824317987178,0,0,0
71,-9.470360735267,0.0898108652577859,-1.53127708674427,0,0,0
72,-9.47015439334749,0.0900072353020828,-1.53795492059336,0,0,0
73,-9.46819273623116,0.0828471277417197,-1.53814533461946,0,0,0
74,-9.47758261981281,0.0803675110458476,-1.53833318821185,0,0,0
75,-9.48171785162858,0.0830819735909124,-1.55168831738467,0,0,0
76,-9.47051434878541,0.0873924022835049,-1.54944174137557,0,0,0
77,-9.4662768154132,0.0916286415852099,-1.55180607914132,0,0,0
78,-9.46853100405935,0.0916677826070684,-1.55406324503093,0,0,0
79,-9.47988985192575,0.0963362450988315,-1.54276754928612,0,0,0
80,-9.47056886725195,0.103319801212101,-1.54936029973257,0,0,0
81,-9.47958089582049,0.0897758258930999,-1.53814514526479,0,0,0
82,-9.47067439598028,0.110071886730259,-1.55614328352677,0,0,0
83,-9.48456502467941,0.0939746151864254,-1.54511892334959,0,0,0
84,-9.48239996209358,0.0870061944839683,-1.54746994112509,0,0,0
85,-9.47981218646015,0.0918468104723952,-1.54953868621868,0,0,0
86,-9.47677330341375,0.0811265987655333,-1.54019967055969,0,0,0
87,-9.4758437297969,0.0866924213584076,-1.53402056859024,0,0,0
88,-9.47524077108806,0.0872552691680049,-1.52920922242866,0,0,0
89,-9.46826308836029,0.0873484963862165,-1.54266732798709,0,0,0
90,-9.47564176789957,0.08688162373289,-1.53392253761759,0,0,0
91,-9.47088747157103,0.0847561780131772,-1.54060094395042,0,0,0
92,-9.47059640281232,0.0918747112383096,-1.53589473636608,0,0,0
93,-9.48142822084859,0.0901981747929048,-1.54472347740472,0,0,0
94,-9.47491865512808,0.0807162488052792,-1.54491445411539,0,0,0
95,-9.47523492013374,0.0872647990216997,-1.538243730006,0,0,0
96,-9.47953840606981,0.0875370538769091,-1.54717727256667,0,0,0
97,-9.48006810318796,0.0824776621656931,-1.55198392060615,0,0,0
98,-9.47983242298572,0.0804137995116068,-1.54736624317146,0,0,0
99,-9.477244655894,0.0852543759634299,-1.54943498648008,0,0,0
100,-9.48444487015562,0.087246451978865,-1.56092221069896,0,0,0
101,-9.48423997280968,0.0874404228165234,-1.56534140871912,0,0,0
102,-9.46438110613094,0.0889770718779188,-1.56329441866468,0,0,0
103,-9.46224121502917,0.0956755912674919,-1.55426847087505,0,0,0
104,-9.4620594864144,0.0844318622847073,-1.5519979805247,0,0,0
105,-9.46639111950373,0.0983663672199998,-1.54503731408399,0,0,0
