Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.03830757759513,0.191759730572629,-3.20749839065978,0,0,0
1,-9.03611802964719,0.196232444606907,-3.21879725896829,0,0,0
2,-9.0424760908974,0.18996539213308,-3.2071000087528,0,0,0
3,-9.03501569934013,0.186133606559603,-3.21986459520763,0,0,0
4,-9.02614511887626,0.185798512880974,-3.22232551572225,0,0,0
5,-9.02644463558973,0.194603354978763,-3.22253156275036,0,0,0
6,-9.03995479220177,0.213212311855995,-3.23795830238885,0,0,0
7,-9.03406336661363,0.209719335068578,-3.24817387700337,0,0,0
8,-9.03619821495658,0.212202589689161,-3.25475379808453,0,0,0
9,-9.03389091993611,0.21911710412136,-3.2681169586182,0,0,0
10,-9.03595296875851,0.207926531668934,-3.28391333391393,0,0,0
11,-9.04008483302436,0.203883507908832,-3.28351243854954,0,0,0
12,-9.03806871479883,0.208132400473708,-3.26338852242414,0,0,0
13,-9.04236572177556,0.194703512239775,-3.25433726112077,0,0,0
14,-9.02595367751985,0.19522724966794,-3.27162928460888,0,0,0
15,-9.01977143554949,0.182915748047551,-3.26808776553117,0,0,0
16,-9.02383394270172,0.183543893505663,-3.25168539064048,0,0,0
17,-9.02820081662076,0.183793552045401,-3.23793476498982,0,0,0
18,-9.02379534906668,0.19047372003358,-3.24472036400742,0,0,0
19,-9.02173086926764,0.192492942345066,-3.24266225320843,0,0,0
20,-9.03793382772956,0.199118093867209,-3.24531082289284,0,0,0
21,-9.03130751525083,0.217188919155671,-3.24513760659596,0,0,0
22,-9.03153666576567,0.221491179297343,-3.24082187744053,0,0,0
23,-9.02993340376812,0.232109792134205,-3.225615197551,0,0,0
24,-9.03850108652163,0.232821684637539,-3.21824409451643,0,0,0
25,-9.0343726883815,0.257518456129596,-3.24989248023392,0,0,0
26,-9.04322034813008,0.276242919852724,-3.26286698964249,0,0,0
27,-9.04117443127382,0.259879919650836,-3.25214899612987,0,0,0
28,-9.03208149637691,0.264407050677017,-3.23841185536146,0,0,0
29,-9.02782649574718,0.261724525927163,-3.25913230392997,0,0,0
30,-9.02327295364735,0.25941174137304,-3.26816696666361,0,0,0
31,-9.03237808671645,0.273216236208954,-3.24313496943966,0,0,0
32,-9.02805709996283,0.266024146896171,-3.25255804899784,0,0,0
33,-9.04594689282559,0.266511415007046,-3.2546083047357,0,0,0
34,-9.03815569919939,0.260794824979103,-3.24890902231511,0,0,0
35,-9.04303803047021,0.244337133259239,-3.22483205405686,0,0,0
36,-9.04296231431479,0.230667826733447,-3.23856553631424,0,0,0
37,-9.0314570297587,0.226179445604937,-3.24063004807726,0,0,0
38,-9.03784733420968,0.222168551211568,-3.2357107332019,0,0,0
39,-9.03988149691243,0.208714622865602,-3.23795355747058,0,0,0
40,-9.02638994978556,0.201559407201082,-3.24041029913309,0,0,0
41,-9.01530680133605,0.194250523546163,-3.2430621610071,0,0,0
42,-9.02213934064891,0.198870328433506,-3.25435515424391,0,0,0
43,-9.02671782315129,0.203450994554658,-3.26339108217099,0,0,0
44,-9.04285631229077,0.205564106127697,-3.25248376768692,0,0,0
45,-9.02638068910876,0.210750076764954,-3.2447402552257,0,0,0
46,-9.01135032436551,0.218725715989524,-3.24554628456672,0,0,0
47,-9.03179953755021,0.228046963692066,-3.24102556927806,0,0,0
48,-9.01347448907687,0.230402099111448,-3.25871467334437,0,0,0
49,-9.02531785371764,0.236765029192832,-3.26382132081316,0,0,0
50,-9.02470616857579,0.237527812690048,-3.2630349395581,0,0,0
51,-9.01144517170829,0.234672302097573,-3.25891747009497,0,0,0
52,-9.0132815427271,0.237525202462067,-3.25381156996873,0,0,0
53,-9.02249315273829,0.239730360601913,-3.25400468478298,0,0,0
54,-9.02528852033778,0.234504327152735,-3.25252629629423,0,0,0
55,-9.01366843209823,0.23245309949766,-3.25213805806384,0,0,0
56,-9.0225849567116,0.225846542250309,-3.24534951842528,0,0,0
57,-9.03150001865157,0.219242367360196,-3.24081950501575,0,0,0
58,-9.01354279144607,0.214248193758171,-3.22973038053549,0,0,0
59,-9.02726842334774,0.216522173457045,-3.2254034910754,0,0,0
60,-9.01801378757615,0.221253964342961,-3.22502095935311,0,0,0
61,-9.00670246838948,0.218816605646579,-3.22050883906671,0,0,0
62,-9.01773729385298,0.223895953643025,-3.23592282320359,0,0,0
63,-9.02920346403344,0.216963946085815,-3.2475941721973,0,0,0
64,-9.03133880346132,0.210270943184,-3.26339527760678,0,0,0
65,-9.03543645637507,0.21315071105979,-3.24925382390392,0,0,0
66,-9.02424145285964,0.208273916514861,-3.24493592146113,0,0,0
67,-9.02205484579524,0.212741974538942,-3.25171769337612,0,0,0
68,-9.02241546979065,0.235239840375331,-3.2607755059915,0,0,0
69,-9.02478872004751,0.23283470372213,-3.25870974119308,0,0,0
70,-9.02242326143872,0.22605147898847,-3.25870408480188,0,0,0
71,-9.02219851032514,0.221742073814623,-3.25624422723613,0,0,0
72,-9.01118279121608,0.218940147966503,-3.26793496803753,0,0,0
73,-9.01737188908414,0.212890013771356,-3.28088479033959,0,0,0
74,-9.00851637475343,0.203354624680284,-3.26998174660366,0,0,0
75,-9.01488032170178,0.197077993121939,-3.24925036491548,0,0,0
76,-9.01791065188095,0.196145564823623,-3.2344221048434,0,0,0
77,-9.02651061681149,0.199112912333557,-3.23382892828196,0,0,0
78,-9.02605037585018,0.199686842789453,-3.23549774410617,0,0,0
79,-9.01720912823119,0.20161243838694,-3.24925364891981,0,0,0
80,-9.02610904481368,0.204208376969115,-3.25808766744977,0,0,0
81,-9.01787751811289,0.214550410961825,-3.26566731420108,0,0,0
82,-9.015003040117,0.215287931346496,-3.27617497708545,0,0,0
83,-9.01790831453343,0.216808752327927,-3.27470379154195,0,0,0
84,-9.00894929211242,0.221176027067089,-3.29052406367179,0,0,0
85,-9.02281417562881,0.232457099032345,-3.29749936594431,0,0,0
86,-9.00867235957931,0.2329945008827,-3.29220458581477,0,0,0
87,-9.02229528869252,0.228510015917495,-3.27657804289086,0,0,0
88,-9.03391926619208,0.239730579903328,-3.2609695389636,0,0,0
89,-9.02737113705795,0.253115629904823,-3.26324668046536,0,0,0
90,-9.02071891673909,0.25974468211672,-3.25648260813111,0,0,0
91,-9.02025725220745,0.260321874325007,-3.26040987979111,0,0,0
92,-9.02041941341866,0.250940154847903,-3.25627652997177,0,0,0
93,-9.03163002750925,0.237440236039274,-3.25645157918122,0,0,0
94,-9.03372188378913,0.246860916316739,-3.26284199132951,0,0,0
95,-9.03143996358959,0.244558639092717,-3.24703144022227,0,0,0
96,-9.02517468824248,0.246115459021862,-3.23859383064203,0,0,0
97,-9.02926993339699,0.239823953090378,-3.2381906477934,0,0,0
98,-9.03615568770142,0.237489925217346,-3.23386341602796,0,0,0
99,-9.03577652386227,0.233373635062338,-3.23346553647408,0,0,0
100,-9.03107933782017,0.222060664738345,-3.23797363588117,0,0,0
101,-9.03604867117262,0.230738692137803,-3.2293392504556,0,0,0
102,-9.03367248164024,0.233148582448804,-3.23592208658426,0,0,0
103,-9.0290832854314,0.237761055228904,-3.23347466413419,0,0,0
104,-9.02480188409577,0.232813262526888,-3.23838302400666,0,0,0
105,-9.01108361963375,0.230527420906766,-3.23141727922456,0,0,0
106,-9.01732152445385,0.217530660653177,-3.23552256751951,0,0,0
107,-9.02209003059238,0.21499319053427,-3.25397858785844,0,0,0
108,-9.03370572696086,0.217051753047153,-3.26114240773284,0,0,0
109,-9.02925433019625,0.230673687790803,-3.27225559171278,0,0,0
110,-9.02247560069023,0.239758948835689,-3.28110694919855,0,0,0
111,-9.02030848317847,0.235019543203727,-3.26774913199163,0,0,0
112,-9.02710436731708,0.237390546861202,-3.27903974233447,0,0,0
113,-9.02245014992172,0.219140606511933,-3.28373734704424,0,0,0
114,-9.00880370239292,0.22135473641903,-3.27903482262086,0,0,0
115,-9.01303240347284,0.22407978250294,-3.29896773396265,0,0,0
116,-9.01547261560555,0.235358378902927,-3.29671961540695,0,0,0
117,-9.01564062183858,0.225967415801255,-3.28355223300446,0,0,0
118,-9.00642123634718,0.232950597556284,-3.28543048691641,0,0,0
119,-9.0132908654896,0.230642794869041,-3.30594704545164,0,0,0
120,-9.01104605508059,0.221412933978442,-3.29936007888977,0,0,0
121,-9.01089807450542,0.239947063016733,-3.27168696040573,0,0,0
122,-9.01510034977574,0.240406772651516,-3.27580786209438,0,0,0
123,-9.01787132289937,0.253571904929006,-3.29202347305492,0,0,0
124,-9.02273067029423,0.255503166686095,-3.28338207836698,0,0,0
125,-9.0179401494159,0.255768348612297,-3.24233845304017,0,0,0
126,-9.02688987181117,0.260591985284443,-3.23084820092265,0,0,0
127,-9.0319163009671,0.243957857453657,-3.22051886562724,0,0,0
128,-9.03317996506479,0.23146699323227,-3.23081297592506,0,0,0
129,-9.01968697641055,0.224313982926643,-3.2355282240191,0,0,0
130,-9.02683166639788,0.219366611572187,-3.24740142499904,0,0,0
131,-9.02491717934409,0.221199820515284,-3.25005694810609,0,0,0
132,-9.02697240487357,0.228371432151614,-3.25644501127128,0,0,0
133,-9.01810424045378,0.237207786079117,-3.24516772402712,0,0,0
134,-9.03806283206975,0.235668765234553,-3.24250052776902,0,0,0
