Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.68492232588804,-0.287063538175168,-2.31290250624874,0,0,0
1,-9.6850315907547,-0.287203388129476,-2.30918798993785,0,0,0
2,-9.6887827261496,-0.287082461612102,-2.30770401782036,0,0,0
3,-9.69111804673508,-0.28018313571819,-2.30248975534363,0,0,0
4,-9.68591160378733,-0.276554537080759,-2.30619852914763,0,0,0
5,-9.68285749520416,-0.277357183901275,-2.30470685119405,0,0,0
6,-9.6821659224681,-0.274374189700322,-2.30247122050909,0,0,0
7,-9.68211837722909,-0.273539245339945,-2.3084186530834,0,0,0
8,-9.68444655114705,-0.275878853424016,-2.30396549653756,0,0,0
9,-9.68598027754056,-0.275865188830394,-2.31289500591227,0,0,0
10,-9.68058162929528,-0.279702627813299,-2.31586599442696,0,0,0
11,-9.68353792346349,-0.286483448284487,-2.31811183495553,0,0,0
12,-9.68406656743513,-0.293885132799624,-2.32183672593458,0,0,0
13,-9.68562636100227,-0.295454235693723,-2.31886831471927,0,0,0
14,-9.68634153484688,-0.297701731250183,-2.31366477018909,0,0,0
15,-9.68252229525531,-0.299277461559448,-2.31663639211199,0,0,0
16,-9.68315099446472,-0.302954742044304,-2.31589517607027,0,0,0
17,-9.68319433333031,-0.302234509334218,-2.3211027696179,0,0,0
18,-9.68562939959338,-0.298537895978021,-2.32259369275804,0,0,0
19,-9.681034681102,-0.295491779556932,-2.31290875434369,0,0,0
20,-9.68257052144184,-0.295490631307346,-2.30844858590539,0,0,0
21,-9.68265905265471,-0.287899884271368,-2.30174301091751,0,0,0
22,-9.68198780651529,-0.284167798885964,-2.30471395171456,0,0,0
23,-9.6842571719528,-0.287969211047299,-2.30769986847241,0,0,0
24,-9.68271807125678,-0.286427080874479,-2.30918146484221,0,0,0
25,-9.68575091714721,-0.284832015067043,-2.30397585329219,0,0,0
26,-9.68203150724216,-0.284223767612558,-2.30322813843139,0,0,0
27,-9.6827057533213,-0.283336018115467,-2.29950468565729,0,0,0
28,-9.68271577014047,-0.284895485109314,-2.29206929063375,0,0,0
29,-9.68431026506834,-0.282645511459816,-2.30174097823534,0,0,0
30,-9.6805545670106,-0.278905649917532,-2.30544906240248,0,0,0
31,-9.68037909255166,-0.283303372517459,-2.31363266335892,0,0,0
32,-9.68118571414672,-0.286430904668835,-2.31587341452893,0,0,0
33,-9.68425702928016,-0.28565260499559,-2.3136464810224,0,0,0
34,-9.68189355743554,-0.287896882871521,-2.31289970820356,0,0,0
35,-9.68042117444209,-0.286439550239702,-2.31289651980421,0,0,0
36,-9.68118257518792,-0.288734059167152,-2.32257255038262,0,0,0
37,-9.68274177400328,-0.291067641663446,-2.32704434152667,0,0,0
38,-9.68270004742414,-0.288707701522764,-2.32108706718029,0,0,0
39,-9.68428446182407,-0.287225633465602,-2.31737001344489,0,0,0
40,-9.68211571883527,-0.280465080482354,-2.31810209748509,0,0,0
41,-9.68360460237992,-0.27886472106081,-2.31214915365566,0,0,0
42,-9.68665638928665,-0.278060260943055,-2.31215297658496,0,0,0
43,-9.68580645540768,-0.283356506486352,-2.30918252562768,0,0,0
44,-9.68662596417562,-0.281107025952865,-2.309181972757,0,0,0
45,-9.68577521686687,-0.288708190529089,-2.31439851416546,0,0,0
46,-9.68421208226062,-0.289452887461198,-2.30918854283235,0,0,0
47,-9.6863634850146,-0.292342829817048,-2.30249737146713,0,0,0
48,-9.68192915334491,-0.286416686832564,-2.29058209112771,0,0,0
49,-9.6826672198984,-0.284846651089151,-2.27570187591258,0,0,0
50,-9.68656175013141,-0.280281042782449,-2.27495936312175,0,0,0
51,-9.68740891753656,-0.278064123994435,-2.27793551778788,0,0,0
52,-9.68206334324024,-0.278107601174534,-2.29057196326701,0,0,0
53,-9.6789992248244,-0.277350721707437,-2.29651568274198,0,0,0
54,-9.68207938890844,-0.27813108203988,-2.28610941200614,0,0,0
55,-9.68282497117383,-0.278861580207852,-2.29950120003828,0,0,0
56,-9.6851420331485,-0.277313202202749,-2.32256364028271,0,0,0
57,-9.68955577016658,-0.288588472265221,-2.36126773620611,0,0,0
58,-9.68562375593507,-0.301582225345118,-2.36500023256365,0,0,0
59,-9.6817470417206,-0.303877956717287,-2.33895959141296,0,0,0
60,-9.68010980096098,-0.306083836689907,-2.31664009451967,0,0,0
61,-9.68169806218365,-0.305380306816903,-2.30846141509149,0,0,0
62,-9.6815938959337,-0.302163576349734,-2.31365805360045,0,0,0
63,-9.68412385705666,-0.291646027004811,-2.32034713850099,0,0,0
64,-9.68431998025135,-0.28110144333546,-2.3218231307646,0,0,0
65,-9.6843848242852,-0.278103424004116,-2.31735691143701,0,0,0
66,-9.69120532348065,-0.277978468064033,-2.30546474444155,0,0,0
67,-9.68731160295646,-0.280239056601527,-2.29802026442696,0,0,0
68,-9.68491458786283,-0.286303490637206,-2.28537731527031,0,0,0
69,-9.68261573638534,-0.287090246035714,-2.28091111689546,0,0,0
70,-9.68492585029635,-0.284006648829578,-2.28388568645377,0,0,0
71,-9.68351271502971,-0.279535972070007,-2.29057414520585,0,0,0
72,-9.68813844567705,-0.278771141749733,-2.29578986385442,0,0,0
73,-9.68200940219726,-0.278032623465074,-2.30023996190406,0,0,0
74,-9.68285610841336,-0.278896843804953,-2.30470971414345,0,0,0
75,-9.68436486534841,-0.279628573810826,-2.30545693449799,0,0,0
76,-9.68577124215254,-0.284082986481326,-2.30918242299876,0,0,0
77,-9.68724280836929,-0.287845290901435,-2.31737259765481,0,0,0
78,-9.68958872725075,-0.283270783779913,-2.31290706784818,0,0,0
79,-9.68645895879251,-0.28628723795303,-2.31587966368383,0,0,0
80,-9.68804177229237,-0.287885324342656,-2.3129122700748,0,0,0
81,-9.68564759834836,-0.287013322004695,-2.30546340450547,0,0,0
82,-9.68793975729996,-0.292384147047116,-2.30919713193593,0,0,0
83,-9.68564505331054,-0.28855205795509,-2.30472234115916,0,0,0
84,-9.68266114906366,-0.289442220027971,-2.30397765511567,0,0,0
85,-9.68029708821634,-0.292450980176463,-2.31067108004155,0,0,0
86,-9.68422566608805,-0.287157907950787,-2.30918475737878,0,0,0
87,-9.6826131478396,-0.291688546315648,-2.31141866816082,0,0,0
88,-9.68261976808668,-0.289388115181247,-2.30695132039832,0,0,0
89,-9.68184025670036,-0.293231349318831,-2.30398107277774,0,0,0
90,-9.68035903858837,-0.28868572934861,-2.29653288348083,0,0,0
91,-9.68257795712601,-0.290885273110007,-2.29579425841759,0,0,0
92,-9.67961364236156,-0.289474229545478,-2.31364294397433,0,0,0
93,-9.68125576967627,-0.284201830626408,-2.32256702609496,0,0,0
94,-9.67961701083988,-0.285630518311668,-2.30619702415481,0,0,0
95,-9.68192797194655,-0.28794556265187,-2.30546248279975,0,0,0
96,-9.6827921162835,-0.287293422636044,-2.30546683511025,0,0,0
97,-9.68277151093523,-0.283409221775128,-2.31215349203234,0,0,0
98,-9.68185079085977,-0.289382400912699,-2.31587623114745,0,0,0
99,-9.68419356975029,-0.287111034120881,-2.31810983347361,0,0,0
100,-9.68350468805234,-0.284905879151229,-2.31066866434825,0,0,0
101,-9.68730881618689,-0.284848144877835,-2.3136503039517,0,0,0
102,-9.68284934877648,-0.278880619828863,-2.31512367779324,0,0,0
103,-9.68205656360845,-0.279621163042434,-2.31661024117056,0,0,0
104,-9.6865967775629,-0.280297465293346,-2.31215471412788,0,0,0
105,-9.68516510898043,-0.283515969680106,-2.31141824361064,0,0,0
106,-9.68278348448762,-0.284194391008347,-2.31289936514087,0,0,0
107,-9.68434604720355,-0.282684382830728,-2.30992520792053,0,0,0
108,-9.68493800765903,-0.28631087559429,-2.31513336528079,0,0,0
109,-9.68268705315321,-0.290238239445278,-2.31365065864228,0,0,0
110,-9.68273491369106,-0.2856753360455,-2.31215625417617,0,0,0
111,-9.68282893783464,-0.283486838935411,-2.30471728138927,0,0,0
112,-9.68505949149693,-0.284165612346683,-2.295793600792,0,0,0
113,-9.68737054894076,-0.282623507616738,-2.30025888589389,0,0,0
114,-9.68576464467157,-0.284853649603973,-2.29802545437479,0,0,0
115,-9.68646979531092,-0.285541700462954,-2.30025730426886,0,0,0
116,-9.68117005318211,-0.285653769987566,-2.29801824092173,0,0,0
117,-9.68352619439964,-0.282627978448803,-2.30099484454659,0,0,0
118,-9.68066242319673,-0.280585313006314,-2.30173738791266,0,0,0
119,-9.68289015793808,-0.278169489880676,-2.30396588682861,0,0,0
120,-9.68444457523517,-0.278182932112663,-2.31140856424729,0,0,0
121,-9.68280601242246,-0.2796007310444,-2.30991608224757,0,0,0
122,-9.68424505449274,-0.284867439173649,-2.31290060791616,0,0,0
123,-9.67965918447432,-0.284909464096693,-2.31066068689615,0,0,0
124,-9.68036818923791,-0.28637634863312,-2.30843091055129,0,0,0
125,-9.68188381897387,-0.290970674940177,-2.30844187570675,0,0,0
126,-9.68264997067478,-0.287881890773809,-2.31066911342706,0,0,0
127,-9.68178877326697,-0.295474974151872,-2.30919030423537,0,0,0
128,-9.68407441050648,-0.297759212472623,-2.30696688718161,0,0,0
129,-9.68632629658358,-0.295373411589277,-2.30994032331364,0,0,0
130,-9.68248905938856,-0.297700002182117,-2.30919322904384,0,0,0
131,-9.68334681316092,-0.297807562091786,-2.3129181486358,0,0,0
132,-9.68335343168981,-0.295507194783445,-2.30845079478062,0,0,0
133,-9.68584529592729,-0.284949377421189,-2.30546779488418,0,0,0
134,-9.68498293996733,-0.292541382413328,-2.30324505149239,0,0,0
135,-9.68499303981006,-0.290243731990407,-2.30100948325262,0,0,0
136,-9.68122513491134,-0.287259309198447,-2.30471849159906,0,0,0
137,-9.6819756074339,-0.284923170309421,-2.30471487242917,0,0,0
138,-9.68884258127849,-0.28177491537827,-2.291331167551,0,0,0
139,-9.68425344655627,-0.28027363885208,-2.28611269046738,0,0,0
140,-9.68201466492354,-0.284975505038599,-2.30025334662065,0,0,0
141,-9.6828820320638,-0.278163143335076,-2.29875838992504,0,0,0
142,-9.68435124478236,-0.274219801062672,-2.30098284257456,0,0,0
143,-9.68358334203199,-0.278072268744252,-2.30545186349735,0,0,0
144,-9.68207144854764,-0.279643730182797,-2.31140377503617,0,0,0
145,-9.6873380048418,-0.285657656802045,-2.31067756252341,0,0,0
146,-9.69028646706095,-0.287034480584941,-2.31216893015014,0,0,0
147,-9.68865870442398,-0.289236738665889,-2.31067839428008,0,0,0
148,-9.68334504274739,-0.289337910379128,-2.29951221805573,0,0,0
149,-9.69020269341998,-0.28771216279558,-2.29580141683922,0,0,0
150,-9.68794661501501,-0.28701340743563,-2.28835868721113,0,0,0
151,-9.68805675609201,-0.282520913371058,-2.29728130403192,0,0,0
152,-9.68809195046778,-0.283324223208727,-2.31290572092132,0,0,0
153,-9.6858236653582,-0.283380868061671,-2.30546390987233,0,0,0
154,-9.68278059260613,-0.283427236847913,-2.30322738276282,0,0,0
155,-9.68433999880883,-0.285750135094487,-2.32257669782138,0,0,0
156,-9.6895396490499,-0.292422161454717,-2.3605305020956,0,0,0
157,-9.68627487378312,-0.306052751349203,-2.37170019487155,0,0,0
158,-9.68014020863147,-0.304566960730303,-2.33523539916119,0,0,0
159,-9.67566917481011,-0.304763697515536,-2.31812309967128,0,0,0
160,-9.67707836210022,-0.304609482023018,-2.30621852858991,0,0,0
161,-9.68177184652501,-0.300083692158502,-2.30101568886154,0,0,0
162,-9.68267391828409,-0.289452193162786,-2.31216085774921,0,0,0
163,-9.68049762425734,-0.283450571538949,-2.31586957186011,0,0,0
164,-9.67985461807816,-0.278986635767564,-2.31437705768992,0,0,0
165,-9.6798387087201,-0.28127981992304,-2.31289298844392,0,0,0
166,-9.68122536126192,-0.285718791033999,-2.3039717008899,0,0,0
167,-9.68342200289536,-0.289441586770622,-2.28984523358453,0,0,0
168,-9.68789593940545,-0.286952026128639,-2.28538095271416,0,0,0
169,-9.68269461840193,-0.278715989555016,-2.2749475554089,0,0,0
170,-9.68433411333806,-0.2788396600745,-2.27793068442527,0,0,0
171,-9.68199874853335,-0.278035252365565,-2.27866710161721,0,0,0
172,-9.68885327055888,-0.278712725976987,-2.28165541506928,0,0,0
173,-9.69189132334362,-0.277886594136564,-2.28760964117786,0,0,0
174,-9.68886814027949,-0.280265079179976,-2.29207325363392,0,0,0
175,-9.69037652508969,-0.280220691453996,-2.29951388121568,0,0,0
176,-9.68960304837386,-0.282527987762968,-2.29951647681013,0,0,0
177,-9.68963992690819,-0.286424896149526,-2.30324480140827,0,0,0
178,-9.69263311135643,-0.285541961476354,-2.30994091213356,0,0,0
179,-9.68873625150047,-0.29010576060317,-2.30919555570308,0,0,0
180,-9.68808708586282,-0.284861133501702,-2.31067680377256,0,0,0
181,-9.68590417152083,-0.281159990190052,-2.31885287588405,0,0,0
182,-9.6850347059706,-0.28643002417187,-2.31811317975121,0,0,0
183,-9.68203055196084,-0.284212103085627,-2.31736174615262,0,0,0
184,-9.68268530167989,-0.291001767009729,-2.32034692973789,0,0,0
185,-9.67811394584691,-0.290290264113886,-2.31959393811937,0,0,0
186,-9.67816367422956,-0.288810203588093,-2.32108097995669,0,0,0
187,-9.67891508340031,-0.288015504264418,-2.32256807193508,0,0,0
188,-9.67526722563676,-0.285955167097588,-2.3225645246004,0,0,0
189,-9.68107323568897,-0.292451401092502,-2.32108724248343,0,0,0
190,-9.67731825095643,-0.291793491075656,-2.32703283806763,0,0,0
191,-9.67577055676382,-0.294855855565414,-2.3404248387901,0,0,0
192,-9.68026786764811,-0.294701141477519,-2.34489240322911,0,0,0
193,-9.68039527900135,-0.294876726640834,-2.3233257451029,0,0,0
194,-9.68336302524294,-0.290116865737267,-2.31885523003881,0,0,0
195,-9.68870269717814,-0.295455564669925,-2.31292368790904,0,0,0
196,-9.68787186830977,-0.29229850067117,-2.30993798863143,0,0,0
197,-9.69020703041978,-0.294643190708179,-2.30994840291901,0,0,0
198,-9.68938475821175,-0.299971850020559,-2.30995468553911,0,0,0
199,-9.68947851636681,-0.291620392262586,-2.29878461685751,0,0,0
200,-9.69026086209724,-0.290871636661542,-2.29060269162875,0,0,0
201,-9.68788517734343,-0.293871317029921,-2.28985685804949,0,0,0
202,-9.68643218302883,-0.290123537502882,-2.29356952021519,0,0,0
203,-9.68658953344177,-0.284159985300918,-2.28761377759562,0,0,0
204,-9.68509863382133,-0.280360789563064,-2.29653190727267,0,0,0
205,-9.68508920468645,-0.278036844637645,-2.29652710887338,0,0,0
206,-9.68214662163719,-0.27280737391149,-2.30395519223609,0,0,0
207,-9.68296799506613,-0.273640932337003,-2.3069360751114,0,0,0
208,-9.68138567958602,-0.276665258140042,-2.31288778621604,0,0,0
209,-9.68223411739284,-0.278295721113631,-2.32628563619339,0,0,0
210,-9.68357678680183,-0.278045251723484,-2.33074332377624,0,0,0
