Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.55680116024092,0.313726017683718,-4.3351707034287,0,0,0
1,-8.57333394435978,0.308703885030388,-4.31523055693661,0,0,0
2,-8.57069571895395,0.29761374368709,-4.312860915453,0,0,0
3,-8.56622104346397,0.299788495694084,-4.31286620932188,0,0,0
4,-8.56818641021716,0.306948356453766,-4.31041201740258,0,0,0
5,-8.5641661176467,0.324675506153185,-4.31505177990763,0,0,0
6,-8.56232828598088,0.312828624593625,-4.31760185326097,0,0,0
7,-8.57058715336302,0.315980661509039,-4.31267867079309,0,0,0
8,-8.58251922542054,0.317817746432052,-4.29038923521481,0,0,0
9,-8.56384067754897,0.315837031345803,-4.28106227728658,0,0,0
10,-8.56633379753424,0.317931687304851,-4.2811637684369,0,0,0
11,-8.57754022611901,0.327327627299265,-4.30816889336639,0,0,0
12,-8.58010810132738,0.333916407135834,-4.30601652435114,0,0,0
13,-8.59152419408929,0.329396517082402,-4.29029466142384,0,0,0
14,-8.58083225567477,0.340070693526002,-4.28825636843897,0,0,0
15,-8.58930078725601,0.331615175140937,-4.29707438755061,0,0,0
16,-8.58024005872111,0.329222253713811,-4.29933649082012,0,0,0
17,-8.58034704805216,0.335971826558469,-4.30386086855454,0,0,0
18,-8.5646747613039,0.331044199702439,-4.31977738575743,0,0,0
19,-8.57401029098947,0.324082871903401,-4.31772641713426,0,0,0
20,-8.56884015757411,0.32231271230765,-4.3174057290143,0,0,0
21,-8.56222412824106,0.331188366172065,-4.31064370618228,0,0,0
22,-8.56690402203666,0.328816022654491,-4.30396312060509,0,0,0
23,-8.56410015445025,0.320167033513665,-4.30375389122244,0,0,0
24,-8.55719541133862,0.324760421582116,-4.3194728050053,0,0,0
25,-8.56745518697546,0.321585420405644,-4.3201361707761,0,0,0
26,-8.56223006023296,0.319775678638382,-4.32880152030677,0,0,0
27,-8.56454145946379,0.310626665622652,-4.32663256155214,0,0,0
28,-8.55990258715838,0.315240020574936,-4.32653960444916,0,0,0
29,-8.54857442117865,0.324232536246516,-4.31967988102985,0,0,0
30,-8.55588730627687,0.319299475578264,-4.32450927374815,0,0,0
31,-8.5710079104993,0.317876757028153,-4.33998583518859,0,0,0
32,-8.56460157060267,0.315144603068346,-4.34696502275898,0,0,0
33,-8.56170094195478,0.313440231153063,-4.35569670344275,0,0,0
34,-8.5707133415883,0.299892985072102,-4.3422254914587,0,0,0
35,-8.56415451426964,0.299580493748483,-4.33103734591474,0,0,0
36,-8.56420722706889,0.315513446845479,-4.33547058418365,0,0,0
37,-8.56822888410647,0.322898252773712,-4.33065563636642,0,0,0
38,-8.5642907428004,0.319993308176518,-4.31966491026726,0,0,0
39,-8.55772159092765,0.331100554068984,-4.2970948416665,0,0,0
40,-8.56426133564193,0.329136329479988,-4.28117708876227,0,0,0
41,-8.56594968024939,0.33199513248239,-4.28313488223117,0,0,0
42,-8.56648766502622,0.326912895599354,-4.26988011093436,0,0,0
43,-8.58225520035325,0.338609244969971,-4.27655705421241,0,0,0
44,-8.58019015466316,0.338398672653359,-4.29246949412952,0,0,0
45,-8.57792572409086,0.338376208843959,-4.30602272908518,0,0,0
46,-8.58263349223878,0.338266384380845,-4.31289630375347,0,0,0
47,-8.57557195268598,0.320172336480805,-4.31514034304842,0,0,0
48,-8.58000852716345,0.315751697638671,-4.31739130841594,0,0,0
49,-8.56806616841866,0.311623389011567,-4.2990230297731,0,0,0
50,-8.59109022455177,0.327521971552213,-4.28331523150042,0,0,0
51,-8.57776447294959,0.327099071081068,-4.2721314348934,0,0,0
52,-8.56833287919173,0.327344824810344,-4.28322925939984,0,0,0
53,-8.55513904611882,0.349650176640596,-4.32391699063272,0,0,0
54,-8.55796204295249,0.335461412635498,-4.34914874388626,0,0,0
55,-8.55491489339802,0.324764164901884,-4.35787092321368,0,0,0
56,-8.55108514927204,0.314895460975726,-4.31987016543269,0,0,0
57,-8.54430785361738,0.312494052664526,-4.27921674154281,0,0,0
58,-8.55079197550102,0.30831247340201,-4.29265883517803,0,0,0
59,-8.56190030450411,0.313252243572976,-4.35805598422682,0,0,0
60,-8.55137019415292,0.321543286518577,-4.39001505162217,0,0,0
61,-8.5486976347324,0.321860564213466,-4.38301985466997,0,0,0
62,-8.55033177611729,0.320191683304883,-4.35561047457834,0,0,0
63,-8.55193072795258,0.316272047986595,-4.32594025454945,0,0,0
64,-8.54807605457215,0.317847072152502,-4.2991438913495,0,0,0
65,-8.56895594326827,0.315337023474781,-4.2791024635047,0,0,0
66,-8.57024845183456,0.318566860842819,-4.27182461534039,0,0,0
67,-8.56624434617199,0.324864571474229,-4.27881167688842,0,0,0
68,-8.58623297581615,0.318643303014217,-4.2809494590325,0,0,0
69,-8.58912490960643,0.32036191628676,-4.28576937284538,0,0,0
70,-8.58674752555229,0.325002590269533,-4.27664047698669,0,0,0
71,-8.58911467041735,0.320378593561696,-4.30157979046643,0,0,0
72,-8.58451095698843,0.327242701409618,-4.30374785775529,0,0,0
73,-8.58450510602867,0.327252231272161,-4.3127823737214,0,0,0
74,-8.56887533310402,0.324563364078485,-4.31966673195535,0,0,0
75,-8.5645032587212,0.333494836333682,-4.33097229682482,0,0,0
76,-8.57124977326178,0.319927478349613,-4.33331294263837,0,0,0
77,-8.5690790917632,0.324368176796961,-4.31525008184286,0,0,0
78,-8.56590873428945,0.318350595770715,-4.31710060481318,0,0,0
