Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.62668933287022,-0.12245792941245,2.08109770621286,0,0,0
1,-9.62607139979006,-0.122588376735657,2.09449234779697,0,0,0
2,-9.63512736819863,-0.129274428499389,2.09967828600898,0,0,0
3,-9.62805337783728,-0.134546332549438,2.09075280444815,0,0,0
4,-9.63483030109207,-0.137444969916922,2.09966595708144,0,0,0
5,-9.63856513825324,-0.145747143819813,2.1249460013515,0,0,0
6,-9.64237862051987,-0.147227765766051,2.13535441540128,0,0,0
7,-9.6371982286371,-0.143612972170866,2.14801616446291,0,0,0
8,-9.62510422990787,-0.136204681589018,2.15622713335838,0,0,0
9,-9.61498688579984,-0.129281219220121,2.1354146963014,0,0,0
10,-9.60678499718877,-0.133369112908897,2.09971536086478,0,0,0
11,-9.60680877593839,-0.128795784056593,2.06177753526269,0,0,0
12,-9.60643433042049,-0.136044743132033,2.03053061441299,0,0,0
13,-9.60157788934762,-0.141957333381868,2.01118381951139,0,0,0
14,-9.60705205931575,-0.139703213182972,2.00522799402966,0,0,0
15,-9.60298371715587,-0.137249542200038,2.02680800473349,0,0,0
16,-9.59943767542424,-0.130637985699265,2.07369451167033,0,0,0
17,-9.59495602598663,-0.123894510411289,2.12876369003535,0,0,0
18,-9.58670306981854,-0.119551681528988,2.16003014821717,0,0,0
19,-9.60189815426456,-0.113158583613379,2.13769267072103,0,0,0
20,-9.60809306235965,-0.107031840777106,2.09156429879287,0,0,0
21,-9.61566650684226,-0.113769270078471,2.03797906579142,0,0,0
22,-9.61733876884757,-0.118466492398202,1.99110380526009,0,0,0
23,-9.6032481643766,-0.129813272137586,1.97027703032063,0,0,0
24,-9.59534550043784,-0.148047700265994,1.97696243506466,0,0,0
25,-9.58660043305375,-0.170817112226966,1.98959517609723,0,0,0
26,-9.59340726048537,-0.180626212992011,2.01338132580017,0,0,0
27,-9.59769821069455,-0.186454435302337,2.05353924922995,0,0,0
28,-9.60368470914685,-0.183987812155611,2.10188913875545,0,0,0
29,-9.61448504793509,-0.181656640066038,2.16139505877349,0,0,0
30,-9.62662728461657,-0.175328716114983,2.20006859811287,0,0,0
31,-9.64411275144861,-0.17581592255459,2.1881370412228,0,0,0
32,-9.65933516003508,-0.178646605014364,2.14198412616641,0,0,0
33,-9.65945636538164,-0.185663725671872,2.10626878832784,0,0,0
34,-9.65783555332594,-0.189402617926888,2.08245829635316,0,0,0
35,-9.65777864296427,-0.195474156253826,2.05641231634876,0,0,0
36,-9.65999104216409,-0.187722979407622,2.04525568370491,0,0,0
37,-9.65404641863454,-0.181048126783114,2.06387315699009,0,0,0
38,-9.64897961311828,-0.166043561405163,2.09291502089722,0,0,0
39,-9.63544142899074,-0.154907094246695,2.11973272914512,0,0,0
40,-9.61348763125407,-0.146153065638549,2.12424118004853,0,0,0
41,-9.60525056557234,-0.134146839894606,2.10120473057631,0,0,0
42,-9.59638767822153,-0.127618711249015,2.07667805043193,0,0,0
43,-9.59263374576406,-0.125422370798507,2.07073506446784,0,0,0
44,-9.60048553103817,-0.119396276326304,2.06924483172741,0,0,0
45,-9.60794703436942,-0.121445905487627,2.07146062875146,0,0,0
46,-9.60253063773566,-0.132161778573354,2.05880944758241,0,0,0
47,-9.59253937019338,-0.139112191383127,2.02533766950393,0,0,0
48,-9.58937961399875,-0.152831024026719,1.99631210573302,0,0,0
49,-9.59618959690492,-0.164205210917909,1.97545886031244,0,0,0
50,-9.59848134316756,-0.158796513030088,1.97322844479554,0,0,0
51,-9.61455295800827,-0.147148407171156,1.99032772735643,0,0,0
52,-9.62364342621386,-0.14009325111531,2.00966334656139,0,0,0
53,-9.63813840311785,-0.13531654050718,2.02080572776437,0,0,0
54,-9.64583852772729,-0.13374799739007,2.04162799943338,0,0,0
55,-9.6563874164603,-0.136563448640142,2.06839028189922,0,0,0
56,-9.66050945055945,-0.145310566901661,2.08101580791163,0,0,0
57,-9.66374665256058,-0.151543021195677,2.06612813643105,0,0,0
58,-9.66753541125188,-0.155295538909265,2.03412731616303,0,0,0
59,-9.65999026573907,-0.148575764662562,1.99992390048204,0,0,0
60,-9.66169143280847,-0.144874789925726,1.99248791579796,0,0,0
61,-9.66214323306064,-0.152260128739561,2.00735463992755,0,0,0
62,-9.66824892969951,-0.156775997077356,2.04825953367003,0,0,0
63,-9.66592171435575,-0.159079958001451,2.08322720603777,0,0,0
64,-9.66351817185774,-0.164371685604686,2.10777501955916,0,0,0
65,-9.65377022400074,-0.152391363832836,2.12045172966633,0,0,0
66,-9.64858752398899,-0.143410272036257,2.12642275626016,0,0,0
67,-9.63259023183482,-0.136750702698879,2.11678223432638,0,0,0
68,-9.61705025094884,-0.126650633580597,2.09004043166973,0,0,0
69,-9.59877148848213,-0.120782478609485,2.08040257258132,0,0,0
70,-9.56039795510458,-0.119491248750424,2.0536884034459,0,0,0
71,-9.54569829275355,-0.116384361128509,2.02097456476477,0,0,0
72,-9.53208428681244,-0.117423267968253,2.00611650351844,0,0,0
73,-9.54523545365051,-0.115133217523883,2.00312608600686,0,0,0
74,-9.56034019550575,-0.121709461612049,2.01797402639415,0,0,0
75,-9.58291072250927,-0.121119511903165,2.05215772987285,0,0,0
76,-9.5968622775679,-0.13425701499091,2.08484994989742,0,0,0
77,-9.60611195972551,-0.145716433126986,2.11086568934572,0,0,0
78,-9.61710276131612,-0.151294478054105,2.11827564506149,0,0,0
79,-9.63238152982788,-0.152644742388285,2.12122740924606,0,0,0
80,-9.63595314618418,-0.166930842436712,2.11897211575668,0,0,0
81,-9.65269557350573,-0.172034910320497,2.11894106910621,0,0,0
82,-9.66095379594818,-0.181005273203507,2.11817377974796,0,0,0
83,-9.66619246366716,-0.188515687613392,2.1166691217596,0,0,0
84,-9.66614253226494,-0.191534668232982,2.1174094016764,0,0,0
85,-9.6577529743361,-0.19624785233653,2.11444184972232,0,0,0
86,-9.65082461934959,-0.192424797450399,2.09808697374138,0,0,0
87,-9.6461946067895,-0.196266097754271,2.10404116780697,0,0,0
88,-9.64234338459352,-0.195520755845661,2.1099989572281,0,0,0
89,-9.63709689488513,-0.197961455098218,2.10926201854589,0,0,0
90,-9.63278702229059,-0.186773224891257,2.09440448396084,0,0,0
91,-9.61681769080621,-0.18012775269229,2.07360458662238,0,0,0
92,-9.61684928088438,-0.168678202367886,2.06617662912472,0,0,0
93,-9.60440988639635,-0.150920025714445,2.05059789096354,0,0,0
94,-9.60857627727603,-0.13816376649486,2.04614600372436,0,0,0
95,-9.59567357721574,-0.126902291751552,2.05510532848638,0,0,0
96,-9.59820390872643,-0.11866724017795,2.07817683621647,0,0,0
97,-9.59954286092962,-0.129219325329446,2.10940868681075,0,0,0
98,-9.61208819460179,-0.143215996667119,2.11308858018989,0,0,0
99,-9.61766471139268,-0.16718241380296,2.0810571848999,0,0,0
100,-9.60866988098416,-0.181986683274548,2.04460426077173,0,0,0
101,-9.61286347000936,-0.199185338724927,2.0468063930073,0,0,0
102,-9.60423649425159,-0.20675047604383,2.03564870557559,0,0,0
103,-9.60668792720099,-0.193848843972658,2.02375673892121,0,0,0
104,-9.6109000082538,-0.181885743459178,2.02376834996901,0,0,0
105,-9.61194416098907,-0.161451642993471,2.01783962700291,0,0,0
106,-9.61868859633004,-0.16432484841843,2.04758366801388,0,0,0
107,-9.62880706644486,-0.158278442056514,2.06915340636072,0,0,0
108,-9.64459087745137,-0.159372442944277,2.08846739063349,0,0,0
109,-9.65594627477764,-0.166839101698434,2.11596921873213,0,0,0
110,-9.661056062764,-0.180364746206899,2.13454415582115,0,0,0
111,-9.65609175830362,-0.199969896198483,2.14122144380008,0,0,0
112,-9.6542859565298,-0.21657552174531,2.12781150367491,0,0,0
113,-9.63879260653531,-0.227280193613221,2.10922109135558,0,0,0
114,-9.61051706032281,-0.241374657447073,2.10404143003122,0,0,0
115,-9.59525043776184,-0.25151803193185,2.1085184426453,0,0,0
116,-9.59372645511158,-0.250774909190819,2.11893718215977,0,0,0
117,-9.57807165915089,-0.23446591281502,2.12047102391303,0,0,0
118,-9.58886403447277,-0.219863205127327,2.11823849311496,0,0,0
119,-9.6006907466925,-0.201704500511081,2.10931755144802,0,0,0
120,-9.61357670372533,-0.192253974030064,2.11228124658921,0,0,0
121,-9.62195801913688,-0.186782318772287,2.11822557793662,0,0,0
122,-9.62373096935979,-0.183162306890856,2.11748686110998,0,0,0
123,-9.6334573411557,-0.187444951748395,2.11597647380155,0,0,0
124,-9.62712961674948,-0.191163631078311,2.09663545716205,0,0,0
125,-9.61393855440217,-0.202623718693426,2.08399305414867,0,0,0
126,-9.60582729111473,-0.204491793654507,2.08326394666804,0,0,0
127,-9.60887293650099,-0.20444723431289,2.07953940312125,0,0,0
128,-9.61226217894574,-0.215524946684428,2.08621238711704,0,0,0
129,-9.61710677925879,-0.20803457101667,2.08621666460964,0,0,0
130,-9.61240183438381,-0.210284365530832,2.086219559262,0,0,0
131,-9.6040704470363,-0.20432319857685,2.09591069974939,0,0,0
132,-9.58914882376222,-0.193321791755633,2.10487720370493,0,0,0
133,-9.59158807204157,-0.188059966901008,2.09223351228418,0,0,0
134,-9.58947627192664,-0.182114129519202,2.08182972631127,0,0,0
135,-9.58861152989534,-0.177451022856636,2.09150571551888,0,0,0
136,-9.58746144592352,-0.166305566501315,2.11086778584271,0,0,0
137,-9.59279067870311,-0.165473200289269,2.1406195814538,0,0,0
138,-9.59842394292726,-0.167293744873453,2.13167379872681,0,0,0
139,-9.61143175471639,-0.166391941908814,2.11752009698758,0,0,0
140,-9.62449051236783,-0.177772966816363,2.11972247005519,0,0,0
141,-9.63473031407853,-0.181098809287754,2.12788034258821,0,0,0
142,-9.63342933768428,-0.192035216219288,2.13977922502574,0,0,0
143,-9.63308853721072,-0.194029207263828,2.14274774461022,0,0,0
144,-9.64587835117801,-0.202129124481145,2.13974162378744,0,0,0
145,-9.64202082799164,-0.209028028946639,2.14122794260011,0,0,0
146,-9.64563483062693,-0.219524740709329,2.15088059975971,0,0,0
147,-9.63968878837211,-0.215908610742207,2.1739589603646,0,0,0
148,-9.62051238151078,-0.223720028417668,2.17472260098739,0,0,0
149,-9.61047261300681,-0.229102160711423,2.15315523276503,0,0,0
150,-9.60377060748387,-0.229323906031217,2.13456843343427,0,0,0
151,-9.58946512880331,-0.229675686232751,2.146496603912,0,0,0
152,-9.56604945454901,-0.224081056652333,2.16662924301724,0,0,0
153,-9.55553725752336,-0.208258276954565,2.17187053649267,0,0,0
154,-9.54045158051424,-0.200180806051221,2.15032877633401,0,0,0
155,-9.54078189028557,-0.19129211476247,2.11983973691141,0,0,0
156,-9.54295564261107,-0.182731093592118,2.11686670248938,0,0,0
157,-9.54611618343317,-0.178958091788089,2.14811436131128,0,0,0
158,-9.56351922021256,-0.180909929677212,2.17337895901764,0,0,0
159,-9.58332839831022,-0.181396702058097,2.16814024733803,0,0,0
160,-9.58203313837919,-0.206215401590731,2.18373268844704,0,0,0
161,-9.59482742824061,-0.225815049877353,2.1829477636065,0,0,0
162,-9.59812925319805,-0.244448802795932,2.18440362332187,0,0,0
163,-9.60785048405304,-0.263291980005292,2.18808733221589,0,0,0
164,-9.6124651744015,-0.258664100800323,2.17171782359506,0,0,0
165,-9.61399549902693,-0.251763599357957,2.16577052485386,0,0,0
166,-9.62078520336717,-0.254672180506399,2.16650012938549,0,0,0
167,-9.63757341292531,-0.249104570401558,2.17689591321458,0,0,0
168,-9.64521215932166,-0.242130022840464,2.18730699720373,0,0,0
169,-9.63934076790782,-0.237809298502697,2.20517936906069,0,0,0
170,-9.62204324606788,-0.231377627525427,2.21191217758656,0,0,0
171,-9.60763862315316,-0.227036413873155,2.2119394259586,0,0,0
172,-9.59629240828161,-0.220371235981589,2.22014826154747,0,0,0
173,-9.58810237452841,-0.204580042218765,2.2060438286609,0,0,0
174,-9.57423326738776,-0.176976024242624,2.19940632970728,0,0,0
175,-9.57142449556137,-0.164973556772063,2.17636303102371,0,0,0
176,-9.55850648794763,-0.170545374549389,2.14885099628772,0,0,0
177,-9.56367294044275,-0.179513728237424,2.15329541453283,0,0,0
178,-9.56643439594088,-0.199153508109537,2.17781902740925,0,0,0
179,-9.58335943410362,-0.213682733649464,2.19487973244756,0,0,0
180,-9.57802635450905,-0.219878243571238,2.21050538136564,0,0,0
181,-9.58213556701705,-0.241619675364846,2.20303042133282,0,0,0
182,-9.53115328785112,-0.245449245845906,2.21352163284331,0,0,0
183,-9.60292594682856,-0.231567331771911,2.23500298810378,0,0,0
184,-9.67648487387531,-0.231777494251816,2.215540786949,0,0,0
185,-9.62187992713832,-0.234281470470569,2.19777086965293,0,0,0
186,-9.60811413235768,-0.23978636179155,2.19852973604216,0,0,0
187,-9.60458484671273,-0.227074626466957,2.22087169622722,0,0,0
188,-9.58707514090005,-0.228112028684013,2.25735294574779,0,0,0
189,-9.5628933930428,-0.216379888178729,2.29460366313946,0,0,0
190,-9.56300603220116,-0.20882291639293,2.30056455203079,0,0,0
191,-9.58344683990745,-0.205343386444887,2.25961511517133,0,0,0
192,-9.58760637612202,-0.198711648505736,2.22167871492686,0,0,0
193,-9.59049459423336,-0.196219284478731,2.1852187534289,0,0,0
194,-9.58167328638514,-0.198953664100961,2.17705213860005,0,0,0
195,-9.58065829275669,-0.210219451254772,2.19861360160005,0,0,0
196,-9.5699913921569,-0.206532770675661,2.23062432086395,0,0,0
197,-9.54115244701599,-0.205515761111009,2.24555126739667,0,0,0
198,-9.5433664145066,-0.211572635526479,2.27455649810511,0,0,0
199,-9.52201985913443,-0.210305252876684,2.28426137543946,0,0,0
200,-9.50202316117067,-0.214217363847504,2.25080530053901,0,0,0
201,-9.49031174691521,-0.209485362309821,2.21438229809337,0,0,0
202,-9.46886747872856,-0.190504993423752,2.18095165281656,0,0,0
203,-9.45952271074475,-0.179627778509667,2.16387440700031,0,0,0
204,-9.48992475955048,-0.179914800387859,2.1816818775949,0,0,0
205,-9.51580651456875,-0.179545953494484,2.17866650429816,0,0,0
206,-9.52773773000481,-0.193696766683484,2.17639816129297,0,0,0
207,-9.5319744186559,-0.206342074539608,2.19794867088472,0,0,0
208,-9.53232201637208,-0.216704725937674,2.24852150271669,0,0,0
209,-9.54133463881581,-0.224887545259523,2.30057593647652,0,0,0
210,-9.55639277121664,-0.229883440810295,2.33625584986978,0,0,0
211,-9.59770808662643,-0.240291767050658,2.38899454442296,0,0,0
212,-9.64493600122711,-0.248045943446875,2.43429763368375,0,0,0
213,-9.68563985355544,-0.250929444208906,2.47663115124962,0,0,0
214,-9.7114726815264,-0.257393306754697,2.51452719278988,0,0,0
215,-9.73825859142606,-0.248710595700435,2.50854504541043,0,0,0
216,-9.75127867384184,-0.253210431402478,2.47132408053865,0,0,0
217,-9.74399002857669,-0.267438042533788,2.40361065299912,0,0,0
218,-9.71504227492119,-0.282377599314143,2.33445085674946,0,0,0
219,-9.66947385152242,-0.291549452005247,2.29954743226575,0,0,0
220,-9.62222007880431,-0.300612006359599,2.26613182736342,0,0,0
221,-9.56378505107419,-0.304704693031599,2.26994173118845,0,0,0
222,-9.52376115662332,-0.29412889880578,2.29829143522302,0,0,0
223,-9.50092989221647,-0.289063364377916,2.27526730708204,0,0,0
224,-9.48617672142062,-0.271337993629094,2.22621334565186,0,0,0
225,-9.45836297309112,-0.257519347621181,2.20395668251596,0,0,0
226,-9.44513582021614,-0.275820923405591,2.18907473249265,0,0,0
227,-9.42593940366292,-0.249836784178388,2.1266458133722,0,0,0
228,-9.41482435602769,-0.227264471564919,2.10511403917077,0,0,0
229,-9.40578604974975,-0.206050059326542,2.10515033009181,0,0,0
230,-9.41622479440485,-0.174219916288415,2.1096380564556,0,0,0
231,-9.43500143920437,-0.153721388299561,2.1081494934639,0,0,0
232,-9.47917140952457,-0.143896766142037,2.11478663398927,0,0,0
233,-9.53277698948445,-0.150386377313157,2.12287380644937,0,0,0
234,-9.57142830565702,-0.159618209393762,2.12429002054803,0,0,0
235,-9.58590004261781,-0.16017944154446,2.16518585232715,0,0,0
236,-9.59876971548145,-0.16838399910759,2.22318765302666,0,0,0
237,-9.62313280714101,-0.190308683386226,2.265521799582,0,0,0
238,-9.65388853677842,-0.214721925120984,2.30040971053603,0,0,0
239,-9.68681183733875,-0.230593447002794,2.35389984719332,0,0,0
240,-9.69422871067296,-0.244092915125229,2.39999858109721,0,0,0
241,-9.69011561679527,-0.25461106177097,2.4565316491397,0,0,0
242,-9.66649108722322,-0.258764416384388,2.49450662177608,0,0,0
243,-9.64822909906526,-0.254452210125705,2.52132223070026,0,0,0
244,-9.61220663256927,-0.24011228381282,2.49015398115877,0,0,0
245,-9.58858659005836,-0.231261330684988,2.44927959066782,0,0,0
246,-9.56921562531946,-0.236492175625597,2.39053820819777,0,0,0
247,-9.53349883801478,-0.227879911637843,2.35117170822851,0,0,0
248,-9.5045761337909,-0.238254247055324,2.34748669464441,0,0,0
249,-9.48006538952466,-0.244609244514163,2.33858809568741,0,0,0
250,-9.46555939887624,-0.248612853057658,2.34232582500926,0,0,0
251,-9.44204265573914,-0.248263520898474,2.35798749982555,0,0,0
252,-9.44079215459614,-0.228621240769962,2.38851614154549,0,0,0
253,-9.41829776185946,-0.213174587610679,2.39229170228586,0,0,0
254,-9.43281438614015,-0.21300393389141,2.37739082123647,0,0,0
255,-9.44982653844097,-0.19461254444621,2.34241984826734,0,0,0
256,-9.46087351158395,-0.210201524388902,2.29997456155881,0,0,0
257,-9.47422709821256,-0.196577233156375,2.26649522527236,0,0,0
258,-9.48072381271149,-0.219136150997888,2.28654467480981,0,0,0
259,-9.51460122231599,-0.222147800986543,2.31400993128688,0,0,0
260,-9.51161782616019,-0.226069501590615,2.3430269850046,0,0,0
