Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.25869908833325,1.24699136793606,-2.29154723547535,0,0,0
1,-9.25735605793703,1.23921190484266,-2.26944888627938,0,0,0
2,-9.25131712143171,1.24517434857963,-2.25059797105448,0,0,0
3,-9.26512804777093,1.23597861324195,-2.21915640675121,0,0,0
4,-9.26760075919302,1.22438908493214,-2.22385765575448,0,0,0
5,-9.26704155080692,1.20208637901318,-2.21018353631023,0,0,0
6,-9.26037883078411,1.18361009207839,-2.21940075567096,0,0,0
7,-9.26896323556246,1.15677525174847,-2.21710782225506,0,0,0
8,-9.26377093628286,1.15279302374182,-2.2213272666998,0,0,0
9,-9.27774194383306,1.12975806754423,-2.2262066905067,0,0,0
10,-9.2730481096404,1.13215568718822,-2.25321683992749,0,0,0
11,-9.2782153881277,1.16129831629579,-2.28722287937079,0,0,0
12,-9.26525012562159,1.19707883675485,-2.31437314312851,0,0,0
13,-9.24742396710251,1.22398981436646,-2.34367669464164,0,0,0
14,-9.24480035653154,1.22659318171533,-2.34574159919788,0,0,0
15,-9.23614424744029,1.2238084040377,-2.34594262655956,0,0,0
16,-9.24518950603744,1.23763281648361,-2.33907636175801,0,0,0
17,-9.2519088704171,1.22179836323101,-2.32786101249665,0,0,0
18,-9.28542705821089,1.20209368036153,-2.30749010849985,0,0,0
19,-9.27662409935713,1.24055717475888,-2.30733879067133,0,0,0
20,-9.25436806597702,1.25816417948492,-2.29607926236817,0,0,0
21,-9.22478234562789,1.24195766022952,-2.30511614289615,0,0,0
22,-9.24717544805551,1.21964504072959,-2.30291792890745,0,0,0
23,-9.27361890932943,1.18186739371702,-2.30511869959588,0,0,0
24,-9.27113233157121,1.1797649197967,-2.29372593522466,0,0,0
25,-9.27434594909879,1.19941458968249,-2.2579039461781,0,0,0
26,-9.25802990321414,1.21563580832884,-2.22139806316595,0,0,0
27,-9.25191445667224,1.24229393366003,-2.20571921208466,0,0,0
28,-9.24887675229431,1.23159033975777,-2.19637840665476,0,0,0
29,-9.26057002798402,1.20855260866998,-2.23513855954228,0,0,0
30,-9.27073643873142,1.18014201065768,-2.28223538423834,0,0,0
31,-9.27781156472902,1.15028224134779,-2.31647444596119,0,0,0
32,-9.27960014447953,1.15990966133546,-2.32973794436492,0,0,0
33,-9.2658537643735,1.14618725710855,-2.31843937589,0,0,0
34,-9.26549176102201,1.12369687407416,-2.31163979498603,0,0,0
35,-9.26792553497347,1.1212696483121,-2.29140710417468,0,0,0
36,-9.27504569780371,1.14388449298692,-2.31175404445194,0,0,0
37,-9.26739800741786,1.20408125739034,-2.33912494493349,0,0,0
38,-9.2586926100053,1.23559553585965,-2.33003072466515,0,0,0
39,-9.24359784357724,1.25293731433955,-2.33251608172008,0,0,0
40,-9.24696363831485,1.21985641253505,-2.31862955010301,0,0,0
41,-9.26267480357321,1.20191117051445,-2.29837147719922,0,0,0
42,-9.27405205005969,1.19514357237348,-2.28716265584877,0,0,0
43,-9.26302372628771,1.19699442883892,-2.26920202430446,0,0,0
44,-9.25617094634456,1.20381407837833,-2.26008030865541,0,0,0
45,-9.25575378179012,1.21563240429976,-2.25302021260384,0,0,0
46,-9.24958279709927,1.21495240513507,-2.26687243172869,0,0,0
47,-9.26087198519286,1.22883259218233,-2.27807377766798,0,0,0
48,-9.2630346517263,1.21069066924951,-2.28041068331593,0,0,0
49,-9.26251716498845,1.20434217839513,-2.28698200200881,0,0,0
50,-9.26073504802374,1.20841753199984,-2.29170290691709,0,0,0
51,-9.25268878231032,1.21875464319645,-2.31244323926167,0,0,0
52,-9.2617091924034,1.23261926838929,-2.34397374387185,0,0,0
53,-9.25863256740795,1.233385353378,-2.3661663495327,0,0,0
54,-9.25100776457734,1.22746161676029,-2.38047874985293,0,0,0
55,-9.24263414927651,1.23333471581361,-2.37737089369264,0,0,0
56,-9.25231126238399,1.23512431462904,-2.35733618169069,0,0,0
57,-9.27006923882047,1.21742261234686,-2.3482710027624,0,0,0
58,-9.25842081693536,1.20616821938441,-2.32558139946159,0,0,0
59,-9.25421300081327,1.19894396779883,-2.30996430668009,0,0,0
60,-9.24763360975144,1.21006789096624,-2.30320465570039,0,0,0
61,-9.25507553168336,1.23921564814091,-2.30784711145001,0,0,0
62,-9.25681957521984,1.23289475497018,-2.30538242100879,0,0,0
63,-9.26148475097715,1.24194948047111,-2.29409584149325,0,0,0
64,-9.24327312946761,1.24410088459287,-2.29626979874709,0,0,0
65,-9.24708964534529,1.22657514362722,-2.29379181609798,0,0,0
66,-9.24980345738505,1.21703460574266,-2.29407705602422,0,0,0
67,-9.25052657766066,1.18658716041061,-2.31161768955203,0,0,0
68,-9.25767111176695,1.17263593636699,-2.32318843744687,0,0,0
69,-9.25970923668613,1.14777323635989,-2.34810453864437,0,0,0
70,-9.27710126265349,1.14642108082154,-2.36586310355089,0,0,0
71,-9.27326283084335,1.1616755612695,-2.34575259896433,0,0,0
72,-9.27759073628557,1.1756278450737,-2.34556635295056,0,0,0
73,-9.27635464939982,1.19971979729025,-2.3278212226925,0,0,0
74,-9.26731442083753,1.19729350002365,-2.29846254520982,0,0,0
75,-9.26651095893857,1.19806708152462,-2.29355037412949,0,0,0
76,-9.26058849352402,1.19942436796643,-2.2916934194162,0,0,0
77,-9.26271436784945,1.20415470745306,-2.29385659949161,0,0,0
78,-9.25619588306084,1.20608142909408,-2.2781516956853,0,0,0
79,-9.24931087075516,1.21064570749729,-2.26225173400931,0,0,0
80,-9.2514338323243,1.21538088994737,-2.26893218490565,0,0,0
81,-9.25769144520042,1.19772307595801,-2.29139632657466,0,0,0
82,-9.24890123528283,1.19963929690845,-2.30053776041919,0,0,0
83,-9.25118328099928,1.20194104530404,-2.31634903021577,0,0,0
84,-9.25152263727527,1.21075393984729,-2.33000901692056,0,0,0
85,-9.25778012029599,1.2182170015981,-2.35230164655356,0,0,0
86,-9.26498686438775,1.22018621717102,-2.35249720259292,0,0,0
87,-9.25599360613163,1.22229940830425,-2.3637985319954,0,0,0
88,-9.25810269610592,1.21334291591824,-2.36378758340176,0,0,0
89,-9.24872396191509,1.19069607769255,-2.34795934952555,0,0,0
90,-9.26213098669862,1.19560544820268,-2.34559792713236,0,0,0
91,-9.25454532409615,1.18257924819747,-2.33625728984868,0,0,0
92,-9.26457352588958,1.19316358034439,-2.31181353121643,0,0,0
93,-9.25036602813832,1.18902289564209,-2.30474546654343,0,0,0
94,-9.26654629910034,1.17519715989051,-2.29598273613068,0,0,0
