Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.64680834193831,0.071242073616019,-4.14145266346047,0,0,0
1,-8.60836415664766,0.0389270029145809,-4.13722567594215,0,0,0
2,-8.57326444668546,0.0230929569742333,-4.14100255553297,0,0,0
3,-8.58501418100746,0.0275989329201763,-4.14807286892448,0,0,0
4,-8.62138068355895,0.0212709201794651,-4.16640673922314,0,0,0
5,-8.676981868612,0.0248192464375827,-4.17480963843686,0,0,0
6,-8.67277522011652,0.0177963367116725,-4.1615537678,0,0,0
7,-8.6406859223475,0.0243404028783428,-4.19049195865009,0,0,0
8,-8.60940797900139,0.030512148604235,-4.21776799708157,0,0,0
9,-8.58368120383015,0.0237277222445696,-4.21718065816958,0,0,0
10,-8.60297378948268,0.0370285406697325,-4.18857083949495,0,0,0
11,-8.6141778786248,0.04402169432017,-4.15680562170511,0,0,0
12,-8.62818584267709,0.0485594636950822,-4.15935792497684,0,0,0
13,-8.62845567504933,0.0642882927621438,-4.13904993779188,0,0,0
14,-8.63778008534984,0.0824189297289138,-4.12325505994502,0,0,0
15,-8.61730129630111,0.0957693297324639,-4.11846791116491,0,0,0
16,-8.60910033465753,0.120167992058962,-4.10073151003557,0,0,0
17,-8.62249365515081,0.136308180631017,-4.08463344130627,0,0,0
18,-8.63601315896388,0.12292582110733,-4.07572623376082,0,0,0
19,-8.62058315641249,0.106629986056211,-4.06713348899861,0,0,0
20,-8.60241389019995,0.099614510135349,-4.09423757497116,0,0,0
21,-8.61959755477682,0.0980489946788089,-4.11169396903666,0,0,0
22,-8.64640040077352,0.0963661483426035,-4.14314105527254,0,0,0
23,-8.63790920350692,0.091447668177454,-4.1503640257723,0,0,0
24,-8.62377510789545,0.0665646812685123,-4.1456810957085,0,0,0
25,-8.62627094264179,0.0438231499006254,-4.14610291377192,0,0,0
26,-8.62353606894609,0.0394738972999635,-4.1480599053085,0,0,0
27,-8.62327492870036,0.0350425543206387,-4.12532327914843,0,0,0
28,-8.61825397777384,0.0397087714681912,-4.08875149722023,0,0,0
29,-8.63089565569225,0.0483299868198874,-4.0828725233864,0,0,0
30,-8.64220985727587,0.0507613784845349,-4.08060930003297,0,0,0
31,-8.64890801726522,0.0463620711826382,-4.07156699671459,0,0,0
32,-8.63722704581562,0.032742170894356,-4.04431162555828,0,0,0
33,-8.63956154983693,0.0123366418781695,-4.03781173794513,0,0,0
34,-8.63298215609384,0.0234716518627011,-4.03331139746131,0,0,0
35,-8.62125284163463,0.0212419202800339,-4.05108485609221,0,0,0
36,-8.63655816588465,0.0171888237433996,-4.05528862339437,0,0,0
37,-8.64403676438012,0.0374001221396523,-4.08947781767835,0,0,0
38,-8.61892147492298,0.0190194584047047,-4.11205780937372,0,0,0
39,-8.61587272816221,0.00801460779681664,-4.11611705019669,0,0,0
40,-8.60958089767344,0.0122267265436583,-4.12319900328786,0,0,0
41,-8.61690982262632,0.00982155221302612,-4.13493067961584,0,0,0
42,-8.62499332776411,0.0285499366658034,-4.15889096978252,0,0,0
43,-8.62592777923052,0.0235944396409871,-4.16640619147535,0,0,0
44,-8.63077553301613,0.057527527206158,-4.18209789043655,0,0,0
45,-8.60370854792816,0.0684055434724028,-4.15939535634356,0,0,0
46,-8.60396521739669,0.109089677900112,-4.15688176378015,0,0,0
47,-8.62033689145626,0.120416065698602,-4.1616980160892,0,0,0
48,-8.63391651251819,0.122867555223101,-4.14362531153007,0,0,0
49,-8.63818919433883,0.132093904687682,-4.11171788944159,0,0,0
50,-8.64525545696078,0.150192727916636,-4.10044107197087,0,0,0
51,-8.6322728399735,0.158790920696471,-4.10527383456151,0,0,0
52,-8.60907682423215,0.142830706754757,-4.07787447166312,0,0,0
53,-8.60955643870068,0.122208255518154,-4.07844887567917,0,0,0
54,-8.61954180546153,0.107142138603421,-4.11155449122777,0,0,0
55,-8.61780732535815,0.088726411250358,-4.10535798098396,0,0,0
56,-8.62585420840452,0.0666512622077526,-4.10488149935746,0,0,0
57,-8.63249517766111,0.0464136020959438,-4.10048814629506,0,0,0
58,-8.64893005878422,0.04863590888449,-4.09415230481502,0,0,0
59,-8.65782046535691,0.0284450109439454,-4.09879064746371,0,0,0
60,-8.6345040431305,0.00575035032892872,-4.0871921373154,0,0,0
61,-8.60271254010601,-0.00826671591538649,-4.08494005380867,0,0,0
62,-8.62138348701128,0.00533549086705207,-4.07846562235863,0,0,0
63,-8.64800887203408,0.0173253728725147,-4.09833773680925,0,0,0
64,-8.65881977136664,0.0267939636178719,-4.10466789442912,0,0,0
65,-8.65819298113718,0.0509355398113193,-4.08978120215505,0,0,0
66,-8.64152770268689,0.0465415504712515,-4.08241600623836,0,0,0
67,-8.63526819841052,0.0530104549577619,-4.09627515053767,0,0,0
68,-8.62474902438118,0.0615439971596999,-4.09222223271582,0,0,0
69,-8.62256421215463,0.0660119996233181,-4.09674503605634,0,0,0
70,-8.61506374348487,0.0594583600430425,-4.12339491425785,0,0,0
71,-8.61257972394326,0.0708691125096783,-4.13440171100592,0,0,0
72,-8.6269602804347,0.0729639544217537,-4.13047470880419,0,0,0
73,-8.6284879545886,0.0665454773742788,-4.1458271792487,0,0,0
74,-8.61947881887882,0.0663794151213403,-4.12776670815263,0,0,0
75,-8.61236703288086,0.057356907126246,-4.12309603288144,0,0,0
76,-8.60506606775333,0.0620271950360981,-4.12491649284698,0,0,0
77,-8.62850696734746,0.0665145099798625,-4.11646941904953,0,0,0
78,-8.64015270544504,0.0642604582314531,-4.11449940453578,0,0,0
79,-8.63524031471001,0.0643675794138546,-4.10968779543823,0,0,0
80,-8.61686271582198,0.0551446290153132,-4.08921643048524,0,0,0
81,-8.61917367782628,0.0460885746847527,-4.08935442750214,0,0,0
82,-8.62314575377988,0.0509471951178641,-4.09568424529811,0,0,0
83,-8.64415553684181,0.0577573236158624,-4.10289996367166,0,0,0
84,-8.64838577294984,0.0534305370727328,-4.10951819106598,0,0,0
85,-8.64809524470881,0.0603588881713575,-4.1024525213322,0,0,0
86,-8.64352467435805,0.06938553533339,-4.10909081605113,0,0,0
87,-8.64191349055375,0.0576991333017882,-4.08257682117501,0,0,0
88,-8.63556299630897,0.0710082923495948,-4.0940358488512,0,0,0
89,-8.65056888064689,0.0852106292734911,-4.07522883740873,0,0,0
90,-8.66231000835845,0.0761086584356892,-4.06888399538756,0,0,0
91,-8.6531571395632,0.0669376355973511,-4.04629747184413,0,0,0
92,-8.6328177662391,0.0643663531391704,-4.05534139315714,0,0,0
93,-8.61249308528178,0.0504593403612165,-4.071297243125,0,0,0
94,-8.61441682783809,0.0302481292040683,-4.07353270818597,0,0,0
95,-8.62052680179231,0.028404971218283,-4.09114540257293,0,0,0
96,-8.62782784270531,0.0237351971761221,-4.08932484744398,0,0,0
97,-8.62767824926947,0.014739808229261,-4.09383193106196,0,0,0
98,-8.63469040366385,0.0056841420337364,-4.11218231645177,0,0,0
99,-8.63907171267123,0.0103501111954603,-4.11203516806585,0,0,0
100,-8.63213883742579,0.0125847116016976,-4.1141512391219,0,0,0
101,-8.64310242268094,0.00611076667135073,-4.11398783846652,0,0,0
102,-8.63863306507379,0.00828016689137246,-4.1072182721826,0,0,0
103,-8.64301863641036,0.0242509027595175,-4.07080150134835,0,0,0
104,-8.64376536143197,0.0329854634566838,-4.08254924955279,0,0,0
105,-8.65111632732467,0.0441654808177388,-4.08737121638056,0,0,0
106,-8.65631917875661,0.0620632827815803,-4.09671837783163,0,0,0
107,-8.65997269247607,0.071586101476005,-4.08243043153732,0,0,0
108,-8.65133766451189,0.0825965598904378,-4.08259708920643,0,0,0
109,-8.64017454601237,0.0891581538034069,-4.07809493546071,0,0,0
110,-8.63601616206617,0.0979871826162819,-4.07373971124687,0,0,0
111,-8.63839755903272,0.0934358086109317,-4.07839902825333,0,0,0
112,-8.64249870161792,0.0937021280545977,-4.08487308991792,0,0,0
113,-8.64006015715562,0.0824151852541553,-4.08486268204333,0,0,0
114,-8.64934216811818,0.0733717986491504,-4.08062865482433,0,0,0
115,-8.61691261877936,0.0460613517650948,-4.09838904520466,0,0,0
116,-8.61482316276381,0.0436819647751733,-4.09853709353201,0,0,0
