Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.78420642614507,-0.256470388883966,1.30696472530765,0,0,0
1,-9.77800485842497,-0.264118772937029,1.30696501044853,0,0,0
2,-9.77343512010025,-0.268008902850903,1.30919980391209,0,0,0
3,-9.77437015147431,-0.262020300700622,1.32929365601666,0,0,0
4,-9.76689978017249,-0.25995361368922,1.33972452735715,0,0,0
5,-9.76238764837637,-0.257006340176448,1.34047928280105,0,0,0
6,-9.76312205090168,-0.26003220646157,1.32559524855716,0,0,0
7,-9.76688555038956,-0.25611656164162,1.31815351209516,0,0,0
8,-9.76469987712546,-0.260054530465589,1.32336141573618,0,0,0
9,-9.75634223294606,-0.257895794226787,1.31072951620895,0,0,0
10,-9.75790889852025,-0.250259129288489,1.28916075436533,0,0,0
11,-9.75725561226935,-0.248827352001124,1.27130918771378,0,0,0
12,-9.77223933045106,-0.248406873477493,1.2697959836176,0,0,0
13,-9.77485162776867,-0.245581756648325,1.29732492921265,0,0,0
14,-9.77308785817432,-0.24464448527177,1.32187720332311,0,0,0
15,-9.77720714366,-0.233369919523906,1.33899736015941,0,0,0
16,-9.76426205696252,-0.226674068945241,1.35613599159698,0,0,0
17,-9.75283949114192,-0.228369090195287,1.35540798335665,0,0,0
18,-9.74365830125949,-0.236115259241721,1.35169364982636,0,0,0
19,-9.74500841745708,-0.241306300974399,1.33606087803289,0,0,0
20,-9.74888824771215,-0.249724164844742,1.33827837884294,0,0,0
21,-9.76013289926915,-0.251709424748069,1.3442086515981,0,0,0
22,-9.76467537475127,-0.248562491909444,1.35164437123349,0,0,0
23,-9.76400410389742,-0.246352142944157,1.35313666006356,0,0,0
24,-9.76772464108351,-0.243931863684428,1.35759638243838,0,0,0
25,-9.77311515893834,-0.240843128770167,1.34345657028924,0,0,0
26,-9.77702031972257,-0.242396581239568,1.33005839976155,0,0,0
27,-9.76729517975477,-0.236562169747744,1.32859368014125,0,0,0
