Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.48349030417939,-0.0724502228192065,2.64308387237971,0,0,0
1,-9.50493708099024,-0.0622993357773016,2.63711093271223,0,0,0
2,-9.5324890058705,-0.0489967565201504,2.62145970707744,0,0,0
3,-9.54938075167081,-0.0404676271827883,2.62144471301258,0,0,0
4,-9.54862149803227,-0.0397314459901998,2.6534381637051,0,0,0
5,-9.54538831843777,-0.0480388251185736,2.69137485057001,0,0,0
6,-9.54512554391875,-0.0569611747106777,2.69210475434408,0,0,0
7,-9.54428057312036,-0.071478340188666,2.67200449650909,0,0,0
8,-9.54257936459922,-0.085106682744536,2.62288783201341,0,0,0
9,-9.51889226262147,-0.0983984296093507,2.59687125956722,0,0,0
10,-9.48509103795913,-0.122369081969365,2.61177513140817,0,0,0
11,-9.46575800474741,-0.143040952603607,2.59020406399386,0,0,0
12,-9.44421870112835,-0.153824091433762,2.54930268928036,0,0,0
13,-9.42854977981952,-0.140547644305736,2.5039625491938,0,0,0
14,-9.42695626860963,-0.107543681053023,2.50624219402064,0,0,0
15,-9.43269056705802,-0.080260274717943,2.52189022272686,0,0,0
16,-9.44443375463382,-0.0558812832592409,2.55166036162101,0,0,0
17,-9.44915139404358,-0.0390812818197321,2.57324647808804,0,0,0
18,-9.4516282357569,-0.0308356934428423,2.60673421662621,0,0,0
19,-9.45458495454004,-0.0268524699759466,2.62533020055819,0,0,0
20,-9.45815900933004,-0.0457579741577354,2.62381529595501,0,0,0
21,-9.46457758462643,-0.0689713215419755,2.57764757379198,0,0,0
22,-9.46521465079944,-0.0933878441016287,2.50471246068433,0,0,0
23,-9.47249243252248,-0.114373572247464,2.41837252343699,0,0,0
24,-9.48843952300074,-0.122530820234659,2.3647731407508,0,0,0
25,-9.49377951082288,-0.118623176272039,2.36625649264686,0,0,0
26,-9.4883813316768,-0.116339228387683,2.41536811977975,0,0,0
27,-9.47333711876308,-0.102180457145795,2.46451075922734,0,0,0
28,-9.46355854615227,-0.0855694317401375,2.522573520499,0,0,0
29,-9.46325695759401,-0.0638463381026119,2.57840322309975,0,0,0
30,-9.4711840704088,-0.039516019292012,2.61859476092762,0,0,0
31,-9.47586040094069,-0.0203745467439512,2.66547727786102,0,0,0
32,-9.48903260806496,-0.0104876466920991,2.70341513512446,0,0,0
33,-9.4990109258359,-0.0073630041999994,2.69596478058426,0,0,0
34,-9.5064309258952,-0.0139333083617777,2.66692711048976,0,0,0
35,-9.50575122043191,-0.0201553379233024,2.60219819784991,0,0,0
36,-9.50355631553162,-0.0264210629751481,2.55904742655961,0,0,0
37,-9.51537211221465,-0.0342722349682537,2.54562132249957,0,0,0
38,-9.54404030761866,-0.0527999354691418,2.55894740452837,0,0,0
39,-9.55589868804165,-0.0730398817997378,2.59015192839017,0,0,0
40,-9.54954411297945,-0.0813020266855506,2.63106729842621,0,0,0
41,-9.53790927209171,-0.0912100344926576,2.6310711656699,0,0,0
42,-9.51526778945107,-0.0848361151879011,2.62516431173287,0,0,0
43,-9.48726245871418,-0.0846448683708833,2.60958785376357,0,0,0
44,-9.45762190271115,-0.0797247216322884,2.59178255406099,0,0,0
45,-9.43487403905013,-0.0770594884784083,2.5657822009823,0,0,0
46,-9.40542473856126,-0.071585489343258,2.53161452974601,0,0,0
47,-9.3872709470919,-0.068124284298097,2.51602439838479,0,0,0
48,-9.38414984681616,-0.0650055892540227,2.52570151691172,0,0,0
49,-9.39580125659918,-0.0559063749612167,2.55620095923996,0,0,0
50,-9.4147196519956,-0.0532120572192938,2.58221082213125,0,0,0
51,-9.43553891410796,-0.0401655657878344,2.59633260735791,0,0,0
52,-9.44908313000858,-0.0259704100192055,2.61343121023817,0,0,0
53,-9.4607691659463,-0.0207200087441265,2.62086430552737,0,0,0
54,-9.46613815744514,-0.013760851042381,2.61044688286263,0,0,0
55,-9.47916491749615,-0.00828463052693344,2.59629790652934,0,0,0
56,-9.49139643558016,-0.00970491149356726,2.58363167581306,0,0,0
57,-9.48526293050688,-0.0197462700349103,2.59032774261143,0,0,0
58,-9.47928191549183,-0.0122767891261967,2.60522568018621,0,0,0
59,-9.47594534341028,-0.00739859072325114,2.63201078322264,0,0,0
60,-9.48288997765559,-0.0120186749139559,2.65431829848919,0,0,0
61,-9.48708077491361,-0.0238304533171346,2.66396399228187,0,0,0
62,-9.47860318111662,-0.0430746826475102,2.69520639198623,0,0,0
63,-9.46134387816069,-0.0658110438449802,2.73314387604814,0,0,0
64,-9.45331282553436,-0.0892807414520331,2.74279767749949,0,0,0
65,-9.44701668572993,-0.111425793455842,2.7286482857131,0,0,0
66,-9.4291861296484,-0.125898297305783,2.7070791413023,0,0,0
67,-9.41333963586632,-0.130891516160824,2.68627164515263,0,0,0
68,-9.4079588819431,-0.128590933616992,2.6751202853798,0,0,0
69,-9.40606569844601,-0.113685512895573,2.65729016188531,0,0,0
70,-9.42092369441091,-0.0993152161093288,2.63571414966933,0,0,0
71,-9.42939346785172,-0.0792978879842322,2.62083991336964,0,0,0
72,-9.44870041466831,-0.0685902588254627,2.63124252261629,0,0,0
73,-9.46603250647248,-0.067367023719596,2.63493204964108,0,0,0
74,-9.46922396032922,-0.0575133987317809,2.66395474639404,0,0,0
75,-9.47458673788138,-0.0544186028478098,2.69222166535876,0,0,0
76,-9.48230635861037,-0.0413468224320027,2.67436737328786,0,0,0
77,-9.48400761412534,-0.0399814714029189,2.64758721209679,0,0,0
78,-9.48945806824715,-0.0331328434464923,2.6587476094989,0,0,0
79,-9.490757322773,-0.0390362626396109,2.7130460923833,0,0,0
80,-9.50193485171719,-0.0432347525931986,2.75914634354189,0,0,0
81,-9.49952939132779,-0.0477295032173997,2.74351914332231,0,0,0
82,-9.48958860055064,-0.0501205449888275,2.69666030673315,0,0,0
83,-9.48463327719868,-0.0375242633511723,2.68329594631174,0,0,0
84,-9.47650437282637,-0.0294767255774522,2.69522550740014,0,0,0
85,-9.49027914190845,-0.0324349219972457,2.67660443054534,0,0,0
86,-9.51123577625815,-0.047862458986562,2.6698542417486,0,0,0
87,-9.5175367752619,-0.0809836687144965,2.69584275748838,0,0,0
88,-9.51627248576595,-0.098888663455625,2.73301588702641,0,0,0
89,-9.49617978658615,-0.122676576116189,2.75385117087089,0,0,0
