Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.1323599143841,0.726440188558924,-2.88163927632277,0,0,0
1,-9.12567367144287,0.730814888493988,-2.87035541566511,0,0,0
2,-9.1291606196522,0.718164533330492,-2.86768260750386,0,0,0
3,-9.12950865885822,0.726966140269499,-2.86779135962453,0,0,0
4,-9.12947201722671,0.724717664765531,-2.86778898755467,0,0,0
5,-9.12969040430027,0.738210900215155,-2.87006181121587,0,0,0
6,-9.12982005569672,0.733519197606755,-2.86789773977687,0,0,0
7,-9.12952036058216,0.726947080862966,-2.84972262968825,0,0,0
8,-9.12948225623516,0.724700987784815,-2.85197884886043,0,0,0
9,-9.13205364882835,0.731283666517123,-2.84530797334993,0,0,0
10,-9.13877505332593,0.729159769959832,-2.85885277839817,0,0,0
11,-9.13417521101689,0.736019263324789,-2.85424637850284,0,0,0
12,-9.136597116968,0.733612794136374,-2.85208320347355,0,0,0
13,-9.12995263374173,0.728822775415181,-2.86121647349811,0,0,0
14,-9.13221555749848,0.728847621150697,-2.84992203533797,0,0,0
15,-9.14139991867347,0.726558631095494,-2.85453026200017,0,0,0
16,-9.13471075029311,0.730938095895465,-2.84776359640975,0,0,0
17,-9.13225512421269,0.731091310088816,-2.84540721651209,0,0,0
18,-9.12762374102044,0.724289109931257,-2.8612131903822,0,0,0
19,-9.13607545536552,0.727266369590627,-2.86542912376622,0,0,0
20,-9.13519771719171,0.723536299772946,-2.86276875380113,0,0,0
21,-9.12958047940575,0.731465473703251,-2.87005469500628,0,0,0
22,-9.12930718688567,0.727158478757096,-2.8676920958291,0,0,0
23,-9.12948893321336,0.738403292963956,-2.86996254538049,0,0,0
24,-9.12971013133277,0.726773803652901,-2.86789062360163,0,0,0
25,-9.13605572286314,0.738703578285156,-2.86760030976645,0,0,0
26,-9.13590915492224,0.729709589447819,-2.86759082139541,0,0,0
27,-9.12918485023665,0.731838283848792,-2.85856322821028,0,0,0
28,-9.13208590213245,0.733539278452494,-2.85208612542603,0,0,0
29,-9.13019221086799,0.730876492194727,-2.85905950603743,0,0,0
30,-9.13171520689757,0.736179652241661,-2.8586657666023,0,0,0
31,-9.14146588727751,0.731067429149597,-2.86582799373928,0,0,0
32,-9.13653927786576,0.742803830059669,-2.85651062498,0,0,0
33,-9.12966107624622,0.735950512582104,-2.85876648293584,0,0,0
34,-9.1321518714575,0.738048119895207,-2.86338383623899,0,0,0
35,-9.1389047172854,0.724468134504381,-2.85668869461926,0,0,0
36,-9.12996651338411,0.717395364249029,-2.86807966395881,0,0,0
37,-9.13889886641257,0.724477664225345,-2.86572307636495,0,0,0
38,-9.13455540957197,0.721958618706511,-2.86130569346939,0,0,0
39,-9.13007936212605,0.724135928221878,-2.86356958499812,0,0,0
40,-9.1297752782256,0.717570976701209,-2.8521702315176,0,0,0
