Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.7156173030397,-0.94090025570213,-0.915112757835356,0,0,0
1,-9.71866466012823,-0.898679790635818,-0.940332697422382,0,0,0
2,-9.71847657376354,-0.882312217294147,-0.94720899049559,0,0,0
3,-9.72551045619546,-0.891870761113606,-0.935750014931654,0,0,0
4,-9.72539091768114,-0.907716543301245,-0.917410295458943,0,0,0
5,-9.72075622637875,-0.932751423257266,-0.933455898836129,0,0,0
6,-9.70235987401919,-0.968991151570202,-0.960959026525829,0,0,0
7,-9.69981051548078,-0.9685004281248,-0.98388150833843,0,0,0
8,-9.71353541045383,-0.959534449970481,-0.95179200100715,0,0,0
9,-9.72948158642401,-0.959667195010555,-0.889901427951983,0,0,0
10,-9.75176874978783,-0.952122340657519,-0.832596007715646,0,0,0
11,-9.74557546373101,-0.948607521197353,-0.805086782646194,0,0,0
12,-9.74299955646409,-0.957245604955068,-0.81196239845838,0,0,0
13,-9.73802308028966,-0.95420010597579,-0.823421607429568,0,0,0
14,-9.72911079902801,-0.970515386311999,-0.841759003522814,0,0,0
15,-9.73138103666656,-0.954465231865341,-0.862391463008222,0,0,0
16,-9.72718434565146,-0.955047980804486,-0.869268627994636,0,0,0
17,-9.72281889949534,-0.946153168853777,-0.91970136620628,0,0,0
18,-9.71621021411215,-0.921271423945019,-0.954086191115345,0,0,0
19,-9.71675353746354,-0.896993224924179,-0.95867288395067,0,0,0
20,-9.72410865267915,-0.891053985083986,-0.96096959616018,0,0,0
21,-9.72285181612178,-0.879045796104826,-0.954095473204349,0,0,0
22,-9.71334587088734,-0.885189611673097,-0.949506092594241,0,0,0
23,-9.71835255286604,-0.879107254328068,-0.967848900675179,0,0,0
24,-9.71135184111906,-0.897108598893251,-0.970138713335406,0,0,0
25,-9.69509513713869,-0.903345237908269,-0.979302070897041,0,0,0
26,-9.71554741461992,-0.919432025244199,-0.972431547957929,0,0,0
27,-9.71283993590441,-0.93013407332048,-0.98159898905625,0,0,0
28,-9.70314518305901,-0.972617849401684,-0.977009402810832,0,0,0
29,-9.70557976545894,-0.982061539918009,-0.983888305061132,0,0,0
30,-9.69875048458647,-0.979743005398263,-0.970131351157619,0,0,0
31,-9.70324728277265,-0.972791330865212,-0.979302274552687,0,0,0
32,-9.71501896157775,-0.950597440197286,-0.988477023192212,0,0,0
33,-9.71298641460145,-0.934958036948245,-0.999939262996386,0,0,0
34,-9.69510730442331,-0.933141098333055,-1.00451956578885,0,0,0
35,-9.71155933648386,-0.920362100202861,-0.999941846725835,0,0,0
36,-9.71988747200344,-0.923673304979211,-0.972432227727235,0,0,0
37,-9.70857752813825,-0.935194817035809,-0.97472145034665,0,0,0
38,-9.70874504523391,-0.937781504844679,-0.958675032605761,0,0,0
39,-9.71118028446827,-0.924319502803487,-0.954091304805951,0,0,0
40,-9.71926303508731,-0.922632573873907,-0.917411025926391,0,0,0
41,-9.72801857170475,-0.924401939738617,-0.857809185667714,0,0,0
42,-9.725310222141,-0.919087959041001,-0.818835405481929,0,0,0
43,-9.72511678356611,-0.932521419844207,-0.789033171254799,0,0,0
44,-9.71988665587435,-0.947386407715389,-0.775274932426586,0,0,0
45,-9.72259417357318,-0.959590972046811,-0.779862043755043,0,0,0
46,-9.72099204658316,-0.95842381468895,-0.814250217206318,0,0,0
47,-9.72627816454224,-0.932192328814393,-0.83947093331927,0,0,0
48,-9.7215248939806,-0.929491074718448,-0.92199668708892,0,0,0
49,-9.69661471299645,-0.957039482728223,-1.00680992847035,0,0,0
50,-9.69221442128771,-0.973290371696992,-1.05724323497996,0,0,0
51,-9.69661924671369,-0.97994488143675,-1.03661219278695,0,0,0
52,-9.70797765459089,-0.970838817370337,-0.956379989225985,0,0,0
53,-9.72595851147056,-0.96370468875245,-0.876149235032767,0,0,0
54,-9.73034444706002,-0.940564753762856,-0.807376515414879,0,0,0
55,-9.74141312798115,-0.962967078119308,-0.869275231857148,0,0,0
56,-9.76217528118105,-0.949776242929112,-0.89908451246397,0,0,0
57,-9.71022711213319,-0.954792655487395,-0.903654112365547,0,0,0
58,-9.70324908830202,-0.956775479176885,-0.940330461687557,0,0,0
59,-9.71230037465715,-0.938394908119518,-0.944917813848852,0,0,0
60,-9.71311968275157,-0.923768156714862,-0.926581298940098,0,0,0
61,-9.71053993234963,-0.932406145403153,-0.919702149242538,0,0,0
62,-9.71000119709396,-0.956682833064103,-0.93116259602422,0,0,0
63,-9.70823065414522,-0.982725533255747,-0.96096610791453,0,0,0
64,-9.69649301709471,-1.00268030258246,-0.963253717951161,0,0,0
65,-9.70343339012442,-0.989155947516724,-0.965548629456168,0,0,0
66,-9.69901828026766,-0.975612510328549,-0.981594628117586,0,0,0
67,-9.68912586245558,-1.01774844931644,-0.995343777846363,0,0,0
68,-9.69359183888015,-1.01303552915945,-1.00451459736388,0,0,0
69,-9.70301927527155,-1.00447827730718,-0.981594317091746,0,0,0
70,-9.70016538637511,-0.987452276396462,-0.958666475422747,0,0,0
71,-9.70478154002265,-0.971546285423248,-0.954083084592656,0,0,0
72,-9.70428326326783,-0.977568063260225,-0.954081160180962,0,0,0
73,-9.68199746960494,-0.998893767829116,-0.95407601884266,0,0,0
74,-9.67297532966978,-0.985238546669286,-0.960950491453265,0,0,0
75,-9.67098322552513,-0.974249189385711,-0.97470536793191,0,0,0
76,-9.6896641257297,-0.963674945476533,-0.999929963081056,0,0,0
77,-9.70507642322127,-0.958286748073146,-0.983885793893609,0,0,0
78,-9.67068764685152,-0.950819729601849,-0.990750785419204,0,0,0
79,-9.65746194199171,-0.960655104641647,-0.995333180373884,0,0,0
80,-9.7004314210569,-0.953524188220319,-0.981591399730522,0,0,0
81,-9.74141225676161,-0.935403765207838,-0.993066707053785,0,0,0
