Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.30316714438387,-0.436790950612626,-3.52258077877207,0,0,0
1,-9.30321415878963,-0.437596331356068,-3.51590298661635,0,0,0
2,-9.30445206403264,-0.437333879847976,-3.51360500392853,0,0,0
3,-9.30591691680752,-0.44108765197073,-3.51733186948405,0,0,0
4,-9.30695785105653,-0.436722327823283,-3.51663487197209,0,0,0
5,-9.30374546735644,-0.434330751564447,-3.51657605287068,0,0,0
6,-9.30583797516717,-0.433369976936072,-3.52247919857277,0,0,0
7,-9.30222547431674,-0.435883854532873,-3.53219907375248,0,0,0
8,-9.30215872828581,-0.430472917879154,-3.52397465196366,0,0,0
9,-9.3016158043776,-0.433729539162927,-3.51586180533556,0,0,0
10,-9.30681563930997,-0.435838187844172,-3.50692801469381,0,0,0
11,-9.30854343591676,-0.431399143174593,-3.50398315050192,0,0,0
12,-9.30760001262951,-0.429726331866625,-3.50467280391774,0,0,0
13,-9.30766734513777,-0.429783352254214,-3.50320194593634,0,0,0
14,-9.30404671054052,-0.432290886684614,-3.50771395357779,0,0,0
15,-9.29943447711075,-0.4369093050552,-3.52110399597929,0,0,0
16,-9.3037733284354,-0.432823957239097,-3.5188061490936,0,0,0
17,-9.29924119663343,-0.443632340898446,-3.51216741298264,0,0,0
18,-9.30856607317591,-0.430652557454661,-3.51067804734278,0,0,0
19,-9.29847133492333,-0.441339733367191,-3.52702595065762,0,0,0
20,-9.40690418117168,-0.267566810143348,-3.49128715159399,0,0,0
21,-9.20948770335183,-0.595294525904884,-3.55834082338717,0,0,0
22,-9.2936989297263,-0.441234320595228,-3.52473557128925,0,0,0
23,-9.30190623394873,-0.449387171871399,-3.5128550831353,0,0,0
24,-9.30704665864454,-0.434503298522462,-3.50548951784854,0,0,0
25,-9.31002340431532,-0.447405943172906,-3.50852002419284,0,0,0
26,-9.31231905197991,-0.432847266341118,-3.50399092075644,0,0,0
27,-9.30736319203855,-0.440236870579606,-3.50690051867409,0,0,0
28,-9.30674134141519,-0.435775756778536,-3.50393499886014,0,0,0
29,-9.30759769079326,-0.429724518444572,-3.50318484648116,0,0,0
30,-9.30185087385791,-0.427043604451078,-3.50695997577747,0,0,0
31,-9.30496574655347,-0.418641615326296,-3.51363331632883,0,0,0
32,-9.29784599182341,-0.436875960629428,-3.52182849663889,0,0,0
33,-9.31248156105911,-0.414622799278115,-3.50988647435615,0,0,0
34,-9.28880632353592,-0.478514756047345,-3.51591421010457,0,0,0
35,-9.35766989771096,-0.303044361818545,-3.46967815126387,0,0,0
36,-9.33342995801532,-0.407005942933321,-3.4832115102629,0,0,0
37,-9.22975942401447,-0.594754580884425,-3.5776478010649,0,0,0
38,-9.31800817908942,-0.402469893331458,-3.51731984771662,0,0,0
39,-9.29307645069113,-0.465076582308239,-3.54273819536666,0,0,0
40,-9.30622571432033,-0.436756362733402,-3.53448919735099,0,0,0
41,-9.29863152453403,-0.444535018047893,-3.52708095828335,0,0,0
42,-9.30429803736882,-0.42714623585167,-3.52485326978063,0,0,0
43,-9.29968289795333,-0.427936626421596,-3.54194151081265,0,0,0
44,-9.29840376941791,-0.41821843453115,-3.55012808128152,0,0,0
45,-9.29678974052315,-0.424283582601616,-3.55236501035468,0,0,0
46,-9.3011907084297,-0.433256786022859,-3.54419937979791,0,0,0
47,-9.30301971506531,-0.436667004327834,-3.51733871068968,0,0,0
48,-9.30708729177803,-0.436067958281969,-3.50253253709435,0,0,0
49,-9.30926745289649,-0.437477286342639,-3.49880093628334,0,0,0
50,-9.31401375067349,-0.416905087473428,-3.49651708067033,0,0,0
51,-9.31042118158845,-0.447089054674102,-3.49950795418841,0,0,0
52,-9.32391034387735,-0.366922551953766,-3.47861509229361,0,0,0
53,-9.35002526591237,-0.311549135393641,-3.43771943157428,0,0,0
54,-9.25033868603969,-0.648134427194871,-3.59414812527164,0,0,0
55,-9.30581977370897,-0.41565021831965,-3.49802434748671,0,0,0
56,-9.29468757995701,-0.453655065415796,-3.52857402776671,0,0,0
57,-9.30048179594642,-0.411891729660867,-3.53666417583234,0,0,0
58,-9.29356692807517,-0.421883695742524,-3.54561032976886,0,0,0
59,-9.28988243949108,-0.415156883231541,-3.54931601806573,0,0,0
60,-9.29261830928915,-0.425561056721793,-3.55301929959953,0,0,0
61,-9.29703493244442,-0.427663814691978,-3.52920473678388,0,0,0
