Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.75634542569252,-0.162986351162596,1.43957663970828,0,0,0
1,-9.76093144337865,-0.159111260196614,1.46189325403592,0,0,0
2,-9.77311844128455,-0.155114340473229,1.48345403692112,0,0,0
3,-9.77084918098537,-0.145942690317439,1.49611461365244,0,0,0
4,-9.77251787330502,-0.149944825046654,1.51024616685459,0,0,0
5,-9.78382410842563,-0.151186894222298,1.50501770543002,0,0,0
6,-9.78248853648559,-0.148342291998662,1.49237777029305,0,0,0
7,-9.77737704409057,-0.135596920011373,1.49165774141571,0,0,0
8,-9.77964122238537,-0.128609105436639,1.47306115723635,0,0,0
9,-9.78186337774153,-0.132334155298156,1.44626955342037,0,0,0
10,-9.77556462562155,-0.144461784717197,1.41204071842723,0,0,0
11,-9.77719166779056,-0.13609783321011,1.40460829474008,0,0,0
12,-9.77399942825365,-0.151359960911479,1.42021943733441,0,0,0
13,-9.76686323014186,-0.166511757329586,1.42913887624782,0,0,0
14,-9.76074393762795,-0.171959119506186,1.44923010558683,0,0,0
15,-9.75132139945632,-0.184056038682195,1.44402035438167,0,0,0
16,-9.74518176519691,-0.187929437657547,1.44328127216547,0,0,0
17,-9.74440611322175,-0.194073666337655,1.44030019114153,0,0,0
18,-9.75574144335081,-0.208420348303851,1.43208317595671,0,0,0
19,-9.76483385002251,-0.195934649445397,1.42612900222524,0,0,0
20,-9.76645946595816,-0.188348800322559,1.4365514122017,0,0,0
21,-9.76217480886693,-0.179523325970479,1.4529388798818,0,0,0
22,-9.76727688512563,-0.177650769114774,1.45962519017634,0,0,0
23,-9.78187940639103,-0.175295557912149,1.45291116682722,0,0,0
24,-9.78349341133285,-0.169229433730424,1.45514806661445,0,0,0
25,-9.79099627156897,-0.175910386330184,1.44694425112233,0,0,0
26,-9.78953849573781,-0.17754149630655,1.44099399422888,0,0,0
27,-9.78867148919331,-0.170502918803759,1.43132893925492,0,0,0
28,-9.77506137140361,-0.177730802896283,1.44027207118334,0,0,0
29,-9.77671342474623,-0.172473452101493,1.43506882946883,0,0,0
30,-9.76737273797454,-0.184663539735327,1.4268841782959,0,0,0
31,-9.76429477378812,-0.183903944953158,1.43432906508196,0,0,0
32,-9.76046465611736,-0.181619340845187,1.42764105872261,0,0,0
33,-9.76052851425492,-0.177082900074946,1.43359833748426,0,0,0
34,-9.76669286878878,-0.178623385326223,1.43805228547512,0,0,0
35,-9.76437833634331,-0.174002981127377,1.43285211789952,0,0,0
36,-9.7662759676563,-0.158265496712975,1.42915066538842,0,0,0
37,-9.76778254364572,-0.15514350447465,1.41947939835449,0,0,0
38,-9.7715392151853,-0.16041376635875,1.41723559446624,0,0,0
39,-9.77707386806503,-0.148265551536129,1.40459451695529,0,0,0
40,-9.77767183577358,-0.154212282081503,1.39640135887901,0,0,0
41,-9.76627510747782,-0.164394523426716,1.39194523656691,0,0,0
42,-9.76546113998669,-0.166657745633247,1.40310322747213,0,0,0
43,-9.76833763483414,-0.17487443968116,1.3971361254133,0,0,0
44,-9.7759243616993,-0.173198084005368,1.39638166581621,0,0,0
45,-9.77807975840427,-0.177635634098076,1.40455578939406,0,0,0
46,-9.78045316362792,-0.170792372286777,1.4149760932375,0,0,0
47,-9.77578039928906,-0.179200672996563,1.4261331206974,0,0,0
48,-9.77458271649111,-0.168069957471401,1.43582284899739,0,0,0
49,-9.78198363731614,-0.171569726527979,1.44994037653996,0,0,0
50,-9.77257789228238,-0.181386696728687,1.45738087299079,0,0,0
51,-9.77145566769778,-0.167257284791832,1.4499629924554,0,0,0
52,-9.76474848272625,-0.194310104522028,1.44696102517425,0,0,0
53,-9.76792919057385,-0.189799208885639,1.42836304703259,0,0,0
54,-9.77579781540957,-0.177685518534753,1.43059878321034,0,0,0
55,-9.77704958234119,-0.192739073329045,1.44620138755325,0,0,0
56,-9.78213014699904,-0.198523207750608,1.4380001060459,0,0,0
57,-9.78455785638685,-0.192501204531921,1.43056470015404,0,0,0
58,-9.7768039688183,-0.203219540907007,1.44469958781095,0,0,0
59,-9.76624328749326,-0.206568604715264,1.46182580072777,0,0,0
60,-9.75372505668542,-0.216349537906969,1.46629415285016,0,0,0
61,-9.75527033070943,-0.226353833472148,1.47223407738258,0,0,0
62,-9.75427753892953,-0.235328016641634,1.47817498460122,0,0,0
63,-9.75709277087061,-0.244247354898863,1.47890216312289,0,0,0
64,-9.75938083295912,-0.245745651037832,1.45806561117607,0,0,0
65,-9.77794258634721,-0.233501292126818,1.42606213021323,0,0,0
66,-9.79334015172581,-0.223473506760231,1.40075537727401,0,0,0
67,-9.79891950072476,-0.210595822433853,1.36728404894262,0,0,0
68,-9.80058739687321,-0.198427746037727,1.34795227071409,0,0,0
69,-9.78646217071912,-0.181340211991524,1.35097229664463,0,0,0
70,-9.77082125596893,-0.155828367476001,1.3629310986161,0,0,0
71,-9.74782936165484,-0.131501574551429,1.38085580602263,0,0,0
