Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.29115683898022,0.07202380692312,-3.10725427286935,0,0,0
1,-9.29123627449126,0.0742387739017682,-3.11022878052938,0,0,0
2,-9.29058650462371,0.0787106615803058,-3.10947950772857,0,0,0
3,-9.29071934761312,0.0839415088923419,-3.11542620878755,0,0,0
4,-9.29002487449137,0.0861549916665915,-3.10947192255683,0,0,0
5,-9.29003406400056,0.0846026842151782,-3.10649929096807,0,0,0
6,-9.28696793286188,0.0807357534740661,-3.10426864163191,0,0,0
7,-9.28909025749357,0.0778869055658543,-3.10799152161429,0,0,0
8,-9.29303381559443,0.0793160222746698,-3.11097568699883,0,0,0
9,-9.29435744577483,0.0788109076694693,-3.11543577280554,0,0,0
10,-9.28912402938975,0.0824633054530915,-3.10724063308515,0,0,0
11,-9.28997060702413,0.0908328596376193,-3.10127856148818,0,0,0
12,-9.29066265855728,0.0870760840979557,-3.09682054622789,0,0,0
13,-9.29310996488658,0.087681283841234,-3.09831670409824,0,0,0
14,-9.29441085907524,0.0833557084814329,-3.10278281304265,0,0,0
15,-9.29127343122465,0.0772674321807569,-3.10278543001599,0,0,0
16,-9.29064600655382,0.0763221247440291,-3.09758297955222,0,0,0
17,-9.28972493770763,0.0734268230153072,-3.09906922035795,0,0,0
18,-9.28821263467113,0.0757058227572379,-3.10501442715442,0,0,0
19,-9.28842044380487,0.0731527089626097,-3.11469717756812,0,0,0
20,-9.28824436069204,0.0718264417283645,-3.11543737274108,0,0,0
21,-9.28763956665148,0.0716279641316396,-3.11692973829336,0,0,0
22,-9.28612900111435,0.074669938203547,-3.11617831313429,0,0,0
23,-9.28678082278515,0.0771249990250378,-3.12137889471064,0,0,0
24,-9.28766008418133,0.0769952728020462,-3.12436017158257,0,0,0
25,-9.29069486443484,0.0793578706994041,-3.12212884437619,0,0,0
26,-9.29145958389157,0.0824403746852836,-3.11840510553082,0,0,0
27,-9.29467655563486,0.0791958219813684,-3.11619005034301,0,0,0
28,-9.2953833148664,0.0808110198446176,-3.11544261964551,0,0,0
29,-9.29462624100629,0.0815608755869166,-3.10948876272042,0,0,0
30,-9.29164835050466,0.0837402265715409,-3.10129899860953,0,0,0
31,-9.28937944566989,0.0844591847365336,-3.10055055123421,0,0,0
32,-9.29298921384919,0.0801315468626391,-3.09906987352161,0,0,0
33,-9.28999381033055,0.0777219235697146,-3.10204655857759,0,0,0
34,-9.28771039448415,0.0776878232333826,-3.09981109392489,0,0,0
35,-9.29302153010714,0.0770161418527032,-3.10205222283591,0,0,0
36,-9.28685889393602,0.0762507837718059,-3.10576069990969,0,0,0
37,-9.2846523842819,0.0738146167194336,-3.10278822395453,0,0,0
38,-9.29130110052721,0.0741556206249971,-3.10279190706228,0,0,0
39,-9.29210809787675,0.0764244050703063,-3.10948604123061,0,0,0
40,-9.28985565809384,0.0832784411782138,-3.10575156484006,0,0,0
41,-9.28764471918135,0.0854646819864112,-3.10202680935509,0,0,0
42,-9.29072718019136,0.077771256611649,-3.10948603204272,0,0,0
43,-9.28919271303254,0.0769936437447385,-3.10799664300788,0,0,0
44,-9.28837652514736,0.0762771440849094,-3.10427513551938,0,0,0
45,-9.28930049200391,0.0784057021214699,-3.11246141857157,0,0,0
46,-9.29158284744714,0.0815145017728114,-3.10725211203072,0,0,0
47,-9.29058524316548,0.075637714184719,-3.11543633019918,0,0,0
48,-9.298191382996,0.0765198724885654,-3.1117274323366,0,0,0
49,-9.29517635007594,0.0756706782188731,-3.11098104237323,0,0,0
50,-9.29216886009762,0.075580001555436,-3.10725785873545,0,0,0
51,-9.28987509674352,0.0770990710241912,-3.10725106027723,0,0,0
52,-9.2906443598585,0.0771040908898207,-3.11320398968591,0,0,0
53,-9.29139920962992,0.0794298799483428,-3.11096910991073,0,0,0
54,-9.29129955345558,0.0780114496477694,-3.11171211383543,0,0,0
55,-9.2944545941287,0.0756122884391384,-3.11098125799224,0,0,0
56,-9.28755627346566,0.0747994038902019,-3.10576232670251,0,0,0
57,-9.28909083979903,0.0786508629687421,-3.10055092535255,0,0,0
