Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.88677519122181,-0.38464800319907,-0.408592795684272,0,0,0
1,-9.88600084604618,-0.382340734959804,-0.41080509521365,0,0,0
2,-9.89153818198894,-0.378655292241824,-0.406392103072706,0,0,0
3,-9.88646463965608,-0.366729206064453,-0.404896853461767,0,0,0
4,-9.89398130770886,-0.351926012923334,-0.411492601634268,0,0,0
5,-9.88987605007241,-0.338673376058307,-0.423436318896204,0,0,0
6,-9.8929248753922,-0.332486006149494,-0.436050318874648,0,0,0
7,-9.89914485097912,-0.323313235241307,-0.46653746321398,0,0,0
8,-9.88201164159246,-0.310915994993171,-0.487358539178221,0,0,0
9,-9.88953243948043,-0.312241483345426,-0.486612401446687,0,0,0
10,-9.88975187638039,-0.307100119084076,-0.503005901742906,0,0,0
11,-9.88060026198544,-0.304133505627898,-0.521556633248138,0,0,0
12,-9.88674726711208,-0.304868296379385,-0.537207147997375,0,0,0
13,-9.88263865501484,-0.309967312950759,-0.533424209594271,0,0,0
14,-9.87598026258346,-0.316416749265339,-0.53870820625055,0,0,0
15,-9.88727564928532,-0.323788786091046,-0.549151374896517,0,0,0
16,-9.8857283449049,-0.314574379438495,-0.542394305810232,0,0,0
17,-9.89036214531954,-0.310755863957491,-0.515628229990005,0,0,0
18,-9.8895243126863,-0.312235136081398,-0.481404315055469,0,0,0
19,-9.89201997908265,-0.310143594490813,-0.456915961558947,0,0,0
20,-9.90011119764071,-0.311257249382749,-0.439011298484426,0,0,0
21,-9.89798120082922,-0.312990506276275,-0.4464971296028,0,0,0
22,-9.89257267514744,-0.310664634286946,-0.470991048002718,0,0,0
23,-9.88963663967566,-0.309284545928765,-0.487368561944059,0,0,0
24,-9.88695545123574,-0.327306809897597,-0.487355418837327,0,0,0
25,-9.88321083577016,-0.338190979703119,-0.458424960688075,0,0,0
26,-9.88409501570979,-0.327581686809912,-0.428652731452973,0,0,0
27,-9.87893510235831,-0.307898461652506,-0.398084387652539,0,0,0
28,-9.8873731545682,-0.296348709156465,-0.365331297832205,0,0,0
29,-9.88700025686605,-0.325118495774578,-0.353493576185685,0,0,0
30,-9.88454125004724,-0.328800831699102,-0.347510972924075,0,0,0
31,-9.89126934933589,-0.324731962891627,-0.340773641717371,0,0,0
32,-9.88008656611194,-0.328227299204907,-0.337862299869871,0,0,0
33,-9.89820975675447,-0.333951123210112,-0.324505884889209,0,0,0
34,-9.88108108423087,-0.358346539916894,-0.313349012838122,0,0,0
35,-9.91892069613462,-0.355262728173967,-0.289549907222131,0,0,0
36,-9.88327423576146,-0.361297163758036,-0.288803811387447,0,0,0
37,-10.4407676108987,-0.244582858240214,-0.346844210594041,0,0,0
38,-9.4061865495912,-0.477348751931151,-0.134912444354879,0,0,0
39,-9.8035507975597,-0.39407685300007,-0.287183812830123,0,0,0
40,-9.88076422145279,-0.372578669092249,-0.328215228593603,0,0,0
41,-9.8870475985293,-0.368072590032876,-0.376595803143288,0,0,0
42,-9.88093461086768,-0.371200869660254,-0.38700617305241,0,0,0
43,-9.89229134746834,-0.368656911349058,-0.404845935298585,0,0,0
44,-9.88619112455016,-0.370267445023878,-0.407814334256825,0,0,0
45,-9.88870850891006,-0.365883283855748,-0.408603767349165,0,0,0
46,-9.88969357197602,-0.360750426407614,-0.393765612742535,0,0,0
47,-9.88979818576011,-0.348593633281386,-0.370670684168957,0,0,0
48,-9.88669824238594,-0.340906627646007,-0.358705205213005,0,0,0
49,-9.89416006545036,-0.34064147195171,-0.339341201023973,0,0,0
50,-9.89355966888178,-0.336229270747502,-0.325229780829757,0,0,0
51,-9.8912394466989,-0.338526414697128,-0.322996941835761,0,0,0
52,-9.89189182300229,-0.341468487224191,-0.320009997565131,0,0,0
53,-9.88976876385471,-0.341679011447503,-0.316333640612585,0,0,0
54,-9.89270373312084,-0.334604894379842,-0.317755114983049,0,0,0
55,-9.89654081388123,-0.329208104258623,-0.321458914078531,0,0,0
56,-9.89069540957207,-0.321885371399384,-0.32444779490728,0,0,0
57,-9.88826831980972,-0.324828769476089,-0.331112505780289,0,0,0
58,-9.89447963440138,-0.330248037466177,-0.330447462858755,0,0,0
59,-9.8828461375915,-0.334782602471247,-0.33261994161002,0,0,0
60,-9.90713666122724,-0.330511802365423,-0.343037942281268,0,0,0
61,-9.87177784673552,-0.329947706822543,-0.352003112772904,0,0,0
62,-9.93037304897267,-0.315256707690361,-0.360958739870967,0,0,0
63,-9.85030039129428,-0.330834168787883,-0.37348409825803,0,0,0
64,-10.2787503732406,-0.243942428895373,-0.446190839248073,0,0,0
65,-9.67826443254283,-0.396996638153995,-0.304876809954325,0,0,0
66,-9.70036503712104,-0.382852437198834,-0.375496994041099,0,0,0
67,-9.9147318989286,-0.338804485219649,-0.390692454433967,0,0,0
68,-9.87449816219595,-0.351019675616036,-0.400378694918157,0,0,0
69,-9.8979101764367,-0.345871004417431,-0.396626730298237,0,0,0
70,-9.88962238104458,-0.346079926519653,-0.408533668096085,0,0,0
71,-9.88873179212795,-0.354392814888706,-0.410774633169681,0,0,0
72,-9.89165056922521,-0.364196016719717,-0.399646935219705,0,0,0
73,-9.88560370063532,-0.361265026885339,-0.389961603524692,0,0,0
74,-9.89781234375411,-0.348069256572973,-0.392149630214681,0,0,0
75,-9.8855604878467,-0.348941596121671,-0.37649154498452,0,0,0
76,-9.91392018115086,-0.339540288137624,-0.365395778617717,0,0,0
77,-9.8865865030206,-0.344621683556047,-0.360926068004793,0,0,0
78,-10.2632156360817,-0.30977879085563,-0.424671957103429,0,0,0
79,-9.78350608694671,-0.414035497168691,-0.308753236660862,0,0,0
80,-9.6587406144666,-0.420508288539436,-0.350941387846845,0,0,0
81,-9.90591098965943,-0.372971155165229,-0.412312926614203,0,0,0
82,-10.3300888149335,-0.314019369149572,-0.506608231759341,0,0,0
83,-9.84256038347929,-0.323140893272635,-0.345127504971246,0,0,0
84,-9.86192576036275,-0.310930407533488,-0.383862591020839,0,0,0
85,-10.0792579750471,-0.3089291452929,-0.335858675176518,0,0,0
86,-10.0546888748631,-0.276107242852081,-0.355851627618387,0,0,0
87,-10.224526597986,-0.251486222955351,-0.35013738420802,0,0,0
88,-10.1754144798888,-0.289387242208633,-0.327833452911796,0,0,0
89,-10.337406205007,-0.271521057327845,-0.33992462407529,0,0,0
90,-10.3668539685426,-0.277731268222659,-0.355571862519145,0,0,0
91,-10.3429232621694,-0.303812627331769,-0.349630034435709,0,0,0
92,-10.2936389038842,-0.300137532499851,-0.344355103748613,0,0,0
93,-10.3557201298699,-0.370935956827639,-0.372844908904393,0,0,0
94,-10.4801337373548,-0.278218019085818,-0.398904003957244,0,0,0
95,-10.5209577631044,-0.336360996871672,-0.380440685796868,0,0,0
96,-10.1856671729817,-0.256603086933452,-0.370154945191242,0,0,0
97,-9.96265648990615,-0.620162556089677,-0.310068125250175,0,0,0
98,-10.6469376958248,-0.393948239493745,-0.318245993807124,0,0,0
99,-9.85788810262459,-0.33995287713492,-0.285048234770142,0,0,0
100,-9.40844774479734,-0.42815057882644,-0.309603588551677,0,0,0
101,-9.54406507216847,-0.687668559624991,-0.271468063241401,0,0,0
102,-10.2247578541968,-0.507717541641109,-0.300576845078471,0,0,0
103,-9.42320371075562,-0.353925785423763,-0.198692880053109,0,0,0
104,-9.1436315626934,-0.759364130325951,-0.42795701865893,0,0,0
105,-10.222158648214,-0.607076141275607,-0.387110693608372,0,0,0
106,-10.2317305672888,-0.406594512559335,-0.24320452962211,0,0,0
107,-9.54088394990238,-0.495133264219632,-0.513817227392418,0,0,0
108,-9.33806785022441,-0.598188198020145,-0.509223520915854,0,0,0
109,-9.83762011371247,-0.846288422220363,-0.502819117353359,0,0,0
110,-10.5205283426065,-0.746660436038626,-0.724776936729775,0,0,0
111,-10.5623466737762,-0.570471555791626,-0.793104291152486,0,0,0
