Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.40906614100714,0.853882484909251,-1.80210630378197,0,0,0
1,-9.41333838351934,0.868030131485726,-1.79927349479968,0,0,0
2,-9.40871845583691,0.85202775688972,-1.80848880903664,0,0,0
3,-9.40649969753403,0.854240237419015,-1.80849264275782,0,0,0
4,-9.40221403116165,0.858473877803391,-1.81095399042364,0,0,0
5,-9.4070652273695,0.860413954303457,-1.81586081566559,0,0,0
6,-9.41130753645868,0.86312172758389,-1.81321133927241,0,0,0
7,-9.40981116286382,0.880487815679463,-1.80478368715177,0,0,0
8,-9.4070562084203,0.878788023996738,-1.80871397792343,0,0,0
9,-9.40924794667314,0.865130934616762,-1.80437661665685,0,0,0
10,-9.40917025148808,0.860639654470079,-1.81114721685855,0,0,0
11,-9.40920544252277,0.862891250231892,-1.8134080383398,0,0,0
12,-9.4094379214931,0.867186405613517,-1.8045742196711,0,0,0
13,-9.40920983039218,0.862884103405726,-1.80663269244128,0,0,0
14,-9.41125031762885,0.858597073900736,-1.7883636816606,0,0,0
15,-9.40742607105103,0.862247133524653,-1.78915221184778,0,0,0
16,-9.4070702240479,0.869585460011388,-1.79760747730858,0,0,0
17,-9.4045345920711,0.872202128832774,-1.81302997545505,0,0,0
18,-9.4113837693716,0.867615411715753,-1.80869919192083,0,0,0
19,-9.42247903813175,0.856550681283423,-1.80642157682765,0,0,0
20,-9.4089339920449,0.865530314853357,-1.81527837957984,0,0,0
21,-9.41149544840155,0.856000970017655,-1.82714540193141,0,0,0
22,-9.41326447185689,0.854352883677467,-1.81074670464666,0,0,0
23,-9.40917842187733,0.851446751732529,-1.80907451127244,0,0,0
24,-9.40894215989227,0.85633729985929,-1.81320568154448,0,0,0
25,-9.40473589043132,0.846700252078479,-1.82733554475535,0,0,0
26,-9.41127088262399,0.860872503244783,-1.81320896641255,0,0,0
27,-9.41773425461294,0.85218430462356,-1.81751674339097,0,0,0
28,-9.41154320153147,0.849052561544958,-1.82055817652822,0,0,0
29,-9.40912920996085,0.858397587809819,-1.81792018990866,0,0,0
30,-9.41123422878931,0.858623278905675,-1.81320659355269,0,0,0
31,-9.40508332167853,0.866914390750249,-1.80025546625823,0,0,0
32,-9.40951939905678,0.862491899151185,-1.80250625172046,0,0,0
33,-9.40917025148808,0.860639654470079,-1.81114721685855,0,0,0
34,-9.40951647380508,0.862496663710811,-1.80702315737491,0,0,0
35,-9.40928106919777,0.858206271021756,-1.82037388343349,0,0,0
36,-9.4070652273695,0.860413954303457,-1.81586081566559,0,0,0
37,-9.40481711993374,0.860365288118616,-1.80457002287064,0,0,0
38,-9.40864514781383,0.847529286506138,-1.80848406329403,0,0,0
39,-9.40929947923212,0.848996748464836,-1.80249201476739,0,0,0
40,-9.41104364650701,0.847389068576018,-1.82448696193162,0,0,0
41,-9.41527862029274,0.850108651778927,-1.83312968600838,0,0,0
