Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.47928965242364,0.140824146649098,-1.64446704649388,0,0,0
1,-9.47876175940132,0.136887165850525,-1.63484311503593,0,0,0
2,-9.47259464716847,0.136039946303223,-1.6582127040751,0,0,0
3,-9.47496694359918,0.133637516100882,-1.6584039728439,0,0,0
4,-9.47668575255969,0.129751519425765,-1.6623294294475,0,0,0
5,-9.47179457556648,0.125560233801181,-1.66193739538195,0,0,0
6,-9.47696044866938,0.127115046049818,-1.65594180329759,0,0,0
7,-9.47516292124075,0.135686795743057,-1.64956747740491,0,0,0
8,-9.48108569886744,0.132254703336252,-1.65309984618001,0,0,0
9,-9.47237226076399,0.13172495436787,-1.65123739772798,0,0,0
10,-9.47229749716763,0.127229300406823,-1.65349113882567,0,0,0
11,-9.47202281299575,0.129865788550899,-1.65987876360625,0,0,0
12,-9.47640857365769,0.141567319896933,-1.66175597772206,0,0,0
13,-9.4743159481421,0.122974823878987,-1.66909922522528,0,0,0
14,-9.47443321332696,0.129709999286441,-1.65781392176091,0,0,0
15,-9.47661245125719,0.125253461444144,-1.66232468413995,0,0,0
16,-9.47214007870439,0.136600996527463,-1.6485934706622,0,0,0
17,-9.47687778169327,0.140982370501844,-1.64879038700553,0,0,0
18,-9.47217526688763,0.13885241868174,-1.65085432551536,0,0,0
19,-9.47248074953958,0.138474391097459,-1.65350300203728,0,0,0
20,-9.47473182886995,0.138518293601196,-1.66027700029881,0,0,0
21,-9.46728557083962,0.134658819896238,-1.64820383520976,0,0,0
22,-9.47727618493737,0.126720462149671,-1.64278104806046,0,0,0
23,-9.47428412535246,0.129893014776318,-1.65084337397257,0,0,0
24,-9.47213861605953,0.136603378838247,-1.65085195285014,0,0,0
25,-9.47984009051464,0.126374553086861,-1.6409112673849,0,0,0
26,-9.47661830184209,0.125243932192162,-1.6532907469994,0,0,0
27,-9.47241432097869,0.124790145241164,-1.65368386396168,0,0,0
28,-9.47226084669324,0.124980282268696,-1.65348876618335,0,0,0
29,-9.4725702829712,0.115421081439122,-1.66084004819351,0,0,0
30,-9.47223063131054,0.104370953786211,-1.66515006141057,0,0,0
31,-9.47184057970943,0.109443894420792,-1.66908645018633,0,0,0
32,-9.47428368542952,0.12071864794919,-1.6623213997161,0,0,0
33,-9.47688568542538,0.122619413796349,-1.65819554651537,0,0,0
34,-9.46287191431274,0.120694019573316,-1.63277333021768,0,0,0
35,-9.47248469627587,0.129292924446891,-1.65820558618248,0,0,0
36,-9.47266750745803,0.131363675618605,-1.6696955139971,0,0,0
37,-9.47236202223092,0.131741630574324,-1.6670468024043,0,0,0
38,-9.47443423713208,0.120533295441802,-1.66703347830722,0,0,0
39,-9.47683923159792,0.129561358922009,-1.66252453522638,0,0,0
40,-9.46834566312463,0.142525617208529,-1.6606763365654,0,0,0
41,-9.47197636794778,0.136807869590635,-1.66420773885605,0,0,0
42,-9.47232288876054,0.138671742049344,-1.66008335754482,0,0,0
43,-9.47225207080775,0.124994576159942,-1.66703968447733,0,0,0
44,-9.4726239842213,0.138300865175766,-1.6695075191036,0,0,0
45,-9.47236202223092,0.131741630574324,-1.6670468024043,0,0,0
46,-9.47242947258936,0.136249196111409,-1.67608549321828,0,0,0
47,-9.47204235674017,0.141317882525845,-1.67550488466314,0,0,0
48,-9.47153797866493,0.139651377742877,-1.6862095303641,0,0,0
49,-9.48079783153779,0.134912704459206,-1.67981376184944,0,0,0
50,-9.4720858761379,0.13438054441337,-1.6756928842523,0,0,0
51,-9.47472700245646,0.129351120906565,-1.67853052161096,0,0,0
52,-9.46829731180157,0.140295679332824,-1.67874188855973,0,0,0
53,-9.46829731180157,0.140295679332824,-1.67874188855973,0,0,0
54,-9.47934686424902,0.145348388392637,-1.66931514198417,0,0,0
55,-9.47505978043213,0.149587421840721,-1.67403489832978,0,0,0
56,-9.47918504421231,0.154727404788902,-1.67119289121768,0,0,0
57,-9.47235515147311,0.140927917979141,-1.66686118305401,0,0,0
58,-9.47250716148089,0.14074008544204,-1.66931477935593,0,0,0
59,-9.47247197365408,0.138488684988705,-1.66705392033127,0,0,0
60,-9.46953765389366,0.12552586068598,-1.66419733635282,0,0,0
61,-9.46984166974298,0.125150341843131,-1.66910451964643,0,0,0
62,-9.47174813108336,0.13250232755623,-1.66626636471338,0,0,0
63,-9.47881999857613,0.132234624043183,-1.66891068237752,0,0,0
64,-9.47698290820031,0.138562196104933,-1.66705099856034,0,0,0
65,-9.47194366076008,0.125377238107045,-1.66890794702758,0,0,0
66,-9.47407250180193,0.137044352952018,-1.67304508319194,0,0,0
67,-9.48137700957384,0.141074940032474,-1.66685533951926,0,0,0
68,-9.46764240366015,0.138814642406385,-1.68473448009833,0,0,0
69,-9.47235470899301,0.131753542150362,-1.67833923431596,0,0,0
70,-9.47196714778439,0.127647718747589,-1.68923665938429,0,0,0
71,-9.46756572817066,0.125146938711734,-1.70072476052204,0,0,0
72,-9.46573052112847,0.140646494974151,-1.68512856668865,0,0,0
73,-9.46530385479615,0.143470960802134,-1.68906252052469,0,0,0
74,-9.47020480520031,0.138470987952252,-1.68512327227539,0,0,0
75,-9.47001322182942,0.136414545301147,-1.68718425719639,0,0,0
76,-9.46821421917815,0.144988669730827,-1.68306848964787,0,0,0
77,-9.46583406504449,0.165754453505839,-1.67347200202318,0,0,0
78,-9.47494047185952,0.161205934409768,-1.66688107605427,0,0,0
79,-9.47255985874016,0.172797445346605,-1.66876266186428,0,0,0
80,-9.4795271913258,0.156598243713688,-1.67384397796045,0,0,0
81,-9.46788188756875,0.133926666857053,-1.67608604234689,0,0,0
82,-9.47238843417223,0.134007324918904,-1.68285857972295,0,0,0
83,-9.46803637300595,0.124559851262395,-1.68550075195392,0,0,0
84,-9.47260789508296,0.138327070667385,-1.69435089237839,0,0,0
85,-9.47036368336599,0.129096982095224,-1.68776252688046,0,0,0
86,-9.47283657276179,0.151806820475529,-1.68081419728647,0,0,0
87,-9.47283072216602,0.151816349745209,-1.68984815120458,0,0,0
88,-9.47283803541073,0.15180443815811,-1.67855570880695,0,0,0
89,-9.4706260848119,0.144830427846022,-1.67874517290955,0,0,0
90,-9.46821962360932,0.135804833426199,-1.68551261505104,0,0,0
91,-9.46851721252561,0.153789657929389,-1.67875612427628,0,0,0
92,-9.4701715256042,0.145391602760424,-1.66912587353038,0,0,0
93,-9.47487506629553,0.138344767730921,-1.67628152365493,0,0,0
94,-9.46394129172391,0.140029576303058,-1.67668143916186,0,0,0
95,-9.46542213006614,0.14102930909211,-1.6869967958334,0,0,0
96,-9.4750974549286,0.142659707347877,-1.68325685966551,0,0,0
97,-9.47333612845525,0.144306025590135,-1.68836306498295,0,0,0
98,-9.47057671479392,0.151777211824894,-1.6875911236123,0,0,0
99,-9.46549543172235,0.145527388779097,-1.68700154116385,0,0,0
100,-9.47709096072117,0.136137280683212,-1.68079466709586,0,0,0
101,-9.47464828938809,0.134036933531396,-1.67608165969048,0,0,0
102,-9.47682650457978,0.138757164640988,-1.67137285720313,0,0,0
103,-9.47773361973545,0.155988244874654,-1.67217229672502,0,0,0
104,-9.47283657276179,0.151806820475529,-1.68081419728647,0,0,0
105,-9.47283949805967,0.15180205584069,-1.67629722032742,0,0,0
106,-9.47261565025648,0.147489522171629,-1.67158038366523,0,0,0
107,-9.47292361854445,0.137932378136496,-1.68119020833848,0,0,0
108,-9.47235515147311,0.140927917979141,-1.66686118305401,0,0,0
109,-9.47001468447565,0.136412162988151,-1.68492577291125,0,0,0
110,-9.46806761798803,0.135992640589051,-1.68305899912438,0,0,0
111,-9.47694186978318,0.136320324912429,-1.67382408506501,0,0,0
112,-9.47245779019573,0.14768691651655,-1.67816072244101,0,0,0
113,-9.47728298810247,0.147368023205913,-1.66725559937308,0,0,0
114,-9.47495568013529,0.14283087071471,-1.66499382651905,0,0,0
115,-9.4724705110065,0.138491067303913,-1.6693124067136,0,0,0
116,-9.47446255074708,0.131970939842228,-1.66910871584037,0,0,0
117,-9.47754598206139,0.144750463939799,-1.67893591170688,0,0,0
118,-9.47294608192044,0.149379470277012,-1.69229940071969,0,0,0
119,-9.4727515709752,0.147327864444,-1.69887735986093,0,0,0
120,-9.47313327964575,0.151442967869871,-1.69701389270373,0,0,0
121,-9.47283218481497,0.151813967427789,-1.68758966272505,0,0,0
122,-9.47272077127343,0.145069327888877,-1.68984103331196,0,0,0
123,-9.47295734318495,0.140186128360262,-1.68570956629429,0,0,0
124,-9.46569094535891,0.138402241466439,-1.68964316681099,0,0,0
125,-9.4727588842199,0.147315952856901,-1.6875849174633,0,0,0
126,-9.47287176041038,0.154058210078393,-1.68307505839687,0,0,0
127,-9.47310686826353,0.149177306036884,-1.68120207137836,0,0,0
128,-9.47265917186989,0.14055225477863,-1.671768380214,0,0,0
129,-9.47308440616937,0.13773027000693,-1.67009285844422,0,0,0
130,-9.47249984824298,0.140751997018078,-1.68060721126758,0,0,0
131,-9.47005674065517,0.129477297714951,-1.68737226808843,0,0,0
132,-9.46776507053536,0.136365878222836,-1.67589329665439,0,0,0
133,-9.47051028384868,0.138092967826268,-1.68777201735816,0,0,0
134,-9.46399895373615,0.153728058232197,-1.69005149893793,0,0,0
135,-9.47093156394032,0.144452350072158,-1.68139391098193,0,0,0
136,-9.47475531551609,0.140788752576192,-1.68060575038212,0,0,0
137,-9.4723082622983,0.138695565179299,-1.6826682003962,0,0,0
138,-9.47067399363416,0.137886093156663,-1.67215769853363,0,0,0
139,-9.47522013196016,0.140210972443498,-1.67441564203391,0,0,0
140,-9.46737605880065,0.132262462745022,-1.68904919626121,0,0,0
141,-9.47441273627982,0.129743351668378,-1.68943270175283,0,0,0
142,-9.47475780215823,0.131609657461688,-1.68756684815994,0,0,0
143,-9.46797721251609,0.140697544423511,-1.69867802409717,0,0,0
144,-9.47246319776859,0.138502978879951,-1.68060483862526,0,0,0
145,-9.47491025394412,0.140596157333785,-1.67854238476533,0,0,0
146,-9.48648476913554,0.149590474884539,-1.68325667307865,0,0,0
147,-9.47274080769938,0.135861668484127,-1.66970025923595,0,0,0
148,-9.47506270573001,0.149582657205881,-1.66951792137073,0,0,0
149,-9.47686608052347,0.141001429005808,-1.66685826128663,0,0,0
150,-9.47250716148089,0.14074008544204,-1.66931477935593,0,0,0
151,-9.47445567833406,0.141157272480053,-1.66892309480222,0,0,0
152,-9.46805144477566,0.133710280859729,-1.65143778778015,0,0,0
153,-9.47197344266077,0.136812634207778,-1.66872469903755,0,0,0
154,-9.47194995544737,0.134542142734461,-1.64839600554413,0,0,0
155,-9.4748784307675,0.147514366153705,-1.6602864908681,0,0,0
156,-9.47740420432124,0.144921636231994,-1.66067286562871,0,0,0
157,-9.47064217396518,0.14480422233007,-1.65390177656564,0,0,0
158,-9.47958637684888,0.140460399014148,-1.66066665950084,0,0,0
159,-9.47943582047562,0.140645845365376,-1.65595457819558,0,0,0
160,-9.47702936131763,0.131620207572965,-1.66272201399791,0,0,0
161,-9.47686900581592,0.140996664379817,-1.66234129271636,0,0,0
162,-9.47274958360117,0.135847374566334,-1.65614931577563,0,0,0
163,-9.48371265954527,0.136423444641149,-1.66704424326161,0,0,0
164,-9.4770674742641,0.133866832540989,-1.66046589814926,0,0,0
165,-9.47989084663417,0.149258985252124,-1.65409577661897,0,0,0
166,-9.493340994173,0.163346922567507,-1.64693558526273,0,0,0
167,-9.48615473170649,0.156874977803845,-1.65105963633232,0,0,0
168,-9.48615765699894,0.156870213177854,-1.64654266776205,0,0,0
169,-9.47481931748775,0.133818165350995,-1.64917491663888,0,0,0
170,-9.48169232383457,0.131505933570045,-1.66517268928755,0,0,0
171,-9.48184038696756,0.140499536981456,-1.66292368918853,0,0,0
172,-9.47946662017739,0.1429043819205,-1.66499090474456,0,0,0
173,-9.47911423181753,0.141050096084118,-1.67814922182863,0,0,0
174,-9.46727386970243,0.134677878347109,-1.6662716591582,0,0,0
175,-9.47682357928733,0.138761929266979,-1.67588982577341,0,0,0
176,-9.48114876200959,0.136769459198723,-1.66891396682606,0,0,0
177,-9.47239721005772,0.133993031027658,-1.66930766142896,0,0,0
178,-9.47437798874325,0.136666339725415,-1.67569379603561,0,0,0
179,-9.4673848346617,0.132248168893595,-1.67549831571671,0,0,0
180,-9.47249984824298,0.140751997018078,-1.68060721126758,0,0,0
181,-9.4679424732067,0.14762055242887,-1.6849390970638,0,0,0
182,-9.4730672930164,0.146933085100495,-1.68571668411821,0,0,0
183,-9.4723082622983,0.138695565179299,-1.6826682003962,0,0,0
184,-9.47926332476716,0.140867028322836,-1.68511980137584,0,0,0
185,-9.48144256579633,0.136410512235111,-1.68963056797039,0,0,0
186,-9.47219786856237,0.122774145804307,-1.69413914842299,0,0,0
187,-9.46967840733948,0.134531592704972,-1.67324074742251,0,0,0
188,-9.47272369657131,0.145064563254037,-1.6853240563529,0,0,0
189,-9.47877647075366,0.139171951175269,-1.66872268907384,0,0,0
190,-9.46994475477956,0.141083761542948,-1.66892601656604,0,0,0
191,-9.47456124288377,0.147911538942883,-1.67570565936172,0,0,0
192,-9.48099674142152,0.136957273594292,-1.66646037542629,0,0,0
193,-9.47652101172435,0.139135195751497,-1.66872414995396,0,0,0
194,-9.48110084386238,0.143713954917107,-1.6755014138193,0,0,0
195,-9.47486336510401,0.13836382627028,-1.69434943149114,0,0,0
196,-9.47937576779504,0.13843495515865,-1.69208802123712,0,0,0
197,-9.46759990225259,0.136575131806025,-1.69376603618488,0,0,0
198,-9.4724265472942,0.136253960741824,-1.68060246598294,0,0,0
199,-9.47197884894332,0.127628660261322,-1.67116880188075,0,0,0
200,-9.46751729185398,0.12060838140919,-1.66232578236716,0,0,0
201,-9.47478369299582,0.122392533937078,-1.65839210974678,0,0,0
202,-9.47218754574446,0.120482245992442,-1.6534840208987,0,0,0
203,-9.47237474538328,0.122545902590559,-1.65819846828986,0,0,0
204,-9.47218315780172,0.120489392938065,-1.66025948004569,0,0,0
205,-9.4722349609958,0.134197507197679,-1.68266345508865,0,0,0
206,-9.46577403502051,0.133709260018132,-1.68531657586028,0,0,0
207,-9.47231513322345,0.12950928864265,-1.6828538344383,0,0,0
208,-9.47246027247343,0.138507743510366,-1.68512181138992,0,0,0
209,-9.47291630528617,0.137944289745717,-1.69248267170805,0,0,0
210,-9.47261082038083,0.138322306032545,-1.68983391541933,0,0,0
211,-9.47199839251767,0.139080743372523,-1.68679491244021,0,0,0
212,-9.47273393511389,0.145047887032098,-1.66951463699623,0,0,0
213,-9.47231601962059,0.147858107298848,-1.65989774492802,0,0,0
214,-9.47232581405299,0.138666977423353,-1.65556638897455,0,0,0
215,-9.4745373146958,0.136466615510854,-1.66685497686277,0,0,0
216,-9.47875005825325,0.136906224319094,-1.65291095576192,0,0,0
217,-9.48146889345281,0.136367630561373,-1.64897781308843,0,0,0
218,-9.47401236321764,0.132524789097067,-1.6527140358737,0,0,0
219,-9.47236100205801,0.140918388727159,-1.65782724591346,0,0,0
220,-9.47485245959913,0.154423112742404,-1.63299669381589,0,0,0
221,-9.46969787034332,0.143675145326155,-1.632402519129,0,0,0
222,-9.47872803368337,0.134633350537206,-1.63032378217776,0,0,0
223,-9.48289240389462,0.132842930887868,-1.63444528926318,0,0,0
224,-9.47417607668926,0.1323179359192,-1.63709977153359,0,0,0
225,-9.47891670255019,0.136694586757637,-1.63277971270087,0,0,0
226,-9.47485392224536,0.154420730429409,-1.63073820953075,0,0,0
227,-9.47661186545637,0.143604709440997,-1.64162713421831,0,0,0
228,-9.4747308064756,0.147695084273937,-1.65105745013567,0,0,0
229,-9.47228960730654,0.145592391279871,-1.6440859969472,0,0,0
230,-9.47494880642112,0.152017167060375,-1.66480820891741,0,0,0
231,-9.48644312033786,0.165699818310124,-1.66933211310867,0,0,0
232,-9.47451670391022,0.16402594461926,-1.66629812146871,0,0,0
233,-9.48174205344008,0.163567612253573,-1.66913755034212,0,0,0
234,-9.48164922052959,0.147617485882424,-1.6535066490647,0,0,0
235,-9.47641881215274,0.141550643752421,-1.64594663176717,0,0,0
236,-9.48115650923294,0.145932035601859,-1.64614354531623,0,0,0
237,-9.47485743043422,0.136064790319019,-1.64691880079023,0,0,0
238,-9.47473182886995,0.138518293601196,-1.66027700029881,0,0,0
239,-9.47901013044869,0.134293479859705,-1.66910816672677,0,0,0
240,-9.4745768906395,0.138710879875673,-1.66234038094627,0,0,0
241,-9.47442736274206,0.129719528538423,-1.66684785890146,0,0,0
242,-9.46750750150666,0.129799424546144,-1.6666571319339,0,0,0
243,-9.4724074485908,0.133976354821205,-1.65349825675264,0,0,0
244,-9.47011679349088,0.131688198809756,-1.65123885861345,0,0,0
245,-9.4725584384311,0.14296528042809,-1.64673228817493,0,0,0
246,-9.47959222745007,0.14045086973562,-1.65163269719396,0,0,0
247,-9.4700424747539,0.136366899041237,-1.64201457149364,0,0,0
248,-9.47967387227459,0.13576030712797,-1.64956455562329,0,0,0
