Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.67793675190528,-0.759520141645303,-2.22432025836762,0,0,0
1,-9.68116066199959,-0.751993990398686,-2.2146463154971,0,0,0
2,-9.68236243170421,-0.729417359021724,-2.2138779809502,0,0,0
3,-9.6968889627298,-0.665620609385034,-2.14983900988325,0,0,0
4,-9.70527330079757,-0.605681737383307,-2.10960112885327,0,0,0
5,-9.69938193854291,-0.602142575018856,-2.11702963491114,0,0,0
6,-9.69267544759875,-0.646101516344912,-2.14385724682371,0,0,0
7,-9.69412516581974,-0.694340590171183,-2.11192919416328,0,0,0
8,-9.69968705987259,-0.719040486232657,-2.08741625337616,0,0,0
9,-9.69694588898066,-0.710950116170684,-2.1186508535014,0,0,0
10,-9.68144369642654,-0.681715191799884,-2.18108012471655,0,0,0
11,-9.67219894373738,-0.647193497993977,-2.25318589621226,0,0,0
12,-9.66424768158393,-0.627019733352758,-2.27918780526373,0,0,0
13,-9.67183162206712,-0.633814599967502,-2.24052593689058,0,0,0
14,-9.67964274580275,-0.655370353075738,-2.21452276436355,0,0,0
15,-9.68226868588963,-0.678695902460153,-2.19149313344754,0,0,0
16,-9.68145271109133,-0.677123293274732,-2.16470637942813,0,0,0
17,-9.68564008640465,-0.652150000241349,-2.13046058012501,0,0,0
18,-9.69675282857387,-0.617157993505715,-2.12373719967057,0,0,0
19,-9.69566453230767,-0.596152764930446,-2.10734480055354,0,0,0
20,-9.70337918903146,-0.583098851094089,-2.09766752016755,0,0,0
21,-9.70195417235968,-0.579387979060487,-2.09468566657836,0,0,0
22,-9.70219480778157,-0.571205234264665,-2.08872674986506,0,0,0
23,-9.70415948107943,-0.58080909067256,-2.08725044657436,0,0,0
24,-9.69702917231644,-0.604403238420442,-2.1185157810747,0,0,0
25,-9.69362205250111,-0.640896327064456,-2.1840271224269,0,0,0
26,-9.68412442811199,-0.673619253157525,-2.27779210419231,0,0,0
27,-9.66294518309236,-0.710844269016607,-2.3365741375653,0,0,0
28,-9.65975891734205,-0.727645028355822,-2.31576290687488,0,0,0
29,-9.66866329534579,-0.72114191620219,-2.26368592392643,0,0,0
30,-9.68992759435241,-0.675561619578136,-2.19819699374993,0,0,0
31,-9.70609247977928,-0.604186795195586,-2.13191939186108,0,0,0
32,-9.73211378766367,-0.548763788525441,-2.06642639192578,0,0,0
33,-9.75784882129303,-0.539066247165775,-1.95560303044606,0,0,0
34,-9.79225897322143,-0.608586318347478,-1.79430575004592,0,0,0
35,-9.7893554331173,-0.630280102609027,-1.67082906218671,0,0,0
36,-9.79396969724076,-0.661725575624094,-1.59647802044764,0,0,0
37,-9.80497288666492,-0.684189871993862,-1.52733625317179,0,0,0
38,-9.79614275663051,-0.666228677974198,-1.50051794303825,0,0,0
39,-9.82363189562778,-0.609912910213868,-1.51760181585197,0,0,0
40,-9.7878870199025,-0.656507061755303,-1.46552658722584,0,0,0
41,-9.78159059316104,-0.707024038318462,-1.41275704756382,0,0,0
42,-9.80210971792494,-0.715901948317202,-1.43214528407292,0,0,0
43,-9.78591208590266,-0.736625411094074,-1.46562436793846,0,0,0
44,-9.76009569963767,-0.739353696119348,-1.50352904166797,0,0,0
45,-9.75839450129338,-0.747621838516226,-1.5228784170361,0,0,0
46,-9.75031219577301,-0.74036463339176,-1.54815321931732,0,0,0
47,-9.76057672210348,-0.711397128079517,-1.62178238567795,0,0,0
48,-9.74725312055426,-0.751865260358258,-1.65306145005253,0,0,0
49,-9.73032774255394,-0.804056688281506,-1.69698996475255,0,0,0
50,-9.71876995764041,-0.770310865672699,-1.75570191932713,0,0,0
51,-9.69103776805858,-0.709751747817393,-1.85750537161619,0,0,0
52,-9.72119758588628,-0.685994049394685,-1.92448075784255,0,0,0
53,-9.70039686350253,-0.710592145362764,-1.94456704112632,0,0,0
54,-9.7014668736997,-0.748462227699568,-1.99743879467352,0,0,0
55,-9.68457420289135,-0.751595303075281,-2.04130557966296,0,0,0
56,-9.69288449007072,-0.717651065082103,-2.09558734862971,0,0,0
57,-9.69355533111328,-0.675353589176092,-2.11264602002728,0,0,0
58,-9.70246449211291,-0.685732095826598,-2.11192818788385,0,0,0
59,-9.69387725973083,-0.711729138253584,-2.13278138202075,0,0,0
60,-9.68610222675674,-0.716253417279194,-2.16624945427409,0,0,0
61,-9.68743840225904,-0.684596178536891,-2.1825802106746,0,0,0
