Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.61047300360124,0.723906289776974,-4.17882017260513,0,0,0
1,-8.613291209514,0.712280528521342,-4.18602983390247,0,0,0
2,-8.61666832122622,0.719804598922685,-4.1762544236183,0,0,0
3,-8.62651802083476,0.739902127880322,-4.18108522570777,0,0,0
4,-8.62953261409013,0.739494632603219,-4.1679785802502,0,0,0
5,-8.63670807692618,0.748434439942931,-4.1500631459381,0,0,0
6,-8.62539425083394,0.746000281849407,-4.14780939196361,0,0,0
7,-8.63120671603815,0.748917693108042,-4.13365952415743,0,0,0
8,-8.62780090422691,0.755021799245922,-4.14104135394118,0,0,0
9,-8.61827209255445,0.755171078022089,-4.14978405421144,0,0,0
10,-8.63136355714995,0.760200676901519,-4.17432760993773,0,0,0
11,-8.62731114986654,0.75759947040221,-4.18140215082646,0,0,0
12,-8.6247731533225,0.755450961078586,-4.17447621969685,0,0,0
13,-8.62677738580426,0.755633500681784,-4.17658446818235,0,0,0
14,-8.62227033395568,0.755552833769685,-4.16981135230823,0,0,0
15,-8.62878746448987,0.755806511532152,-4.16965800384019,0,0,0
16,-8.62898087578984,0.767029986636326,-4.15385912125347,0,0,0
17,-8.61798251576784,0.753071230383317,-4.15415009847988,0,0,0
18,-8.62457439042255,0.757818552989091,-4.15174282825453,0,0,0
19,-8.6290477336127,0.75564643517246,-4.15399621389129,0,0,0
20,-8.63386784992597,0.760096400167662,-4.17673380006934,0,0,0
21,-8.63079168720445,0.755989053770697,-4.17176625287505,0,0,0
22,-8.62899354613879,0.753427005705924,-4.18109799419251,0,0,0
23,-8.62491912831525,0.748554041028992,-4.16558334098485,0,0,0
24,-8.62203786573853,0.75566764243443,-4.14255826025861,0,0,0
25,-8.60644658471563,0.753042731295252,-4.16530184941537,0,0,0
26,-8.60618926844442,0.753198032205977,-4.17644627439507,0,0,0
27,-8.61595486594644,0.752926823162256,-4.18818076351386,0,0,0
28,-8.61513009239729,0.748863304749865,-4.18998775036639,0,0,0
29,-8.62794655599121,0.751769180075922,-4.19631041746102,0,0,0
30,-8.61259211842876,0.74671472404849,-4.18306183044171,0,0,0
31,-8.61817542045087,0.750713202420715,-4.18591824737642,0,0,0
32,-8.60804844300657,0.744386015932147,-4.17628635553173,0,0,0
33,-8.61442692911413,0.751524797984124,-4.17373247435951,0,0,0
34,-8.61133994177288,0.761988724383571,-4.18804418926373,0,0,0
35,-8.62175858946683,0.755858693017242,-4.18758282296625,0,0,0
36,-8.62297645448728,0.752886571117854,-4.18154930643634,0,0,0
37,-8.62519847469448,0.7506705787462,-4.1770281025956,0,0,0
38,-8.62961082317153,0.759872315539874,-4.17010964374692,0,0,0
39,-8.60934592681067,0.761789475618108,-4.17012516478798,0,0,0
40,-8.60400681986996,0.757657333660715,-4.17645247864339,0,0,0
41,-8.61130565604094,0.743847016544672,-4.17462209824359,0,0,0
42,-8.62430478604531,0.742103857818726,-4.17205434104924,0,0,0
43,-8.62007853752729,0.744137397440155,-4.17446728391112,0,0,0
44,-8.62211794605158,0.746570285079501,-4.17883658324899,0,0,0
45,-8.61574294812893,0.755315834792334,-4.18577547100772,0,0,0
46,-8.61779260244792,0.7577320991425,-4.17433400464402,0,0,0
47,-8.62308433292743,0.743744136042707,-4.17491273403228,0,0,0
48,-8.61112598870867,0.748491141268264,-4.17899523411294,0,0,0
49,-8.62440737479309,0.748859829486189,-4.18335485243714,0,0,0
50,-8.60063107155544,0.750129996423828,-4.18396921007706,0,0,0
51,-8.60865396841494,0.750850531431761,-4.18336745137064,0,0,0
52,-8.6019249051417,0.752985889570434,-4.18111552678309,0,0,0
53,-8.61047562822126,0.755682042618175,-4.19436615358391,0,0,0
54,-8.61999706060216,0.755544664316466,-4.19691696524766,0,0,0
