Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.72409417143079,-0.105087349028728,-1.19706813690218,0,0,0
1,-9.72353138844733,-0.115935607663303,-1.2039426423297,0,0,0
2,-9.72381300083049,-0.118437770823933,-1.21999051958337,0,0,0
3,-9.72371981997681,-0.125157387761379,-1.21769790638808,0,0,0
4,-9.72569530623153,-0.12262349958916,-1.22228174137868,0,0,0
5,-9.71692981067445,-0.14334342034032,-1.23603508486704,0,0,0
6,-9.72126929573932,-0.147673380675188,-1.24062034205678,0,0,0
7,-9.72337761276495,-0.142987592346728,-1.24291243449917,0,0,0
8,-9.71488380552734,-0.143549450912835,-1.23603551111753,0,0,0
9,-9.72401806093714,-0.134465437472501,-1.25666955962441,0,0,0
10,-9.72414697417226,-0.132313854373906,-1.24062375112529,0,0,0
11,-9.72449993349369,-0.121291098134693,-1.21770176567499,0,0,0
12,-9.7249809588971,-0.123969098826958,-1.21311959394152,0,0,0
13,-9.72720400405973,-0.126177436823998,-1.22228956503915,0,0,0
14,-9.72520304692339,-0.115098479395092,-1.19936634015826,0,0,0
15,-9.73177936200938,-0.135250648161216,-1.19019854270102,0,0,0
16,-9.73135523237638,-0.143945852363204,-1.21541253698645,0,0,0
17,-9.7252077607693,-0.137757306835071,-1.2177058683493,0,0,0
18,-9.72459259644849,-0.137231975933328,-1.21999506755619,0,0,0
19,-9.71997666601464,-0.130399727785872,-1.21770065185889,0,0,0
20,-9.72468577263418,-0.130512698183296,-1.2222876901664,0,0,0
21,-9.72616687822458,-0.118494412502739,-1.21999168638747,0,0,0
22,-9.71947417466925,-0.11410784377291,-1.21769760058884,0,0,0
23,-9.72433614233694,-0.103022130767283,-1.21770038120383,0,0,0
24,-9.7172073064043,-0.100523752881385,-1.23374284812769,0,0,0
25,-9.7107305809855,-0.103119769153291,-1.2337424345901,0,0,0
26,-9.71768273614816,-0.0963946053554331,-1.2452068901752,0,0,0
27,-9.72200561346203,-0.0939180027888299,-1.22686842798367,0,0,0
28,-9.71737096163215,-0.0961318946038735,-1.23145121610128,0,0,0
29,-9.72165614278277,-0.0890872733952806,-1.22457414876102,0,0,0
30,-9.72704135632517,-0.0852480090147242,-1.22457983666774,0,0,0
31,-9.72641036202854,-0.10057622883513,-1.20853068063675,0,0,0
32,-9.73793587387084,-0.102925317851742,-1.18102718599205,0,0,0
33,-9.74200509129145,-0.111559758514804,-1.17414954108065,0,0,0
34,-9.73489054220645,-0.122676855589557,-1.16956147026691,0,0,0
35,-9.73536902513349,-0.125355293286619,-1.15580982413075,0,0,0
36,-9.73730481413614,-0.118253975783231,-1.1649781081832,0,0,0
37,-9.73079667149064,-0.123089605301813,-1.16268517335918,0,0,0
38,-9.7308113487188,-0.129895967803895,-1.17873184045757,0,0,0
39,-9.73487307593806,-0.131723382785354,-1.18102333630008,0,0,0
40,-9.73310356458533,-0.134432119310862,-1.17873281074328,0,0,0
41,-9.72606457246529,-0.125215281784716,-1.18560624508325,0,0,0
42,-9.72135193901229,-0.118294127673973,-1.203942432381,0,0,0
43,-9.72198172484222,-0.12562641788566,-1.21769989457799,0,0,0
44,-9.72880794764723,-0.127860702355548,-1.21999460056122,0,0,0
45,-9.72603274880369,-0.120646704376597,-1.21769872613433,0,0,0
46,-9.72422026959953,-0.118788791634815,-1.20853088792211,0,0,0
47,-9.72375261842683,-0.122917270446469,-1.2245750277327,0,0,0
48,-9.72403835202523,-0.109566182907032,-1.21769906052183,0,0,0
49,-9.72416107164568,-0.100606953259306,-1.21540707484298,0,0,0
50,-9.72410068955393,-0.105086430269247,-1.21999158487892,0,0,0
51,-9.72648280474296,-0.102903687257843,-1.21082345849842,0,0,0
52,-9.7284054082222,-0.11165661324519,-1.21082269387642,0,0,0
53,-9.72366942510116,-0.113782756016499,-1.21998964591121,0,0,0
54,-9.72458235270497,-0.107764830105096,-1.21770177866408,0,0,0
55,-9.72426370223016,-0.100694684524827,-1.21540759957107,0,0,0
56,-9.7238203826699,-0.102583893897184,-1.20852838497092,0,0,0
57,-9.72389151765919,-0.104911561472242,-1.20623647417801,0,0,0
58,-9.73283218318675,-0.109267635087289,-1.19706948370918,0,0,0
59,-9.72867041274068,-0.107352600941503,-1.20394688190599,0,0,0
60,-9.72391693602941,-0.118525228802863,-1.22457573579603,0,0,0
61,-9.72869128515891,-0.120966679619405,-1.20623973089628,0,0,0
62,-9.7288146547234,-0.112007493770847,-1.20624009000966,0,0,0
63,-9.71719208599126,-0.116378674205849,-1.21769687062234,0,0,0
64,-9.71939174393178,-0.127634421731979,-1.21769758758526,0,0,0
65,-9.72385264306377,-0.123005257068492,-1.21540617704592,0,0,0
66,-9.72660826140231,-0.11660518494924,-1.21999388263909,0,0,0
67,-9.71378754958292,-0.119644505597943,-1.21770128284782,0,0,0
68,-9.72479837744926,-0.114747033583269,-1.21999543869511,0,0,0
69,-9.72501310367324,-0.121729209062169,-1.2177043940543,0,0,0
70,-9.72487342863502,-0.117073958930655,-1.23145764195347,0,0,0
71,-9.72289105554586,-0.112800558636215,-1.23833530947818,0,0,0
72,-9.71597226214134,-0.117285420932215,-1.23604032095646,0,0,0
73,-9.72084438122504,-0.113006979600792,-1.23604338054393,0,0,0
74,-9.725038397035,-0.11268207630001,-1.23375070706216,0,0,0
75,-9.72752122549534,-0.110587354421113,-1.21770600879891,0,0,0
76,-9.72963902635005,-0.112708383994787,-1.21770603354566,0,0,0
77,-9.72512244734396,-0.105964118737283,-1.20395037144738,0,0,0
78,-9.72750394191741,-0.103781571096108,-1.192489845589,0,0,0
79,-9.72498245453899,-0.108117065710671,-1.18102622882279,0,0,0
80,-9.73645098366077,-0.1149446710325,-1.16956891168935,0,0,0
81,-9.73399766809487,-0.114799904901942,-1.18102903086644,0,0,0
82,-9.72492957775622,-0.119403525163125,-1.17644158208221,0,0,0
83,-9.72428423820139,-0.121117317373088,-1.1810231372188,0,0,0
84,-9.72936489379635,-0.117013519974801,-1.19248891652596,0,0,0
85,-9.73240778171804,-0.119923098402441,-1.19707831105399,0,0,0
86,-9.72510922032257,-0.121817747265301,-1.1947813586117,0,0,0
87,-9.727558922051,-0.115154855615774,-1.20624456965253,0,0,0
88,-9.72497280354243,-0.117162062194609,-1.21999640215475,0,0,0
89,-9.72516730940129,-0.110530679001859,-1.2177048429279,0,0,0
90,-9.72512635823393,-0.105963567479328,-1.21770449680444,0,0,0
91,-9.72557034154851,-0.104074320380994,-1.22687612126036,0,0,0
92,-9.72757605325284,-0.0993006890501642,-1.22916770784288,0,0,0
93,-9.72989717515394,-0.101597391293939,-1.22229172031684,0,0,0
94,-9.72515915498021,-0.103723574532028,-1.22458164925814,0,0,0
95,-9.72488535744593,-0.101220226007489,-1.23604191052044,0,0,0
96,-9.73007291776691,-0.104012319112289,-1.22687740165799,0,0,0
97,-9.72759954012222,-0.112913794069641,-1.24063001524726,0,0,0
98,-9.72522489169677,-0.121903528260568,-1.24062901595404,0,0,0
99,-9.72482055248091,-0.128360373157239,-1.22687301595741,0,0,0
100,-9.72758502125592,-0.128767295504971,-1.22687630340232,0,0,0
101,-9.72067550813754,-0.117399348315605,-1.21999617499669,0,0,0
102,-9.72501505911903,-0.121728933433077,-1.22458145956138,0,0,0
103,-9.72581460943048,-0.108816991041433,-1.2200004475711,0,0,0
104,-9.72487408044975,-0.117073867054367,-1.23374999523679,0,0,0
105,-9.72552888752531,-0.122166929597003,-1.22687646196937,0,0,0
106,-9.72527255068961,-0.110617987466669,-1.22687479304932,0,0,0
107,-9.72483182631977,-0.112506926147426,-1.22916493783309,0,0,0
108,-9.72493120066064,-0.112595052939222,-1.21770370180476,0,0,0
109,-9.72543751845739,-0.106226203845968,-1.2291678590971,0,0,0
110,-9.72085057694818,-0.119814210055633,-1.22228949645404,0,0,0
111,-9.72707983723264,-0.112476385143897,-1.21770381632438,0,0,0
