Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.73419164749515,-1.10670268132879,-0.10267540335665,0,0,0
1,-9.73618030841926,-1.09285518907471,-0.0844759257650287,0,0,0
2,-9.7206524133328,-1.10912794813071,-0.102671472216458,0,0,0
3,-9.71610897339798,-1.10234298192629,-0.153149238444351,0,0,0
4,-9.71665631841262,-1.09600510253687,-0.196566606226468,0,0,0
5,-9.71915097563921,-1.08938319907149,-0.207983378090016,0,0,0
6,-9.7234394152859,-1.09367314025188,-0.189691432372889,0,0,0
7,-9.73876728422159,-1.08175026301905,-0.203635184446701,0,0,0
8,-9.74143424483075,-1.07525212877008,-0.302116761465142,0,0,0
9,-9.73247151510891,-1.08669268898046,-0.476289609785138,0,0,0
10,-9.70515459372512,-1.10260331381172,-0.698689409462179,0,0,0
11,-9.69925869896264,-1.10793283158564,-0.822201372029147,0,0,0
12,-9.70088113453164,-1.09831117189422,-0.769706607477847,0,0,0
13,-9.71657965512798,-1.08901516919957,-0.63909093419572,0,0,0
14,-9.71912787041136,-1.06435834770968,-0.490087024351305,0,0,0
15,-9.7398917594637,-1.04642593074507,-0.34787303791156,0,0,0
16,-9.73142459832643,-1.03797940432012,-0.251451974889849,0,0,0
17,-9.73759081473256,-1.04646391572591,-0.173650395255033,0,0,0
18,-9.74185250233334,-1.05075743073623,-0.0613703243232429,0,0,0
19,-9.73947311484219,-1.08015630305937,0.0166652805262694,0,0,0
20,-9.73927572342731,-1.09359336779852,0.0602213375778767,0,0,0
21,-9.75034442641504,-1.09778665007363,-0.0131845384563809,0,0,0
22,-9.75088022222485,-1.07104064519945,-0.0773265038357335,0,0,0
23,-9.75772124305312,-1.03249756109345,-0.0958075889810931,0,0,0
24,-9.76672944985327,-1.03237318488845,-0.104979721435649,0,0,0
25,-9.76933816804323,-1.03944143581991,-0.130057983640981,0,0,0
26,-9.75315118596465,-1.07100688656163,-0.146099015416607,0,0,0
27,-9.74612205640484,-1.09125250453021,-0.155265869766338,0,0,0
28,-9.73859616061277,-1.09294903371281,-0.144032569728406,0,0,0
29,-9.73902892730524,-1.09333211016789,-0.109508249068807,0,0,0
30,-9.72636554030049,-1.09652194536714,-0.0771338127122581,0,0,0
31,-9.7419851369808,-1.09617670565315,-0.102400843673629,0,0,0
32,-9.7327263645473,-1.09380551682421,-0.141461425488499,0,0,0
33,-9.71689027364075,-1.10073786186174,-0.198766590946913,0,0,0
34,-9.71927805931981,-1.09174818781492,-0.244615523288873,0,0,0
35,-9.71716676527385,-1.09414231739148,-0.327095010332896,0,0,0
36,-9.71925957607011,-1.08489814417052,-0.373036048834956,0,0,0
37,-9.71689738313358,-1.08256181413817,-0.393713094872192,0,0,0
38,-9.72127685653771,-1.09145673422166,-0.393714016314082,0,0,0
39,-9.72329168515766,-1.08669319923981,-0.382344941743744,0,0,0
40,-9.7287692330487,-1.09199982260545,-0.395778160591473,0,0,0
41,-9.72814919809837,-1.08240753787895,-0.375377137883864,0,0,0
42,-9.7372435589466,-1.06424377267117,-0.338748158256093,0,0,0
43,-9.74232548748589,-1.0533703330022,-0.276717004622654,0,0,0
44,-9.74178587216809,-1.05970640717945,-0.260808228151054,0,0,0
45,-9.74211746934359,-1.06904369022233,-0.304225136192476,0,0,0
46,-9.72361636531263,-1.07338611263725,-0.354790714624007,0,0,0
