Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.85742861793839,-0.493846133429655,-3.62618614044657,0,0,0
1,-8.85976020359334,-0.48931513130026,-3.62167264193907,0,0,0
2,-8.86053490137632,-0.491726658422722,-3.62678138817959,0,0,0
3,-8.85496971049202,-0.493841200290148,-3.62603901806725,0,0,0
4,-8.8581126363529,-0.489472242598627,-3.62663663786297,0,0,0
5,-8.86019815070372,-0.487139532800596,-3.63100575862399,0,0,0
6,-8.86176800395093,-0.491474275793674,-3.63281217855967,0,0,0
7,-8.85803347018592,-0.493961661611084,-3.63566548481731,0,0,0
8,-8.85375859940965,-0.491820244017455,-3.64259457339869,0,0,0
9,-8.85783750865432,-0.480367023477776,-3.64893290383416,0,0,0
10,-8.84677728029309,-0.491869751601587,-3.66051754329606,0,0,0
11,-8.84894146506257,-0.509868016226177,-3.66290411370612,0,0,0
12,-8.84921687676529,-0.505408337952445,-3.66531588057762,0,0,0
13,-8.84882322496947,-0.491781772828853,-3.66940105185016,0,0,0
14,-8.85708289865831,-0.500500590180774,-3.6757150158076,0,0,0
15,-8.86680468480031,-0.482440918168485,-3.67602541672898,0,0,0
16,-8.86525531880196,-0.478139696818143,-3.64260150800667,0,0,0
17,-8.86752383673683,-0.478124383116621,-3.6222744436178,0,0,0
18,-8.867385981386,-0.487136528856222,-3.60871454878659,0,0,0
19,-8.85801924378654,-0.471426214081949,-3.59474093787949,0,0,0
20,-8.86241557398269,-0.478094047221387,-3.60150607914429,0,0,0
21,-8.85848750334549,-0.491812253946615,-3.6201562260309,0,0,0
22,-8.85332359171931,-0.494000630328798,-3.62874462544388,0,0,0
23,-8.86031816699551,-0.491663522871467,-3.64695838863069,0,0,0
24,-8.8546869792325,-0.498289040717431,-3.63491924004873,0,0,0
25,-8.85739907216865,-0.507363353569896,-3.6466460319753,0,0,0
26,-8.85737148329491,-0.496062288919291,-3.65780125540941,0,0,0
27,-8.85507216831355,-0.498336637892837,-3.66909230310024,0,0,0
28,-8.85750465917355,-0.500607719947719,-3.65342833373095,0,0,0
29,-8.86236409517614,-0.491575544354146,-3.65584190977863,0,0,0
30,-8.86195987515239,-0.491496915462582,-3.65102790408794,0,0,0
31,-8.85807012808833,-0.491712187660263,-3.6356678579405,0,0,0
32,-8.85150470739374,-0.49185937996406,-3.64033763381381,0,0,0
33,-8.85511341976117,-0.484838366417038,-3.63056529056601,0,0,0
34,-8.84896830134759,-0.485090491700356,-3.61520666238239,0,0,0
35,-8.8554193472392,-0.491684606396672,-3.61730498142977,0,0,0
36,-8.87792591450829,-0.493549890650214,-3.6330967589527,0,0,0
37,-8.8685311013851,-0.491359250872202,-3.6373245759717,0,0,0
38,-8.87331868561745,-0.486828428023932,-3.63747499432456,0,0,0
39,-8.86460033727896,-0.493816862166122,-3.62873732139922,0,0,0
40,-8.85586342993029,-0.475953704947726,-3.64231252692999,0,0,0
41,-8.86223822661394,-0.48704200327083,-3.64892286278159,0,0,0
42,-8.85585465439521,-0.475939411627222,-3.65586290414791,0,0,0
43,-8.85109057676459,-0.478199201970391,-3.67604038867123,0,0,0
44,-8.85289044372977,-0.480309383215596,-3.69380641522692,0,0,0
45,-8.85753722442226,-0.484786169787023,-3.68491382530029,0,0,0
46,-8.86576513036426,-0.471462981197207,-3.65419784875992,0,0,0
47,-8.84853038205125,-0.487266068015873,-3.60587357506328,0,0,0
48,-8.85118281335794,-0.47604023059333,-3.59022378579719,0,0,0
49,-8.85580201826648,-0.469215854231388,-3.59248637772694,0,0,0
50,-8.86046031769458,-0.484967509909519,-3.59728074539628,0,0,0
51,-8.86059963635152,-0.475957702994754,-3.60858222938995,0,0,0
52,-8.85781108851294,-0.482633194659066,-3.63312177194752,0,0,0
53,-8.86285040810816,-0.487169538483775,-3.64711027716695,0,0,0
54,-8.86463534306943,-0.502820709714866,-3.66275238949458,0,0,0
55,-8.86200218861115,-0.500512772811364,-3.67375095906878,0,0,0
56,-8.85954765969916,-0.500515019531421,-3.66682861632336,0,0,0
57,-8.85145342374923,-0.494085020817115,-3.66291926467582,0,0,0
58,-8.84195012857424,-0.49864525257714,-3.66488152246706,0,0,0
59,-8.8420466291589,-0.505440102661145,-3.66050622617834,0,0,0
60,-8.86231398835744,-0.507368322405305,-3.65145711255801,0,0,0
61,-8.8575075843492,-0.500612484383463,-3.64891154551936,0,0,0
62,-8.8660206128332,-0.507145008114718,-3.63505103468097,0,0,0
63,-8.86182640469864,-0.500516381439001,-3.6306928833804,0,0,0
64,-8.84440308604381,-0.500949663305813,-3.61759994391057,0,0,0
65,-8.84801037086653,-0.49392644897278,-3.61008610285872,0,0,0
66,-8.85996377304768,-0.489356839129233,-3.62182122117314,0,0,0
67,-8.864413136798,-0.480236451531852,-3.62845438898427,0,0,0
68,-8.86010163054524,-0.480344563197252,-3.63538107839225,0,0,0
69,-8.87078059191281,-0.49131296852022,-3.64635667481373,0,0,0
70,-8.87638838612255,-0.486958545049226,-3.63806791070249,0,0,0
71,-8.85531552029486,-0.484877714290167,-3.63297226990789,0,0,0
72,-8.85116505354256,-0.487267489570066,-3.64907877148362,0,0,0
73,-8.84637456037807,-0.491793505261741,-3.65344513035107,0,0,0
74,-8.84901675349007,-0.48055102435192,-3.65360414410245,0,0,0
75,-8.85649293872519,-0.487365615108973,-3.64515346203518,0,0,0
76,-8.85622190783697,-0.49183233212645,-3.63596650430716,0,0,0
77,-8.85349225622384,-0.482729384110438,-3.65134045314695,0,0,0
78,-8.84488088669686,-0.482964642064275,-3.64712670989038,0,0,0
79,-8.84395524724334,-0.489543819513159,-3.64878357167987,0,0,0
80,-8.83961290904954,-0.491910912678619,-3.64667433045515,0,0,0
81,-8.84203514544621,-0.494165340730803,-3.64681909911245,0,0,0
82,-8.85355211141591,-0.491773783903415,-3.64696277106283,0,0,0
83,-8.85329162025802,-0.482692408527344,-3.64667505819659,0,0,0
84,-8.86098191242302,-0.476000747740909,-3.6472722068535,0,0,0
85,-8.85623682555455,-0.478291476155548,-3.6380905504619,0,0,0
86,-8.86502678613267,-0.480366467985691,-3.62438334962341,0,0,0
87,-8.86481589798702,-0.480312806684845,-3.63552674881602,0,0,0
88,-8.85821675969797,-0.48271429185698,-3.63567735043326,0,0,0
89,-8.8417072165596,-0.48959248413443,-3.63749307244225,0,0,0
90,-8.85049986490717,-0.502928215721802,-3.65102334232712,0,0,0
91,-8.83901813895451,-0.503067957662341,-3.65314042995332,0,0,0
92,-8.84876160952438,-0.496299800196533,-3.65132913595698,0,0,0
93,-8.84211701978264,-0.500936390314911,-3.66502776902509,0,0,0
94,-8.85533316510381,-0.482597238977722,-3.66233373917721,0,0,0
95,-8.85755770063275,-0.484819520806258,-3.65329633717991,0,0,0
96,-8.8534951814022,-0.482734148550606,-3.64682366074098,0,0,0
97,-8.86310408700323,-0.471418532347794,-3.65164368974389,0,0,0
98,-8.85369728043501,-0.482773505877835,-3.64923066185578,0,0,0
99,-8.85987436806939,-0.493829626045018,-3.64665881004468,0,0,0
100,-8.84682417632926,-0.489636953206839,-3.64471112831798,0,0,0
101,-8.85573122228988,-0.496231213683149,-3.6514733606061,0,0,0
102,-8.85758090086144,-0.496113493071088,-3.64891629181154,0,0,0
103,-8.85487884225108,-0.498311648451887,-3.65313495066613,0,0,0
104,-8.85789590538826,-0.489409095696048,-3.64681361971919,0,0,0
105,-8.84512548361526,-0.480764075280125,-3.64050247886912,0,0,0
106,-8.84913696585213,-0.473819245481995,-3.63780249008546,0,0,0
107,-8.85872655506729,-0.476037501507787,-3.64727366766778,0,0,0
108,-8.86061143021478,-0.473667731264899,-3.64697737361622,0,0,0
109,-8.86057623490291,-0.475919587438016,-3.64471660219285,0,0,0
110,-8.85109173738402,-0.491766459177074,-3.64907402521434,0,0,0
111,-8.83929646369283,-0.498612970418928,-3.65103539266907,0,0,0
112,-8.84166178260783,-0.491827697349343,-3.65104105133631,0,0,0
113,-8.85633899626478,-0.496351469535396,-3.65643599263862,0,0,0
114,-8.85788420467482,-0.489390037935376,-3.66488078934309,0,0,0
