Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.62247013525773,0.174974495344982,-0.524737451078542,0,0,0
1,-9.62059847805623,0.185994033485464,-0.527106408295449,0,0,0
2,-9.62005664021708,0.191074966100616,-0.540371111593227,0,0,0
3,-9.61747885083669,0.179961024288239,-0.517581275651122,0,0,0
4,-9.62180311251483,0.19862695908359,-0.546376089786112,0,0,0
5,-9.6200962116331,0.193318948180639,-0.535856406324953,0,0,0
6,-9.60909246401927,0.197445269541142,-0.538224096184255,0,0,0
7,-9.61181819299562,0.201611829850018,-0.549714309326526,0,0,0
8,-9.60895341453521,0.202149211040742,-0.553941510896605,0,0,0
9,-9.61110632575553,0.195427815402676,-0.54264023883745,0,0,0
10,-9.6252825552994,0.197327795064454,-0.54292516375992,0,0,0
11,-9.61892454184893,0.196830848420046,-0.536348111687875,0,0,0
12,-9.61146525378143,0.204216322305031,-0.526937047739554,0,0,0
13,-9.61769726553535,0.193455952698923,-0.519854046571358,0,0,0
14,-9.62337717596323,0.206093704136559,-0.540774673149299,0,0,0
15,-9.62440283941852,0.209705235716426,-0.535287901263522,0,0,0
16,-9.61812339499429,0.197578002194467,-0.524667007001017,0,0,0
17,-9.62222767125503,0.204980424728529,-0.535478680301558,0,0,0
18,-9.61067353733376,0.207435955156482,-0.544134353584484,0,0,0
19,-9.61764356962281,0.209583054267166,-0.523999621434391,0,0,0
20,-9.60912778969621,0.211098933285201,-0.511038762889497,0,0,0
21,-9.62232290425067,0.20944222629004,-0.501605405792616,0,0,0
22,-9.61127072069423,0.213567825285831,-0.50407002365886,0,0,0
23,-9.60870765251076,0.204738443905289,-0.51516063429983,0,0,0
24,-9.60921849115939,0.204165271346267,-0.513387263215036,0,0,0
25,-9.61785822784007,0.193253603056856,-0.508755401508721,0,0,0
26,-9.61771335501731,0.193429746647623,-0.49501014270648,0,0,0
27,-9.62624078909578,0.19189454234369,-0.489902790149588,0,0,0
28,-9.61959414361565,0.189340296212701,-0.485581756145596,0,0,0
29,-9.61748081418967,0.198305804277422,-0.492368304193781,0,0,0
30,-9.62232290425067,0.20944222629004,-0.501605405792616,0,0,0
31,-9.62227919160334,0.216379081852289,-0.501418491550454,0,0,0
32,-9.62266100552508,0.211319473351022,-0.511029997309713,0,0,0
33,-9.62236101333615,0.211688612450366,-0.499349243553812,0,0,0
34,-9.62245136797814,0.197810315831152,-0.49520599148788,0,0,0
35,-9.62022955269654,0.200027070715587,-0.499726902398302,0,0,0
36,-9.61884991430885,0.203738133701672,-0.509155561899742,0,0,0
37,-9.62248070062341,0.20007097450476,-0.506501057904887,0,0,0
38,-9.61936110001736,0.175869061212999,-0.505894314488364,0,0,0
39,-9.61710824817873,0.166654022942465,-0.512855925533579,0,0,0
40,-9.62212874358232,0.16615730021858,-0.513338167765645,0,0,0
41,-9.62436246265771,0.177632174824483,-0.517768567474917,0,0,0
42,-9.61532765831093,0.195853639563858,-0.515146762004655,0,0,0
43,-9.62045515083168,0.202107466108164,-0.520153208939805,0,0,0
44,-9.62002755389868,0.19798784231094,-0.517598793663268,0,0,0
45,-9.60629968569321,0.19571614267591,-0.524186744181452,0,0,0
46,-9.61790690415293,0.206965175319407,-0.535678037781528,0,0,0
47,-9.62038816547603,0.220484948521447,-0.526656664198636,0,0,0
48,-9.62070143318405,0.217865294495785,-0.535979601717944,0,0,0
49,-9.6273523823697,0.222641485552557,-0.515556014854611,0,0,0
50,-9.61612437740752,0.213282397250599,-0.524685074345261,0,0,0
51,-9.63780126948702,0.207776973948775,-0.449258544727267,0,0,0
52,-9.61387190209069,0.22464348623215,-0.490723225856474,0,0,0
53,-9.59517336657976,0.216002327157402,-0.562416400702168,0,0,0
54,-9.60592883359011,0.173235604510034,-0.530938624244931,0,0,0
55,-9.63204554425256,0.124377204209033,-0.514865114042907,0,0,0
56,-9.61474207621374,0.187394062731822,-0.480677216331378,0,0,0
57,-9.62101082126076,0.247231694993487,-0.481708411378771,0,0,0
58,-9.62544445810434,0.251988657116789,-0.47699914775809,0,0,0
59,-9.61829630679077,0.206530063358886,-0.484022760010802,0,0,0
60,-9.62218732970184,0.168370300596079,-0.479462426469633,0,0,0
61,-9.6214084496636,0.162394082570706,-0.487810359056295,0,0,0
62,-9.62505248405677,0.19294625841409,-0.472808479659432,0,0,0
63,-9.61881924724975,0.212882288400742,-0.470672709497557,0,0,0
64,-9.62325265657873,0.208465520630152,-0.477440678294756,0,0,0
65,-9.62483865964377,0.193155064834126,-0.490779765875845,0,0,0
66,-9.62240720495838,0.181862716406265,-0.479476660537489,0,0,0
67,-9.62483573427799,0.193159829579575,-0.495296847694599,0,0,0
68,-9.61795671450435,0.209192491678438,-0.51535357971417,0,0,0
69,-9.62292763944185,0.215641403386217,-0.524683063894672,0,0,0
70,-9.61839148729257,0.201897595073441,-0.536061555976768,0,0,0
71,-9.62249081429454,0.188651807020396,-0.520137513940204,0,0,0
72,-9.61576962010977,0.190775978585161,-0.506593023623817,0,0,0
73,-9.62456909582705,0.188837791001526,-0.48164380826045,0,0,0
74,-9.62934088218152,0.190934577228835,-0.447862194389551,0,0,0
75,-9.62029232020804,0.188522137761729,-0.432055879406244,0,0,0
76,-9.6224320705676,0.181822216069952,-0.44108146507808,0,0,0
77,-9.6266310837485,0.175339184083659,-0.44097441457464,0,0,0
78,-9.62325099402746,0.194757274289912,-0.452679470760414,0,0,0
79,-9.61356549051874,0.204366646914528,-0.454565253656718,0,0,0
80,-9.61810882047004,0.206696054202386,-0.461340320589431,0,0,0
81,-9.6232614326924,0.208451226367259,-0.463889407672165,0,0,0
82,-9.62476280653981,0.209238437632906,-0.454368705624916,0,0,0
83,-9.61746343523287,0.20519975759204,-0.451527851054385,0,0,0
84,-9.62241228653102,0.213913557315902,-0.476766269754854,0,0,0
85,-9.62263630607334,0.218225300114572,-0.481482096603133,0,0,0
86,-9.62077172076673,0.22005923589149,-0.484035533146915,0,0,0
87,-9.61369305987056,0.213392605015376,-0.483935747639465,0,0,0
88,-9.61804024572521,0.213673330447799,-0.49954856744433,0,0,0
89,-9.62037759958987,0.209019675629265,-0.497477853010487,0,0,0
90,-9.62950236822695,0.215924854655515,-0.508771820419822,0,0,0
91,-9.62243430614948,0.216186149503194,-0.499353988311793,0,0,0
92,-9.62098248550733,0.208452587589659,-0.500027590267711,0,0,0
93,-9.61387907746837,0.213228963919111,-0.508876748911366,0,0,0
94,-9.61813994565338,0.220436280047091,-0.515365441551876,0,0,0
95,-9.61655952609634,0.226563461329624,-0.504469510483426,0,0,0
96,-9.61657402021584,0.215137128640437,-0.511330354622377,0,0,0
97,-9.62552290603221,0.210786727362359,-0.511319766237674,0,0,0
98,-9.62509944713868,0.19748659139431,-0.513466998444099,0,0,0
99,-9.61885137699582,0.203735751322311,-0.506897014698782,0,0,0
100,-9.61865072487608,0.203923167005981,-0.504541396767056,0,0,0
101,-9.61791981849367,0.197770155663048,-0.526828456718369,0,0,0
102,-9.61566014701046,0.206914124476751,-0.522128278419779,0,0,0
103,-9.62356020366049,0.203626616080293,-0.513766813725153,0,0,0
104,-9.62269618889649,0.213570602542582,-0.513290908477988,0,0,0
105,-9.62484324939066,0.206858736386564,-0.511023791667565,0,0,0
106,-9.61851166318005,0.208627093795929,-0.520258871930351,0,0,0
107,-9.62295676813754,0.204191245224282,-0.508958490364061,0,0,0
108,-9.6155604470823,0.200151174877459,-0.506311404312233,0,0,0
109,-9.61546074715413,0.193388225278167,-0.490494530204687,0,0,0
110,-9.62283525400832,0.208866607008432,-0.497573455948219,0,0,0
111,-9.62228772052282,0.207191075397538,-0.499344498795831,0,0,0
112,-9.62485348816142,0.206842059792979,-0.495214019982284,0,0,0
113,-9.61606424980139,0.208763483959352,-0.504353461471582,0,0,0
114,-9.61641879403642,0.217559031367153,-0.495425849124367,0,0,0
115,-9.6190023464388,0.212723417825487,-0.500130862337085,0,0,0
116,-9.62095461609862,0.206189579063769,-0.486473947323376,0,0,0
117,-9.62281929118917,0.220295401671115,-0.492971176236617,0,0,0
118,-9.62051979575706,0.218021810024991,-0.504262958871404,0,0,0
119,-9.61634111458519,0.213068728260601,-0.502196733477693,0,0,0
120,-9.62597696092956,0.21263431939663,-0.491189349000141,0,0,0
121,-9.6140870358021,0.213029589118466,-0.499939651404646,0,0,0
122,-9.61678637019505,0.21493059962032,-0.495617601182545,0,0,0
123,-9.62600775534491,0.214892541480554,-0.5002259184916,0,0,0
124,-9.6205474574615,0.206573967199477,-0.490796921807189,0,0,0
125,-9.61620769594654,0.204052386423448,-0.481860357085779,0,0,0
126,-9.61941974035597,0.212322299028041,-0.479998033305153,0,0,0
127,-9.62136909019623,0.205793286486495,-0.47085821029795,0,0,0
128,-9.61419383419523,0.206069779119236,-0.477444149714226,0,0,0
129,-9.6157964139431,0.213617514868543,-0.481481734652603,0,0,0
130,-9.62478897214474,0.202330271927811,-0.481658042397002,0,0,0
131,-9.62229064588047,0.207186310665363,-0.494827429560241,0,0,0
132,-9.61587969178075,0.208924720939382,-0.477153925560768,0,0,0
133,-9.61847807348833,0.217776125573432,-0.486293162643393,0,0,0
134,-9.65236088549796,0.21824647573707,-0.409480857748417,0,0,0
135,-9.60599233830555,0.243968047773805,-0.484363009897003,0,0,0
136,-9.59131727274671,0.247240081819099,-0.580714900827935,0,0,0
137,-9.61089947612822,0.170511488879534,-0.55174541257306,0,0,0
138,-9.6279016433495,0.116960935565328,-0.490599126254308,0,0,0
139,-9.6226506877398,0.209027843860756,-0.470373926334327,0,0,0
140,-9.62826114127122,0.276563761847454,-0.470442175157161,0,0,0
141,-9.63740180546611,0.269731547307045,-0.429872516381802,0,0,0
142,-9.61451668419087,0.251433651654061,-0.486331669676523,0,0,0
143,-9.60024784197748,0.21995404097038,-0.51782971247027,0,0,0
144,-9.62456438849271,0.163731890909728,-0.490845983380484,0,0,0
145,-9.62414385068094,0.15042669906248,-0.488476150418254,0,0,0
146,-9.61357580830403,0.206658276404795,-0.495221324632104,0,0,0
147,-9.62551189984324,0.25649570193745,-0.486038039353128,0,0,0
148,-9.62294531884492,0.227015436058624,-0.468134366370881,0,0,0
149,-9.62961210894682,0.208960200566615,-0.481759286787349,0,0,0
150,-9.6157524543124,0.211380669036313,-0.492772045860006,0,0,0
151,-9.62128755785793,0.240134090307981,-0.508997908628682,0,0,0
152,-9.61676198413002,0.251487084985549,-0.502139995110419,0,0,0
153,-9.61163545999372,0.226884064821707,-0.517829524888726,0,0,0
154,-9.62040254419053,0.21128748141441,-0.515548535864043,0,0,0
155,-9.62500579951238,0.204424950775916,-0.515635577602206,0,0,0
156,-9.62261997142752,0.209077873641511,-0.51780324139017,0,0,0
157,-9.62498276314398,0.22503930055652,-0.510848730072428,0,0,0
158,-9.60758446965063,0.242359408458767,-0.515687594915085,0,0,0
159,-9.60501104824647,0.235775929184523,-0.524619013539535,0,0,0
160,-9.61419865157293,0.233484264243461,-0.52470788637879,0,0,0
161,-9.62494172887364,0.222797689987689,-0.517621967849854,0,0,0
162,-9.6223593049422,0.202517349554657,-0.513085004040188,0,0,0
163,-9.6228733625673,0.211112960604072,-0.495317287383485,0,0,0
164,-9.61661212842383,0.217383460526287,-0.509074181840356,0,0,0
165,-9.61389684669135,0.226911292017295,-0.50879390871003,0,0,0
166,-9.618213238113,0.224933795394552,-0.515370186286959,0,0,0
167,-9.61407679701233,0.213046265743021,-0.515749452450643,0,0,0
168,-9.62258332537457,0.206829126820463,-0.517800869034078,0,0,0
169,-9.62077159270015,0.208656703438318,-0.513481781977114,0,0,0
170,-9.62264178584759,0.197639603775681,-0.513371380590645,0,0,0
171,-9.62045076278299,0.202114613226337,-0.526928831667936,0,0,0
172,-9.62344588008953,0.196887685552117,-0.520535344723075,0,0,0
173,-9.62081688850488,0.1994887014406,-0.529379187329681,0,0,0
