Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.85917238044956,-0.0694154124900488,-1.05896763482958,0,0,0
1,-9.8581972135566,-0.0784250135022756,-1.05970537921221,0,0,0
2,-9.85754674528048,-0.0770000784153075,-1.0693901814976,0,0,0
3,-9.85820899409912,-0.0746070958700857,-1.07307631859992,0,0,0
4,-9.85479197083233,-0.0696409481164255,-1.08428803502061,0,0,0
5,-9.8531864167566,-0.0665299951865451,-1.0879696846056,0,0,0
6,-9.85213249123093,-0.0747080064749351,-1.07529876805373,0,0,0
7,-9.85571673392474,-0.0828793506874137,-1.06785893236013,0,0,0
8,-9.85188772512828,-0.0859751478930281,-1.08050432532068,0,0,0
9,-9.85293491890187,-0.086210122644465,-1.08503378276568,0,0,0
10,-9.85539119515512,-0.0794384162247311,-1.08281321916103,0,0,0
11,-9.86128688368866,-0.0669390764234803,-1.06412802051189,0,0,0
12,-9.85772330710007,-0.0488366064060076,-1.07301166485302,0,0,0
13,-9.85874299135871,-0.0429248305639584,-1.08717328777719,0,0,0
14,-9.84793973377192,-0.0567318770138072,-1.07826158670486,0,0,0
15,-9.85285226550717,-0.0823127689545964,-1.08276504543968,0,0,0
16,-9.85691192890574,-0.1124189973831,-1.07462518387633,0,0,0
17,-9.8604247744636,-0.124356075267818,-1.06049413133598,0,0,0
18,-9.8582560559445,-0.122192548745082,-1.06347982074246,0,0,0
19,-9.85902045147911,-0.113765596526042,-1.07013451820069,0,0,0
20,-9.85728323264858,-0.0936080387111919,-1.07238634016086,0,0,0
21,-9.85536176495585,-0.0763526305197035,-1.07758557911015,0,0,0
22,-9.85612629167027,-0.0503236410189056,-1.08415471425656,0,0,0
23,-9.85587155101313,-0.0408246774038405,-1.08199012497103,0,0,0
24,-9.86236214192818,-0.0227169639714561,-1.06787410094209,0,0,0
25,-9.85902543087336,-0.0140909926965111,-1.06106687299267,0,0,0
26,-9.86085641766151,-0.0135694264278449,-1.0730363638445,0,0,0
27,-9.85846863597497,-0.0158087726939002,-1.07227549103226,0,0,0
28,-9.86002543053487,-0.0204106738296858,-1.05297208505451,0,0,0
29,-9.85488240748468,-0.0345199262990997,-1.052158037119,0,0,0
30,-9.86289759516262,-0.0555153969025581,-1.04996490674958,0,0,0
31,-9.86293506229114,-0.0746805193141904,-1.0448604684731,0,0,0
