Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.41275297983987,-0.917415435298364,-1.5052692694724,0,0,0
1,-9.41273441519548,-0.930946002828516,-1.50991851877793,0,0,0
2,-9.4175496936458,-0.937708885054186,-1.50116797306502,0,0,0
3,-9.40722656715601,-0.955674430859443,-1.4800959093713,0,0,0
4,-9.40740004887528,-0.957972682926436,-1.47120641294801,0,0,0
5,-9.41421019641603,-0.955625019996168,-1.45991225459677,0,0,0
6,-9.41433040044104,-0.9488937623028,-1.44411036514448,0,0,0
7,-9.41505471286832,-0.94226663894568,-1.44229873536461,0,0,0
8,-9.41884210311811,-0.937569933083414,-1.41009633140852,0,0,0
9,-9.41731980563998,-0.930993989206395,-1.3947354655195,0,0,0
10,-9.41486157584402,-0.930993595636443,-1.39233197822889,0,0,0
11,-9.41280023280872,-0.931053204524159,-1.40828899091632,0,0,0
12,-9.40631265011482,-0.913145329599247,-1.43089669639247,0,0,0
13,-9.41358276403738,-0.906342673163605,-1.45377691434902,0,0,0
14,-9.42238837834512,-0.906136948447684,-1.47169198815579,0,0,0
15,-9.42012273871753,-0.906157027096249,-1.48750250134626,0,0,0
16,-9.41792940261404,-0.915237647934729,-1.48086575879976,0,0,0
17,-9.42145243702424,-0.912712022275545,-1.48464908597444,0,0,0
18,-9.41509192409794,-0.91289675609261,-1.48946353152621,0,0,0
19,-9.41962373912987,-0.924109311486249,-1.48959534946835,0,0,0
20,-9.42171149128765,-0.921783694142738,-1.48944965724863,0,0,0
21,-9.41904896237813,-0.921743682379553,-1.48689948261936,0,0,0
22,-9.41450737672804,-0.924076042014374,-1.47786632068413,0,0,0
23,-9.41748168686598,-0.930964433352766,-1.46037662750478,0,0,0
24,-9.41463635693144,-0.917359045267071,-1.44851387998116,0,0,0
25,-9.42216204902073,-0.908370411539467,-1.44895868798262,0,0,0
26,-9.42004641470528,-0.912959654932474,-1.43555135345245,0,0,0
27,-9.41745719537687,-0.908420957525294,-1.43300602018488,0,0,0
28,-9.42629696593297,-0.919522823747193,-1.43072988027281,0,0,0
29,-9.41696112168084,-0.926378189880911,-1.43058205527304,0,0,0
30,-9.4153327818002,-0.912995929584978,-1.43314928698106,0,0,0
31,-9.41445600501853,-0.928610419839886,-1.44398515984486,0,0,0
32,-9.41409631476707,-0.937553915305793,-1.45737965973718,0,0,0
33,-9.42639040276984,-0.937560486702617,-1.46488053748181,0,0,0
34,-9.4197654288081,-0.942225458105247,-1.44921768903121,0,0,0
35,-9.41462171264317,-0.955708606634876,-1.45568854086334,0,0,0
36,-9.41240735680513,-0.95350321839797,-1.44891707277543,0,0,0
37,-9.41472482039757,-0.962510146368392,-1.44227737911067,0,0,0
38,-9.41528442066945,-0.953599019775062,-1.4358046722617,0,0,0
39,-9.4148098307554,-0.958030647260268,-1.42421463654749,0,0,0
40,-9.41504931957761,-0.955818396303872,-1.42662199181766,0,0,0
41,-9.42185364894793,-0.953461247233899,-1.42436154404285,0,0,0
42,-9.4213550890807,-0.94660222977564,-1.41715373553944,0,0,0
43,-9.41930691903491,-0.946683202875026,-1.41278486579849,0,0,0
44,-9.42403033249125,-0.933102045967086,-1.42408835145027,0,0,0
45,-9.41057856390254,-0.928835904987737,-1.41280969259081,0,0,0
46,-9.42405821170532,-0.93083846295246,-1.43764132809371,0,0,0
47,-9.42395948428716,-0.924043885210638,-1.44427718636371,0,0,0
48,-9.42163809137632,-0.928591151508683,-1.43298174204647,0,0,0
49,-9.42113223021269,-0.921719762725302,-1.43706605798275,0,0,0
50,-9.41928397481517,-0.92183328418882,-1.4396190593709,0,0,0
51,-9.41465152202148,-0.928635668324768,-1.4576823002561,0,0,0
52,-9.41742108420085,-0.921922981328569,-1.4647564097606,0,0,0
53,-9.42384174447563,-0.917218272570995,-1.48027261924464,0,0,0
54,-9.41728863590208,-0.91738242489149,-1.46687300625416,0,0,0
55,-9.41478497952146,-0.919616983383166,-1.47801765988474,0,0,0
56,-9.41741230851909,-0.92190868776915,-1.47830701347548,0,0,0
57,-9.40838778899282,-0.92205094100371,-1.48282972474432,0,0,0
58,-9.41290736182409,-0.921991725685946,-1.4692761993475,0,0,0
59,-9.41588596937537,-0.935885868899676,-1.46555389254318,0,0,0
60,-9.41952401273778,-0.930873855671192,-1.47377919301533,0,0,0
61,-9.42649890431177,-0.93081026863293,-1.46714609228279,0,0,0
62,-9.40322208518524,-0.937807155690294,-1.46671383166972,0,0,0
63,-9.41019255276744,-0.937736390843931,-1.4668560323117,0,0,0
64,-9.41921413607471,-0.937589373268689,-1.46685018895494,0,0,0
65,-9.41451468977581,-0.924087953280707,-1.46657418237964,0,0,0
66,-9.41518816820933,-0.933248084176547,-1.4626341514801,0,0,0
67,-9.41471212009469,-0.937677175602456,-1.4533025195016,0,0,0
68,-9.41473999949376,-0.93541358174842,-1.46685548357332,0,0,0
69,-9.41508551712734,-0.940007831294695,-1.45133485248041,0,0,0
70,-9.4209978556243,-0.941988942246878,-1.45074182254325,0,0,0
71,-9.41478981807687,-0.933185721759749,-1.44653196981575,0,0,0
72,-9.41333934578967,-0.922108987791436,-1.43343436068762,0,0,0
73,-9.41946825430965,-0.935401021700444,-1.44667323972846,0,0,0
74,-9.41726468378212,-0.944464869492139,-1.4558455179028,0,0,0
75,-9.41484749247265,-0.942222398943247,-1.44666904262474,0,0,0
76,-9.4163433784759,-0.951064503414934,-1.44621839704111,0,0,0
77,-9.41195232892387,-0.969218427852873,-1.43972016804904,0,0,0
78,-9.40949512097293,-0.955659116834594,-1.45976859958759,0,0,0
79,-9.41430308491288,-0.924036477850665,-1.47771972765662,0,0,0
80,-9.42404695988701,-0.906007450600312,-1.44640803763052,0,0,0
81,-9.42288491581981,-0.901741553822404,-1.44940550775388,0,0,0
82,-9.4203377366969,-0.919774745839136,-1.44712954520248,0,0,0
83,-9.41488268475486,-0.939970727228137,-1.44892984950578,0,0,0
84,-9.41464027256159,-0.942178158475927,-1.45103934176631,0,0,0
85,-9.41458698718785,-0.933148584178788,-1.44412697580465,0,0,0
86,-9.41807739426532,-0.908551783557724,-1.42215348569815,0,0,0
87,-9.42004147956513,-0.901699796030792,-1.41057389041709,0,0,0
88,-9.42022621665791,-0.890455731014661,-1.40832732110738,0,0,0
89,-9.43751228337873,-0.885482686058212,-1.42806009748058,0,0,0
90,-9.41992082074166,-0.894869343222616,-1.45108625182799,0,0,0
91,-9.42191524322285,-0.910570544210962,-1.45784347597464,0,0,0
92,-9.4220799635473,-0.912854696890462,-1.46250454584039,0,0,0
93,-9.41724466776805,-0.919619813910925,-1.47816279259058,0,0,0
94,-9.41312243290319,-0.933300534461105,-1.48536657353731,0,0,0
95,-9.41326612583896,-0.924298698933088,-1.48989294145367,0,0,0
96,-9.41708927180368,-0.928602721596338,-1.49170389196229,0,0,0
97,-9.42589092467483,-0.941951505868436,-1.4916838109655,0,0,0
98,-9.42821571297432,-0.950970443013687,-1.47375199329446,0,0,0
99,-9.42382412297122,-0.957871718016201,-1.43550097342485,0,0,0
100,-9.40324446276986,-0.951404394572669,-1.40812694895182,0,0,0
101,-9.40669626075124,-0.915492888505322,-1.41311991861636,0,0,0
102,-9.40659369934014,-0.919943778718452,-1.45828393574242,0,0,0
103,-9.39525765545419,-0.90877963560837,-1.51687586634518,0,0,0
104,-9.40874813590846,-0.883677971736905,-1.57306074090941,0,0,0
105,-9.41823991373317,-0.879092854292032,-1.59142049547928,0,0,0
106,-9.41526314032999,-0.885760585456106,-1.58871631230303,0,0,0
107,-9.42947389276541,-0.908269476534246,-1.55328225775919,0,0,0
108,-9.41773104616818,-0.912898736669116,-1.52814869233184,0,0,0
109,-9.41788689760655,-0.91747738662726,-1.48989713848157,0,0,0
110,-9.41972045073957,-0.919648848734286,-1.45346515208578,0,0,0
111,-9.41717620083907,-0.937687065594242,-1.44667232764088,0,0,0
112,-9.43040162656251,-0.94418685383098,-1.43521771996497,0,0,0
113,-9.43772356222457,-0.94871972362311,-1.41080543506124,0,0,0
114,-9.42350435422163,-0.942067896833848,-1.37861717766453,0,0,0
115,-9.43980828001542,-0.948698319134422,-1.35871341350509,0,0,0
116,-9.42399697957251,-0.951226319479591,-1.33839534204018,0,0,0
117,-9.41484585074874,-0.946837708588917,-1.33600103309611,0,0,0
118,-9.41502034954612,-0.935576967753464,-1.34956350145376,0,0,0
119,-9.41494073643847,-0.926504524051427,-1.38330299668775,0,0,0
120,-9.41469933932979,-0.915152603812614,-1.4078645550479,0,0,0
121,-9.41503416323695,-0.906168761529304,-1.43286330243161,0,0,0
122,-9.42429815561496,-0.903814475985773,-1.43074795169202,0,0,0
123,-9.43418633794064,-0.888036798526122,-1.43571524481854,0,0,0
124,-9.43439163902988,-0.874517369383803,-1.45831386372116,0,0,0
125,-9.43206099288745,-0.865488622096077,-1.48527947359072,0,0,0
126,-9.43452509365125,-0.865498858005494,-1.47864929866559,0,0,0
127,-9.43865708679552,-0.876646192017616,-1.46493730202988,0,0,0
128,-9.43611528524204,-0.881127442066695,-1.47833803946168,0,0,0
129,-9.41332913295102,-0.883718811318452,-1.4646530901773,0,0,0
130,-9.41561387078918,-0.881420845328296,-1.47594616155454,0,0,0
131,-9.41885346840922,-0.883343785412911,-1.48861183905554,0,0,0
132,-9.408789089052,-0.883744674952253,-1.5098246489614,0,0,0
133,-9.4090818385271,-0.890562497625831,-1.51914452067519,0,0,0
134,-9.41260054699355,-0.888029114480848,-1.52970294404527,0,0,0
135,-9.41745098337666,-0.892540849997682,-1.52321326962659,0,0,0
136,-9.41096824950891,-0.88820175665884,-1.51433530595277,0,0,0
137,-9.41478014360552,-0.90604811436259,-1.50950329163991,0,0,0
138,-9.41041159682058,-0.897117188158262,-1.51629098814547,0,0,0
139,-9.41501816449369,-0.903833689171493,-1.51416914667438,0,0,0
140,-9.41258827083255,-0.915131292856261,-1.50060816420598,0,0,0
141,-9.41287025811927,-0.910679445663149,-1.49398422901598,0,0,0
142,-9.42162785735999,-0.890200515589495,-1.4642003863881,0,0,0
143,-9.42241424545065,-0.89261823857331,-1.45575060033993,0,0,0
144,-9.4216224604827,-0.903752850274786,-1.44852373525168,0,0,0
145,-9.42627547502155,-0.894674906853463,-1.45530558841471,0,0,0
146,-9.415753626573,-0.885973486743755,-1.46253740350595,0,0,0
147,-9.42041743908429,-0.888165180538176,-1.48526304863343,0,0,0
148,-9.41788589693762,-0.892663160331655,-1.48285472945164,0,0,0
149,-9.42453133932747,-0.888031257707488,-1.46689947195662,0,0,0
150,-9.42456360656335,-0.885774810626525,-1.47367714046248,0,0,0
151,-9.42112883348675,-0.881654939813199,-1.45637922491572,0,0,0
152,-9.42276808906971,-0.883665602781486,-1.45138979287977,0,0,0
153,-9.42884806281932,-0.887934688106709,-1.4509409590835,0,0,0
154,-9.42670803845243,-0.906045230947174,-1.45121657318171,0,0,0
155,-9.42618799938453,-0.912711482966565,-1.45317474721303,0,0,0
156,-9.41960070856287,-0.901568043444352,-1.4599662837568,0,0,0
157,-9.42415601292698,-0.910509967240242,-1.48042633368831,0,0,0
158,-9.41988909908244,-0.908378578859221,-1.47606135625335,0,0,0
159,-9.42401524308531,-0.919516697502565,-1.47138311450715,0,0,0
160,-9.41034794873181,-0.928753483158517,-1.45331493294,0,0,0
161,-9.4060795572172,-0.926619625991359,-1.45120836439346,0,0,0
162,-9.41311550073491,-0.910785776828266,-1.43089468679811,0,0,0
163,-9.41777584269499,-0.901719874650062,-1.42638438892542,0,0,0
164,-9.41461680625369,-0.906075166437911,-1.44612075355957,0,0,0
165,-9.41489001969715,-0.901609026667743,-1.45304734604327,0,0,0
166,-9.41541002908802,-0.894942852010237,-1.45108917350637,0,0,0
167,-9.4151055644269,-0.888105947828405,-1.45983686680337,0,0,0
168,-9.41976296679441,-0.879035151166882,-1.45984343698371,0,0,0
169,-9.42614009513422,-0.890129389321614,-1.4619390391567,0,0,0
170,-9.41992183014331,-0.88130994946632,-1.47353821886842,0,0,0
171,-9.41474880258478,-0.897054012463608,-1.46871450109401,0,0,0
172,-9.42136249248801,-0.905931552144745,-1.47773432894987,0,0,0
173,-9.42441552366033,-0.894769629600394,-1.47592608055776,0,0,0
174,-9.42012027460601,-0.881340189767602,-1.48271853544201,0,0,0
175,-9.41046381147109,-0.883641052791125,-1.459697958353,0,0,0
176,-9.4156832420086,-0.890476830173975,-1.45801578974388,0,0,0
177,-9.41502786574544,-0.892597445095118,-1.46660740386026,0,0,0
178,-9.41692064070391,-0.901499248178638,-1.48451727325739,0,0,0
179,-9.41081085860866,-0.885929384373318,-1.49838204365417,0,0,0
180,-9.41575517874177,-0.883667023050871,-1.51674219129402,0,0,0
181,-9.4004238551961,-0.868211965009854,-1.52369096531658,0,0,0
182,-9.40686066365483,-0.863532962059671,-1.51436432997119,0,0,0
183,-9.40688605448059,-0.874826412024023,-1.5077237905622,0,0,0
184,-9.39759669649398,-0.865887051978507,-1.51647960330645,0,0,0
185,-9.41072686956267,-0.876849467506288,-1.53889662142057,0,0,0
186,-9.39022314030882,-0.888391132511809,-1.57277431904021,0,0,0
187,-9.39758989766605,-0.877128136328434,-1.55952457279366,0,0,0
188,-9.42277649612321,-0.867809351288746,-1.51901285322347,0,0,0
189,-9.43412916551185,-0.851878759402168,-1.48274061862691,0,0,0
190,-9.44239937926478,-0.849370400401587,-1.4369822910487,0,0,0
191,-9.4314616984459,-0.878952380386787,-1.43980339893563,0,0,0
192,-9.41775344298518,-0.926495898005569,-1.46956170353714,0,0,0
193,-9.38697002751728,-0.978577046777912,-1.48037851891528,0,0,0
194,-9.39386571123832,-0.946938166937443,-1.44172089600143,0,0,0
195,-9.42494661533185,-0.879178655539702,-1.36768445292356,0,0,0
196,-9.44359326561804,-0.831671472898122,-1.30885687887315,0,0,0
197,-9.45315142173924,-0.800072367135476,-1.27274934699185,0,0,0
198,-9.45322911972142,-0.795580913292769,-1.265978797306,0,0,0
199,-9.46194488752761,-0.824660047315143,-1.31803248279876,0,0,0
