Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.9237091873077,-0.0457891437255011,-3.56191048070453,0,0,0
1,-8.91033359354295,-0.0553809987400761,-3.56456204371476,0,0,0
2,-8.92172158800357,-0.0576257201881393,-3.57378339975205,0,0,0
3,-8.90824812734683,-0.0441525256895787,-3.58490219691555,0,0,0
4,-8.9082499628283,-0.0533297076477678,-3.59186522054148,0,0,0
5,-8.90511790300795,-0.0683364969104947,-3.60461364755763,0,0,0
6,-8.89138981791878,-0.0797819281671675,-3.62267879447251,0,0,0
7,-8.90029283866054,-0.0771921606533401,-3.62699544883939,0,0,0
8,-8.90056289290757,-0.0706468883309841,-3.61590684911847,0,0,0
9,-8.90744124192024,-0.0729674682530828,-3.62287261654785,0,0,0
10,-8.91203035662536,-0.0775783141652541,-3.6253204162462,0,0,0
11,-8.9096337152231,-0.0774449470151121,-3.60705668319814,0,0,0
12,-8.90979384097442,-0.0776460415124705,-3.59596092714128,0,0,0
13,-8.91158800191652,-0.0770369666980938,-3.59988580431952,0,0,0
14,-8.91623169226314,-0.0886023979194714,-3.58445511326606,0,0,0
15,-8.92097618092068,-0.0842323878122151,-3.57336115919433,0,0,0
16,-8.92100219915807,-0.072792193906955,-3.57995173310868,0,0,0
17,-8.9233108549249,-0.0797076236356636,-3.56433030455473,0,0,0
18,-8.92088124615186,-0.0611721568864332,-3.5773112842665,0,0,0
19,-8.91890349650672,-0.0638505094809902,-3.56415295595086,0,0,0
20,-8.91912961163366,-0.0595422200740886,-3.56435457781845,0,0,0
21,-8.9146156253248,-0.059610968518063,-3.56887456890685,0,0,0
22,-8.91231722088638,-0.0527121174876359,-3.56868626571814,0,0,0
23,-8.91904569480842,-0.054848244872975,-3.57093804307442,0,0,0
24,-8.91912668627602,-0.0595374553419131,-3.56887164705404,0,0,0
25,-8.91667291394286,-0.0616194277341822,-3.58222504943073,0,0,0
26,-8.91634709987967,-0.0726907950297678,-3.56620658094172,0,0,0
27,-8.92100766223287,-0.0636268858289473,-3.56169608785677,0,0,0
28,-8.91908565183289,-0.0617790767700635,-3.57564487852844,0,0,0
29,-8.91881080401285,-0.0591422382472656,-3.58428759781746,0,0,0
30,-8.92108426838989,-0.0683089293320146,-3.56640528276596,0,0,0
31,-8.92103699561273,-0.0613661837888499,-3.57299111237569,0,0,0
32,-8.91629251978954,-0.0657361248844709,-3.58408504626059,0,0,0
33,-8.91923886230672,-0.0711430459395003,-3.58506332060637,0,0,0
34,-8.9077981338279,-0.0711209411962472,-3.60068348550997,0,0,0
35,-8.90776002491792,-0.0733673165016779,-3.60293964985742,0,0,0
36,-8.90310383623178,-0.0824382428306124,-3.60067454552864,0,0,0
37,-8.90328560470064,-0.071192072093659,-3.60294494408133,0,0,0
38,-8.90761782803923,-0.0823694943015006,-3.59615455024229,0,0,0
39,-8.89835900193965,-0.0776334944593338,-3.60254692278006,0,0,0
40,-8.89382043293302,-0.089144797894977,-3.59821782634895,0,0,0
41,-8.90234456869113,-0.0906744166603522,-3.60213594184996,0,0,0
42,-8.8962240117141,-0.0801153495673343,-3.59596732032071,0,0,0
43,-8.90362602736343,-0.0601446967251597,-3.5963781029575,0,0,0
44,-8.90512814174068,-0.0683531734421388,-3.58880393459378,0,0,0
45,-8.91192735221176,-0.0751617934565966,-3.60479906214335,0,0,0
46,-8.91219487354503,-0.0777865538468275,-3.60744905669595,0,0,0
47,-8.91431698597096,-0.0867662692235942,-3.5871112758627,0,0,0
48,-8.91415793477561,-0.0773928752034045,-3.58672696866348,0,0,0
49,-8.91206069480173,-0.0684535731413153,-3.56866965898506,0,0,0
50,-8.91514352178894,-0.0716150448514363,-3.56493922093057,0,0,0
51,-8.91237656278855,-0.0688486999911042,-3.55325366500638,0,0,0
52,-8.90525892771264,-0.0708150045141703,-3.56641313684789,0,0,0
53,-8.92603377674309,-0.0824816551601938,-3.5693372223896,0,0,0
54,-8.92126203877989,-0.0662303277704651,-3.58467281131523,0,0,0
55,-8.91664796877904,-0.0638872660242843,-3.56415441687549,0,0,0
56,-8.91878401306697,-0.0522327678779218,-3.55925400823122,0,0,0
57,-8.91514844912464,-0.0465089327093973,-3.55798987263712,0,0,0
58,-8.92619561856737,-0.0506261869626234,-3.56455656195255,0,0,0
59,-8.92580788995905,-0.0547308281514659,-3.57770925786235,0,0,0
60,-8.91018153504939,-0.0735412018416072,-3.58280825315796,0,0,0
61,-8.90567485115104,-0.0736218623084173,-3.57603555858133,0,0,0
62,-8.91681669102182,-0.0938533029098915,-3.58739953166838,0,0,0
63,-8.91926474478325,-0.0939906644748661,-3.60104926383673,0,0,0
64,-8.90278213745334,-0.0820337164921836,-3.62512458135594,0,0,0
65,-8.90288732337976,-0.0661054042839201,-3.62268572426962,0,0,0
66,-8.93126460755768,-0.037411980993553,-3.58970861560336,0,0,0
67,-8.91512027766634,-0.037288835664919,-3.59168054137858,0,0,0
68,-8.89467863826495,-0.055796612164124,-3.59413015257735,0,0,0
69,-8.88715104011276,-0.0549651886417708,-3.58863295695355,0,0,0
70,-8.88765042276456,-0.0532914477991945,-3.58245042486744,0,0,0
71,-8.90614881317225,-0.0557871337052676,-3.60777403437042,0,0,0
72,-8.91003026416858,-0.0710460666705917,-3.63681861202161,0,0,0
73,-8.89381284222521,-0.0776498308129071,-3.65675462512373,0,0,0
74,-8.89823223743268,-0.102700545425601,-3.6480853870919,0,0,0
75,-8.89642161055149,-0.0986458497575145,-3.62128604900544,0,0,0
76,-8.91901364362171,-0.0960295465649731,-3.62127381203264,0,0,0
77,-8.89442211589431,-0.0715378399114565,-3.59411354608471,0,0,0
78,-8.90368900168404,-0.057938832573331,-3.5557267766943,0,0,0
79,-8.9100850959981,-0.0527869918529398,-3.53255120631315,0,0,0
80,-8.91471670903572,-0.0551586964209034,-3.52596715592673,0,0,0
81,-8.91673258227281,-0.05023386341359,-3.53686940945632,0,0,0
82,-8.8988386134261,-0.0598873235632904,-3.55081651844932,0,0,0
83,-8.90992718305554,-0.0709378537906336,-3.55983149039353,0,0,0
84,-8.92120191007595,-0.0707493061180831,-3.5643412549971,0,0,0
85,-8.91408902964096,-0.0818975810532255,-3.5799466263208,0,0,0
86,-8.92649650115516,-0.0783397167364246,-3.58986870958972,0,0,0
87,-8.92141964349076,-0.0756014005334464,-3.58731565377641,0,0,0
88,-8.90095019962887,-0.0573672529596686,-3.59353268328699,0,0,0
89,-8.90640916292382,-0.0651663305805091,-3.60118881745674,0,0,0
90,-8.90323688923583,-0.0642470235555976,-3.611789286519,0,0,0
91,-8.89448370654791,-0.0670212873052643,-3.61218660129436,0,0,0
92,-8.89420563625475,-0.0552049195716976,-3.61612476365731,0,0,0
93,-8.90361578859267,-0.0601280201315746,-3.61218787464278,0,0,0
94,-8.90371004507238,-0.0670675702695069,-3.60776363357895,0,0,0
95,-8.89878038897426,-0.0712751148325707,-3.59391371907774,0,0,0
96,-8.90371735848686,-0.0670794821331286,-3.59647092903206,0,0,0
97,-8.90573168247411,-0.0599234389336495,-3.59166266141591,0,0,0
98,-8.89188816594528,-0.0505833905789759,-3.58883167934596,0,0,0
99,-8.90137634211809,-0.0601909828848451,-3.58734540863873,0,0,0
100,-8.90129244580645,-0.0554970544835999,-3.59392886472235,0,0,0
101,-8.90102641815084,-0.0528744589292257,-3.58902036302667,0,0,0
102,-8.9118870281134,-0.0590560874601914,-3.59087067032137,0,0,0
103,-8.91012219595558,-0.0574047424086577,-3.59824081316999,0,0,0
104,-8.90733202333882,-0.061366489654863,-3.60216386138123,0,0,0
105,-8.90943327292711,-0.0611380865959645,-3.60422401501691,0,0,0
106,-8.90045515547266,-0.0590482120808188,-3.59293959997374,0,0,0
107,-8.89460388347751,-0.0602917234357069,-3.59638394667735,0,0,0
108,-8.89613537520158,-0.066239497396094,-3.60010480280409,0,0,0
109,-8.89474062558267,-0.0649920672907811,-3.58292789964742,0,0,0
110,-8.90107074104058,-0.0598124491178106,-3.58695161140764,0,0,0
111,-8.90749470050998,-0.0523974912709731,-3.57732953944624,0,0,0
112,-8.90554661826395,-0.0619900868341623,-3.58468778255804,0,0,0
113,-8.91899773223136,-0.0662527901620133,-3.59822547994841,0,0,0
114,-8.90764056428993,-0.0617497773602293,-3.59804062077344,0,0,0
115,-8.90558033931298,-0.0597365535755728,-3.58920722417262,0,0,0
116,-8.90107695646815,-0.068996747630884,-3.58713902037213,0,0,0
