Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.5775376309029,-0.190349952141243,-2.64098184715622,0,0,0
1,-9.5767293534274,-0.188745317208083,-2.65137088902754,0,0,0
2,-9.57766189807212,-0.188173146791691,-2.66257196899909,0,0,0
3,-9.57536891233107,-0.18741798403249,-2.68115089372558,0,0,0
4,-9.57751848218421,-0.184042312552679,-2.66624302000851,0,0,0
5,-9.57762873874532,-0.179544583087821,-2.69004562094592,0,0,0
6,-9.56776823892679,-0.181291040079291,-2.70416933648672,0,0,0
7,-9.57166899188912,-0.178338808586384,-2.70863806828188,0,0,0
8,-9.57244121784542,-0.180661307770251,-2.71757737874851,0,0,0
9,-9.56863061312345,-0.184552409734361,-2.71536078143281,0,0,0
10,-9.56918483968923,-0.189632533248704,-2.70939108035228,0,0,0
11,-9.5723061085714,-0.191269200229252,-2.70570292016783,0,0,0
12,-9.5723136487568,-0.190511134223626,-2.7027259796026,0,0,0
13,-9.57159066863956,-0.183625374066909,-2.71310853317091,0,0,0
14,-9.57235941752816,-0.182855932800184,-2.71087678584037,0,0,0
15,-9.56797384128229,-0.17853370581982,-2.71907226489367,0,0,0
16,-9.56340872500338,-0.170825909242564,-2.7234934496102,0,0,0
17,-9.56564500014521,-0.173003449546635,-2.73317058110366,0,0,0
18,-9.5649729342239,-0.170835816258367,-2.75176797438854,0,0,0
19,-9.56819207630865,-0.168790844663802,-2.72279709012384,0,0,0
20,-9.57026210237579,-0.176975309469684,-2.70865791072654,0,0,0
21,-9.5723727626297,-0.182102393110662,-2.71161987088306,0,0,0
22,-9.5759937696389,-0.187119148012086,-2.69451646689264,0,0,0
23,-9.57454264996181,-0.186563232119709,-2.6878207986896,0,0,0
24,-9.57607840037931,-0.184259022242867,-2.67442832888338,0,0,0
25,-9.57451093846766,-0.1849673192275,-2.66624161517949,0,0,0
26,-9.57586862868506,-0.189270132230271,-2.65210981035601,0,0,0
27,-9.58039213109354,-0.192266858333233,-2.64542577646532,0,0,0
28,-9.57965699015113,-0.196247937043075,-2.65733686652211,0,0,0
29,-9.57661027035617,-0.194677670174019,-2.66625591829097,0,0,0
30,-9.5721887990546,-0.191923544173801,-2.67295087618982,0,0,0
31,-9.56849300832832,-0.187482742923895,-2.69302756129296,0,0,0
32,-9.56405864113363,-0.182307027502192,-2.71905418017285,0,0,0
33,-9.56423293298775,-0.181733333849407,-2.71910351625487,0,0,0
34,-9.56319498312781,-0.185217630365977,-2.72053613846143,0,0,0
35,-9.55706483839576,-0.186675214359574,-2.74730891305823,0,0,0
36,-9.55480849671214,-0.185966644242152,-2.75474446898551,0,0,0
37,-9.56014228003803,-0.18750563460383,-2.75029308061307,0,0,0
38,-9.56386195569983,-0.188015673601744,-2.74955219314655,0,0,0
39,-9.56008877717077,-0.188141385739863,-2.75252352060964,0,0,0
40,-9.56009584353973,-0.183433319486967,-2.75325826790514,0,0,0
41,-9.56402662941323,-0.180634228857952,-2.73392264668508,0,0,0
42,-9.57013381602904,-0.179879504605045,-2.71458957220263,0,0,0
43,-9.56858783113854,-0.179840583097465,-2.71235395680102,0,0,0
44,-9.57233200029537,-0.181220112780958,-2.70640846539076,0,0,0
45,-9.56854475340726,-0.17895646205782,-2.70565454541864,0,0,0
46,-9.57389660812358,-0.173504073411633,-2.68556709303781,0,0,0
47,-9.57161843282763,-0.17197118474713,-2.68556047723375,0,0,0
48,-9.56641301044803,-0.166034988309203,-2.69670486367853,0,0,0
49,-9.56946434491203,-0.167609189670336,-2.69076186346336,0,0,0
50,-9.56796166764212,-0.167647339947665,-2.7019195467431,0,0,0
51,-9.57172614325493,-0.168278710054396,-2.70118116868942,0,0,0
52,-9.56784759226747,-0.173626751964176,-2.7056456955897,0,0,0
53,-9.56564918589629,-0.174621224952222,-2.72275883557782,0,0,0
54,-9.56865490823415,-0.180733561768597,-2.72649950727291,0,0,0
55,-9.56707841306855,-0.179066248684185,-2.72574150792785,0,0,0
56,-9.56532806605264,-0.188712946751339,-2.7227713738898,0,0,0
57,-9.56456015368954,-0.193475711264769,-2.70715654847547,0,0,0
58,-9.56447740226747,-0.196423774618593,-2.6997189597558,0,0,0
59,-9.56886927265805,-0.203008056054002,-2.69080386455766,0,0,0
60,-9.56531390652675,-0.189509075021691,-2.70714945566347,0,0,0
