Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.89869558211546,0.84606333446177,-3.86168746238693,0,0,0
1,-8.92429067586136,0.846006742248885,-3.86527263717646,0,0,0
2,-8.92917813899857,0.857106903145963,-3.87443873854923,0,0,0
3,-8.93323158587912,0.857837867841124,-3.88840445067121,0,0,0
4,-8.94498023659712,0.864402064052992,-3.91828873891212,0,0,0
5,-8.9519828942718,0.862033660675595,-3.92571811145298,0,0,0
6,-8.93376654309846,0.85718433244638,-3.92384134412485,0,0,0
7,-8.93893035344548,0.883779723087625,-3.89258576946408,0,0,0
8,-8.92060467956421,0.89013778016033,-3.86994361926454,0,0,0
9,-8.92072362545659,0.896777805043774,-3.8609606927055,0,0,0
10,-8.9271828583404,0.888236011641546,-3.86036192759524,0,0,0
11,-8.92950066100794,0.892796124647885,-3.86237650368302,0,0,0
12,-8.91326794400356,0.879135459826476,-3.86709866622139,0,0,0
13,-8.91326752694079,0.879136156058329,-3.86036199085727,0,0,0
14,-8.90608050418021,0.868133649086665,-3.85091914684481,0,0,0
15,-8.91328123561959,0.876832069847578,-3.84262841403145,0,0,0
16,-8.92694385107751,0.874957634606785,-3.86036330013081,0,0,0
17,-8.93392407179379,0.866039478218103,-3.89464814813636,0,0,0
18,-8.93584942877591,0.866450078189085,-3.91828794231416,0,0,0
19,-8.95185807962585,0.864526097981396,-3.91604360741767,0,0,0
20,-8.94052427842668,0.877784258066204,-3.91333460978252,0,0,0
21,-8.92644952219702,0.859832057340942,-3.91109003181159,0,0,0
22,-8.94009553037173,0.860266193522711,-3.90164730634104,0,0,0
23,-8.9357074603676,0.871252529056792,-3.87020810561856,0,0,0
24,-8.92881136958712,0.848352418036899,-3.83140458659346,0,0,0
25,-8.90586595921378,0.859375045217863,-3.84170717066374,0,0,0
26,-8.88988608619726,0.856688660281182,-3.8309399396689,0,0,0
27,-8.92197006735797,0.859569722834248,-3.8554121703456,0,0,0
28,-8.95418262097388,0.875916736414203,-3.86370278492437,0,0,0
29,-8.95433213160555,0.877943620229987,-3.8686550037581,0,0,0
30,-8.95419915263409,0.873607974609008,-3.89088035612025,0,0,0
31,-8.95231015128292,0.886565633444015,-3.90055309410256,0,0,0
32,-8.9474412470683,0.880122555820693,-3.89986146913702,0,0,0
33,-8.93621600645388,0.893196466596349,-3.88414049271926,0,0,0
34,-8.9339461218438,0.89767809576894,-3.8479803293992,0,0,0
35,-8.94059950032011,0.882217891938185,-3.84147635085215,0,0,0
36,-8.94290728521228,0.879952698287913,-3.8461984968576,0,0,0
37,-8.92690290436631,0.872746428385934,-3.84239906124908,0,0,0
38,-8.92456915309679,0.870494186871248,-3.82218912195236,0,0,0
39,-8.922410821929,0.874786175579707,-3.82241917967424,0,0,0
40,-8.90837149661313,0.868177701296482,-3.82397260031216,0,0,0
41,-8.91293263854598,0.863739856489103,-3.83767734674289,0,0,0
42,-8.92409830536111,0.859890090535472,-3.84798365050162,0,0,0
43,-8.92940685033661,0.890674833863076,-3.87337385260807,0,0,0
44,-8.9222620072494,0.881881488286576,-3.90210523511446,0,0,0
45,-8.93153882777866,0.890989364164119,-3.92657532510994,0,0,0
46,-8.93631329988273,0.895311964123706,-3.92928207253078,0,0,0
47,-8.93167344951181,0.895322162288339,-3.93129666221511,0,0,0
48,-8.91794266628244,0.899593520692945,-3.93331022556964,0,0,0
49,-8.91990167098619,0.884236138025923,-3.9308357301004,0,0,0
50,-8.92282601594226,0.903730725624226,-3.92974167145411,0,0,0
51,-8.91809276512019,0.883499787170213,-3.91242507271545,0,0,0
52,-8.9179600393562,0.888159696587646,-3.90055073594363,0,0,0
53,-8.90621718560637,0.872463008950945,-3.88932383786914,0,0,0
54,-8.91316966428419,0.886144947677734,-3.8796486468148,0,0,0
55,-8.90880420187408,0.885688632442354,-3.90078107285365,0,0,0
56,-8.91801455954654,0.888066996843238,-3.89853585348414,0,0,0
57,-8.9386040118473,0.8953564804434,-3.89784441881145,0,0,0
58,-8.94959981654368,0.875830024722743,-3.90412250457558,0,0,0
59,-8.95409534536591,0.864661346073868,-3.90458528566027,0,0,0
60,-8.95445598385124,0.866457119712999,-3.8989558169051,0,0,0
61,-8.95405495418714,0.862449180895294,-3.89560328708247,0,0,0
62,-8.94014882546505,0.860175711526178,-3.87942242477297,0,0,0
63,-8.91072131314177,0.868121950345125,-3.86462344224335,0,0,0
64,-8.90614117745346,0.883996193911281,-3.8567315562906,0,0,0
65,-8.91070048705654,0.879561209121252,-3.84124407263187,0,0,0
66,-8.91971640746122,0.861742931284611,-3.84193845538126,0,0,0
67,-8.92205384192015,0.854866149120567,-3.84712238741163,0,0,0
68,-8.93157223669297,0.857103137909753,-3.85890467937164,0,0,0
69,-8.92166114156012,0.848690502590849,-3.84821531545919,0,0,0
70,-8.91700973560559,0.841878025984518,-3.8282363695303,0,0,0
71,-8.91022625131061,0.843874588444112,-3.82846637335934,0,0,0
72,-8.92209900428738,0.84592118876769,-3.84300161537819,0,0,0
73,-8.95142819541126,0.847009927130605,-3.88639184669426,0,0,0
74,-8.95383571602556,0.837734134163775,-3.89877406177858,0,0,0
75,-8.95607147325005,0.828876666249369,-3.89895984768055,0,0,0
76,-8.94703710281004,0.84203690132035,-3.89428206039781,0,0,0
77,-8.93782506736163,0.839661331888716,-3.86958057236742,0,0,0
78,-8.93110556678214,0.848391132600962,-3.85610587749743,0,0,0
79,-8.92426614605999,0.850482471675763,-3.83589519190746,0,0,0
80,-8.92166086351854,0.848690966744971,-3.84372420287106,0,0,0
81,-8.92648615999821,0.862050498816361,-3.85944200828796,0,0,0
82,-8.93118110108578,0.861946946931603,-3.86439473892502,0,0,0
83,-8.93106145733017,0.855307929195567,-3.86214986782475,0,0,0
84,-8.91954335072604,0.855194605067186,-3.85967293461471,0,0,0
85,-8.93108770240572,0.859824807470385,-3.88212875523792,0,0,0
86,-8.94003043124139,0.853534513153182,-3.89738755708783,0,0,0
87,-8.94028415458423,0.864507492464615,-3.89537153199091,0,0,0
88,-8.93828435793778,0.877653357086887,-3.88212735104464,0,0,0
89,-8.9447051188392,0.864868960344095,-3.89018868350441,0,0,0
90,-8.93586246712941,0.864147191987157,-3.88932659837876,0,0,0
91,-8.91040263532017,0.850417365904339,-3.86462527229922,0,0,0
92,-8.89883928247688,0.857223037936977,-3.84798231770801,0,0,0
93,-8.92427700599792,0.857306045652049,-3.84666097447268,0,0,0
